Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,252.40,252.40,252.40,252.40,000,252.40
2012-12-24,249.10,254.85,248.10,252.40,382300,252.40
2012-12-21,255.90,256.00,247.10,248.40,341400,248.40
2012-12-20,258.60,258.60,255.00,255.85,294800,255.85
2012-12-19,261.35,264.25,257.30,258.85,273100,258.85
2012-12-18,263.05,264.40,260.20,262.65,165300,262.65
2012-12-17,257.05,266.45,256.50,262.00,665600,262.00
2012-12-14,256.25,258.80,255.10,255.90,244100,255.90
2012-12-13,262.95,262.95,255.45,256.25,225400,256.25
2012-12-12,263.15,263.15,258.20,259.05,95500,259.05
2012-12-11,262.85,265.20,259.70,261.60,214000,261.60
2012-12-10,263.25,264.50,260.90,262.60,215500,262.60
2012-12-07,265.45,268.45,262.00,262.45,320700,262.45
2012-12-06,265.45,265.45,261.50,263.80,323400,263.80
2012-12-05,269.00,269.00,262.30,263.30,206100,263.30
2012-12-04,265.00,269.80,264.10,264.90,418000,264.90
2012-12-03,266.85,270.00,265.10,265.85,447700,265.85
2012-11-30,261.70,268.50,259.30,265.85,675200,265.85
2012-11-29,259.90,264.85,257.10,260.25,999100,260.25
2012-11-28,258.45,258.45,258.45,258.45,000,258.45
2012-11-27,258.30,260.95,257.00,258.45,204600,258.45
2012-11-26,259.75,259.80,255.45,257.65,208900,257.65
2012-11-23,257.35,260.50,256.80,258.90,403200,258.90
2012-11-22,255.50,258.65,254.00,257.05,405600,257.05
2012-11-21,261.70,269.00,253.35,256.25,2417500,256.25
2012-11-20,262.25,264.05,259.45,261.10,388200,261.10
2012-11-19,263.00,264.80,259.25,261.60,276100,261.60
2012-11-16,262.55,267.40,260.50,261.90,726800,261.90
2012-11-15,254.95,263.00,254.65,261.30,325900,261.30
2012-11-14,254.10,254.10,254.10,254.10,000,254.10
2012-11-13,254.10,254.10,254.10,254.10,000,254.10
2012-11-12,260.75,261.05,250.65,254.10,419600,254.10
2012-11-09,266.20,267.70,259.10,260.00,318200,260.00
2012-11-08,262.80,269.65,262.05,266.30,705100,266.30
2012-11-07,260.55,268.00,259.75,264.60,1397100,264.60
2012-11-06,264.45,265.90,258.60,260.35,415800,260.35
2012-11-05,258.65,264.40,258.00,263.10,546100,263.10
2012-11-02,271.70,271.70,257.05,258.70,200900,258.70
2012-11-01,257.80,260.65,256.50,258.65,350000,258.65
2012-10-31,248.70,258.80,247.85,257.10,391800,257.10
2012-10-30,249.95,252.20,247.50,248.15,112200,248.15
2012-10-29,251.05,252.00,248.70,249.90,129100,249.90
2012-10-26,252.15,252.15,252.15,252.15,000,252.15
2012-10-25,255.40,255.90,251.35,252.15,309000,252.15
2012-10-24,255.65,255.65,255.65,255.65,000,255.65
2012-10-23,253.10,257.60,253.10,255.65,241400,255.65
2012-10-22,254.35,257.65,252.65,255.00,353400,255.00
2012-10-19,260.00,260.00,252.50,254.05,513500,254.05
2012-10-18,257.95,259.70,255.60,256.60,304200,256.60
2012-10-17,256.05,258.40,255.00,256.90,183400,256.90
2012-10-16,261.05,262.15,253.50,254.95,233000,254.95
2012-10-15,261.00,263.45,258.25,260.20,339000,260.20
2012-10-12,258.75,261.45,256.55,260.15,422600,260.15
2012-10-11,255.00,258.00,252.35,256.65,287300,256.65
2012-10-10,256.40,258.55,252.25,253.45,398000,253.45
2012-10-09,260.55,263.00,255.50,258.10,593400,258.10
2012-10-08,260.25,263.90,258.65,260.40,371600,260.40
2012-10-05,262.20,263.50,256.00,259.70,377800,259.70
2012-10-04,263.05,267.75,259.35,260.05,696900,260.05
2012-10-03,265.90,267.50,262.35,262.95,275800,262.95
2012-10-02,265.80,265.80,265.80,265.80,000,265.80
2012-10-01,264.80,269.65,263.45,265.80,506500,265.80
2012-09-28,263.50,271.90,262.45,264.75,1568800,264.75
2012-09-27,259.60,265.50,257.10,261.20,1973900,261.20
2012-09-26,259.65,261.00,256.80,259.40,325200,259.40
2012-09-25,262.70,263.35,257.50,258.35,296500,258.35
2012-09-24,258.85,265.70,257.00,261.05,746100,261.05
2012-09-21,256.30,260.70,256.30,258.95,387200,258.95
2012-09-20,253.15,261.80,252.00,256.40,505100,256.40
2012-09-19,257.25,257.25,257.25,257.25,000,257.25
2012-09-18,259.60,261.30,255.20,257.25,448800,257.25
2012-09-17,255.30,263.65,253.70,257.65,883000,257.65
2012-09-14,260.15,261.90,253.05,253.90,788400,253.90
2012-09-13,247.35,259.45,244.40,256.90,2256400,256.90
2012-09-12,247.00,248.45,244.25,246.35,390600,246.35
2012-09-11,247.60,247.60,243.25,245.00,270900,245.00
2012-09-10,243.80,246.40,243.45,244.60,365200,244.60
2012-09-07,242.05,243.65,240.45,241.15,345500,241.15
2012-09-06,241.00,243.95,239.05,240.20,430600,240.20
2012-09-05,240.90,243.20,240.15,240.85,421200,240.85
2012-09-04,240.10,244.20,238.60,241.65,592300,241.65
2012-09-03,239.05,243.00,238.05,239.15,550700,239.15
2012-08-31,246.00,259.40,237.70,238.95,5108500,238.95
2012-08-30,243.30,249.00,241.00,245.45,967300,245.45
2012-08-29,253.40,254.45,242.30,243.95,844500,243.95
2012-08-28,257.95,257.95,250.00,251.85,796400,251.85
2012-08-27,263.55,264.45,255.50,256.70,834000,256.70
2012-08-24,260.75,264.60,259.30,262.40,560800,262.40
2012-08-23,262.65,264.90,260.10,261.25,728700,261.25
2012-08-22,256.40,265.60,255.00,260.30,1133400,260.30
2012-08-21,260.70,263.25,255.00,256.35,566200,256.35
2012-08-20,260.50,260.50,260.50,260.50,000,260.50
2012-08-17,263.55,266.55,259.00,260.50,746100,260.50
2012-08-16,267.90,272.70,261.30,262.05,1776400,262.05
2012-08-15,266.55,266.55,266.55,266.55,000,266.55
2012-08-14,258.00,277.30,255.50,266.55,4754100,266.55
2012-08-13,253.05,258.40,251.70,257.55,1513200,257.55
2012-08-10,243.30,260.85,238.70,252.50,5197800,252.50
2012-08-09,242.80,243.80,236.20,240.30,291000,240.30
2012-08-08,244.00,248.00,240.05,240.95,355900,240.95
