Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,59.20,59.20,59.20,59.20,000,59.20
2012-12-24,59.80,60.80,58.60,59.20,88200,59.20
2012-12-21,58.20,61.40,57.70,58.45,163700,58.45
2012-12-20,57.60,58.90,57.55,58.00,26000,58.00
2012-12-19,58.00,58.95,57.55,58.20,29600,58.20
2012-12-18,57.75,58.60,57.20,58.10,42300,58.10
2012-12-17,58.50,58.90,57.55,57.70,27400,57.70
2012-12-14,58.50,59.00,57.20,58.35,37700,58.35
2012-12-13,57.80,59.40,57.25,57.55,50200,57.55
2012-12-12,58.45,58.75,57.60,57.70,25500,57.70
2012-12-11,58.90,60.00,57.40,57.60,60900,57.60
2012-12-10,60.50,61.20,58.00,58.80,54300,58.80
2012-12-07,62.00,62.75,59.50,60.10,173500,60.10
2012-12-06,57.20,63.40,56.45,61.45,323500,61.45
2012-12-05,57.50,57.95,57.10,57.50,45600,57.50
2012-12-04,57.25,58.00,56.70,57.10,35500,57.10
2012-12-03,58.00,59.70,57.25,57.60,73600,57.60
2012-11-30,57.00,58.50,56.50,57.65,72400,57.65
2012-11-29,56.00,56.80,55.75,56.50,39600,56.50
2012-11-28,55.60,55.60,55.60,55.60,000,55.60
2012-11-27,55.80,57.00,55.30,55.60,70100,55.60
2012-11-26,57.30,58.45,54.80,55.80,46200,55.80
2012-11-23,59.80,60.40,56.75,57.65,65100,57.65
2012-11-22,58.90,60.00,57.50,57.70,13900,57.70
2012-11-21,58.75,59.00,53.65,58.40,38800,58.40
2012-11-20,60.90,68.00,57.55,57.95,90800,57.95
2012-11-19,58.40,59.35,57.00,58.45,23400,58.45
2012-11-16,60.10,60.80,55.80,57.15,55400,57.15
2012-11-15,60.70,60.95,60.00,60.30,16100,60.30
2012-11-14,61.15,61.15,61.15,61.15,000,61.15
2012-11-13,61.15,61.15,61.15,61.15,000,61.15
2012-11-12,60.70,62.00,60.55,61.05,22500,61.05
2012-11-09,62.60,63.90,60.80,61.15,46800,61.15
2012-11-08,61.80,63.45,61.15,62.95,43100,62.95
2012-11-07,60.80,62.40,60.50,61.70,73300,61.70
2012-11-06,61.70,62.80,60.30,61.00,38400,61.00
2012-11-05,61.00,61.80,60.40,60.70,48900,60.70
2012-11-02,61.05,62.30,60.05,60.50,55300,60.50
2012-11-01,61.40,61.70,60.50,61.00,18900,61.00
2012-10-31,61.50,62.75,60.35,61.35,112400,61.35
2012-10-30,61.30,61.95,59.55,59.95,37600,59.95
2012-10-29,60.95,64.75,60.05,61.10,255100,61.10
2012-10-26,59.85,59.85,59.85,59.85,000,59.85
2012-10-25,64.40,64.40,60.90,61.60,41700,61.60
2012-10-24,63.00,63.00,63.00,63.00,000,63.00
2012-10-23,64.00,65.40,62.70,63.00,46900,63.00
2012-10-22,64.00,67.65,62.55,63.55,91300,63.55
2012-10-19,63.10,64.30,63.05,63.75,27700,63.75
2012-10-18,64.30,65.45,62.55,63.40,48200,63.40
2012-10-17,65.00,65.70,62.60,63.20,36500,63.20
2012-10-16,66.45,66.80,63.80,64.15,48500,64.15
2012-10-15,67.75,67.75,65.60,65.85,52200,65.85
2012-10-12,67.00,68.40,65.80,66.20,49000,66.20
2012-10-11,66.85,69.75,66.50,67.45,158000,67.45
2012-10-10,66.80,70.20,65.85,66.90,274300,66.90
2012-10-09,66.20,67.00,65.20,65.85,51900,65.85
2012-10-08,66.55,68.00,64.50,65.00,63400,65.00
2012-10-05,70.00,70.90,66.00,67.15,79800,67.15
2012-10-04,69.70,71.80,69.20,69.85,316200,69.85
2012-10-03,66.00,69.95,66.00,68.70,411700,68.70
2012-10-02,65.05,65.05,65.05,65.05,000,65.05
2012-10-01,64.00,66.50,62.20,65.05,169900,65.05
2012-09-28,62.50,66.25,61.75,63.35,254500,63.35
2012-09-27,63.00,63.70,60.55,60.95,101200,60.95
2012-09-26,64.00,64.00,61.55,62.50,78600,62.50
2012-09-25,65.00,65.70,63.30,63.85,46900,63.85
2012-09-24,65.40,67.50,64.50,65.00,79200,65.00
2012-09-21,61.60,65.20,61.60,64.35,65700,64.35
2012-09-20,64.55,65.50,61.70,62.05,43200,62.05
2012-09-19,63.95,63.95,63.95,63.95,000,63.95
2012-09-18,65.70,65.95,63.60,63.95,33800,63.95
2012-09-17,65.60,67.40,62.60,64.90,104200,64.90
2012-09-14,66.80,66.80,64.05,64.45,44800,64.45
2012-09-13,67.50,67.50,64.55,65.10,61100,65.10
2012-09-12,65.90,69.25,65.20,67.80,146500,67.80
2012-09-11,67.20,68.00,65.00,65.35,71000,65.35
2012-09-10,66.20,69.55,64.30,67.10,399200,67.10
2012-09-07,62.00,67.40,60.20,64.40,672200,64.40
2012-09-06,59.00,61.50,58.10,60.60,107400,60.60
2012-09-05,60.00,61.95,58.10,58.95,90000,58.95
2012-09-04,58.30,61.70,57.70,59.60,210400,59.60
2012-09-03,55.00,58.80,52.10,57.35,278400,57.35
2012-08-31,56.25,56.35,54.00,54.30,31500,54.30
2012-08-30,58.55,58.55,55.40,56.15,41300,56.15
2012-08-29,60.50,61.45,57.10,58.10,155300,58.10
2012-08-28,58.45,61.85,56.10,58.50,177900,58.50
2012-08-27,61.45,61.45,58.40,58.75,25200,58.75
2012-08-24,58.40,61.70,57.00,60.50,152100,60.50
2012-08-23,64.00,66.00,58.25,58.90,409600,58.90
2012-08-22,53.00,62.30,52.90,62.30,263700,62.30
2012-08-21,51.00,53.40,49.20,51.95,114200,51.95
2012-08-20,49.65,49.65,49.65,49.65,000,49.65
2012-08-17,50.30,51.30,49.35,49.65,27800,49.65
2012-08-16,51.70,51.95,48.95,49.25,29600,49.25
2012-08-15,51.40,51.40,51.40,51.40,000,51.40
2012-08-14,50.75,51.75,50.60,51.40,10100,51.40
2012-08-13,51.05,51.90,49.20,50.95,12600,50.95
2012-08-10,53.00,54.00,50.75,51.30,23400,51.30
2012-08-09,52.25,53.40,51.00,51.25,14200,51.25
2012-08-08,53.25,54.30,52.00,52.35,13900,52.35
2012-08-07,53.00,54.80,53.00,53.80,13100,53.80
2012-08-06,52.55,54.00,52.45,53.25,21900,53.25
2012-08-03,52.60,53.85,52.00,52.50,17000,52.50
2012-08-02,52.00,53.80,52.00,53.10,9800,53.10
2012-08-01,51.90,52.90,51.80,52.30,16900,52.30
2012-07-31,52.50,52.50,50.90,51.15,11000,51.15
2012-07-30,51.90,52.50,51.00,51.40,16800,51.40
2012-07-27,51.70,53.00,50.20,50.50,19500,50.50
2012-07-26,53.60,54.45,51.10,51.50,19000,51.50
2012-07-25,54.00,54.95,53.50,53.75,16000,53.75
2012-07-24,54.20,55.75,53.50,54.30,20200,54.30
2012-07-23,55.75,55.75,54.15,54.35,18600,54.35
2012-07-20,58.45,58.45,55.20,55.80,31500,55.80
2012-07-19,59.00,59.50,57.25,57.80,26500,57.80
2012-07-18,59.35,59.75,57.60,58.75,27700,58.75
2012-07-17,59.70,60.30,58.00,58.30,19900,58.30
2012-07-16,61.05,62.00,59.55,59.90,24100,59.90
2012-07-13,62.50,64.30,61.20,61.50,54800,61.50
2012-07-12,60.50,63.50,60.50,61.65,137700,61.65
2012-07-11,62.50,63.50,60.75,61.25,22600,61.25
2012-07-10,60.05,64.00,60.00,63.05,48100,63.05
2012-07-09,62.75,62.80,60.00,60.55,14500,60.55
2012-07-06,64.35,64.50,61.50,62.20,31200,62.20
2012-07-05,64.50,66.00,63.35,63.65,72900,63.65
2012-07-04,61.50,64.00,61.00,63.65,101400,63.65
2012-07-03,59.95,62.00,59.50,60.85,84000,60.85
2012-07-02,59.40,60.00,58.40,59.05,33000,59.05
2012-06-29,58.50,59.80,58.20,58.95,49700,58.95
2012-06-28,59.00,59.60,57.00,57.95,10200,57.95
2012-06-27,60.50,60.80,58.20,58.90,9600,58.90
2012-06-26,58.15,60.50,58.15,59.75,11400,59.75
2012-06-25,60.50,60.90,57.50,58.20,14700,58.20
2012-06-22,59.00,59.70,58.00,58.85,14400,58.85
2012-06-21,57.20,59.80,57.05,59.50,22400,59.50
2012-06-20,57.55,58.40,56.20,58.20,13000,58.20
2012-06-19,56.95,58.90,56.15,57.80,18800,57.80
2012-06-18,60.00,60.95,55.30,56.95,26600,56.95
2012-06-15,60.40,60.80,57.90,59.00,20200,59.00
2012-06-14,61.50,64.25,59.25,60.00,66200,60.00
2012-06-13,56.95,62.00,56.95,60.55,106900,60.55
2012-06-12,57.10,58.00,56.20,56.55,23500,56.55
2012-06-11,57.00,60.85,57.00,57.95,55500,57.95
2012-06-08,56.00,58.45,55.10,56.85,55000,56.85
2012-06-07,56.30,57.00,55.25,55.65,16500,55.65
2012-06-06,54.80,56.50,54.20,55.00,32300,55.00
2012-06-05,53.20,55.70,53.15,53.50,6800,53.50
2012-06-04,53.80,53.95,52.35,53.65,5800,53.65
2012-06-01,55.00,56.80,54.00,54.20,14200,54.20
2012-05-31,55.50,56.30,54.80,55.75,4500,55.75
2012-05-30,57.80,58.00,55.40,56.30,11100,56.30
2012-05-29,58.80,61.00,58.00,58.35,62700,58.35
2012-05-28,55.95,58.50,55.25,57.00,18900,57.00
2012-05-25,56.50,57.80,55.15,56.00,4900,56.00
2012-05-24,56.65,56.65,55.00,55.95,7300,55.95
2012-05-23,56.10,58.00,54.65,54.80,26900,54.80
2012-05-22,55.55,60.00,55.55,57.20,100300,57.20
2012-05-21,55.15,57.90,54.35,55.85,19100,55.85
2012-05-18,55.20,57.30,54.10,55.15,22100,55.15
2012-05-17,56.80,60.00,54.85,55.95,74400,55.95
2012-05-16,56.05,56.50,53.05,54.40,17500,54.40
2012-05-15,57.80,57.80,55.00,57.15,13800,57.15
2012-05-14,59.10,60.00,57.00,57.30,13700,57.30
2012-05-11,59.60,60.60,58.00,59.30,30600,59.30
