Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,269.90,269.90,269.90,269.90,000,269.90
2012-12-24,272.00,273.40,267.60,269.90,776400,269.90
2012-12-21,282.70,289.00,268.10,270.10,1508300,270.10
2012-12-20,274.10,280.45,272.50,279.20,1708800,279.20
2012-12-19,274.20,276.90,269.50,274.40,1670700,274.40
2012-12-18,269.85,276.00,262.60,270.05,2438500,270.05
2012-12-17,262.00,269.80,260.20,268.60,1591300,268.60
2012-12-14,252.00,264.70,252.00,260.75,1904200,260.75
2012-12-13,264.00,268.95,249.00,252.45,1475600,252.45
2012-12-12,264.55,268.80,260.50,261.95,1653900,261.95
2012-12-11,269.90,274.60,257.30,265.65,1736800,265.65
2012-12-10,270.00,276.75,264.15,267.75,1556500,267.75
2012-12-07,270.00,284.50,266.60,269.10,3346000,269.10
2012-12-06,260.00,275.90,257.00,270.95,5046000,270.95
2012-12-05,254.00,259.80,253.05,257.35,2074000,257.35
2012-12-04,245.00,264.50,242.10,252.35,2928300,252.35
2012-12-03,252.15,258.75,244.75,246.20,1547100,246.20
2012-11-30,254.70,270.00,245.25,251.45,3299800,251.45
2012-11-29,233.05,259.80,229.40,253.35,4572000,253.35
2012-11-28,229.35,229.35,229.35,229.35,000,229.35
2012-11-27,225.05,232.00,225.05,229.35,1111500,229.35
2012-11-26,222.00,230.95,218.80,224.60,1471500,224.60
2012-11-23,223.60,223.80,218.10,218.65,640400,218.65
2012-11-22,218.75,223.70,218.50,222.30,466400,222.30
2012-11-21,218.35,220.35,214.50,217.75,565600,217.75
2012-11-20,222.55,224.00,214.30,215.65,781400,215.65
2012-11-19,224.00,226.85,218.65,220.60,588500,220.60
2012-11-16,231.15,234.40,222.85,227.20,1547400,227.20
2012-11-15,240.00,240.00,229.95,231.15,440000,231.15
2012-11-14,232.35,232.35,232.35,232.35,000,232.35
2012-11-13,232.35,232.35,232.35,232.35,000,232.35
2012-11-12,232.25,235.95,231.00,232.35,272400,232.35
2012-11-09,239.50,242.50,230.00,232.30,673000,232.30
2012-11-08,232.00,240.50,230.65,238.50,527400,238.50
2012-11-07,230.05,244.40,230.05,239.35,683800,239.35
2012-11-06,231.85,239.90,229.65,234.30,535300,234.30
2012-11-05,240.05,240.70,194.20,231.00,469000,231.00
2012-11-02,247.00,249.30,238.80,240.30,460800,240.30
2012-11-01,245.00,252.40,241.65,247.60,621900,247.60
2012-10-31,242.50,252.40,239.50,249.95,542600,241.95
