Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,86.55,86.55,86.55,86.55,000,86.55
2012-12-24,86.00,87.10,85.10,86.55,1468900,86.55
2012-12-21,87.70,88.00,85.55,86.20,2154700,86.20
2012-12-20,88.35,89.25,87.25,87.70,730400,87.70
2012-12-19,89.30,89.50,87.50,88.35,1036200,88.35
2012-12-18,88.95,89.80,87.80,88.80,1284000,88.80
2012-12-17,88.70,89.80,88.00,88.50,622500,88.50
2012-12-14,86.00,88.70,86.00,88.35,872500,88.35
2012-12-13,90.50,90.65,87.00,87.65,792500,87.65
2012-12-12,90.80,91.30,89.30,89.95,589600,89.95
2012-12-11,89.50,91.35,89.25,90.50,1432500,90.50
2012-12-10,91.35,91.35,88.75,89.25,990600,89.25
2012-12-07,83.80,92.40,83.80,91.00,1073500,91.00
2012-12-06,89.40,91.30,87.60,90.80,1191700,90.80
2012-12-05,88.65,90.10,87.90,88.50,783200,88.50
2012-12-04,90.00,90.90,88.10,88.50,1095400,88.50
2012-12-03,86.25,89.60,85.50,89.15,1733500,89.15
2012-11-30,85.05,86.20,84.45,85.80,1688900,85.80
2012-11-29,84.70,85.95,84.10,84.60,3403200,84.60
2012-11-28,85.00,85.00,85.00,85.00,000,85.00
2012-11-27,84.25,85.40,83.75,85.00,925800,85.00
2012-11-26,83.00,84.50,82.90,83.60,1746800,83.60
2012-11-23,83.60,84.50,82.20,82.90,562600,82.90
2012-11-22,84.40,85.15,82.80,83.55,1281200,83.55
2012-11-21,82.70,84.20,81.90,83.75,947400,83.75
2012-11-20,84.50,85.40,82.10,82.45,908700,82.45
2012-11-19,86.25,86.50,83.75,84.25,1195400,84.25
2012-11-16,86.50,88.50,85.30,86.15,1480700,86.15
2012-11-15,88.00,88.00,85.20,86.10,1159800,86.10
2012-11-14,88.20,88.20,88.20,88.20,000,88.20
2012-11-13,88.20,88.20,88.20,88.20,000,88.20
2012-11-12,88.85,90.50,87.80,88.20,1289800,88.20
2012-11-09,91.10,92.95,85.45,88.60,1621200,88.60
2012-11-08,91.40,92.90,89.00,91.50,1712600,91.50
2012-11-07,96.40,97.55,92.35,92.80,2486600,92.80
2012-11-06,98.70,98.85,95.95,96.65,1690700,96.65
2012-11-05,97.75,98.85,94.50,97.50,2435200,97.50
2012-11-02,96.70,98.90,96.70,97.80,896000,97.80
2012-11-01,95.30,97.10,95.25,96.30,645200,96.30
2012-10-31,94.70,96.05,93.60,95.60,761100,95.60
2012-10-30,99.00,99.85,94.00,94.55,1476500,94.55
2012-10-29,95.15,99.30,93.50,98.95,2619200,98.95
2012-10-26,98.15,98.15,98.15,98.15,000,98.15
2012-10-25,98.80,99.45,97.00,98.15,2698500,98.15
2012-10-24,98.00,98.00,98.00,98.00,000,98.00
2012-10-23,97.85,98.80,97.30,98.00,2425500,98.00
2012-10-22,99.00,99.00,96.50,97.30,1101200,97.30
2012-10-19,102.00,103.10,97.20,98.45,1907600,98.45
2012-10-18,97.95,102.45,97.55,101.80,3248600,101.80
2012-10-17,100.90,101.30,96.25,97.50,2006100,97.50
2012-10-16,102.70,103.50,98.85,99.30,2612800,99.30
2012-10-15,102.40,104.65,100.20,101.30,2967900,101.30
2012-10-12,95.95,103.15,95.20,101.10,5779500,101.10
2012-10-11,92.35,95.85,91.65,95.20,1472300,95.20
2012-10-10,91.85,94.60,90.45,92.90,2618200,92.90
2012-10-09,91.20,92.90,90.10,92.05,1992200,92.05
2012-10-08,93.50,93.95,90.30,90.75,1414200,90.75
2012-10-05,96.40,96.45,90.65,93.20,2256300,93.20
2012-10-04,96.60,98.15,94.55,95.15,1801100,95.15
2012-10-03,104.40,104.40,90.55,96.10,2398600,96.10
2012-10-02,97.45,97.45,97.45,97.45,000,97.45
2012-10-01,95.45,99.80,94.90,97.45,3235800,97.45
2012-09-28,97.35,97.95,94.20,94.90,1867000,94.90
2012-09-27,93.70,97.00,93.00,96.40,4648700,96.40
2012-09-26,85.75,93.40,85.40,92.55,2992900,92.55
2012-09-25,86.65,88.15,85.25,85.85,686900,85.85
2012-09-24,85.05,88.80,85.05,86.75,1490400,86.75
2012-09-21,84.40,86.55,84.15,86.10,1763800,86.10
2012-09-20,84.85,85.20,83.10,83.95,677400,83.95
2012-09-19,84.95,84.95,84.95,84.95,000,84.95
2012-09-18,85.25,86.65,83.15,84.95,1947800,84.95
2012-09-17,83.40,83.90,82.25,82.95,763400,82.95
2012-09-14,82.45,83.25,81.50,82.45,1388600,82.45
2012-09-13,83.00,83.50,80.75,81.30,956200,81.30
2012-09-12,84.35,84.70,82.15,82.70,896400,82.70
2012-09-11,83.20,84.25,82.10,83.75,468600,83.75
2012-09-10,84.00,84.90,83.00,83.75,465300,83.75
2012-09-07,82.00,84.90,81.95,83.95,748700,83.95
2012-09-06,80.00,81.65,77.55,81.00,2929400,81.00
2012-09-05,83.35,83.70,80.15,80.90,775600,80.90
2012-09-04,84.80,84.80,83.40,84.05,715600,84.05
2012-09-03,84.05,85.15,82.85,84.55,430200,84.55
2012-08-31,87.80,88.20,82.65,83.70,1318600,83.70
2012-08-30,84.30,88.00,83.80,87.80,1288700,87.80
2012-08-29,84.75,87.50,82.70,84.60,407800,84.60
2012-08-28,87.95,87.95,84.35,85.70,424100,85.70
2012-08-27,90.80,90.85,87.00,87.70,570500,87.70
2012-08-24,92.40,92.45,89.70,90.20,1464100,90.20
2012-08-23,90.00,92.80,89.00,91.55,2896200,91.55
2012-08-22,86.50,89.00,86.35,88.65,1745900,88.65
2012-08-21,85.45,87.50,85.20,87.00,1694100,87.00
2012-08-20,84.95,84.95,84.95,84.95,000,84.95
2012-08-17,86.80,86.80,84.05,84.95,1560500,84.95
2012-08-16,89.00,89.00,85.55,85.85,929100,85.85
2012-08-15,87.60,87.60,87.60,87.60,000,87.60
2012-08-14,84.50,88.00,84.50,87.60,885900,87.60
2012-08-13,86.15,86.50,82.90,85.20,2281400,85.20
2012-08-10,85.70,86.10,84.00,85.60,373400,85.60
2012-08-09,87.80,88.20,84.75,85.55,631500,85.55
2012-08-08,86.85,89.40,86.10,87.60,2282800,87.60
2012-08-07,84.90,86.80,84.55,85.85,878300,85.85
2012-08-06,87.50,87.50,84.50,84.85,1364700,84.85
2012-08-03,84.95,87.60,84.00,86.95,882800,84.95
2012-08-02,87.10,87.20,84.30,85.20,882800,83.24
2012-08-01,88.35,88.35,84.00,86.45,1276700,84.46
2012-07-31,81.00,84.70,80.35,83.50,868600,81.58
2012-07-30,82.00,82.00,79.00,80.95,411300,79.09
2012-07-27,79.80,82.40,78.25,78.85,1186100,77.04
2012-07-26,82.80,83.05,78.00,78.95,1166000,77.13
2012-07-25,81.20,83.20,80.50,81.80,1046500,79.92
2012-07-24,78.80,81.90,78.40,81.10,1115300,79.23
2012-07-23,78.85,79.95,78.05,78.75,484800,76.94
2012-07-20,80.65,81.50,78.80,79.30,779600,77.48
2012-07-19,81.65,82.90,80.40,80.80,479000,78.94
2012-07-18,80.85,82.50,79.90,82.00,656900,80.11
2012-07-17,81.05,81.80,80.50,81.35,731900,79.48
2012-07-16,82.05,82.30,80.00,80.90,615700,79.04
2012-07-13,82.60,83.30,81.40,81.75,414000,79.87
2012-07-12,82.05,83.35,80.70,82.35,569200,80.46
2012-07-11,84.60,84.90,82.00,82.45,803300,80.55
2012-07-10,83.00,85.20,82.75,84.70,920800,82.75
2012-07-09,86.60,86.60,82.30,82.70,1329100,80.80
2012-07-06,87.00,88.70,86.60,87.05,2058900,85.05
2012-07-05,86.00,88.80,85.65,86.35,1448100,84.36
2012-07-04,88.70,89.00,85.50,85.95,1107400,83.97
2012-07-03,91.95,91.95,87.75,88.40,1042800,86.37
2012-07-02,86.95,90.70,86.50,89.75,1219800,87.69
2012-06-29,84.75,87.90,84.55,86.95,1285500,84.95
2012-06-28,82.75,84.45,82.20,84.10,691500,82.17
2012-06-27,82.50,83.70,82.30,82.50,337200,80.60
2012-06-26,83.40,84.85,81.70,82.20,1161800,80.31
2012-06-25,83.20,85.30,82.45,83.30,1045400,81.38
2012-06-22,80.10,84.35,79.00,82.85,2162500,80.94
2012-06-21,85.50,85.50,82.20,83.20,1962800,81.29
2012-06-20,79.50,88.25,76.80,85.55,6764300,83.58
2012-06-19,79.55,81.90,77.05,80.85,1486400,78.99
2012-06-18,82.50,82.95,78.20,80.30,1418100,78.45
2012-06-15,77.15,81.90,76.90,81.35,1455900,79.48
2012-06-14,80.10,81.00,76.00,76.40,1064500,74.64
2012-06-13,75.95,80.20,75.80,79.80,1930600,77.96
2012-06-12,72.80,76.35,71.25,75.85,983500,74.11
2012-06-11,73.10,74.40,72.50,73.10,1435300,71.42
2012-06-08,75.45,75.45,70.55,72.70,3775600,71.03
2012-06-07,77.30,78.40,75.25,76.35,946900,74.59
2012-06-06,73.35,77.20,73.35,76.60,1455000,74.84
2012-06-05,74.15,75.00,72.55,73.10,667400,71.42
2012-06-04,74.40,74.40,71.70,73.85,601900,72.15
2012-06-01,75.50,78.10,74.20,74.85,751500,73.13
2012-05-31,75.00,76.40,74.30,75.20,843700,73.47
2012-05-30,74.15,76.50,73.20,75.35,491700,73.62
2012-05-29,77.55,77.85,74.70,75.10,543600,73.37
2012-05-28,76.35,77.60,75.55,76.85,746800,75.08
2012-05-25,74.30,77.20,73.60,76.45,871200,74.69
2012-05-24,75.45,75.45,71.30,73.75,970800,72.05
2012-05-23,71.45,74.75,71.10,74.35,1473000,72.64
2012-05-22,75.50,76.00,70.70,72.00,1458600,70.34
2012-05-21,76.10,76.75,74.40,74.80,1266800,73.08
2012-05-18,79.20,80.50,76.10,76.90,985800,75.13
2012-05-17,79.00,80.00,78.20,79.20,323700,77.38
2012-05-16,79.70,79.70,76.50,78.00,506300,76.21
2012-05-15,78.55,81.75,77.70,80.25,616100,78.40
2012-05-14,79.95,80.35,77.30,78.45,524900,76.65
2012-05-11,84.80,84.80,77.20,79.05,1957700,77.23
2012-05-10,84.90,86.05,83.10,84.30,929300,82.36
2012-05-09,84.00,85.15,82.05,84.05,1564600,82.12
2012-05-08,86.00,88.50,83.50,84.70,1735900,82.75
2012-05-07,83.80,85.75,80.80,85.40,513300,83.44
2012-05-04,84.50,86.75,83.20,84.45,1655500,82.51
2012-05-03,86.10,88.30,85.10,86.00,870500,84.02
2012-05-02,85.65,88.20,85.15,87.50,1244500,85.49
2012-05-01,84.60,84.60,84.60,84.60,000,82.65
2012-04-30,85.25,87.00,83.40,84.75,1198900,82.80
2012-04-27,82.00,88.10,82.00,84.45,1916600,82.51
2012-04-26,89.00,89.00,84.70,85.30,2774100,83.34
2012-04-25,94.00,94.00,86.15,87.20,2317600,85.19
2012-04-24,95.40,95.90,90.55,91.20,1152900,89.10
2012-04-23,95.10,96.80,93.45,94.05,1168800,91.89
2012-04-20,97.25,98.00,95.10,95.45,1171800,93.25
2012-04-19,101.10,102.45,98.80,99.15,1190400,96.87
2012-04-18,100.65,103.30,100.10,101.75,2384300,99.41
2012-04-17,98.00,100.45,96.05,99.90,1402900,97.60
2012-04-16,93.30,98.45,93.30,97.45,632700,95.21
2012-04-13,99.25,100.75,97.05,97.50,1886300,95.26
2012-04-12,97.35,99.40,97.15,98.35,1759200,96.09
2012-04-11,103.30,103.30,95.50,96.55,4576200,94.33
2012-04-10,109.00,109.60,103.50,104.85,2204500,102.44
2012-04-09,112.25,113.05,107.80,108.65,1691000,106.15
2012-04-06,113.90,113.90,113.90,113.90,000,111.28
2012-04-05,113.90,113.90,113.90,113.90,000,111.28
2012-04-04,108.50,114.30,107.25,113.90,2953200,111.28
2012-04-03,109.50,111.00,108.00,108.70,1976000,106.20
2012-04-02,112.25,112.30,108.35,109.30,1944000,106.79
2012-03-30,113.90,114.95,110.90,111.45,4919000,108.89
2012-03-29,112.70,117.00,110.15,112.00,4387000,109.42
2012-03-28,115.90,119.00,113.25,117.50,3262800,114.80
2012-03-27,108.60,119.35,108.00,116.90,4131300,114.21
2012-03-26,111.20,111.55,107.45,108.25,1162700,105.76
2012-03-23,113.00,113.60,108.80,111.35,1728200,108.79
2012-03-22,114.05,117.00,109.50,112.05,4223800,109.47
2012-03-21,105.15,114.90,104.80,113.75,3717800,111.13
2012-03-20,103.80,107.85,103.35,106.35,1159100,103.90
2012-03-19,103.00,109.70,102.70,103.50,1729400,101.12
2012-03-16,100.00,104.50,98.25,103.25,927600,100.88
2012-03-15,100.60,103.75,99.05,99.70,596300,97.41
2012-03-14,104.25,104.75,100.45,102.20,537300,99.85
2012-03-13,102.50,104.35,102.10,103.00,547600,100.63
2012-03-12,102.60,102.95,100.10,101.70,921700,99.36
2012-03-09,99.40,101.70,98.05,100.80,828300,98.48
2012-03-08,100.45,100.45,100.45,100.45,000,98.14
2012-03-07,93.50,98.20,93.50,97.35,659700,95.11
2012-03-06,99.25,100.50,94.75,95.95,821100,93.74
2012-03-05,100.40,100.50,97.00,97.45,821800,95.21
2012-03-02,100.50,102.75,99.05,100.35,1118300,98.04
2012-03-01,98.95,101.20,96.60,100.45,1175000,98.14
2012-02-29,98.00,101.80,96.45,100.85,1879200,98.53
2012-02-28,90.55,96.45,90.00,95.70,1279200,93.50
2012-02-27,94.45,94.90,88.00,89.55,1364300,87.49
2012-02-24,99.95,101.25,92.75,95.45,4581000,93.25
2012-02-23,100.30,104.25,97.55,99.30,2818800,97.02
2012-02-22,105.00,105.05,99.70,100.85,2005100,98.53
2012-02-21,103.85,107.70,103.15,104.15,3166700,101.75
2012-02-20,103.85,103.85,103.85,103.85,000,101.46
2012-02-17,105.60,108.85,102.80,103.85,2721900,101.46
2012-02-16,112.00,112.00,103.65,104.75,2002800,102.34
2012-02-15,96.00,111.40,96.00,108.85,5578400,106.35
2012-02-14,95.10,96.60,94.60,95.35,905300,93.16
2012-02-13,94.70,96.00,93.05,95.70,751600,93.50
2012-02-10,96.00,96.50,92.60,94.00,1243000,91.84
2012-02-09,94.20,96.45,92.95,96.00,1777100,93.79
2012-02-08,95.80,96.95,94.15,96.00,3391200,93.79
2012-02-07,95.50,96.95,93.30,94.95,5893700,92.77
2012-02-06,94.00,99.55,92.20,94.05,5814800,91.89
2012-02-03,89.00,94.95,86.85,93.85,2555900,91.69
2012-02-02,84.65,88.50,82.95,87.95,1096400,85.93
2012-02-01,81.80,84.75,80.75,84.20,1459200,82.26
2012-01-31,80.10,81.65,78.60,80.75,924600,78.89
2012-01-30,84.95,84.95,78.15,79.05,670800,77.23
2012-01-27,81.50,85.10,81.50,83.55,962300,81.63
2012-01-26,81.35,81.35,81.35,81.35,000,79.48
2012-01-25,78.45,82.50,78.25,81.35,1335700,79.48
2012-01-24,76.70,79.10,75.45,78.25,940500,76.45
2012-01-23,75.70,79.40,74.30,75.55,2314100,73.81
2012-01-20,75.50,77.75,74.05,75.75,2601700,74.01
2012-01-19,70.90,75.35,70.40,74.25,2100500,72.54
2012-01-18,72.65,73.25,69.35,69.95,933600,68.34
2012-01-17,69.90,73.45,69.90,72.20,1236000,70.54
2012-01-16,69.80,70.95,69.30,69.60,339500,68.00
2012-01-13,70.15,72.15,69.90,70.75,888800,69.12
2012-01-12,71.85,73.00,69.60,70.15,1056600,68.54
2012-01-11,71.45,71.50,69.70,70.85,400000,69.22
2012-01-10,69.80,71.80,69.80,71.45,256100,69.81
2012-01-09,69.60,70.90,67.50,69.50,327600,67.90
2012-01-06,68.20,69.70,67.50,69.10,221000,67.51
2012-01-05,69.45,69.80,68.20,69.00,184700,67.41
2012-01-04,69.50,70.25,68.00,68.45,254500,66.88
2012-01-03,67.50,70.25,67.10,69.50,546000,67.90
2012-01-02,66.10,67.10,65.25,66.50,196500,64.97
2011-12-30,67.15,68.85,65.50,65.95,669000,64.43
2011-12-29,69.70,71.05,65.50,67.00,1107500,65.46
2011-12-28,69.65,70.30,69.05,69.70,372700,68.10
2011-12-27,70.05,72.05,69.05,69.45,1213700,67.85
2011-12-26,70.40,70.80,69.25,70.05,131700,68.44
2011-12-23,70.60,71.95,68.20,69.00,220600,67.41
2011-12-22,68.35,71.10,67.50,70.60,427100,68.98
2011-12-21,69.00,69.00,66.40,68.35,346800,66.78
2011-12-20,68.50,69.25,65.40,65.95,1474900,64.43
2011-12-19,67.95,68.90,67.10,68.30,905000,66.73
2011-12-16,70.95,72.40,67.25,68.25,362800,66.68
2011-12-15,70.30,71.80,68.85,70.60,375900,68.98
2011-12-14,71.90,72.30,70.75,71.15,405900,69.51
2011-12-13,70.60,72.40,69.55,71.20,734600,69.56
2011-12-12,74.50,74.95,70.55,71.05,287900,69.42
2011-12-09,72.30,74.75,70.15,73.90,391800,72.20
2011-12-08,75.05,75.60,72.30,72.80,336500,71.13
2011-12-07,74.20,76.80,74.20,75.60,731100,73.86
2011-12-06,74.65,74.65,74.65,74.65,000,72.93
2011-12-05,74.25,75.65,74.00,74.65,351500,72.93
2011-12-02,72.70,75.90,72.35,75.55,755900,73.81
2011-12-01,73.90,75.25,71.90,73.30,429000,71.61
2011-11-30,79.90,79.90,69.30,72.35,1179200,70.69
2011-11-29,73.50,73.50,70.35,70.90,525200,69.27
2011-11-28,69.25,73.50,69.25,72.75,519100,71.08
2011-11-25,69.15,71.10,68.85,69.10,398600,67.51
2011-11-24,69.00,71.40,67.65,70.30,1308200,68.68
2011-11-23,68.60,69.60,67.10,68.75,753700,67.17
2011-11-22,68.80,70.80,67.60,69.80,407200,68.19
2011-11-21,67.75,69.25,67.50,68.40,609700,66.83
2011-11-18,66.00,70.50,65.65,69.50,615800,67.90
2011-11-17,68.20,70.55,67.00,67.65,414600,66.09
2011-11-16,70.75,71.00,69.00,69.60,1082100,68.00
2011-11-15,75.25,76.70,70.00,70.60,990800,68.98
2011-11-14,79.00,79.80,75.00,75.35,1338500,73.62
2011-11-11,77.50,78.30,75.60,77.20,579000,75.42
2011-11-09,80.80,80.80,77.15,77.80,474600,76.01
2011-11-08,81.00,81.75,79.65,80.00,595300,78.16
2011-11-04,81.00,81.90,79.60,80.20,1085600,78.36
2011-11-03,78.85,80.80,78.80,80.15,1111600,78.31
2011-11-02,78.10,79.85,77.30,78.90,568400,77.09
2011-11-01,80.50,81.60,78.15,78.80,707700,76.99
2011-10-31,82.50,83.95,80.00,80.50,1289000,78.65
2011-10-28,84.75,84.75,80.00,82.40,2034100,80.50
2011-10-26,78.80,81.00,77.75,79.45,317900,77.62
2011-10-25,73.90,79.50,73.50,77.85,1424000,76.06
2011-10-24,74.25,75.30,72.60,73.85,402600,72.15
2011-10-21,74.60,75.40,73.15,73.50,378200,71.81
2011-10-20,75.60,75.80,73.80,74.50,463300,72.79
2011-10-19,73.10,76.60,73.10,76.10,508100,74.35
2011-10-18,75.10,75.45,72.80,73.60,555100,71.91
2011-10-17,76.20,76.90,75.15,75.95,414900,74.20
2011-10-14,75.85,76.60,74.70,76.10,487100,74.35
2011-10-13,73.25,78.20,73.25,76.35,2039700,74.59
2011-10-12,74.70,77.50,73.10,77.05,1960500,75.28
2011-10-11,73.05,74.40,72.45,73.80,1031600,72.10
2011-10-10,72.05,72.65,70.50,72.40,528700,70.73
2011-10-07,72.65,73.00,69.70,71.45,748700,69.81
2011-10-05,69.90,71.80,69.40,70.25,668700,68.63
2011-10-04,70.00,72.00,68.10,69.15,728100,67.56
2011-10-03,72.05,72.05,69.50,69.95,494600,68.34
2011-09-30,72.90,75.25,71.05,72.55,1064100,70.88
2011-09-29,68.60,73.70,68.50,72.90,2071900,71.22
2011-09-28,71.90,71.90,68.90,69.30,947100,67.71
2011-09-27,74.00,75.20,70.35,71.05,1000400,69.42
2011-09-26,72.00,72.15,69.00,69.35,808600,67.75
2011-09-23,69.05,73.40,68.20,71.40,2037800,69.76
2011-09-22,74.90,77.30,70.00,70.30,3090900,68.68
2011-09-21,72.55,76.95,71.50,76.35,1814000,74.59
2011-09-20,71.65,73.50,71.60,72.20,794100,70.54
2011-09-19,68.10,72.35,68.10,71.35,1051800,69.71
2011-09-16,73.45,73.65,68.55,69.00,1854500,67.41
2011-09-15,72.80,73.90,71.60,73.30,660500,71.61
2011-09-14,72.95,74.90,71.35,72.80,1990300,71.13
2011-09-13,69.20,74.15,68.85,71.10,1858900,69.46
2011-09-12,69.10,69.75,66.25,68.40,1480300,66.83
2011-09-09,73.50,74.25,69.15,69.75,1819200,68.15
2011-09-08,73.90,74.35,73.00,73.55,2464000,71.86
2011-09-07,70.85,73.35,70.00,72.35,2011900,70.69
2011-09-06,67.05,70.85,65.55,69.80,2308200,68.19
2011-09-05,66.70,67.45,66.10,66.55,323100,65.02
2011-09-02,68.35,69.00,65.70,66.85,1267900,65.31
2011-08-30,65.35,67.20,64.80,67.10,459100,65.56
2011-08-29,63.55,65.85,63.55,64.95,922700,63.46
2011-08-26,64.40,66.00,62.05,62.95,500100,61.50
2011-08-25,69.55,69.55,63.15,64.70,1559400,63.21
2011-08-24,70.00,70.45,68.00,68.45,289500,66.88
2011-08-23,70.55,70.90,68.75,69.90,626000,68.29
2011-08-22,68.05,70.65,66.00,70.00,919900,68.39
2011-08-19,66.05,68.30,63.00,67.70,502300,66.14
2011-08-18,68.10,69.90,65.30,67.25,781200,65.70
2011-08-17,70.70,70.70,67.25,68.10,437900,66.53
2011-08-16,71.95,73.00,67.05,67.50,1076500,65.95
2011-08-12,70.55,72.80,69.15,72.00,1190800,68.88
2011-08-11,67.75,70.60,66.60,69.80,536900,66.77
2011-08-10,66.05,68.50,66.05,68.00,1406100,65.05
2011-08-09,62.90,67.35,62.05,65.65,488100,62.80
2011-08-08,63.05,66.30,62.10,65.10,513700,62.28
2011-08-05,65.40,65.70,62.55,65.15,1267000,62.33
2011-08-04,68.95,74.05,67.45,67.95,869100,65.00
2011-08-03,67.15,68.70,65.25,67.90,1133900,64.96
