Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,81.85,81.85,81.85,81.85,000,81.85
2012-12-24,83.10,84.90,81.50,81.85,186200,81.85
2012-12-21,86.00,88.30,80.75,81.50,595600,81.50
2012-12-20,89.50,89.50,86.00,86.30,159000,86.30
2012-12-19,89.20,90.70,87.00,88.90,495300,88.90
2012-12-18,85.00,93.30,85.00,88.55,3294900,88.55
2012-12-17,83.30,85.80,83.30,84.85,196800,84.85
2012-12-14,82.60,84.80,82.50,84.05,1177800,84.05
2012-12-13,85.60,86.60,81.75,82.25,353500,82.25
2012-12-12,84.40,88.00,84.40,85.50,381700,85.50
2012-12-11,88.00,88.00,82.15,83.90,405400,83.90
2012-12-10,87.00,88.05,85.85,87.75,178100,87.75
2012-12-07,87.00,87.80,85.70,86.80,336600,86.80
2012-12-06,84.95,86.95,82.50,86.20,453200,86.20
2012-12-05,81.10,86.35,80.65,84.20,864000,84.20
2012-12-04,80.20,82.00,77.40,81.05,563200,81.05
2012-12-03,79.50,84.35,77.35,80.10,1563200,80.10
2012-11-30,80.00,81.30,76.25,78.00,565500,78.00
2012-11-29,75.50,78.70,75.45,77.55,407600,77.55
2012-11-28,76.25,76.25,76.25,76.25,000,76.25
2012-11-27,74.05,77.60,73.40,76.25,532600,76.25
2012-11-26,69.90,76.00,69.25,73.85,677300,73.85
2012-11-23,69.05,71.75,68.30,69.95,293300,69.95
2012-11-22,69.85,69.85,68.40,68.70,75600,68.70
2012-11-21,68.55,70.00,67.10,69.20,271000,69.20
2012-11-20,70.75,71.35,67.50,67.95,215000,67.95
2012-11-19,72.15,72.80,69.45,69.75,228600,69.75
2012-11-16,71.50,80.00,70.50,71.70,1656400,71.70
2012-11-15,68.90,72.20,68.70,71.70,558900,71.70
2012-11-14,68.65,68.65,68.65,68.65,000,68.65
2012-11-13,68.65,68.65,68.65,68.65,000,68.65
2012-11-12,67.85,69.00,67.20,68.65,138100,68.65
2012-11-09,70.10,71.00,66.65,67.15,396100,67.15
2012-11-08,70.10,70.40,68.80,69.85,200500,69.85
2012-11-07,70.20,72.00,70.10,70.60,142900,70.60
2012-11-06,69.80,71.90,69.50,71.20,264600,71.20
2012-11-05,68.05,73.00,68.05,70.55,532900,70.55
2012-11-02,70.00,70.00,67.25,68.45,229900,68.45
2012-11-01,69.75,70.10,67.50,67.85,203500,67.85
2012-10-31,69.70,71.90,68.00,68.80,273000,68.80
2012-10-30,74.00,74.00,69.00,69.60,391000,69.60
2012-10-29,70.80,80.70,69.90,74.35,2177800,74.35
2012-10-26,67.95,67.95,67.95,67.95,000,67.95
2012-10-25,67.85,68.60,66.90,67.95,266600,67.95
2012-10-24,67.65,67.65,67.65,67.65,000,67.65
2012-10-23,69.25,69.65,67.50,67.65,104800,67.65
2012-10-22,67.50,69.30,66.50,68.65,317900,68.65
2012-10-19,67.00,68.00,66.70,67.05,219300,67.05
2012-10-18,67.40,68.25,66.25,67.45,167800,67.45
2012-10-17,66.90,68.20,64.60,66.85,1839000,66.85
2012-10-16,68.95,71.60,65.05,65.70,2023600,65.70
2012-10-15,71.00,72.10,68.45,68.75,358900,68.75
2012-10-12,71.50,73.00,69.25,70.75,667400,70.75
2012-10-11,67.35,72.40,65.10,71.25,2884600,71.25
2012-10-10,63.50,69.85,63.00,66.55,2497300,66.55
2012-10-09,62.80,64.75,62.65,63.95,446300,63.95
2012-10-08,65.55,67.65,60.70,61.75,523700,61.75
2012-10-05,68.00,69.40,65.60,66.20,736700,66.20
2012-10-04,68.70,72.70,66.80,67.40,2762900,67.40
2012-10-03,61.75,68.45,60.50,66.75,1354500,66.75
2012-10-02,61.20,61.20,61.20,61.20,000,61.20
2012-10-01,57.20,62.30,57.20,61.20,389600,61.20
2012-09-28,58.90,59.15,57.20,57.70,145100,57.70
2012-09-27,57.80,59.50,57.10,57.90,1067400,57.90
2012-09-26,57.50,59.50,57.00,57.75,380400,57.75
2012-09-25,59.40,60.15,56.55,57.85,366700,57.85
2012-09-24,62.50,62.55,59.15,59.45,206000,59.45
2012-09-21,59.75,62.40,59.25,61.75,667100,61.75
2012-09-20,59.40,60.20,58.95,59.50,184100,59.50
2012-09-19,60.45,60.45,60.45,60.45,000,60.45
2012-09-18,58.90,61.40,58.00,60.45,677300,60.45
2012-09-17,58.00,59.50,57.00,57.50,1249000,57.50
2012-09-14,60.00,60.95,57.55,58.00,297800,58.00
2012-09-13,57.75,59.80,57.35,59.35,1035500,59.35
2012-09-12,56.60,58.20,56.60,57.30,201600,57.30
2012-09-11,54.75,56.80,54.55,56.50,200000,56.50
2012-09-10,55.70,55.70,54.30,54.85,89900,54.85
2012-09-07,54.60,55.95,54.40,55.30,150000,55.30
2012-09-06,53.00,54.45,53.00,54.10,75900,54.10
2012-09-05,53.50,54.50,52.50,53.25,132700,53.25
2012-09-04,53.90,53.90,52.55,53.55,53500,53.55
2012-09-03,54.35,54.75,52.65,52.90,83800,52.90
2012-08-31,54.15,55.55,52.80,53.25,138800,53.25
2012-08-30,54.90,55.80,52.10,54.75,1132400,54.75
2012-08-29,53.90,55.70,52.30,54.95,331600,54.95
2012-08-28,54.50,55.10,53.20,53.35,253500,53.35
2012-08-27,55.05,56.00,54.55,55.05,53600,55.05
2012-08-24,54.40,56.45,54.40,55.45,159500,55.45
2012-08-23,56.25,57.25,55.40,55.90,130900,55.90
2012-08-22,57.80,58.10,56.20,56.90,137300,56.90
2012-08-21,58.70,59.80,57.25,57.45,323400,57.45
2012-08-20,58.25,58.25,58.25,58.25,000,58.25
2012-08-17,57.50,58.65,56.25,58.25,398300,58.25
2012-08-16,56.55,56.90,55.10,56.45,77300,56.45
2012-08-15,56.25,56.25,56.25,56.25,000,56.25
2012-08-14,55.65,56.50,54.65,56.25,108600,56.25
2012-08-13,55.70,56.45,54.60,56.10,197400,56.10
2012-08-10,56.65,57.50,55.15,55.75,931800,55.75
2012-08-09,54.40,57.50,54.40,56.60,317800,56.60
2012-08-08,53.90,56.00,53.40,54.95,285400,54.95
2012-08-07,53.45,54.45,52.35,53.65,101700,53.65
2012-08-06,54.45,54.45,53.00,53.25,107900,53.25
2012-08-03,51.70,54.35,51.25,53.70,154000,53.70
2012-08-02,51.65,54.00,51.65,52.80,77100,52.80
2012-08-01,51.70,53.00,50.20,52.55,229400,52.55
2012-07-31,50.00,52.10,50.00,51.60,214200,51.60
