Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,188.75,188.75,188.75,188.75,000,188.75
2012-12-24,190.00,190.80,187.00,188.75,42500,188.75
2012-12-21,190.30,190.90,185.95,190.00,202000,190.00
2012-12-20,190.90,191.75,188.40,189.90,228900,189.90
2012-12-19,193.00,194.60,189.60,190.85,510800,190.85
2012-12-18,192.15,193.45,189.10,192.20,322300,192.20
2012-12-17,194.95,194.95,191.00,191.40,179900,191.40
2012-12-14,190.15,193.70,190.10,192.85,367800,192.85
2012-12-13,197.85,198.00,191.50,193.20,152100,193.20
2012-12-12,196.00,200.80,192.00,194.25,291400,194.25
2012-12-11,199.00,205.00,193.30,195.60,439500,195.60
2012-12-10,193.25,199.00,192.25,198.55,513100,198.55
2012-12-07,191.50,197.80,190.25,193.30,406300,193.30
2012-12-06,192.00,192.00,186.85,189.70,345900,189.70
2012-12-05,187.20,190.05,184.80,189.30,313100,189.30
2012-12-04,182.30,188.00,180.50,186.65,218400,186.65
2012-12-03,184.50,189.85,183.25,185.10,252200,185.10
2012-11-30,181.05,185.50,179.00,183.50,230400,183.50
2012-11-29,185.75,185.75,178.50,180.15,247900,180.15
2012-11-28,182.20,182.20,182.20,182.20,000,182.20
2012-11-27,185.05,185.90,181.00,182.20,125300,182.20
2012-11-26,178.00,185.50,170.00,184.45,282400,184.45
2012-11-23,177.10,178.45,175.95,177.60,80400,177.60
2012-11-22,175.20,177.70,173.65,177.10,92200,177.10
2012-11-21,169.00,176.30,169.00,175.05,148900,175.05
2012-11-20,169.00,171.30,168.50,170.35,162000,170.35
2012-11-19,174.65,175.05,167.50,169.35,115200,169.35
2012-11-16,174.10,176.00,172.45,174.30,107500,174.30
2012-11-15,171.00,176.80,171.00,173.95,241600,173.95
2012-11-14,175.45,175.45,175.45,175.45,000,175.45
2012-11-13,175.45,175.45,175.45,175.45,000,175.45
2012-11-12,171.15,176.20,171.15,175.45,183300,175.45
2012-11-09,174.95,177.15,171.55,174.55,485400,174.55
2012-11-08,171.75,176.50,169.90,175.15,555200,175.15
2012-11-07,164.70,174.20,164.70,172.45,606500,172.45
2012-11-06,165.30,168.85,164.30,165.55,408100,165.55
2012-11-05,169.60,169.85,166.00,166.10,156000,166.10
2012-11-02,171.85,172.40,167.15,168.50,439100,168.50
2012-11-01,168.35,172.00,168.00,169.15,195800,169.15
2012-10-31,168.00,169.90,164.00,168.00,897200,168.00
2012-10-30,177.80,177.80,167.00,168.05,808800,168.05
2012-10-29,180.00,180.60,176.50,177.30,398500,177.30
2012-10-26,183.70,183.70,183.70,183.70,000,183.70
2012-10-25,180.75,184.95,179.50,183.70,118500,183.70
2012-10-24,180.70,180.70,180.70,180.70,000,180.70
2012-10-23,182.20,184.50,179.15,180.70,306000,180.70
2012-10-22,183.00,189.00,178.00,183.90,212400,183.90
2012-10-19,186.45,186.45,183.25,184.60,462300,184.60
2012-10-18,186.20,186.30,181.90,182.90,650300,182.90
2012-10-17,187.30,188.95,182.55,185.90,79900,185.90
2012-10-16,189.30,192.00,183.15,186.20,86300,186.20
2012-10-15,189.35,191.00,187.00,188.25,124000,188.25
2012-10-12,187.90,192.40,187.50,190.30,182500,190.30
2012-10-11,184.25,190.45,181.55,187.50,298100,187.50
2012-10-10,185.90,190.00,183.40,185.05,77800,185.05
2012-10-09,187.55,190.05,183.85,187.35,240400,187.35
2012-10-08,190.45,191.90,185.05,186.45,134800,186.45
2012-10-05,195.05,196.85,189.45,191.70,221500,191.70
2012-10-04,192.60,195.25,189.00,194.55,245000,194.55
2012-10-03,192.65,194.00,190.30,192.35,283800,192.35
2012-10-02,193.65,193.65,193.65,193.65,000,193.65
2012-10-01,190.00,194.90,190.00,193.65,62400,193.65
2012-09-28,187.55,194.90,187.50,193.35,236700,193.35
2012-09-27,188.50,191.05,184.25,186.60,283600,186.60
2012-09-26,192.60,192.65,186.75,188.60,110900,188.60
2012-09-25,195.00,199.00,191.10,193.35,532200,193.35
2012-09-24,190.45,194.95,186.30,193.80,667300,193.80
2012-09-21,181.50,193.50,181.50,190.65,894300,190.65
2012-09-20,185.00,192.75,181.30,186.45,500800,186.45
2012-09-19,186.75,186.75,186.75,186.75,000,186.75
2012-09-18,180.95,188.60,176.00,186.75,902900,186.75
2012-09-17,169.00,185.00,169.00,179.00,563600,179.00
2012-09-14,166.00,170.50,163.00,168.80,313000,168.80
2012-09-13,165.50,165.50,160.70,162.35,95200,162.35
2012-09-12,163.60,167.00,162.30,165.50,71600,165.50
