Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,23.85,23.85,23.85,23.85,000,23.85
2012-12-24,23.05,24.10,23.05,23.85,10800,23.85
2012-12-21,23.50,24.30,23.45,23.50,35500,23.50
2012-12-20,25.00,25.00,24.10,24.30,28000,24.30
2012-12-19,23.20,25.15,23.20,24.75,199000,24.75
2012-12-18,22.90,23.80,22.70,23.65,15800,23.65
2012-12-17,22.60,23.30,22.60,23.10,8200,23.10
2012-12-14,23.40,23.95,22.90,23.00,55400,23.00
2012-12-13,23.95,24.60,23.40,23.55,26200,23.55
2012-12-12,24.80,24.80,24.00,24.10,14800,24.10
2012-12-11,25.00,25.15,24.25,24.55,27800,24.55
2012-12-10,24.40,25.15,24.40,25.05,17600,25.05
2012-12-07,24.95,24.95,24.35,24.60,47200,24.60
2012-12-06,25.00,25.00,24.45,24.50,39800,24.50
2012-12-05,25.00,25.15,24.80,24.80,20000,24.80
2012-12-04,25.00,25.50,24.75,24.85,27800,24.85
2012-12-03,24.75,25.40,24.75,25.20,24600,25.20
2012-11-30,24.25,25.60,24.25,25.05,79900,25.05
2012-11-29,24.25,25.05,24.25,24.60,56700,24.60
2012-11-28,24.40,24.40,24.40,24.40,000,24.40
2012-11-27,24.50,25.00,24.20,24.40,21300,24.40
2012-11-26,24.75,25.15,24.20,24.60,25300,24.60
2012-11-23,24.00,25.30,24.00,24.90,19600,24.90
2012-11-22,25.00,25.00,24.25,24.35,31500,24.35
2012-11-21,24.85,25.30,24.30,24.65,46200,24.65
2012-11-20,25.35,26.30,24.80,25.10,35800,25.10
2012-11-19,27.20,27.70,25.55,25.80,52500,25.80
2012-11-16,26.05,26.70,25.70,25.70,45300,25.70
2012-11-15,26.45,27.00,26.15,26.35,37100,26.35
2012-11-14,27.05,27.05,27.05,27.05,000,27.05
2012-11-13,27.05,27.05,27.05,27.05,000,27.05
2012-11-12,26.00,27.50,26.00,27.05,38900,27.05
2012-11-09,26.30,27.60,26.30,26.55,56600,26.55
2012-11-08,26.50,28.00,26.10,27.25,160800,27.25
2012-11-07,27.05,27.50,26.50,26.70,60100,26.70
2012-11-06,27.70,28.20,27.15,27.30,121000,27.30
2012-11-05,26.50,27.60,25.30,27.00,200000,27.00
2012-11-02,26.70,27.00,26.55,26.65,76200,26.65
2012-11-01,24.65,27.70,24.50,26.55,252500,26.55
2012-10-31,23.75,25.50,23.30,24.85,113700,24.85
2012-10-30,23.95,24.50,23.80,23.95,161700,23.95
2012-10-29,24.70,25.40,24.10,24.20,170100,24.20
2012-10-26,25.35,25.35,25.35,25.35,000,25.35
2012-10-25,26.45,26.45,25.20,25.35,141800,25.35
2012-10-24,26.20,26.20,26.20,26.20,000,26.20
2012-10-23,26.40,26.75,25.90,26.20,122000,26.20
2012-10-22,26.00,26.80,25.20,26.25,228300,26.25
2012-10-19,25.10,26.85,25.10,25.70,323500,25.70
2012-10-18,28.00,28.00,25.65,25.90,841600,25.90
2012-10-17,22.60,26.50,22.60,26.50,1689800,26.50
2012-10-16,21.35,22.80,21.35,22.10,35100,22.10
2012-10-15,21.45,22.25,21.20,21.35,30500,21.35
2012-10-12,21.80,22.00,21.30,21.45,50100,21.45
2012-10-11,21.85,22.00,20.90,21.65,62200,21.65
2012-10-10,22.00,22.50,21.75,21.85,38500,21.85
2012-10-09,22.55,22.75,22.25,22.35,14700,22.35
2012-10-08,23.00,23.50,22.35,22.35,29900,22.35
2012-10-05,23.15,23.25,22.25,22.40,36100,22.40
2012-10-04,22.50,23.70,22.50,23.25,40500,23.25
2012-10-03,22.25,23.00,22.20,22.50,86600,22.50
2012-10-02,22.50,22.50,22.50,22.50,000,22.50
2012-10-01,22.80,23.00,22.10,22.50,34500,22.50
2012-09-28,22.80,23.25,22.80,22.80,28900,22.80
2012-09-27,23.35,23.70,22.50,22.95,16700,22.95
2012-09-26,22.80,23.90,22.40,23.15,86800,23.15
2012-09-25,23.00,23.40,22.25,22.95,75600,22.95
2012-09-24,20.60,23.40,20.60,22.50,93200,22.50
2012-09-21,20.10,20.60,20.10,20.35,32900,20.35
2012-09-20,20.50,20.50,19.95,20.10,36000,20.10
2012-09-19,20.60,20.60,20.60,20.60,000,20.60
2012-09-18,20.15,21.45,20.15,20.60,85200,20.60
2012-09-17,20.15,20.75,19.80,19.95,59000,19.95
2012-09-14,20.05,20.70,20.05,20.40,14300,20.40
