Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,37.45,37.45,37.45,37.45,000,37.45
2012-12-24,37.40,39.00,37.10,37.45,20400,37.45
2012-12-21,38.00,38.45,37.50,37.65,15000,37.65
2012-12-20,38.50,39.30,38.10,38.15,8800,38.15
2012-12-19,39.25,39.65,38.30,38.60,25400,38.60
2012-12-18,38.50,39.20,37.70,39.05,16400,39.05
2012-12-17,38.50,39.00,37.60,38.75,15800,38.75
2012-12-14,39.00,39.00,38.10,38.35,18100,38.35
2012-12-13,38.50,39.80,38.50,38.95,19100,38.95
2012-12-12,38.50,39.85,37.90,39.15,19500,39.15
2012-12-11,40.00,40.00,38.50,38.85,57700,38.85
2012-12-10,40.80,40.80,39.60,39.85,43500,39.85
2012-12-07,38.80,41.35,38.20,40.25,217700,40.25
2012-12-06,38.60,39.20,38.60,38.75,25800,38.75
2012-12-05,37.80,39.50,37.60,39.10,76400,39.10
2012-12-04,37.40,38.00,37.40,37.80,20400,37.80
2012-12-03,38.40,38.40,37.10,37.15,43700,37.15
2012-11-30,37.50,38.00,37.50,37.80,20900,37.80
2012-11-29,37.30,38.15,37.00,37.35,54800,37.35
2012-11-28,37.40,37.40,37.40,37.40,000,37.40
2012-11-27,38.00,38.40,37.30,37.40,17700,37.40
2012-11-26,37.15,38.20,37.05,38.00,28600,38.00
2012-11-23,38.15,38.35,36.65,37.10,37100,37.10
2012-11-22,38.05,38.90,37.70,38.00,15700,38.00
2012-11-21,39.15,39.15,37.70,38.05,32100,38.05
2012-11-20,39.85,40.20,38.05,38.50,39600,38.50
2012-11-19,40.85,41.20,39.10,39.30,73700,39.30
2012-11-16,40.10,42.35,39.80,40.55,236400,40.55
2012-11-15,38.00,40.75,37.10,40.10,159600,40.10
2012-11-14,38.05,38.05,38.05,38.05,000,38.05
2012-11-13,38.05,38.05,38.05,38.05,000,38.05
2012-11-12,38.00,38.35,36.50,38.05,55100,38.05
2012-11-09,38.00,38.35,36.70,37.45,52600,37.45
2012-11-08,36.70,37.45,36.00,37.25,44400,37.25
2012-11-07,36.50,37.50,36.20,36.55,133100,36.55
2012-11-06,35.50,36.75,35.50,36.30,57800,36.30
2012-11-05,35.45,35.70,35.00,35.40,15300,35.40
2012-11-02,34.60,35.70,34.60,34.75,24600,34.75
2012-11-01,35.55,35.55,34.65,35.05,15900,35.05
2012-10-31,34.85,35.20,34.40,34.90,4500,34.90
2012-10-30,34.75,35.10,34.55,34.65,17300,34.65
2012-10-29,35.50,35.50,34.75,34.75,14300,34.75
2012-10-26,35.00,35.00,35.00,35.00,000,35.00
2012-10-25,35.35,35.80,34.90,35.00,47600,35.00
2012-10-24,35.20,35.20,35.20,35.20,000,35.20
2012-10-23,35.00,35.35,34.85,35.20,9700,35.20
2012-10-22,35.65,35.65,35.10,35.15,11300,35.15
2012-10-19,35.45,35.60,35.15,35.45,23100,35.45
2012-10-18,35.40,35.60,35.05,35.20,9800,35.20
2012-10-17,35.30,35.50,34.90,35.10,29800,35.10
2012-10-16,36.05,36.25,35.40,35.40,12000,35.40
2012-10-15,35.75,35.85,35.45,35.65,14300,35.65
2012-10-12,35.45,35.75,35.05,35.25,18100,35.25
2012-10-11,34.85,35.60,34.60,35.20,31300,35.20
2012-10-10,36.00,36.50,34.90,35.05,32500,35.05
2012-10-09,35.30,36.50,35.30,35.95,25500,35.95
2012-10-08,35.30,36.00,35.30,35.75,12000,35.75
2012-10-05,35.95,36.30,35.10,35.55,22400,35.55
2012-10-04,36.80,36.80,35.65,35.95,37900,35.95
2012-10-03,35.00,37.30,35.00,36.25,161000,36.25
2012-10-02,34.75,34.75,34.75,34.75,000,34.75
2012-10-01,34.10,35.20,34.10,34.75,40100,34.75
2012-09-28,34.35,34.45,34.10,34.15,12200,34.15
2012-09-27,33.75,34.60,33.70,34.10,30400,34.10
2012-09-26,33.60,34.45,33.60,34.05,107300,34.05
2012-09-25,34.25,34.25,33.75,33.80,26800,33.80
2012-09-24,34.50,34.50,33.75,33.90,70100,33.90
2012-09-21,34.40,34.40,33.90,34.05,12700,34.05
2012-09-20,33.50,34.20,33.50,33.90,3500,33.90
2012-09-19,33.95,33.95,33.95,33.95,000,33.95
2012-09-18,34.00,34.40,33.90,33.95,24100,33.95
2012-09-17,33.75,34.50,33.50,33.95,31200,33.95
2012-09-14,34.30,34.30,33.65,33.75,20800,33.75
