Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,47.40,47.40,47.40,47.40,000,47.40
2012-12-24,46.80,48.75,46.80,47.40,22300,47.40
2012-12-21,47.05,48.50,46.80,47.05,47500,47.05
2012-12-20,47.40,48.40,46.65,46.95,18400,46.95
2012-12-19,46.85,48.00,46.80,47.10,26500,47.10
2012-12-18,47.50,48.30,46.25,46.70,49400,46.70
2012-12-17,48.00,48.25,47.10,47.35,27700,47.35
2012-12-14,49.10,49.10,47.85,48.10,22500,48.10
2012-12-13,48.15,50.75,48.10,48.70,173500,48.70
2012-12-12,47.85,48.75,47.50,47.95,33400,47.95
2012-12-11,48.55,49.50,47.15,47.50,56300,47.50
2012-12-10,50.75,51.30,47.85,48.10,81200,48.10
2012-12-07,50.95,51.40,50.10,50.30,28200,50.30
2012-12-06,51.00,51.80,50.10,50.65,33000,50.65
2012-12-05,52.00,52.50,50.60,51.05,74500,51.05
2012-12-04,50.75,52.35,50.55,51.40,119100,51.40
2012-12-03,49.00,51.90,48.60,50.55,112500,50.55
2012-11-30,48.00,50.40,47.60,48.75,61600,48.75
2012-11-29,48.80,48.85,46.50,47.70,44800,47.70
2012-11-28,48.00,48.00,48.00,48.00,000,48.00
2012-11-27,47.20,48.90,47.20,48.00,37100,48.00
2012-11-26,47.95,47.95,46.80,46.95,30400,46.95
2012-11-23,47.20,47.80,47.00,47.25,17600,47.25
2012-11-22,47.55,47.90,47.00,47.20,15300,47.20
2012-11-21,47.85,48.90,46.50,47.05,52300,47.05
2012-11-20,50.85,50.85,46.15,46.45,48800,46.45
2012-11-19,51.00,51.90,47.20,48.65,36900,48.65
2012-11-16,51.05,51.55,49.20,49.90,47900,49.90
2012-11-15,51.55,51.80,49.05,51.05,83600,51.05
2012-11-14,50.55,50.55,50.55,50.55,000,50.55
2012-11-13,50.55,50.55,50.55,50.55,000,50.55
2012-11-12,52.45,52.45,50.00,50.55,55000,50.55
2012-11-09,52.55,54.45,50.65,50.95,136100,50.95
2012-11-08,53.50,55.50,52.55,53.00,102800,53.00
2012-11-07,54.80,56.70,54.10,54.60,65200,54.60
2012-11-06,54.30,55.30,53.50,54.65,29600,54.65
2012-11-05,56.25,56.35,53.65,54.05,48400,54.05
2012-11-02,54.90,57.70,54.90,55.55,56200,55.55
2012-11-01,55.65,57.50,54.90,55.30,136700,55.30
2012-10-31,52.50,57.00,52.45,56.25,145000,56.25
2012-10-30,53.10,53.10,51.75,51.90,38900,51.90
2012-10-29,54.00,54.00,52.15,52.45,60000,52.45
2012-10-26,55.10,55.10,55.10,55.10,000,55.10
2012-10-25,55.65,56.10,54.90,55.10,36600,55.10
2012-10-24,55.30,55.30,55.30,55.30,000,55.30
