Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,178.45,178.45,178.45,178.45,000,178.45
2012-12-24,181.00,182.95,177.95,178.45,8800,178.45
2012-12-21,192.40,192.40,180.00,181.75,23400,181.75
2012-12-20,189.00,192.95,187.35,189.60,4700,189.60
2012-12-19,192.00,194.35,189.50,190.10,4400,190.10
2012-12-18,192.00,192.00,190.00,190.25,4800,190.25
2012-12-17,193.00,194.95,189.50,190.85,6600,190.85
2012-12-14,194.90,196.00,189.00,192.60,620900,192.60
2012-12-13,199.75,200.35,193.10,194.40,3600,194.40
2012-12-12,200.50,200.50,193.65,196.05,10800,196.05
2012-12-11,195.00,197.00,192.05,196.95,406400,196.95
2012-12-10,195.05,196.70,192.00,193.90,13600,193.90
2012-12-07,197.75,198.95,193.55,196.00,11900,196.00
2012-12-06,194.70,200.50,189.95,197.75,48300,197.75
2012-12-05,191.15,194.50,191.00,191.60,33900,191.60
2012-12-04,192.95,193.00,190.50,191.00,4400,191.00
2012-12-03,189.95,193.00,189.60,192.20,7900,192.20
2012-11-30,187.60,191.45,187.25,190.40,20000,190.40
2012-11-29,187.05,190.80,186.60,187.45,13600,187.45
2012-11-28,187.60,187.60,187.60,187.60,000,187.60
2012-11-27,185.05,189.95,185.00,187.60,4700,187.60
2012-11-26,188.00,191.40,185.35,186.15,19900,186.15
2012-11-23,188.50,189.80,182.40,187.55,345500,187.55
2012-11-22,192.00,192.50,186.20,187.40,7400,187.40
2012-11-21,194.50,194.50,188.30,191.65,17500,191.65
2012-11-20,195.90,198.80,191.10,192.30,534100,192.30
2012-11-19,199.40,210.90,192.65,195.40,212700,193.40
2012-11-16,190.00,199.00,188.25,198.95,1099800,196.91
2012-11-15,191.15,192.95,189.15,190.30,3500,188.35
2012-11-14,192.40,192.40,192.40,192.40,000,190.43
2012-11-13,192.40,192.40,192.40,192.40,000,190.43
2012-11-12,195.30,198.00,191.25,192.40,505600,190.43
2012-11-09,196.05,196.05,193.20,193.65,3900,191.67
2012-11-08,191.50,197.50,191.50,195.40,5200,193.40
2012-11-07,202.00,202.50,195.10,195.75,8100,193.75
2012-11-06,195.85,201.10,193.55,200.20,23900,198.15
2012-11-05,193.00,196.05,191.65,193.80,555300,191.82
2012-11-02,193.50,198.00,191.20,192.65,5100,190.68
2012-11-01,187.20,198.00,187.20,195.45,461600,193.45
2012-10-31,192.00,193.00,186.55,187.95,11600,186.03
2012-10-30,190.85,194.90,186.30,189.10,23600,187.16
2012-10-29,189.80,193.90,189.80,191.55,13100,189.59
2012-10-26,193.20,193.20,193.20,193.20,000,191.22
2012-10-25,191.50,194.20,190.20,193.20,16000,191.22
2012-10-24,191.35,191.35,191.35,191.35,000,189.39
2012-10-23,190.75,195.65,190.30,191.35,5800,189.39
2012-10-22,194.50,194.50,189.00,190.80,17800,188.85
2012-10-19,198.20,198.85,194.00,194.40,19500,192.41
2012-10-18,199.30,202.75,195.00,195.85,74300,193.85
2012-10-17,193.90,199.40,189.00,194.75,173500,192.76
2012-10-16,199.95,200.05,190.00,192.00,58000,190.03
2012-10-15,188.15,207.70,188.15,197.90,688000,195.87
2012-10-12,194.00,195.00,190.25,191.00,18600,189.05
2012-10-11,189.50,192.90,186.30,189.20,17500,187.26
2012-10-10,192.65,195.00,190.60,191.00,13800,189.05
2012-10-09,192.45,197.00,191.20,192.65,10400,190.68
2012-10-08,198.00,200.00,190.00,191.50,27200,189.54
2012-10-05,194.95,194.95,188.20,192.30,13600,190.33
2012-10-04,192.25,195.30,192.00,193.90,19200,191.92
2012-10-03,190.00,193.55,188.60,191.50,26000,189.54
2012-10-02,191.20,191.20,191.20,191.20,000,189.24
2012-10-01,192.95,194.00,189.10,191.20,39200,189.24
2012-09-28,190.70,193.85,188.60,191.30,15300,189.34
2012-09-27,189.65,191.50,187.30,188.45,6700,186.52
2012-09-26,192.95,195.85,187.80,189.95,74000,188.01
2012-09-25,193.00,195.70,192.00,193.80,8100,191.82
2012-09-24,195.95,196.00,193.05,193.85,10800,191.87
2012-09-21,195.95,197.45,195.00,196.20,16800,194.19
2012-09-20,192.30,197.60,192.30,196.60,9800,194.59
2012-09-19,194.05,194.05,194.05,194.05,000,192.06
2012-09-18,191.00,197.00,191.00,194.05,15700,192.06
2012-09-17,198.55,199.00,191.50,192.65,12500,190.68
2012-09-14,199.00,199.80,195.50,197.35,37300,195.33
2012-09-13,195.70,199.50,195.70,197.80,21500,195.78
2012-09-12,193.85,199.00,192.00,195.70,44000,193.70
2012-09-11,186.65,192.85,184.20,190.40,34100,188.45
2012-09-10,183.80,187.25,181.15,184.50,47300,182.61
2012-09-07,182.50,187.90,182.40,185.45,25900,183.55
2012-09-06,179.10,183.95,177.60,183.05,37400,181.18
2012-09-05,180.00,180.00,178.85,179.40,3200,177.56
2012-09-04,182.95,184.90,178.30,179.75,141800,177.91
2012-09-03,182.00,184.25,177.25,180.80,129700,178.95
2012-08-31,176.25,184.80,176.20,182.25,41600,180.38
2012-08-30,178.00,179.00,176.05,177.20,3100,175.39
2012-08-29,179.00,180.60,177.10,180.00,80200,178.16
2012-08-28,179.00,182.00,175.50,178.30,73200,176.48
2012-08-27,180.50,182.50,177.00,179.00,63600,177.17
2012-08-24,180.95,181.00,178.70,180.05,13100,178.21
2012-08-23,179.05,181.50,176.50,180.00,35200,178.16
2012-08-22,178.50,182.00,172.30,178.25,806900,176.43
2012-08-21,178.30,183.10,176.10,180.55,19700,178.70
2012-08-20,179.65,179.65,179.65,179.65,000,177.81
2012-08-17,184.50,185.45,179.00,179.65,11100,177.81
2012-08-16,181.45,193.60,181.00,183.10,58200,181.23
2012-08-15,180.50,180.50,180.50,180.50,000,178.65
2012-08-14,176.50,182.00,175.90,180.50,18300,178.65
