Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,2781.00,2798.00,2781.00,2789.60,932300,2789.60
2013-01-22,2793.60,2798.65,2777.00,2783.55,638700,2783.55
2013-01-21,2763.05,2810.60,2763.05,2796.30,737400,2796.30
2013-01-18,2805.00,2810.00,2777.45,2788.05,911300,2788.05
2013-01-17,2792.00,2806.65,2779.20,2797.95,1470800,2797.95
2013-01-16,2781.00,2788.80,2755.50,2767.45,1457600,2767.45
2013-01-15,2806.00,2809.45,2774.50,2787.05,2547200,2787.05
2013-01-14,2759.80,2836.95,2752.25,2806.50,6365500,2806.50
2013-01-11,2521.00,2722.00,2521.00,2712.10,11606500,2712.10
2013-01-10,2331.00,2342.65,2309.20,2322.30,1362600,2322.30
2013-01-09,2340.20,2361.80,2323.30,2331.00,768700,2331.00
2013-01-08,2365.00,2367.95,2323.50,2344.00,1608400,2344.00
2013-01-07,2351.10,2379.90,2335.55,2374.80,1095200,2374.80
2013-01-04,2348.40,2354.95,2332.00,2349.55,1056700,2349.55
2013-01-03,2315.00,2348.85,2311.00,2337.90,1324900,2337.90
2013-01-02,2316.20,2328.00,2303.50,2309.20,543700,2309.20
2013-01-01,2327.60,2329.90,2305.55,2308.85,369900,2308.85
2012-12-31,2315.00,2324.10,2303.70,2318.70,431400,2318.70
2012-12-28,2302.10,2325.50,2288.45,2323.20,883000,2323.20
2012-12-27,2327.80,2329.00,2276.65,2287.75,1013700,2287.75
2012-12-26,2323.00,2330.90,2304.35,2315.25,407900,2315.25
2012-12-25,2322.30,2322.30,2322.30,2322.30,000,2322.30
2012-12-24,2321.10,2328.40,2313.00,2322.30,540400,2322.30
2012-12-21,2299.00,2321.30,2286.80,2296.85,865500,2296.85
2012-12-20,2306.10,2310.00,2278.00,2299.60,1055200,2299.60
2012-12-19,2274.00,2299.90,2270.05,2296.15,1248900,2296.15
2012-12-18,2260.00,2274.20,2245.00,2271.00,1036500,2271.00
2012-12-17,2267.00,2291.85,2256.95,2266.25,1370200,2266.25
2012-12-14,2273.00,2295.05,2266.00,2278.80,1063400,2278.80
2012-12-13,2304.95,2313.65,2272.40,2283.55,1245800,2283.55
2012-12-12,2310.00,2323.80,2286.25,2297.80,1919900,2297.80
2012-12-11,2316.00,2336.05,2282.85,2294.05,1423000,2294.05
2012-12-10,2320.95,2344.00,2299.00,2313.55,853700,2313.55
2012-12-07,2321.00,2348.50,2311.10,2321.15,1185700,2321.15
2012-12-06,2394.00,2394.00,2313.95,2338.30,1376400,2338.30
2012-12-05,2429.00,2430.00,2377.50,2382.50,1749300,2382.50
2012-12-04,2429.00,2447.00,2415.00,2437.45,563700,2437.45
2012-12-03,2437.00,2453.00,2424.35,2439.15,650300,2439.15
2012-11-30,2441.60,2476.45,2425.05,2436.85,881300,2436.85
2012-11-29,2450.00,2459.25,2426.50,2445.25,1295600,2445.25
