Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,491.80,491.80,491.80,491.80,000,491.80
2012-12-24,485.80,495.00,484.80,491.80,5700,491.80
2012-12-21,485.00,494.00,482.90,485.80,8800,485.80
2012-12-20,482.75,488.00,475.10,485.45,3800,485.45
2012-12-19,484.30,494.90,482.00,482.75,6700,482.75
2012-12-18,490.10,490.30,480.00,485.15,13600,485.15
2012-12-17,471.55,491.90,471.55,486.05,8500,486.05
2012-12-14,468.05,472.00,466.25,470.45,2900,470.45
2012-12-13,479.45,479.45,467.00,469.05,5600,469.05
2012-12-12,478.25,484.00,472.00,474.85,5200,474.85
2012-12-11,488.10,494.95,472.15,479.45,8800,479.45
2012-12-10,482.05,484.70,476.00,482.80,5400,482.80
2012-12-07,492.00,500.00,474.00,477.35,6600,477.35
2012-12-06,490.00,497.00,474.50,490.45,12000,490.45
2012-12-05,476.00,498.00,472.00,482.15,13800,482.15
2012-12-04,479.70,481.00,471.45,472.80,4200,472.80
2012-12-03,475.85,487.65,474.00,475.70,3600,475.70
2012-11-30,468.00,477.75,466.15,471.50,4600,471.50
2012-11-29,463.60,470.90,462.90,470.00,4900,470.00
2012-11-28,467.95,467.95,467.95,467.95,000,467.95
2012-11-27,466.15,471.85,466.15,467.95,1000,467.95
2012-11-26,467.00,476.60,460.55,466.20,2200,466.20
2012-11-23,464.25,464.95,459.95,463.90,3100,463.90
2012-11-22,469.25,469.25,462.10,465.85,2400,465.85
2012-11-21,465.05,469.00,463.00,465.90,4800,465.90
2012-11-20,463.00,468.00,461.00,466.90,2700,466.90
2012-11-19,470.00,473.60,463.50,463.95,3300,463.95
2012-11-16,471.75,473.85,466.10,472.10,8500,472.10
2012-11-15,475.00,477.85,472.00,472.85,3000,472.85
2012-11-14,473.40,473.40,473.40,473.40,000,470.40
2012-11-13,473.40,473.40,473.40,473.40,000,470.40
2012-11-12,465.25,475.95,465.25,473.40,2000,470.40
2012-11-09,474.00,475.65,466.50,468.55,4300,465.58
2012-11-08,485.50,485.50,470.00,470.45,2600,467.47
2012-11-07,478.50,478.50,470.00,473.85,3900,470.85
2012-11-06,471.10,478.50,469.80,473.25,5100,470.25
2012-11-05,483.00,488.50,475.45,479.45,5600,476.41
2012-11-02,480.00,493.00,480.00,484.40,4500,481.33
2012-11-01,494.00,494.00,481.80,483.75,5200,480.68
2012-10-31,486.00,489.00,480.80,485.50,1600,482.42
2012-10-30,494.50,494.50,480.00,481.35,2100,478.30
2012-10-29,493.50,493.50,484.05,486.00,2100,482.92
2012-10-26,496.20,496.20,496.20,496.20,000,493.06
2012-10-25,514.90,514.90,492.00,496.20,8300,493.06
2012-10-24,492.45,492.45,492.45,492.45,000,489.33
2012-10-23,497.50,497.50,484.00,492.45,1800,489.33
2012-10-22,494.85,494.85,481.50,493.00,3400,489.88
2012-10-19,496.00,496.00,487.10,488.85,4100,485.75
2012-10-18,497.00,497.00,489.00,490.95,4900,487.84
2012-10-17,500.50,500.50,486.05,490.55,4700,487.44
2012-10-16,495.05,508.80,493.00,495.10,12500,491.96
2012-10-15,486.00,505.00,486.00,495.80,3200,492.66
2012-10-12,504.50,508.10,490.05,493.75,14800,490.62
2012-10-11,502.50,512.00,496.00,499.35,22400,496.19
2012-10-10,507.50,507.50,495.00,499.00,9200,495.84
2012-10-09,500.00,515.00,491.15,508.85,32900,505.63
2012-10-08,497.50,499.00,488.65,495.30,6800,492.16
2012-10-05,499.55,499.55,486.00,489.70,2500,486.60
2012-10-04,502.05,502.05,487.10,499.50,8000,496.33
2012-10-03,504.55,504.55,490.10,496.80,7200,493.65
2012-10-02,499.80,499.80,499.80,499.80,000,496.63
2012-10-01,495.05,504.70,495.05,499.80,9000,496.63
2012-09-28,488.05,509.00,480.40,497.40,30800,494.25
2012-09-27,487.55,487.55,479.15,483.05,1500,479.99
2012-09-26,482.00,484.90,480.05,483.05,1400,479.99
2012-09-25,479.95,484.75,477.60,482.25,2500,479.19
2012-09-24,485.05,490.00,476.05,479.95,6500,476.91
2012-09-21,473.00,488.00,471.70,485.40,7500,482.32
2012-09-20,473.00,474.40,470.25,473.00,2600,470.00
2012-09-19,474.90,474.90,474.90,474.90,000,471.89
2012-09-18,471.00,480.25,470.00,474.90,7000,471.89
2012-09-17,470.00,475.05,467.25,469.65,5200,466.67
