Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,518.55,518.55,518.55,518.55,000,518.55
2012-12-24,514.95,519.50,513.50,518.55,27400,518.55
2012-12-21,516.05,525.00,507.00,510.00,44700,510.00
2012-12-20,516.05,520.00,512.00,516.05,76900,516.05
2012-12-19,503.00,517.00,500.05,515.80,343600,515.80
2012-12-18,500.95,504.00,497.40,501.40,71600,501.40
2012-12-17,496.30,506.00,495.50,500.20,103700,500.20
2012-12-14,495.05,502.00,495.05,499.65,80800,499.65
2012-12-13,504.50,504.50,497.50,499.20,39800,499.20
2012-12-12,498.00,502.80,495.00,500.35,46600,500.35
2012-12-11,498.70,505.00,493.30,496.20,47000,496.20
2012-12-10,503.00,508.80,494.00,498.70,108500,498.70
2012-12-07,494.65,501.00,491.10,499.70,384600,499.70
2012-12-06,494.95,500.00,485.10,493.45,45000,493.45
2012-12-05,499.00,499.00,487.10,495.70,70500,495.70
2012-12-04,496.60,499.60,484.00,488.20,213300,488.20
2012-12-03,492.05,501.00,491.15,497.35,142600,497.35
2012-11-30,484.90,494.90,482.20,490.90,154700,490.90
2012-11-29,469.00,486.40,465.10,481.15,271600,481.15
2012-11-28,464.60,464.60,464.60,464.60,000,464.60
2012-11-27,461.25,467.50,456.00,464.60,70100,464.60
2012-11-26,463.80,463.80,457.00,459.10,44600,459.10
2012-11-23,466.00,468.90,459.85,460.95,26400,460.95
2012-11-22,468.90,469.95,463.90,465.15,61800,465.15
2012-11-21,468.00,472.00,464.25,469.70,60700,469.70
2012-11-20,465.95,470.00,465.50,469.70,205800,469.70
2012-11-19,473.00,480.00,463.00,469.75,52900,469.75
2012-11-16,465.10,479.00,462.60,473.00,112200,473.00
2012-11-15,468.55,469.95,460.00,464.35,33600,464.35
2012-11-14,463.70,463.70,463.70,463.70,000,463.70
2012-11-13,463.70,463.70,463.70,463.70,000,463.70
2012-11-12,460.00,465.00,455.00,463.70,45600,463.70
2012-11-09,453.15,465.00,453.15,460.05,56000,460.05
2012-11-08,454.05,463.00,446.95,459.90,59100,459.90
2012-11-07,454.00,462.00,453.00,460.80,82700,460.80
2012-11-06,469.40,469.45,453.00,454.70,33700,454.70
2012-11-05,469.00,473.95,455.00,461.60,47200,461.60
2012-11-02,462.05,470.00,457.00,468.85,63700,468.85
2012-11-01,464.95,465.00,457.05,461.50,24900,461.50
2012-10-31,454.05,464.00,454.00,461.45,51200,461.45
2012-10-30,456.75,459.35,455.00,456.85,43900,456.85
2012-10-29,454.00,458.50,454.00,456.75,39600,456.75
