Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,84.00,84.00,84.00,84.00,000,84.00
2012-12-24,85.40,85.40,83.10,84.00,630900,84.00
2012-12-21,85.50,85.60,84.10,84.60,831900,84.60
2012-12-20,86.55,86.90,84.05,86.25,830000,86.25
2012-12-19,87.90,87.90,85.60,86.20,1187100,86.20
2012-12-18,85.80,86.75,83.00,86.20,1768600,86.20
2012-12-17,84.55,85.80,84.50,85.25,831300,85.25
2012-12-14,83.00,85.15,81.60,84.75,1280800,84.75
2012-12-13,85.15,86.65,82.70,83.35,1209200,83.35
2012-12-12,83.80,86.90,83.80,86.20,1649700,86.20
2012-12-11,87.50,88.30,83.80,85.35,2618700,85.35
2012-12-10,84.00,87.10,83.95,86.80,2492700,86.80
2012-12-07,83.60,85.00,83.15,84.00,1656800,84.00
2012-12-06,81.95,83.20,80.80,82.90,1346800,82.90
2012-12-05,82.50,83.20,80.65,81.95,1276000,81.95
2012-12-04,81.35,82.70,80.50,82.30,1941200,82.30
2012-12-03,79.50,82.00,77.85,80.80,1408000,80.80
2012-11-30,76.00,79.50,75.95,78.35,1516100,78.35
2012-11-29,75.55,77.50,74.85,76.95,1273400,76.95
2012-11-28,75.50,75.50,75.50,75.50,000,75.50
2012-11-27,74.15,75.95,74.15,75.50,643100,75.50
2012-11-26,74.25,75.50,74.25,74.85,631500,74.85
2012-11-23,74.80,75.70,73.90,75.15,677000,75.15
2012-11-22,74.55,75.15,73.75,74.75,712800,74.75
2012-11-21,73.80,74.25,72.30,73.75,487900,73.75
2012-11-20,74.90,75.35,72.40,73.10,890700,73.10
2012-11-19,76.25,76.25,73.65,74.50,862400,74.50
2012-11-16,77.00,78.00,74.60,75.35,1589700,75.35
2012-11-15,75.50,77.00,73.50,76.30,1528700,76.30
2012-11-14,74.70,74.70,74.70,74.70,000,74.70
2012-11-13,74.70,74.70,74.70,74.70,000,74.70
2012-11-12,74.30,75.00,74.00,74.70,444700,74.70
2012-11-09,76.10,76.50,74.25,74.55,1098200,74.55
2012-11-08,74.10,76.20,74.10,75.85,1223700,75.85
2012-11-07,74.80,78.00,72.90,75.20,1353400,75.20
2012-11-06,71.90,72.80,71.20,72.60,598300,72.60
2012-11-05,74.00,74.00,72.05,72.60,857700,72.60
2012-11-02,73.50,74.45,73.30,74.00,1228700,74.00
2012-11-01,71.80,73.25,71.30,72.95,994500,72.95
2012-10-31,71.40,72.15,69.60,71.55,1079300,71.55
2012-10-30,73.00,74.70,71.05,71.40,1929400,71.40
2012-10-29,74.50,74.55,72.75,73.60,1939600,73.60
2012-10-26,79.90,79.90,79.90,79.90,000,79.90
2012-10-25,80.30,80.50,79.35,79.90,1198300,79.90
2012-10-24,80.10,80.10,80.10,80.10,000,80.10
2012-10-23,80.65,81.30,79.60,80.10,451500,80.10
2012-10-22,80.80,81.45,79.70,80.45,736600,80.45
2012-10-19,82.00,83.05,80.25,81.25,1529300,81.25
2012-10-18,81.40,82.35,79.20,81.90,1526800,81.90
2012-10-17,79.00,79.80,77.75,79.45,840200,79.45
2012-10-16,79.85,80.75,77.95,78.25,1089700,78.25
2012-10-15,79.75,80.00,78.20,79.50,821500,79.50
2012-10-12,80.25,81.35,79.05,79.55,1105800,79.55
2012-10-11,76.25,80.00,76.00,79.85,1035200,79.85
2012-10-10,80.00,80.10,77.30,77.95,780300,77.95
2012-10-09,78.95,80.90,78.95,80.00,929700,80.00
2012-10-08,80.95,81.00,79.10,79.30,838500,79.30
2012-10-05,82.95,83.45,79.20,80.40,1582700,80.40
2012-10-04,82.35,83.70,82.20,82.45,1616500,82.45
2012-10-03,82.85,82.90,81.25,82.15,1552500,82.15
2012-10-02,81.70,81.70,81.70,81.70,000,81.70
2012-10-01,78.10,82.00,78.05,81.70,2439100,81.70
2012-09-28,77.50,79.25,77.50,78.30,1057600,78.30
2012-09-27,77.90,78.45,76.80,77.35,1186100,77.35
2012-09-26,77.70,78.40,76.40,77.70,873900,77.70
2012-09-25,78.00,79.15,76.80,78.05,1322600,78.05
2012-09-24,76.25,79.75,76.25,77.20,1510400,77.20
2012-09-21,76.00,78.65,75.50,78.20,2453900,78.20
2012-09-20,75.00,77.60,70.65,75.25,3322900,75.25
2012-09-19,75.75,75.75,75.75,75.75,000,75.75
2012-09-18,72.05,76.75,71.60,75.75,3706000,75.75
2012-09-17,71.00,72.00,67.60,71.55,3075400,71.55
2012-09-14,68.55,69.60,68.30,69.00,1778900,69.00
2012-09-13,68.00,68.40,67.45,67.60,711100,67.60
2012-09-12,68.00,68.20,67.40,67.75,517700,67.75
2012-09-11,67.60,67.95,67.05,67.55,451300,67.55
2012-09-10,68.00,68.40,67.10,67.50,429700,67.50
2012-09-07,68.80,68.80,66.90,67.15,572800,67.15
2012-09-06,66.80,67.15,66.05,66.20,889400,66.20
2012-09-05,67.35,67.65,66.00,66.80,696600,66.80
2012-09-04,68.00,68.15,67.00,67.55,1138700,67.55
2012-09-03,68.95,68.95,67.25,67.75,718700,67.75
2012-08-31,67.10,68.90,66.50,68.25,699700,68.25
2012-08-30,67.05,68.50,66.00,66.85,1321200,66.85
2012-08-29,68.95,69.00,67.25,67.50,805500,67.50
2012-08-28,69.65,69.65,67.75,68.50,560500,68.50
2012-08-27,69.30,70.90,68.75,69.05,550200,69.05
2012-08-24,70.75,70.90,70.05,70.65,451800,70.65
2012-08-23,72.05,72.20,70.75,70.95,441800,70.95
2012-08-22,72.40,72.40,71.40,71.85,561900,71.85
2012-08-21,72.75,73.00,72.10,72.40,344800,72.40
2012-08-20,72.65,72.65,72.65,72.65,000,72.65
2012-08-17,73.45,73.50,72.10,72.65,376300,72.65
2012-08-16,74.50,77.20,72.25,72.80,648100,72.80
2012-08-15,72.15,72.15,72.15,72.15,000,72.15
2012-08-14,71.45,72.80,70.00,72.15,451300,72.15
2012-08-13,71.60,71.80,70.35,71.15,644700,71.15
2012-08-10,71.25,71.60,70.50,71.35,565800,71.35
2012-08-09,73.10,73.45,70.95,71.35,774400,71.35
2012-08-08,74.05,78.00,72.75,73.00,488800,73.00
2012-08-07,73.55,74.50,73.00,73.35,838600,73.35
2012-08-06,73.00,74.25,72.90,73.20,659900,73.20
2012-08-03,74.95,74.95,72.00,73.25,626700,73.25
2012-08-02,73.10,73.75,73.00,73.55,636400,73.55
2012-08-01,72.60,73.50,72.20,73.35,890000,73.35
2012-07-31,72.00,73.10,70.70,72.50,1535300,72.50
2012-07-30,71.00,72.80,69.00,72.40,3385500,72.40
2012-07-27,74.95,80.60,68.75,69.95,3474000,69.95
2012-07-26,80.05,81.50,72.10,73.75,4002700,73.75
2012-07-25,80.00,81.50,79.90,80.65,766600,80.65
2012-07-24,81.85,81.95,80.70,81.70,589100,81.70
2012-07-23,81.15,82.50,80.60,81.50,535900,81.50
2012-07-20,83.50,83.50,82.10,82.60,400100,82.60
2012-07-19,83.70,83.70,82.60,83.20,611900,83.20
2012-07-18,81.35,83.10,81.35,82.85,569500,82.85
2012-07-17,83.55,84.10,81.85,82.60,673500,82.60
2012-07-16,84.05,84.10,82.70,83.20,584000,83.20
2012-07-13,84.45,84.45,83.25,83.55,472000,83.55
2012-07-12,84.20,84.20,83.30,83.65,517100,83.65
2012-07-11,85.90,85.90,84.10,84.45,925500,84.45
2012-07-10,83.50,85.00,83.50,84.75,775600,84.75
2012-07-09,87.60,87.60,83.55,83.80,1202900,83.80
2012-07-06,87.70,87.70,85.55,86.25,1639200,86.25
2012-07-05,85.80,87.00,84.20,86.50,2351300,86.50
2012-07-04,84.65,85.00,83.90,84.70,1690000,84.70
2012-07-03,84.50,85.00,83.80,84.05,1389800,84.05
2012-07-02,83.40,84.90,83.35,84.35,1387300,84.35
2012-06-29,83.10,83.80,82.90,83.30,1316000,83.30
2012-06-28,89.00,89.00,81.65,82.45,1321300,82.45
2012-06-27,83.40,84.00,82.95,83.65,930400,83.65
2012-06-26,82.90,83.50,82.60,83.05,973600,83.05
2012-06-25,84.35,85.10,83.05,83.50,1176500,83.50
2012-06-22,84.20,84.60,82.80,83.85,1496300,83.85
2012-06-21,85.90,85.90,83.20,85.10,1631700,85.10
2012-06-20,90.00,90.40,87.90,89.00,1399400,84.50
2012-06-19,88.10,89.85,87.60,89.25,1249200,84.74
2012-06-18,90.00,90.95,86.60,88.05,1634100,83.60
2012-06-15,87.05,89.55,86.95,89.20,786000,84.69
2012-06-14,88.95,89.20,86.90,87.45,970300,83.03
2012-06-13,88.80,89.30,87.50,88.40,979100,83.93
2012-06-12,86.00,88.60,85.30,88.25,1004700,83.79
2012-06-11,87.00,88.70,86.00,86.50,1325800,82.13
2012-06-08,85.40,86.95,84.10,86.45,1040900,82.08
2012-06-07,86.30,86.80,84.55,85.40,1142600,81.08
2012-06-06,82.35,85.65,82.35,84.90,996700,80.61
2012-06-05,82.20,83.50,81.70,82.35,776900,78.19
2012-06-04,79.80,81.95,79.10,81.50,613600,77.38
2012-06-01,81.35,81.75,79.40,80.25,603400,76.19
2012-05-31,79.40,83.00,78.70,81.20,2324800,77.09
2012-05-30,78.00,81.25,78.00,80.40,1057400,76.33
2012-05-29,82.90,83.20,81.10,81.50,1363100,77.38
2012-05-28,80.75,82.85,80.65,82.10,1276100,77.95
2012-05-25,80.50,81.40,80.30,80.55,1316200,76.48
2012-05-24,78.30,80.70,78.00,80.25,1038600,76.19
2012-05-23,79.30,79.65,77.65,78.05,814900,74.10
2012-05-22,81.60,81.70,78.80,79.30,628000,75.29
2012-05-21,80.00,81.45,79.50,80.45,605100,76.38
2012-05-18,78.00,79.90,77.10,79.55,849000,75.53
2012-05-17,78.70,79.65,78.10,78.50,751400,74.53
2012-05-16,79.90,79.90,78.00,78.30,959300,74.34
2012-05-15,79.20,80.60,78.20,80.15,845300,76.10
2012-05-14,82.00,82.15,78.10,79.05,1101200,75.05
2012-05-11,81.35,82.80,79.30,81.65,1098800,77.52
2012-05-10,82.65,84.25,81.30,81.80,982800,77.66
2012-05-09,81.05,82.90,80.10,81.95,1044500,77.81
2012-05-08,84.20,84.75,81.25,81.90,1611200,77.76
2012-05-07,82.80,85.40,81.75,83.85,2626400,79.61
2012-05-04,85.75,85.90,82.75,83.40,832400,79.18
2012-05-03,89.00,89.30,85.35,85.80,1142400,81.46
2012-05-02,87.00,89.95,87.00,89.25,1475500,84.74
2012-05-01,87.20,87.20,87.20,87.20,000,82.79
2012-04-30,87.45,87.90,86.55,87.30,826400,82.89
2012-04-27,87.25,89.40,84.15,85.15,486500,80.84
2012-04-26,89.55,90.35,86.10,86.90,1473400,82.51
2012-04-25,91.30,91.70,88.65,89.70,545900,85.16
2012-04-24,92.10,92.10,90.40,91.35,723500,86.73
2012-04-23,92.40,93.90,91.25,91.50,329000,86.87
2012-04-20,95.05,95.70,92.50,93.10,459600,88.39
2012-04-19,96.40,96.75,94.60,95.20,378600,90.39
2012-04-18,97.00,98.25,95.75,96.20,370900,91.34
2012-04-17,98.45,99.50,96.55,97.05,841500,92.14
2012-04-16,94.95,97.70,94.55,96.95,324500,92.05
2012-04-13,97.25,98.50,94.00,94.90,578000,90.10
2012-04-12,95.10,97.45,95.10,96.70,579400,91.81
2012-04-11,94.10,96.70,93.65,95.30,534600,90.48
2012-04-10,93.10,95.50,92.50,95.35,363400,90.53
2012-04-09,91.25,95.80,91.25,93.70,203800,88.96
2012-04-06,95.90,95.90,95.90,95.90,000,91.05
2012-04-05,95.90,95.90,95.90,95.90,000,91.05
2012-04-04,95.90,96.30,94.60,95.90,194500,91.05
2012-04-03,95.55,96.80,95.10,95.90,276300,91.05
2012-04-02,94.90,96.50,94.15,94.80,535400,90.01
2012-03-30,91.80,94.95,91.55,94.30,850800,89.53
2012-03-29,89.50,92.40,89.00,90.70,741600,86.11
2012-03-28,93.00,93.00,91.50,91.95,271100,87.30
2012-03-27,94.75,94.80,91.70,93.35,458100,88.63
2012-03-26,96.25,97.00,92.55,93.00,650700,88.30
2012-03-23,94.30,97.40,94.00,95.75,641400,90.91
2012-03-22,98.60,99.75,94.15,94.60,614200,89.82
2012-03-21,97.40,99.25,95.65,98.65,925400,93.66
2012-03-20,96.40,98.05,95.30,97.10,468800,92.19
2012-03-19,98.50,99.00,96.05,96.40,325700,91.53
2012-03-16,100.80,102.50,96.55,97.95,857200,93.00
2012-03-15,107.00,107.00,99.85,100.30,787700,95.23
2012-03-14,105.00,106.40,102.40,105.75,696700,100.40
2012-03-13,103.55,104.95,103.10,103.80,390500,98.55
2012-03-12,102.75,105.00,101.65,102.65,453500,97.46
2012-03-09,98.45,101.00,98.45,100.60,367900,95.51
2012-03-08,101.70,101.70,101.70,101.70,000,96.56
2012-03-07,97.00,98.30,95.70,97.35,390800,92.43
2012-03-06,97.20,100.70,95.00,97.10,1100900,92.19
2012-03-05,102.00,102.65,98.60,99.30,420700,94.28
2012-03-02,102.25,104.35,101.25,103.30,559600,98.08
2012-03-01,102.25,103.50,99.80,101.70,389100,96.56
2012-02-29,101.20,105.05,100.10,102.00,727000,96.84
2012-02-28,98.05,102.30,97.00,101.20,1029800,96.08
2012-02-27,102.15,102.30,97.00,97.80,859700,92.86
2012-02-24,102.00,103.75,100.40,101.70,726200,96.56
2012-02-23,106.40,106.50,100.55,101.75,1881100,96.61
2012-02-22,111.00,111.45,106.10,107.05,1615200,101.64
2012-02-21,111.40,111.75,108.10,110.00,795100,104.44
2012-02-20,109.05,109.05,109.05,109.05,000,103.54
2012-02-17,108.00,110.90,106.00,109.05,1621600,103.54
2012-02-16,104.30,106.20,101.70,105.40,961000,100.07
2012-02-15,100.10,104.20,100.05,103.80,1301100,98.55
2012-02-14,97.95,101.45,97.30,100.10,942500,95.04
2012-02-13,100.10,101.95,97.15,97.70,1061100,92.76
2012-02-10,100.55,102.50,99.20,101.20,1166900,96.08
2012-02-09,99.70,100.90,97.15,100.30,1949900,95.23
