Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,257.40,257.40,257.40,257.40,000,257.40
2012-12-24,259.75,260.70,256.55,257.40,403100,257.40
2012-12-21,258.10,261.00,257.00,259.70,574800,259.70
2012-12-20,261.10,261.90,258.10,259.85,139900,259.85
2012-12-19,260.15,263.00,259.50,261.80,233600,261.80
2012-12-18,261.65,262.40,259.80,261.15,142400,261.15
2012-12-17,261.40,263.40,260.05,261.30,99000,261.30
2012-12-14,261.90,261.90,259.00,261.00,152600,261.00
2012-12-13,260.95,265.55,259.50,260.60,1014100,260.60
2012-12-12,262.35,263.00,260.10,260.70,96600,260.70
2012-12-11,265.00,265.80,261.00,263.60,237600,263.60
2012-12-10,267.00,267.00,261.60,264.85,315600,264.85
2012-12-07,264.90,267.90,263.00,264.25,374100,264.25
2012-12-06,264.00,265.00,260.65,264.15,308700,264.15
2012-12-05,262.75,263.70,260.60,262.70,256800,262.70
2012-12-04,261.15,264.40,261.15,262.40,318000,262.40
2012-12-03,263.55,264.80,260.10,261.85,273900,261.85
2012-11-30,264.00,265.00,261.75,263.75,248900,263.75
2012-11-29,269.00,274.90,259.55,261.80,830800,261.80
2012-11-28,260.35,260.35,260.35,260.35,000,260.35
2012-11-27,264.00,264.00,258.85,260.35,413100,260.35
2012-11-26,259.05,260.75,258.05,259.45,140600,259.45
2012-11-23,259.80,259.80,256.35,259.05,108200,259.05
2012-11-22,259.05,259.05,256.50,257.50,69500,257.50
2012-11-21,258.30,259.75,256.10,258.90,360200,258.90
2012-11-20,256.85,259.00,254.65,258.10,233800,258.10
2012-11-19,254.40,258.00,254.40,255.85,445400,255.85
2012-11-16,258.00,263.30,257.00,258.00,202700,258.00
2012-11-15,258.70,263.35,257.85,258.50,604700,258.50
2012-11-14,261.50,261.50,261.50,261.50,000,261.50
2012-11-13,261.50,261.50,261.50,261.50,000,261.50
2012-11-12,263.05,264.70,261.35,261.50,672700,261.50
2012-11-09,266.25,267.50,261.35,262.10,449900,262.10
2012-11-08,262.20,266.30,261.75,265.50,361700,265.50
2012-11-07,261.55,263.90,260.40,263.50,441000,263.50
2012-11-06,262.60,264.80,259.60,262.15,248700,262.15
2012-11-05,263.00,265.00,259.85,260.60,325000,260.60
2012-11-02,260.00,264.00,259.85,262.50,261000,262.50
2012-11-01,261.95,262.90,259.30,260.10,174800,260.10
2012-10-31,258.55,262.00,252.00,260.50,717100,260.50
2012-10-30,260.45,261.25,258.75,259.80,153500,259.80
2012-10-29,260.70,261.90,259.50,260.30,142500,260.30
2012-10-26,260.20,260.20,260.20,260.20,000,260.20
2012-10-25,262.00,262.90,258.75,260.20,1242300,260.20
2012-10-24,260.15,260.15,260.15,260.15,000,260.15
2012-10-23,257.80,261.25,257.80,260.15,361400,260.15
2012-10-22,259.95,260.40,257.10,259.75,211400,259.75
2012-10-19,256.10,260.00,256.10,259.40,342600,259.40
2012-10-18,258.05,259.30,255.20,257.90,325600,257.90
2012-10-17,255.00,260.00,254.25,256.75,180600,256.75
2012-10-16,260.00,270.00,253.05,254.50,242100,254.50
2012-10-15,256.50,257.95,255.00,255.70,153400,255.70
2012-10-12,260.40,260.40,256.10,257.30,253800,257.30
2012-10-11,259.75,261.00,256.35,258.85,256200,258.85
2012-10-10,257.50,259.50,255.80,258.45,211300,258.45
2012-10-09,259.05,263.00,257.05,258.60,309100,258.60
2012-10-08,260.15,264.00,258.90,260.05,401400,260.05
2012-10-05,260.95,261.90,256.00,259.15,346100,259.15
2012-10-04,256.65,265.90,255.55,260.30,1626600,260.30
2012-10-03,254.25,255.90,253.00,254.10,351800,254.10
2012-10-02,252.95,252.95,252.95,252.95,000,252.95
2012-10-01,251.20,254.00,250.60,252.95,269000,252.95
2012-09-28,248.80,253.40,248.80,250.50,428200,250.50
2012-09-27,255.90,256.60,247.20,248.80,875300,248.80
2012-09-26,253.50,256.65,253.50,254.60,168600,254.60
2012-09-25,254.90,258.00,252.20,254.15,241900,254.15
2012-09-24,253.00,257.00,253.00,256.20,379300,256.20
2012-09-21,248.30,255.00,245.25,252.70,910300,252.70
2012-09-20,238.20,250.90,238.20,248.15,594700,248.15
2012-09-19,248.35,248.35,248.35,248.35,000,248.35
2012-09-18,248.05,249.90,247.10,248.35,286000,248.35
2012-09-17,250.30,253.95,247.00,247.80,431200,247.80
2012-09-14,268.00,268.00,248.10,248.80,1605000,248.80
2012-09-13,255.00,256.35,253.50,254.60,211100,254.60
2012-09-12,250.00,255.00,250.00,253.05,165100,253.05
2012-09-11,255.00,256.75,251.55,253.55,413500,253.55
