Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,515.45,515.45,515.45,515.45,000,515.45
2012-12-24,493.00,519.80,485.10,515.45,421800,515.45
2012-12-21,487.90,496.00,482.20,489.75,264500,489.75
2012-12-20,492.70,496.00,483.50,486.05,437300,486.05
2012-12-19,487.55,497.00,486.50,492.55,208900,492.55
2012-12-18,490.10,502.40,481.25,485.20,153900,485.20
2012-12-17,485.00,513.35,482.15,497.80,1142500,497.80
2012-12-14,470.95,489.80,470.20,484.40,266900,484.40
2012-12-13,474.20,483.00,470.20,473.65,217200,473.65
2012-12-12,454.30,494.00,452.45,469.15,420400,469.15
2012-12-11,458.25,462.00,441.25,447.30,65900,447.30
2012-12-10,466.00,466.00,456.45,457.55,46200,457.55
2012-12-07,461.40,466.95,460.30,463.15,31800,463.15
2012-12-06,464.95,468.00,456.00,464.70,63100,464.70
2012-12-05,469.00,469.90,452.95,461.75,297000,461.75
2012-12-04,456.70,469.70,456.65,465.15,109800,465.15
2012-12-03,453.45,465.00,453.45,463.20,39000,463.20
2012-11-30,454.55,464.45,453.50,457.45,163600,457.45
2012-11-29,453.00,459.50,450.05,455.20,75400,455.20
2012-11-28,452.20,452.20,452.20,452.20,000,452.20
2012-11-27,451.00,456.25,446.00,452.20,36500,452.20
2012-11-26,445.05,457.25,445.00,451.80,48900,451.80
2012-11-23,447.00,448.00,433.05,444.80,80900,444.80
2012-11-22,419.00,449.00,416.15,442.80,535100,442.80
2012-11-21,419.90,423.00,412.00,420.20,291200,420.20
2012-11-20,421.00,423.30,413.00,416.05,243600,416.05
2012-11-19,428.80,430.00,415.05,418.00,120300,418.00
2012-11-16,429.40,433.00,425.00,426.95,144800,426.95
2012-11-15,427.50,437.20,425.00,430.00,166200,430.00
2012-11-14,429.95,429.95,429.95,429.95,000,429.95
2012-11-13,429.95,429.95,429.95,429.95,000,429.95
2012-11-12,438.00,439.95,426.55,429.95,225400,429.95
2012-11-09,431.00,437.90,417.00,427.25,754300,427.25
2012-11-08,458.05,464.50,400.90,431.00,1505500,431.00
2012-11-07,462.00,468.00,458.70,459.90,273400,459.90
2012-11-06,462.10,467.70,457.10,461.75,38200,461.75
2012-11-05,466.00,470.00,459.20,460.85,82700,460.85
2012-11-02,471.45,476.00,464.05,465.95,126400,465.95
2012-11-01,456.05,471.50,456.05,469.45,138000,469.45
2012-10-31,454.00,460.50,453.00,459.10,125300,457.10
2012-10-30,455.25,457.95,448.00,451.15,36300,449.18
