Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,125.90,125.90,125.90,125.90,000,125.90
2012-12-24,129.00,129.00,124.60,125.90,1419900,125.90
2012-12-21,125.35,128.45,123.30,125.80,2399600,125.80
2012-12-20,129.45,130.30,125.55,125.95,3492000,125.95
2012-12-19,129.65,132.60,128.10,129.20,3763600,129.20
2012-12-18,129.00,131.60,127.15,129.05,6756800,129.05
2012-12-17,139.10,140.25,128.05,129.30,9434700,129.30
2012-12-14,139.00,140.95,137.80,139.65,1707500,139.65
2012-12-13,141.00,142.75,136.00,136.95,1721100,136.95
2012-12-12,141.95,143.75,139.75,140.50,2020200,140.50
2012-12-11,144.90,146.30,138.95,140.90,2215700,140.90
2012-12-10,141.95,146.95,141.95,144.20,3364900,144.20
2012-12-07,141.00,144.90,140.00,141.60,3169400,141.60
2012-12-06,138.50,141.65,136.70,140.55,3568400,140.55
2012-12-05,136.00,139.85,135.10,138.05,2607300,138.05
2012-12-04,136.10,138.65,135.05,135.80,1730100,135.80
2012-12-03,136.00,137.50,134.10,136.20,2377900,136.20
2012-11-30,135.00,138.55,132.00,135.35,4264200,135.35
2012-11-29,127.30,135.30,126.75,134.25,5108400,134.25
2012-11-28,126.30,126.30,126.30,126.30,000,126.30
2012-11-27,122.50,127.90,121.90,126.30,2832700,126.30
2012-11-26,123.00,124.30,121.25,122.25,1303800,122.25
2012-11-23,123.85,123.85,121.10,122.45,1032100,122.45
2012-11-22,119.05,124.00,119.05,123.35,2074000,123.35
2012-11-21,117.25,121.30,117.25,119.85,2607300,119.85
2012-11-20,121.05,122.15,116.65,117.50,3101100,117.50
2012-11-19,124.45,125.45,120.00,120.80,2560300,120.80
2012-11-16,128.10,129.80,122.00,123.25,2700100,123.25
2012-11-15,124.00,129.80,121.45,128.25,3097300,128.25
2012-11-14,124.85,124.85,124.85,124.85,000,124.85
2012-11-13,124.85,124.85,124.85,124.85,000,124.85
2012-11-12,122.30,125.90,122.15,124.85,2036400,124.85
