Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,44.05,44.05,44.05,44.05,000,44.05
2012-12-24,43.50,44.45,42.75,44.05,6430600,44.05
2012-12-21,45.35,45.65,42.85,43.05,10452100,43.05
2012-12-20,44.15,45.80,43.25,45.35,10945700,45.35
2012-12-19,44.30,44.60,43.55,43.95,6538900,43.95
2012-12-18,42.80,44.40,41.75,43.90,9384800,43.90
2012-12-17,43.10,43.85,42.20,42.55,6826100,42.55
2012-12-14,41.95,43.20,41.35,42.80,9430700,42.80
2012-12-13,43.50,44.00,41.10,41.50,9502700,41.50
2012-12-12,44.25,44.55,43.10,43.70,8801100,43.70
2012-12-11,46.20,46.85,43.50,44.05,11696800,44.05
2012-12-10,46.55,47.25,45.50,45.90,8338900,45.90
2012-12-07,48.20,48.25,45.90,46.35,14427500,46.35
2012-12-06,46.50,47.95,45.65,47.55,18123600,47.55
2012-12-05,44.00,46.20,43.80,45.45,13633000,45.45
2012-12-04,43.00,44.20,43.00,43.70,8306800,43.70
2012-12-03,42.30,43.40,41.90,42.85,7900000,42.85
2012-11-30,42.65,42.80,40.50,42.20,13637000,42.20
2012-11-29,39.95,40.75,39.75,40.50,8742600,40.50
2012-11-28,39.70,39.70,39.70,39.70,000,39.70
2012-11-27,39.15,40.30,39.00,39.70,7102400,39.70
2012-11-26,39.50,39.55,38.70,39.00,3900500,39.00
2012-11-23,39.80,40.00,38.60,39.15,4789800,39.15
2012-11-22,39.55,40.15,38.55,39.75,6826400,39.75
2012-11-21,38.60,39.60,38.05,39.15,5828300,39.15
2012-11-20,40.10,40.35,38.15,38.35,7686800,38.35
2012-11-19,40.45,40.75,39.45,39.70,5926300,39.70
2012-11-16,42.00,42.70,39.60,40.30,10488400,40.30
2012-11-15,40.00,42.05,39.20,41.80,9945500,41.80
2012-11-14,39.95,39.95,39.95,39.95,000,39.95
2012-11-13,39.95,39.95,39.95,39.95,000,39.95
2012-11-12,40.75,41.10,38.70,39.95,8438900,39.95
2012-11-09,42.80,43.25,41.10,41.30,7410000,41.30
2012-11-08,42.50,43.45,42.10,42.80,7794300,42.80
2012-11-07,41.95,43.85,41.40,43.45,11259800,43.45
2012-11-06,41.05,42.10,41.05,41.95,5912300,41.95
2012-11-05,41.60,41.60,40.55,41.00,5261000,41.00
2012-11-02,41.80,42.70,41.25,41.60,8082100,41.60
2012-11-01,39.75,41.75,39.60,41.45,9500500,41.45
2012-10-31,40.30,40.65,38.40,39.75,13729900,39.75
2012-10-30,41.65,42.20,39.55,39.90,8606400,39.90
2012-10-29,41.95,42.65,41.00,41.50,5377500,41.50
2012-10-26,43.40,43.40,43.40,43.40,000,43.40
2012-10-25,43.95,44.50,42.80,43.40,7514300,43.40
2012-10-24,43.60,43.60,43.60,43.60,000,43.60
2012-10-23,44.30,45.20,43.15,43.60,4339800,43.60
2012-10-22,44.60,45.35,44.25,44.60,4321100,44.60
2012-10-19,45.85,45.95,44.05,44.90,6290500,44.90
2012-10-18,45.40,46.05,44.80,45.85,7155700,45.85
2012-10-17,45.60,45.95,44.55,45.05,6682700,45.05
2012-10-16,45.80,46.60,44.50,44.80,9908100,44.80
2012-10-15,45.60,46.40,44.85,45.80,6589400,45.80
2012-10-12,46.00,46.70,45.05,45.50,11078400,45.50
2012-10-11,44.40,46.60,42.70,46.40,21365600,46.40
2012-10-10,46.40,47.25,43.50,43.70,18755500,43.70
2012-10-09,46.55,48.00,45.50,46.65,38438400,46.65
2012-10-08,44.75,46.80,44.20,45.45,24028800,45.45
2012-10-05,47.50,47.50,43.30,44.80,37891000,44.80
2012-10-04,51.25,52.20,47.00,47.70,55421200,47.70
2012-10-03,49.45,51.25,48.40,50.75,30706600,50.75
2012-10-02,48.50,48.50,48.50,48.50,000,48.50
2012-10-01,46.50,48.95,46.25,48.50,8361500,48.50
2012-09-28,47.10,48.55,46.05,46.45,11761100,46.45
2012-09-27,47.80,48.60,46.40,46.85,17280400,46.85
2012-09-26,48.60,49.70,47.55,47.85,8211000,47.85
2012-09-25,48.00,49.20,46.55,48.70,11884200,48.70
2012-09-24,47.05,49.80,47.05,47.80,13896900,47.80
2012-09-21,43.80,47.50,43.80,47.00,16085200,47.00
2012-09-20,44.50,44.80,43.25,43.65,5905600,43.65
2012-09-19,45.25,45.25,45.25,45.25,000,45.25
2012-09-18,45.00,45.70,44.20,45.25,6722800,45.25
2012-09-17,42.30,44.95,42.30,44.40,11681900,44.40
2012-09-14,39.55,41.85,39.40,41.55,11005700,41.55
2012-09-13,39.70,39.75,38.40,38.70,3672800,38.70
2012-09-12,39.40,40.10,38.95,39.65,5191700,39.65
2012-09-11,38.50,39.40,37.95,39.15,4149900,39.15
2012-09-10,39.00,39.80,38.30,38.80,3814900,38.80
2012-09-07,39.90,40.25,38.65,39.25,5103500,39.25
2012-09-06,39.50,39.90,38.80,39.00,3744900,39.00
2012-09-05,38.85,39.95,38.25,39.35,4973500,39.35
2012-09-04,37.35,39.25,36.90,39.00,5153500,39.00
2012-09-03,38.80,39.50,38.45,38.85,3481700,38.85
2012-08-31,38.85,39.50,37.60,38.40,4795800,38.40
2012-08-30,38.50,39.40,36.65,38.55,9617400,38.55
2012-08-29,40.50,40.65,38.35,38.60,5001200,38.60
2012-08-28,39.65,41.35,38.55,40.35,8316800,40.35
2012-08-27,42.30,42.30,39.30,39.70,3998100,39.70
2012-08-24,42.55,42.90,41.15,41.50,3086600,41.50
2012-08-23,43.50,44.20,42.30,42.55,3537900,42.55
2012-08-22,44.25,44.65,42.75,43.20,2923000,43.20
2012-08-21,44.45,44.75,43.70,44.45,2538600,44.45
2012-08-20,44.35,44.35,44.35,44.35,000,44.35
2012-08-17,45.95,46.45,44.15,44.35,3666900,44.35
2012-08-16,45.65,46.70,44.50,45.80,3598600,45.80
2012-08-15,45.65,45.65,45.65,45.65,000,45.65
2012-08-14,45.80,46.50,45.10,45.65,4020200,45.65
2012-08-13,44.50,45.90,44.20,45.60,3996800,45.60
2012-08-10,44.25,44.95,43.55,44.45,3193400,44.45
2012-08-09,45.30,45.90,44.00,44.35,4536300,44.35
2012-08-08,47.55,47.80,44.70,45.10,5630100,45.10
2012-08-07,47.25,47.95,46.80,47.15,5118400,47.15
2012-08-06,47.25,48.10,46.60,46.85,6807900,46.85
2012-08-03,45.70,46.80,44.35,46.55,8639000,46.55
2012-08-02,44.65,46.30,44.05,46.05,6911200,46.05
2012-08-01,43.55,44.95,43.15,44.40,3894000,44.40
2012-07-31,44.95,45.20,42.60,44.05,6211200,44.05
2012-07-30,42.45,45.00,42.45,44.75,4734300,44.75
2012-07-27,44.90,46.05,41.75,42.30,7181600,42.30
2012-07-26,42.75,45.45,40.75,43.95,12965500,43.95
2012-07-25,43.25,43.50,41.60,42.25,6433100,42.25
2012-07-24,44.50,44.70,42.85,43.00,6072000,43.00
2012-07-23,46.40,46.40,43.10,43.75,5469500,43.75
2012-07-20,48.00,48.00,46.50,46.65,3939000,46.65
2012-07-19,48.30,48.50,47.25,47.35,4633600,47.35
2012-07-18,46.80,47.95,45.55,47.65,6999400,47.65
2012-07-17,48.50,48.50,46.40,46.85,4495600,46.85
2012-07-16,48.10,49.20,46.80,47.45,8600900,47.45
2012-07-13,49.60,50.25,47.30,47.55,9693800,47.55
2012-07-12,51.25,51.25,48.55,49.30,9497100,49.30
2012-07-11,51.30,52.60,50.55,51.25,7049100,51.25
2012-07-10,49.05,51.35,43.20,51.10,9293500,51.10
2012-07-09,52.00,52.20,48.80,49.20,10123700,49.20
2012-07-06,51.75,54.90,51.75,53.05,5997000,53.05
2012-07-05,53.80,55.20,53.00,54.45,7502900,54.45
2012-07-04,53.60,53.85,52.50,53.40,4506900,53.40
2012-07-03,54.00,54.50,52.75,53.35,4998900,53.35
2012-07-02,53.80,54.10,52.60,53.45,4859000,53.45
2012-06-29,52.45,53.50,52.20,52.85,6780800,52.85
2012-06-28,51.80,52.15,51.20,51.70,5041400,51.70
2012-06-27,51.90,52.10,51.10,51.35,3453900,51.35
2012-06-26,52.40,52.45,50.60,51.20,7088500,51.20
2012-06-25,52.75,53.50,51.60,51.95,9595900,51.95
2012-06-22,51.25,52.60,50.25,51.65,12482400,51.65
