Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1299.20,1299.20,1299.20,1299.20,000,1299.20
2012-12-24,1305.00,1312.70,1286.10,1299.20,20000,1299.20
2012-12-21,1320.20,1320.20,1288.70,1299.35,56600,1299.35
2012-12-20,1349.95,1349.95,1313.00,1320.70,39600,1320.70
2012-12-19,1355.00,1374.80,1338.00,1343.65,37600,1343.65
2012-12-18,1353.80,1362.70,1336.00,1339.50,37900,1339.50
2012-12-17,1361.45,1379.00,1326.00,1346.85,71000,1346.85
2012-12-14,1340.00,1383.00,1336.40,1361.45,40700,1361.45
2012-12-13,1413.85,1414.00,1356.60,1365.65,38100,1365.65
2012-12-12,1415.00,1421.00,1395.00,1404.85,22000,1404.85
2012-12-11,1424.00,1430.70,1400.00,1408.10,29600,1408.10
2012-12-10,1408.00,1435.00,1407.95,1413.75,53100,1413.75
2012-12-07,1412.00,1474.25,1392.20,1405.45,103900,1405.45
2012-12-06,1414.00,1421.70,1378.65,1405.55,42000,1405.55
2012-12-05,1405.00,1414.90,1395.35,1407.65,51200,1407.65
2012-12-04,1370.00,1425.00,1370.00,1394.95,76100,1394.95
2012-12-03,1384.95,1398.00,1365.00,1378.80,41100,1378.80
2012-11-30,1389.00,1396.70,1362.25,1375.45,38700,1375.45
2012-11-29,1358.85,1418.80,1350.25,1380.20,221100,1380.20
2012-11-28,1348.25,1348.25,1348.25,1348.25,000,1348.25
2012-11-27,1329.00,1370.00,1320.70,1348.25,101500,1348.25
2012-11-26,1325.00,1337.00,1312.00,1319.00,37300,1319.00
2012-11-23,1315.00,1325.70,1271.00,1307.10,47000,1307.10
2012-11-22,1344.50,1349.90,1303.80,1312.15,66600,1312.15
2012-11-21,1285.00,1355.00,1285.00,1330.45,101400,1330.45
2012-11-20,1365.00,1380.00,1317.95,1332.30,50400,1332.30
2012-11-19,1334.40,1380.00,1326.25,1353.95,90200,1353.95
2012-11-16,1400.00,1409.95,1303.00,1321.45,169200,1321.45
2012-11-15,1380.00,1432.00,1332.60,1393.75,110900,1393.75
2012-11-14,1377.10,1377.10,1377.10,1377.10,000,1377.10
2012-11-13,1377.10,1377.10,1377.10,1377.10,000,1377.10
2012-11-12,1310.05,1400.00,1290.00,1362.40,184800,1362.40
2012-11-09,1355.00,1361.00,1277.00,1304.60,130500,1304.60
2012-11-08,1320.10,1368.80,1320.00,1351.85,153700,1351.85
2012-11-07,1315.15,1362.00,1310.00,1337.70,267800,1337.70
2012-11-06,1200.00,1327.00,1200.00,1305.15,358500,1305.15
2012-11-05,1229.75,1249.75,1205.70,1216.40,34300,1216.40
2012-11-02,1229.50,1238.00,1218.00,1229.95,38600,1229.95
2012-11-01,1229.80,1247.85,1210.00,1227.95,175000,1227.95
2012-10-31,1121.00,1238.95,1118.60,1224.55,572900,1224.55
2012-10-30,1143.00,1164.85,1111.00,1120.30,26800,1120.30
2012-10-29,1164.95,1165.95,1141.00,1145.65,9000,1145.65
2012-10-26,1185.00,1185.00,1143.00,1147.65,17700,1147.65
2012-10-25,1165.05,1190.00,1160.15,1169.05,43200,1169.05
2012-10-24,1162.10,1162.10,1162.10,1162.10,000,1162.10
2012-10-23,1144.70,1170.00,1135.00,1162.10,22600,1162.10
2012-10-22,1158.90,1158.90,1130.00,1132.80,26800,1132.80
2012-10-19,1136.05,1179.95,1136.05,1158.20,18600,1158.20
2012-10-18,1184.80,1188.00,1135.35,1169.15,47300,1169.15
2012-10-17,1178.90,1190.00,1154.00,1163.60,41100,1163.60
2012-10-16,1154.50,1178.00,1132.10,1166.15,109400,1166.15
2012-10-15,1139.45,1180.00,1135.00,1158.80,83500,1158.80
2012-10-12,1056.00,1144.90,1056.00,1133.95,112800,1133.95
2012-10-11,1049.95,1095.00,1045.10,1084.35,83900,1084.35
2012-10-10,1066.00,1076.10,1050.05,1052.10,26000,1052.10
2012-10-09,1035.00,1097.90,1029.00,1076.05,127200,1076.05
2012-10-08,1014.90,1040.00,1014.90,1033.20,39500,1033.20
2012-10-05,1018.45,1025.00,1007.00,1019.80,67500,1019.80
2012-10-04,1012.00,1029.00,1001.00,1008.90,95000,1008.90
2012-10-03,1004.95,1025.00,1000.00,1010.30,116700,1010.30
2012-10-02,993.20,993.20,993.20,993.20,000,993.20
2012-10-01,950.00,1003.05,941.00,993.20,113200,993.20
2012-09-28,928.00,940.00,925.05,932.70,264900,932.70
2012-09-27,926.00,927.00,916.05,923.25,51200,923.25
2012-09-26,910.00,924.90,910.00,920.80,67300,920.80
2012-09-25,926.70,927.00,911.00,915.25,51200,915.25
2012-09-24,919.95,923.00,909.50,919.65,57700,919.65
2012-09-21,916.15,924.90,905.05,908.60,67900,908.60
2012-09-20,919.95,930.00,907.55,911.75,38600,911.75
2012-09-19,920.20,920.20,920.20,920.20,000,920.20
2012-09-18,918.85,932.00,915.00,920.20,264200,920.20
2012-09-17,909.40,927.65,905.00,915.95,49900,915.95
2012-09-14,900.00,925.00,900.00,909.40,41600,909.40
2012-09-13,891.95,905.05,890.00,893.80,11300,893.80
2012-09-12,893.05,903.00,880.05,888.20,46400,888.20
2012-09-11,898.45,901.75,888.00,891.55,20800,891.55
2012-09-10,897.00,906.35,896.75,898.45,5200,898.45
2012-09-07,910.00,915.00,889.05,895.55,37100,895.55
2012-09-06,900.00,908.00,898.00,900.35,9600,900.35
2012-09-05,896.00,908.80,895.05,899.85,12100,899.85
2012-09-04,902.50,905.10,880.00,904.55,37800,904.55
2012-09-03,920.00,920.00,883.70,896.35,8500,896.35
2012-08-31,920.25,925.00,911.05,919.80,29200,919.80
2012-08-30,914.05,929.00,914.05,922.55,4800,922.55
2012-08-29,922.05,931.40,922.00,925.65,4000,925.65
2012-08-28,938.00,938.00,923.70,926.50,5300,926.50
2012-08-27,911.00,947.00,770.00,938.80,7700,938.80
2012-08-24,938.00,947.50,932.00,936.05,34300,936.05
2012-08-23,960.00,960.00,940.00,942.25,140200,942.25
2012-08-22,930.00,958.00,930.00,950.65,229300,950.65
2012-08-21,948.80,948.80,920.00,932.30,21700,932.30
2012-08-20,926.25,926.25,926.25,926.25,000,926.25
2012-08-17,921.00,929.00,916.95,926.25,28200,926.25
2012-08-16,929.40,940.00,915.00,920.35,16600,920.35
2012-08-15,919.95,919.95,919.95,919.95,000,919.95
2012-08-14,930.60,930.65,916.00,919.95,29700,919.95
2012-08-13,941.95,941.95,922.50,925.65,15600,925.65
2012-08-10,939.00,939.00,920.00,924.85,10500,924.85
2012-08-09,939.65,945.00,934.00,938.10,10000,938.10
2012-08-08,945.95,947.00,930.00,939.65,19500,939.65
2012-08-07,935.00,958.00,928.15,941.35,206400,941.35
2012-08-06,930.00,938.45,924.80,933.85,13200,933.85
2012-08-03,934.95,934.95,914.00,924.35,12000,924.35
2012-08-02,929.00,940.00,921.05,934.95,10600,934.95
2012-08-01,928.00,931.90,911.00,929.90,10700,929.90
2012-07-31,918.00,922.00,910.00,914.85,13600,914.85
2012-07-30,904.80,922.00,895.00,907.55,6500,907.55
2012-07-27,906.25,919.95,892.00,905.50,29100,905.50
2012-07-26,918.00,918.00,904.00,908.05,12700,908.05
2012-07-25,931.65,931.65,911.05,919.00,11200,919.00
2012-07-24,920.45,935.45,920.45,929.75,50200,929.75
2012-07-23,902.00,929.90,900.00,928.05,14600,928.05
2012-07-20,910.05,920.00,902.00,908.60,7800,908.60
2012-07-19,916.00,940.00,910.15,913.70,7800,913.70
2012-07-18,918.10,922.80,912.10,918.45,8400,918.45
2012-07-17,930.15,933.35,915.55,921.80,11000,921.80
2012-07-16,942.00,954.00,923.35,934.25,23900,934.25
2012-07-13,921.15,937.75,921.15,932.10,19300,932.10
2012-07-12,930.40,935.00,921.20,926.65,7800,926.65
2012-07-11,929.00,939.85,926.25,928.90,17000,928.90
2012-07-10,940.55,947.90,923.05,927.70,36900,927.70
2012-07-09,965.00,965.00,934.00,940.65,14700,940.65
2012-07-06,970.00,974.95,955.00,962.45,20100,962.45
2012-07-05,975.95,984.30,960.65,967.95,25400,967.95
2012-07-04,995.20,1005.00,970.00,999.15,25500,965.65
2012-07-03,1000.00,1013.80,995.55,998.75,80700,965.26
2012-07-02,995.00,1011.00,991.00,993.55,102300,960.24
2012-06-29,988.00,997.30,976.05,988.30,44100,955.16
2012-06-28,965.00,989.00,963.25,973.40,28400,940.76
2012-06-27,946.90,989.00,946.90,977.20,179400,944.44
2012-06-26,954.00,954.00,942.00,948.15,113000,916.36
2012-06-25,942.50,955.00,939.90,949.95,13800,918.10
2012-06-22,921.10,952.20,921.10,938.85,13200,907.37
2012-06-21,930.15,937.55,922.65,929.40,10300,898.24
2012-06-20,910.05,938.00,910.05,932.55,8000,901.28
2012-06-19,908.05,935.00,908.05,926.95,157600,895.87
2012-06-18,921.05,923.45,907.00,912.80,67300,882.20
2012-06-15,915.05,930.00,911.20,915.35,8400,884.66
2012-06-14,921.80,929.55,908.00,912.15,8100,881.57
2012-06-13,928.95,935.50,911.10,917.80,10400,887.03
2012-06-12,905.35,938.00,895.10,933.80,15900,902.49
2012-06-11,936.95,940.05,910.10,915.60,16900,884.90
2012-06-08,934.00,937.70,924.30,927.80,12400,896.69
2012-06-07,933.50,949.80,918.05,929.05,16800,897.90
2012-06-06,905.00,943.00,899.00,923.55,59100,892.58
2012-06-05,955.00,955.00,892.50,896.20,9100,866.15
2012-06-04,884.25,918.70,884.20,900.95,12400,870.74
2012-06-01,928.05,928.05,900.00,905.30,12400,874.95
2012-05-31,901.30,951.50,888.00,928.60,118300,897.47
2012-05-30,898.10,917.00,895.00,906.35,68300,875.96
2012-05-29,925.00,931.20,905.00,908.05,66500,877.60
2012-05-28,933.00,938.10,918.20,924.95,87900,893.94
2012-05-25,911.05,925.00,902.00,919.40,70000,888.57
2012-05-24,892.05,929.00,875.20,919.40,9200,888.57
2012-05-23,898.00,908.00,887.15,901.40,6800,871.18
2012-05-22,903.70,1033.00,896.00,898.40,12800,868.28
2012-05-21,882.00,907.00,857.20,894.65,49200,864.65
2012-05-18,855.00,865.00,854.95,857.20,22700,828.46
2012-05-17,864.00,874.00,852.05,860.40,95600,831.55
2012-05-16,856.55,864.00,848.05,858.70,6000,829.91
2012-05-15,864.00,865.00,854.65,860.80,11900,831.94
2012-05-14,860.00,897.85,858.00,864.25,57900,835.27
2012-05-11,866.85,866.85,840.00,848.25,13000,819.81
2012-05-10,855.00,870.00,853.00,856.80,13800,828.07
2012-05-09,874.95,875.00,837.85,851.15,20600,822.61
2012-05-08,897.00,900.00,862.25,871.35,6100,842.13
2012-05-07,890.00,897.90,880.00,884.15,14600,854.51
2012-05-04,915.00,915.00,900.00,903.05,6200,872.77
2012-05-03,910.00,914.95,900.00,908.95,7900,878.47
2012-05-02,937.70,937.70,904.00,914.30,26900,883.64
2012-05-01,941.10,941.10,941.10,941.10,000,909.55
2012-04-30,895.00,962.70,887.05,941.10,57100,909.55
2012-04-27,895.00,913.85,890.00,894.40,16500,864.41
2012-04-26,935.00,935.00,886.00,904.45,6400,874.13
2012-04-25,910.00,918.00,883.70,897.00,9400,866.92
2012-04-24,906.00,915.05,900.00,908.95,4900,878.47
2012-04-23,935.35,935.35,902.75,907.40,4300,876.98
2012-04-20,930.00,945.00,920.00,925.65,190100,894.61
2012-04-19,922.25,950.00,916.00,942.95,10200,911.33
2012-04-18,933.00,940.00,912.85,934.60,44300,903.26
2012-04-17,919.85,935.00,896.00,899.60,36500,869.44
2012-04-16,900.00,929.90,891.65,921.80,8200,890.89
2012-04-13,907.00,935.00,905.00,909.80,11400,879.30
2012-04-12,905.00,942.80,890.75,921.55,25700,890.65
2012-04-11,878.05,913.95,878.05,899.20,14900,869.05
2012-04-10,897.00,904.45,875.15,889.35,4900,859.53
2012-04-09,904.00,914.90,877.55,884.35,14200,854.70
2012-04-06,914.35,914.35,914.35,914.35,000,883.69
2012-04-05,914.35,914.35,914.35,914.35,000,883.69
2012-04-04,929.00,929.00,900.00,914.35,6300,883.69
2012-04-03,912.00,923.00,900.00,911.95,30400,881.37
2012-04-02,920.95,929.80,895.00,905.00,15100,874.66
2012-03-30,870.60,927.05,860.00,919.00,88300,888.19
2012-03-29,849.00,893.00,845.90,881.20,90000,851.65
2012-03-28,852.10,869.65,833.35,858.40,43700,829.62
2012-03-27,870.00,870.00,852.00,856.10,27400,827.40
2012-03-26,867.10,893.50,850.00,868.10,23900,838.99
2012-03-23,868.50,880.00,851.00,877.10,44400,847.69
2012-03-22,856.40,883.00,856.40,878.75,14200,849.29
2012-03-21,865.30,882.00,856.10,878.15,12600,848.71
2012-03-20,871.00,871.90,860.00,869.45,11300,840.30
2012-03-19,859.00,880.00,846.05,871.25,30600,842.04
2012-03-16,855.85,865.00,845.20,854.45,112700,825.80
2012-03-15,869.00,870.00,845.00,861.95,32600,833.05
2012-03-14,857.00,870.00,850.00,862.80,38200,833.87
2012-03-13,848.50,859.00,845.00,847.35,8700,818.94
2012-03-12,855.15,872.00,840.00,848.95,10300,820.49
2012-03-09,839.95,848.00,830.00,842.90,37200,814.64
2012-03-08,816.10,816.10,816.10,816.10,000,788.74
2012-03-07,814.50,825.00,808.95,816.10,21400,788.74
2012-03-06,814.00,849.00,811.00,823.50,14500,795.89
2012-03-05,849.00,849.00,803.35,819.40,17600,791.93
2012-03-02,868.00,903.00,821.00,828.70,17700,800.91
2012-03-01,854.30,863.75,842.00,846.05,9800,817.68
2012-02-29,875.00,880.00,842.10,864.85,22100,835.85
2012-02-28,820.00,888.75,820.00,862.25,44300,833.34
2012-02-27,828.05,845.00,812.00,816.30,26100,788.93
2012-02-24,833.00,839.40,815.00,833.10,14600,805.17
2012-02-23,849.00,849.00,782.45,821.40,59500,793.86
2012-02-22,866.00,866.00,783.40,802.30,35900,775.40
2012-02-21,883.00,883.00,832.25,844.25,36400,815.94
2012-02-20,862.45,862.45,862.45,862.45,000,833.53
2012-02-17,900.00,907.00,856.00,862.45,52400,833.53
2012-02-16,838.00,874.35,821.10,867.25,126400,838.17
2012-02-15,819.90,839.90,815.75,830.45,103900,802.61
2012-02-14,806.00,825.80,794.30,815.50,47800,788.16
2012-02-13,817.75,820.15,808.20,818.00,14800,790.57
2012-02-10,818.00,834.95,806.40,814.15,14500,786.85
2012-02-09,822.05,824.95,813.35,818.90,14100,791.44
2012-02-08,818.00,830.00,809.00,826.00,18300,798.31
2012-02-07,829.10,837.90,826.00,826.30,23400,798.60
2012-02-06,838.00,847.00,831.00,834.40,24500,806.42
2012-02-03,812.60,835.00,812.60,826.25,11200,798.55
2012-02-02,833.00,833.00,806.10,823.90,25500,796.28
2012-02-01,832.00,847.00,806.25,814.60,17000,787.29
2012-01-31,820.00,834.00,800.25,829.50,77800,801.69
2012-01-30,810.00,832.00,806.00,813.85,45600,786.56
2012-01-27,784.00,807.80,782.90,799.95,23400,773.13
2012-01-26,776.10,776.10,776.10,776.10,000,750.08
2012-01-25,781.20,789.80,770.30,776.10,6700,750.08
2012-01-24,761.60,792.00,761.25,774.15,22800,748.19
2012-01-23,757.00,780.10,754.00,774.15,16700,748.19
2012-01-20,757.10,760.80,745.00,758.55,9300,733.12
2012-01-19,757.95,759.80,738.50,745.85,9900,720.84
2012-01-18,758.00,758.00,740.35,745.35,19300,720.36
