Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,103.65,103.65,103.65,103.65,000,103.65
2012-12-24,102.50,105.00,101.00,103.65,15100,103.65
2012-12-21,103.00,105.00,101.25,102.25,271400,102.25
2012-12-20,100.25,103.75,99.00,102.75,75600,102.75
2012-12-19,101.00,106.00,100.25,100.95,25700,100.95
2012-12-18,100.70,101.70,100.50,100.55,162000,100.55
2012-12-17,101.00,101.70,100.50,100.60,5600,100.60
2012-12-14,100.65,103.85,100.50,101.25,20300,101.25
2012-12-13,101.00,101.90,100.50,101.05,18600,101.05
2012-12-12,101.10,102.50,99.50,100.95,23900,100.95
2012-12-11,102.00,102.45,100.25,101.75,11100,101.75
2012-12-10,100.15,102.00,100.15,101.40,380000,101.40
2012-12-07,101.85,102.00,100.15,100.35,403200,100.35
2012-12-06,102.45,102.95,100.45,101.00,17000,101.00
2012-12-05,102.35,104.50,101.00,102.45,213500,102.45
2012-12-04,103.50,104.50,102.10,102.50,63700,102.50
2012-12-03,103.00,107.50,101.90,103.60,82900,103.60
2012-11-30,101.90,102.80,100.15,101.95,17700,101.95
2012-11-29,102.95,102.95,100.35,101.40,9800,101.40
2012-11-28,102.50,102.50,102.50,102.50,000,102.50
2012-11-27,102.20,103.00,101.55,102.50,88400,102.50
2012-11-26,101.55,103.00,99.95,102.55,33600,102.55
2012-11-23,102.00,103.35,99.55,100.40,9800,100.40
2012-11-22,100.25,103.20,100.10,102.50,8400,102.50
2012-11-21,100.10,101.85,99.45,100.95,57900,100.95
2012-11-20,102.85,103.00,100.15,100.80,12900,100.80
2012-11-19,101.85,102.90,100.10,101.90,19000,101.90
2012-11-16,101.00,103.45,100.20,100.90,409800,100.90
2012-11-15,101.00,102.00,100.75,101.40,54500,101.40
2012-11-14,100.45,100.45,100.45,100.45,000,100.45
2012-11-13,100.45,100.45,100.45,100.45,000,100.45
2012-11-12,103.80,103.80,100.10,100.45,5900,100.45
2012-11-09,103.90,104.50,102.15,102.70,83800,102.70
2012-11-08,103.10,103.70,102.50,103.20,26500,103.20
2012-11-07,102.85,109.90,102.00,104.15,56700,104.15
2012-11-06,100.60,102.50,100.55,102.05,9900,102.05
2012-11-05,100.15,102.00,100.05,101.00,128400,101.00
2012-11-02,100.85,102.50,99.25,99.35,74900,99.35
2012-11-01,97.25,102.00,97.25,99.90,45200,99.90
2012-10-31,101.85,104.80,97.90,99.00,26700,99.00
2012-10-30,103.05,103.05,96.65,100.25,33800,100.25
2012-10-29,100.75,102.40,97.20,100.75,29900,100.75
2012-10-26,104.15,104.15,104.15,104.15,000,104.15
2012-10-25,102.55,105.90,102.55,104.15,31500,104.15
2012-10-24,102.95,102.95,102.95,102.95,000,102.95
2012-10-23,104.00,104.00,101.10,102.95,27100,102.95
2012-10-22,105.05,105.60,102.20,104.80,28200,104.80
2012-10-19,102.35,106.00,101.00,105.05,145200,105.05
2012-10-18,104.00,105.00,101.95,102.10,215200,102.10
2012-10-17,97.80,104.65,97.50,103.90,990700,103.90
2012-10-16,94.25,98.60,93.70,96.65,75300,96.65
2012-10-15,95.80,96.05,94.50,95.05,5300,95.05
2012-10-12,97.50,97.75,95.95,96.05,4400,96.05
2012-10-11,95.75,99.00,94.00,98.25,639500,98.25
2012-10-10,97.70,98.35,95.70,96.20,383900,96.20
