Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,35.05,35.05,35.05,35.05,000,35.05
2012-12-24,35.00,37.35,35.00,35.05,2600,35.05
2012-12-21,38.00,38.00,35.10,36.20,11900,36.20
2012-12-20,34.35,37.00,34.35,36.65,26900,36.65
2012-12-19,35.50,36.20,35.00,35.25,4300,35.25
2012-12-18,34.50,36.05,33.60,35.50,26100,35.50
2012-12-17,34.60,35.40,34.60,34.70,5800,34.70
2012-12-14,35.00,35.15,34.25,35.05,2500,35.05
2012-12-13,36.25,36.25,34.70,34.80,17800,34.80
2012-12-12,36.00,36.70,35.00,35.40,17800,35.40
2012-12-11,35.10,37.20,35.10,36.30,3500,36.30
2012-12-10,36.00,37.00,35.75,35.85,6000,35.85
2012-12-07,36.00,37.50,36.00,36.40,14100,36.40
2012-12-06,36.95,36.95,35.90,36.40,3900,36.40
2012-12-05,36.00,37.25,35.75,36.10,13100,36.10
2012-12-04,38.30,38.30,34.80,35.60,13800,35.60
2012-12-03,35.00,36.95,35.00,36.55,17100,36.55
2012-11-30,35.10,35.80,34.65,35.20,8800,35.20
2012-11-29,37.25,37.40,35.80,36.40,12700,36.40
2012-11-28,35.90,35.90,35.90,35.90,000,35.90
2012-11-27,34.00,35.90,34.00,35.90,12300,35.90
2012-11-26,34.10,34.40,34.10,34.20,6800,34.20
2012-11-23,33.85,34.50,33.85,33.90,8800,33.90
2012-11-22,33.40,34.50,33.40,34.30,3300,34.30
2012-11-21,35.10,35.10,33.25,33.25,6300,33.25
2012-11-20,32.95,34.65,32.00,34.00,16600,34.00
2012-11-19,33.80,34.80,32.15,33.00,9300,33.00
2012-11-16,33.15,34.90,33.15,33.50,6900,33.50
2012-11-15,33.10,35.00,33.10,34.60,4700,34.60
2012-11-14,34.35,34.35,34.35,34.35,000,34.35
2012-11-13,34.35,34.35,34.35,34.35,000,34.35
2012-11-12,32.70,35.45,32.70,34.35,6300,34.35
2012-11-09,35.50,35.50,34.20,34.35,7200,34.35
2012-11-08,33.25,35.75,33.25,35.10,6800,35.10
2012-11-07,34.00,35.20,34.00,34.35,8800,34.35
2012-11-06,34.35,35.55,34.30,34.60,4300,34.60
2012-11-05,34.75,35.85,34.35,35.45,2100,35.45
2012-11-02,34.50,35.25,33.80,34.20,8900,34.20
2012-11-01,33.00,34.00,33.00,33.80,9100,33.80
2012-10-31,33.90,33.95,32.50,33.00,14700,33.00
2012-10-30,35.10,35.50,33.25,33.40,29200,33.40
2012-10-29,35.40,37.10,34.55,34.95,10100,34.95
2012-10-26,36.75,36.75,36.75,36.75,000,36.75
2012-10-25,36.00,36.95,36.00,36.75,1800,36.75
2012-10-24,36.50,36.50,36.50,36.50,000,36.50
2012-10-23,36.40,38.40,36.10,36.50,10000,36.50
2012-10-22,38.60,38.60,36.30,37.80,1300,37.80
2012-10-19,36.20,38.50,36.20,37.40,3400,37.40
2012-10-18,36.60,38.45,36.25,37.80,4200,37.80
2012-10-17,37.45,37.80,37.00,37.45,5000,37.45
2012-10-16,39.00,39.10,37.60,38.00,2300,38.00
2012-10-15,37.25,39.10,37.25,39.00,12500,39.00
2012-10-12,36.55,39.60,36.55,38.35,77200,38.35
2012-10-11,37.60,38.50,36.50,37.80,13900,37.80
2012-10-10,39.30,39.45,37.50,37.50,13000,37.50
2012-10-09,38.90,39.70,38.15,38.55,6100,38.55
2012-10-08,41.80,41.80,38.85,39.10,23500,39.10
2012-10-05,42.20,42.20,39.85,40.10,22600,40.10
2012-10-04,42.30,42.30,40.35,41.90,149900,41.90
2012-10-03,40.15,40.30,40.15,40.30,16900,40.30
2012-10-02,38.40,38.40,38.40,38.40,000,38.40
2012-10-01,38.00,38.40,37.00,38.40,31500,38.40
2012-09-28,38.00,38.00,35.55,36.60,5600,36.60
2012-09-27,36.50,38.00,35.60,37.40,24900,37.40
2012-09-26,35.00,36.65,34.95,36.50,107900,36.50
2012-09-25,36.50,36.50,34.65,34.95,398100,34.95
2012-09-24,36.25,37.50,35.15,36.40,162400,36.40
2012-09-21,35.00,36.00,34.10,35.95,63300,35.95
2012-09-20,35.00,35.70,34.75,34.75,61900,34.75
2012-09-19,35.15,35.15,35.15,35.15,000,35.15
2012-09-18,34.60,36.60,34.50,35.15,105800,35.15
2012-09-17,35.50,35.90,35.00,35.50,13200,35.50
2012-09-14,35.00,35.50,34.50,34.75,39100,34.75
2012-09-13,34.00,35.35,34.00,35.00,75100,35.00
2012-09-12,34.05,35.90,34.00,35.35,108900,35.35
2012-09-11,33.10,34.65,33.00,34.20,24200,34.20
2012-09-10,37.00,37.00,34.60,34.65,16600,34.65
2012-09-07,35.00,35.00,34.00,34.85,28800,34.85
2012-09-06,33.15,35.00,33.15,34.80,21600,34.80
2012-09-05,33.55,34.95,33.55,34.25,1400,34.25
2012-09-04,34.05,35.65,34.00,34.90,25200,34.90
2012-09-03,35.50,35.80,34.30,34.50,3200,34.50
2012-08-31,34.50,36.75,34.50,35.15,20600,35.15
2012-08-30,35.60,38.00,35.60,36.05,2900,36.05
2012-08-29,36.60,38.80,36.45,37.00,5600,37.00
2012-08-28,38.80,39.00,37.95,38.30,28300,38.30
2012-08-27,39.05,40.00,38.50,39.90,53000,39.90
2012-08-24,38.00,40.00,38.00,38.25,17200,38.25
2012-08-23,40.20,40.20,38.50,38.50,8800,38.50
2012-08-22,41.45,41.45,38.05,38.70,9500,38.70
2012-08-21,40.80,41.00,38.90,40.05,64800,40.05
2012-08-20,40.25,40.25,40.25,40.25,000,40.25
2012-08-17,39.80,40.30,38.00,40.25,18800,40.25
2012-08-16,38.15,40.50,38.00,38.60,66800,38.60
2012-08-15,40.00,40.00,40.00,40.00,000,40.00
2012-08-14,39.70,41.00,37.60,40.00,47500,40.00
2012-08-13,41.00,41.50,39.50,39.50,3300,39.50
2012-08-10,39.30,41.50,39.30,41.00,35600,41.00
2012-08-09,39.30,41.25,39.30,41.25,7100,41.25
2012-08-08,40.00,41.00,39.55,41.00,7900,41.00
2012-08-07,41.50,42.75,40.10,40.50,11200,40.50
2012-08-06,42.40,44.40,41.25,42.05,20700,42.05
2012-08-03,39.00,42.40,39.00,42.40,23000,42.40
2012-08-02,38.40,40.65,38.35,40.40,31800,40.40
2012-08-01,37.00,38.85,36.50,38.75,22700,38.75
2012-07-31,37.05,38.10,36.30,37.00,7100,37.00
2012-07-30,34.70,37.80,34.70,37.40,7300,37.40
2012-07-27,36.00,38.00,36.00,36.35,25600,36.35
2012-07-26,36.20,37.75,36.10,37.30,17800,37.30
2012-07-25,39.95,39.95,36.65,37.95,32300,37.95
2012-07-24,38.90,39.45,36.05,38.55,27700,38.55
2012-07-23,37.00,37.80,37.00,37.80,33500,37.80
2012-07-20,33.25,36.00,33.25,36.00,35500,36.00
2012-07-19,33.55,34.30,33.00,34.30,19900,34.30
2012-07-18,33.00,33.85,32.50,32.70,1900,32.70
2012-07-17,32.50,34.00,32.50,33.10,900,33.10
2012-07-16,33.05,33.95,32.60,33.00,14400,33.00
2012-07-13,33.00,34.20,32.80,33.20,800,33.20
2012-07-12,34.00,34.35,33.00,33.65,276400,33.65
2012-07-11,34.00,34.50,33.60,33.85,13100,33.85
2012-07-10,34.40,34.50,33.60,33.80,4100,33.80
2012-07-09,34.50,34.50,33.50,34.00,30800,34.00
2012-07-06,34.40,35.00,33.60,34.30,20400,34.30
2012-07-05,34.50,34.50,33.50,33.85,8500,33.85
2012-07-04,34.00,35.50,33.00,34.10,11900,34.10
2012-07-03,32.50,35.00,32.50,34.35,3900,34.35
2012-07-02,34.30,34.65,33.50,34.15,24600,34.15
2012-06-29,33.50,34.90,33.00,33.90,7400,33.90
2012-06-28,32.30,33.30,32.30,33.25,4500,33.25
2012-06-27,33.30,33.30,32.25,32.75,5700,32.75
2012-06-26,32.65,33.50,32.30,32.65,3300,32.65
2012-06-25,31.70,33.45,31.70,33.00,11500,33.00
2012-06-22,32.50,33.25,32.45,32.55,5000,32.55
2012-06-21,32.05,34.25,32.05,33.20,9300,33.20
2012-06-20,32.60,33.60,32.50,33.50,5600,33.50
2012-06-19,33.20,34.70,33.00,34.10,4200,34.10
2012-06-18,32.65,34.15,32.65,33.65,2400,33.65
2012-06-15,35.50,35.70,32.30,32.60,31100,32.60
2012-06-14,34.45,34.45,33.10,34.00,6100,34.00
2012-06-13,34.00,34.65,32.35,34.10,15700,34.10
2012-06-12,33.00,34.65,33.00,33.95,28100,33.95
2012-06-11,35.45,35.45,33.75,34.25,2000,34.25
2012-06-08,34.80,34.80,32.40,33.95,7900,33.95
2012-06-07,34.00,34.50,33.20,34.00,5000,34.00
2012-06-06,36.00,36.00,33.90,34.40,5100,34.40
2012-06-05,33.50,34.90,32.05,34.85,30200,34.85
2012-06-04,33.00,34.00,32.85,33.25,3700,33.25
2012-06-01,36.50,36.50,34.00,34.55,4100,34.55
2012-05-31,36.70,36.70,33.60,35.65,13200,35.65
2012-05-30,37.90,37.90,35.20,35.35,69000,35.35
2012-05-29,37.05,37.05,37.00,37.05,66000,37.05
2012-05-28,34.90,35.30,34.30,35.30,9100,35.30
2012-05-25,33.65,33.65,33.50,33.65,33400,33.65
2012-05-24,32.05,32.05,32.05,32.05,6900,32.05
2012-05-23,30.55,30.55,30.00,30.55,39000,30.55
2012-05-22,29.10,29.10,28.60,29.10,6700,29.10
2012-05-21,27.50,27.75,27.00,27.75,33300,27.75
2012-05-18,27.70,28.85,26.40,26.45,261800,26.45
2012-05-17,28.50,28.50,27.15,27.50,125100,27.50
2012-05-16,29.50,30.00,28.55,28.55,22600,28.55
2012-05-15,29.60,30.70,29.40,30.05,100900,30.05
2012-05-14,31.25,32.50,30.90,30.90,19500,30.90
2012-05-11,32.40,33.00,31.40,32.50,34900,32.50
2012-05-10,33.50,34.95,32.85,33.00,14700,33.00
2012-05-09,36.00,36.00,34.20,34.55,22500,34.55
2012-05-08,36.90,37.50,35.95,36.00,43300,36.00
2012-05-07,36.20,38.90,36.10,37.80,17500,37.80
2012-05-04,37.00,39.00,36.35,38.00,57400,38.00
2012-05-03,38.30,39.00,37.45,38.00,22300,38.00
2012-05-02,40.00,40.00,37.90,39.00,18500,39.00
2012-05-01,39.00,39.00,39.00,39.00,000,39.00
2012-04-30,41.20,41.20,39.00,39.00,7800,39.00
2012-04-27,40.95,40.95,38.60,39.50,10100,39.50
2012-04-26,40.00,40.00,38.20,39.75,14300,39.75
2012-04-25,40.90,40.90,39.50,39.65,4100,39.65
2012-04-24,41.00,41.00,39.25,39.75,16700,39.75
2012-04-23,41.10,42.00,40.95,40.95,12800,40.95
2012-04-20,42.90,42.90,41.05,41.90,6300,41.90
2012-04-19,43.45,43.45,42.00,42.35,6400,42.35
2012-04-18,43.00,43.35,41.65,42.10,12100,42.10
2012-04-17,41.60,43.50,41.60,42.90,44300,42.90
2012-04-16,42.00,45.10,42.00,42.15,42100,42.15
2012-04-13,44.95,45.00,43.10,44.10,31200,44.10
2012-04-12,42.60,45.85,42.60,43.90,33500,43.90
2012-04-11,45.50,45.50,43.15,43.70,12600,43.70
2012-04-10,44.80,45.55,43.50,44.30,16300,44.30
2012-04-09,44.00,45.60,42.05,45.60,97500,45.60
2012-04-06,43.45,43.45,43.45,43.45,000,43.45
2012-04-05,43.45,43.45,43.45,43.45,000,43.45
2012-04-04,43.00,43.85,40.20,43.45,32000,43.45
2012-04-03,43.30,43.30,41.10,42.05,6900,42.05
2012-04-02,42.70,42.70,40.00,41.60,7300,41.60
2012-03-30,37.65,40.80,37.50,40.80,16600,40.80
2012-03-29,38.00,39.60,37.95,38.90,59500,38.90
2012-03-28,40.25,42.85,39.90,39.90,23400,39.90
2012-03-27,40.00,42.15,39.00,41.95,70600,41.95
2012-03-26,42.50,42.65,40.85,40.85,46600,40.85
2012-03-23,41.05,43.25,41.00,43.00,36400,43.00
2012-03-22,40.90,42.40,40.90,41.95,153900,41.95
2012-03-21,43.00,43.50,41.15,43.05,27000,43.05
2012-03-20,41.60,43.00,41.50,42.75,66500,42.75
2012-03-19,42.10,44.00,41.75,43.00,27900,43.00
2012-03-16,43.10,44.90,42.60,43.85,43900,43.85
2012-03-15,45.00,45.00,43.00,43.35,82200,43.35
2012-03-14,45.10,45.25,43.60,45.05,128300,45.05
2012-03-13,41.05,43.10,41.05,43.10,49500,43.10
2012-03-12,39.75,41.05,39.75,41.05,86500,41.05
2012-03-09,40.00,40.00,38.50,39.10,24800,39.10
2012-03-08,38.95,38.95,38.95,38.95,000,38.95
2012-03-07,38.10,39.50,37.70,38.95,40400,38.95
2012-03-06,39.00,40.30,38.50,39.60,30800,39.60
2012-03-05,39.00,40.45,38.30,39.75,81500,39.75
2012-03-02,38.00,39.50,36.10,38.25,83300,38.25
2012-03-01,38.50,38.65,37.50,37.95,88000,37.95
2012-02-29,39.00,40.25,38.55,38.90,197700,38.90
2012-02-28,37.25,39.90,37.25,38.45,318300,38.45
2012-02-27,41.00,41.00,39.20,39.20,101400,39.20
2012-02-24,43.30,43.90,41.25,41.25,152000,41.25
2012-02-23,44.95,44.95,43.40,43.40,192400,43.40
2012-02-22,49.40,49.40,45.65,45.65,330900,45.65
2012-02-21,46.95,48.05,46.40,48.05,563500,48.05
2012-02-20,45.80,45.80,45.80,45.80,000,45.80
2012-02-17,44.10,46.20,44.05,45.80,701500,45.80
2012-02-16,43.60,45.50,43.05,44.00,204000,44.00
2012-02-15,46.95,46.95,43.60,43.75,368900,43.75
2012-02-14,45.80,45.85,44.35,45.85,434200,45.85
2012-02-13,43.40,43.70,42.00,43.70,605500,43.70
2012-02-10,40.90,41.65,40.50,41.65,148000,41.65
2012-02-09,37.00,39.70,37.00,39.70,393300,39.70
2012-02-08,37.60,39.30,37.25,37.85,259000,37.85
2012-02-07,38.50,39.40,37.25,37.45,143100,37.45
2012-02-06,39.00,40.85,37.90,38.10,323900,38.10
2012-02-03,39.30,40.90,39.30,39.30,156000,39.30
2012-02-02,43.50,43.90,41.35,41.35,215900,41.35
