Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,67.55,67.55,67.55,67.55,000,67.55
2012-12-24,67.25,68.65,66.50,67.55,732700,67.55
2012-12-21,70.40,70.40,66.60,67.05,1324000,67.05
2012-12-20,72.20,72.60,69.70,70.70,1491600,70.70
2012-12-19,71.00,73.50,70.25,72.50,3448600,72.50
2012-12-18,71.65,71.65,68.65,70.50,1663200,70.50
2012-12-17,70.75,72.90,69.80,70.75,2487700,70.75
2012-12-14,66.95,72.40,66.50,70.75,5639800,70.75
2012-12-13,68.05,69.80,65.60,66.15,2624500,66.15
2012-12-12,68.20,68.35,66.90,67.75,1624900,67.75
2012-12-11,69.60,71.25,66.40,67.65,3312100,67.65
2012-12-10,66.50,70.65,65.80,69.10,4293500,69.10
2012-12-07,64.00,67.75,64.00,66.00,4148400,66.00
2012-12-06,64.25,64.90,61.85,63.70,1668200,63.70
2012-12-05,64.30,65.70,63.50,64.20,2735700,64.20
2012-12-04,60.10,64.35,60.10,63.75,3318500,63.75
2012-12-03,60.00,62.80,59.60,60.95,3028200,60.95
2012-11-30,58.70,62.70,58.50,59.85,3249900,59.85
2012-11-29,58.25,59.15,57.45,58.25,918400,58.25
2012-11-28,57.80,57.80,57.80,57.80,000,57.80
2012-11-27,55.95,58.30,55.80,57.80,1207300,57.80
2012-11-26,56.00,56.55,55.45,55.65,591400,55.65
2012-11-23,56.00,56.60,55.10,55.55,488200,55.55
2012-11-22,56.10,56.20,54.75,55.45,447000,55.45
2012-11-21,55.50,56.10,54.70,55.60,445700,55.60
2012-11-20,57.80,57.80,54.55,55.05,647700,55.05
2012-11-19,57.50,58.30,56.50,57.05,1049500,57.05
2012-11-16,58.00,60.90,57.00,57.95,1232800,57.95
2012-11-15,57.30,60.45,56.10,58.90,1097100,58.90
2012-11-14,57.45,57.45,57.45,57.45,000,57.45
2012-11-13,57.45,57.45,57.45,57.45,000,57.45
2012-11-12,57.05,58.40,56.05,57.45,724400,57.45
2012-11-09,57.55,58.45,56.20,56.60,647400,56.60
2012-11-08,57.55,58.85,57.40,57.60,836400,57.60
2012-11-07,58.20,59.45,57.40,59.00,849400,59.00
2012-11-06,56.95,58.35,56.90,57.85,466200,57.85
2012-11-05,57.50,58.40,56.85,57.40,399900,57.40
2012-11-02,57.55,58.80,57.25,57.75,358400,57.75
2012-11-01,56.35,58.25,55.95,57.75,727000,57.75
2012-10-31,56.40,56.80,55.50,56.40,393200,56.40
2012-10-30,58.85,58.85,55.30,56.05,534600,56.05
2012-10-29,59.15,59.50,58.05,58.50,503400,58.50
2012-10-26,60.10,60.10,60.10,60.10,000,60.10
2012-10-25,60.70,61.35,59.75,60.10,464500,60.10
2012-10-24,60.70,60.70,60.70,60.70,000,60.70
2012-10-23,60.65,62.40,60.40,60.70,770500,60.70
2012-10-22,60.00,61.40,59.90,60.70,569000,60.70
2012-10-19,62.40,62.55,60.10,60.50,630100,60.50
2012-10-18,60.65,62.65,60.35,62.35,1097900,62.35
2012-10-17,62.05,62.05,59.80,60.25,828400,60.25
2012-10-16,61.95,62.90,60.60,60.95,1426400,60.95
2012-10-15,61.00,61.50,60.40,60.80,704600,60.80
2012-10-12,61.10,62.75,60.70,60.95,1122800,60.95
2012-10-11,61.10,62.20,59.40,61.75,1166800,61.75
2012-10-10,62.55,63.00,60.60,60.80,1101900,60.80
2012-10-09,63.30,64.65,62.60,63.25,1196000,63.25
2012-10-08,64.05,64.50,62.10,62.45,1032200,62.45
2012-10-05,67.75,67.85,62.35,63.95,2363800,63.95
2012-10-04,54.90,68.35,54.90,67.10,4055600,67.10
2012-10-03,62.75,64.70,62.50,64.15,1878300,64.15
2012-10-02,62.35,62.35,62.35,62.35,000,62.35
2012-10-01,63.50,63.50,61.90,62.35,1048400,62.35
2012-09-28,65.10,65.80,62.65,63.10,1668100,63.10
2012-09-27,63.00,65.25,62.50,64.60,1771400,64.60
2012-09-26,62.90,64.20,61.80,62.50,1517500,62.50
2012-09-25,62.00,73.35,61.55,63.30,2099300,63.30
2012-09-24,60.00,63.35,59.60,61.35,2690000,61.35
2012-09-21,57.10,61.25,57.10,59.55,2373400,59.55
2012-09-20,57.95,58.10,56.65,57.05,695300,57.05
2012-09-19,58.70,58.70,58.70,58.70,000,58.70
