Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,93.05,93.05,93.05,93.05,000,93.05
2012-12-24,90.00,93.90,89.90,93.05,535000,93.05
2012-12-21,87.40,91.85,86.70,89.00,436100,89.00
2012-12-20,85.80,87.75,85.15,87.40,187100,87.40
2012-12-19,84.80,87.95,84.75,85.25,115300,85.25
2012-12-18,84.50,87.00,83.00,85.25,85100,85.25
2012-12-17,85.50,87.50,84.10,85.35,116900,85.35
2012-12-14,85.00,85.90,83.65,85.45,61700,85.45
2012-12-13,86.25,87.00,84.20,84.65,83800,84.65
2012-12-12,87.05,88.05,85.85,86.15,107100,86.15
2012-12-11,88.95,89.80,85.65,86.60,100700,86.60
2012-12-10,86.80,90.80,86.40,88.70,244900,88.70
2012-12-07,86.10,88.55,84.80,87.25,174300,87.25
2012-12-06,87.50,87.50,84.60,85.40,78200,85.40
2012-12-05,87.50,88.70,84.40,86.05,125000,86.05
2012-12-04,84.80,89.70,84.65,87.15,222200,87.15
2012-12-03,85.00,86.00,84.25,85.10,91200,85.10
2012-11-30,84.60,86.50,83.00,84.65,166500,84.65
2012-11-29,81.25,86.20,79.35,84.65,434700,84.65
2012-11-28,80.35,80.35,80.35,80.35,000,80.35
2012-11-27,80.00,81.80,79.85,80.35,139000,80.35
2012-11-26,80.35,81.80,78.50,78.90,75900,78.90
2012-11-23,80.10,82.20,80.00,80.35,52500,80.35
2012-11-22,81.05,82.95,80.10,80.65,62700,80.65
2012-11-21,80.25,82.25,78.05,80.50,129500,80.50
2012-11-20,82.50,84.60,80.00,80.25,115700,80.25
2012-11-19,86.90,87.40,80.35,81.50,197100,81.50
2012-11-16,88.25,90.90,84.00,86.25,457100,86.25
2012-11-15,85.00,89.80,84.20,87.35,473200,87.35
2012-11-14,84.00,84.00,84.00,84.00,000,84.00
2012-11-13,84.00,84.00,84.00,84.00,000,84.00
2012-11-12,78.25,87.90,77.45,84.00,1520200,84.00
2012-11-09,76.00,78.35,75.70,77.35,89400,77.35
2012-11-08,72.25,77.95,72.25,77.30,167100,77.30
2012-11-07,72.50,74.60,72.25,73.95,41000,73.95
2012-11-06,73.00,73.75,72.85,73.05,32500,73.05
2012-11-05,71.10,75.40,71.10,74.00,150100,74.00
2012-11-02,73.95,76.50,72.60,72.85,243600,72.85
2012-11-01,69.80,72.10,68.50,71.70,136600,71.70
2012-10-31,68.25,69.00,68.15,68.75,33700,68.75
2012-10-30,69.00,69.25,68.00,68.55,32700,68.55
2012-10-29,68.30,69.50,68.10,68.70,27800,68.70
2012-10-26,69.25,69.25,69.25,69.25,000,69.25
2012-10-25,68.40,69.90,68.35,69.25,33000,69.25
2012-10-24,68.65,68.65,68.65,68.65,000,68.65
2012-10-23,70.00,70.00,68.20,68.65,34700,68.65
2012-10-22,68.95,71.00,67.50,69.65,42700,69.65
2012-10-19,69.10,70.40,68.45,68.75,55000,68.75
2012-10-18,69.55,70.30,69.00,69.40,87800,69.40
2012-10-17,70.10,70.90,68.90,69.95,117600,69.95
2012-10-16,70.50,70.75,69.00,69.20,46700,69.20
2012-10-15,71.15,71.70,69.60,69.95,60100,69.95
2012-10-12,75.65,75.65,69.50,70.00,217200,70.00
2012-10-11,77.20,77.60,74.20,75.05,89000,75.05
2012-10-10,75.20,76.85,75.00,76.10,39900,76.10
2012-10-09,77.15,77.15,75.15,75.85,45700,75.85
2012-10-08,76.00,76.50,75.25,75.95,81600,75.95
2012-10-05,76.05,76.70,74.00,75.15,93700,75.15
2012-10-04,77.80,77.80,75.50,76.05,98000,76.05
2012-10-03,75.90,78.85,75.50,76.75,294900,76.75
2012-10-02,75.75,75.75,75.75,75.75,000,75.75
2012-10-01,74.40,76.25,73.60,75.75,164100,75.75
2012-09-28,76.50,76.75,73.50,74.00,124500,74.00
2012-09-27,75.00,77.30,75.00,76.05,103700,76.05
2012-09-26,78.15,78.75,76.00,76.45,211000,76.45
2012-09-25,72.00,77.70,71.90,76.75,987700,76.75
2012-09-24,68.30,72.30,68.30,71.75,290800,71.75
2012-09-21,67.90,69.30,67.70,68.75,42100,68.75
2012-09-20,68.00,68.75,66.50,67.60,27000,67.60
2012-09-19,68.50,68.50,68.50,68.50,000,68.50
2012-09-18,68.15,69.65,68.00,68.50,49400,68.50
2012-09-17,69.70,70.00,68.10,68.35,69600,68.35
2012-09-14,70.00,70.25,68.20,68.90,62700,68.90
2012-09-13,71.50,71.70,68.30,68.70,104200,68.70
2012-09-12,71.40,72.50,69.85,70.45,352900,70.45
2012-09-11,67.80,71.05,67.00,69.85,368600,69.85
2012-09-10,67.00,68.00,66.35,67.10,60100,67.10
2012-09-07,66.10,67.35,65.65,65.95,58100,65.95
2012-09-06,67.25,68.50,65.15,65.70,57900,65.70
2012-09-05,68.55,69.70,67.15,67.60,54200,67.60
2012-09-04,66.50,70.75,66.05,68.20,110600,68.20
2012-09-03,66.00,68.70,66.00,66.50,45600,66.50
2012-08-31,66.25,68.90,66.00,66.35,34500,66.35
2012-08-30,67.90,67.90,65.80,66.25,23500,66.25
2012-08-29,66.60,67.90,66.00,66.05,22700,66.05
2012-08-28,66.80,67.95,66.50,67.10,33000,67.10
2012-08-27,68.15,69.00,67.00,67.05,33300,67.05
2012-08-24,69.25,70.00,67.50,67.75,86500,67.75
2012-08-23,66.50,72.40,66.40,69.15,251900,69.15
2012-08-22,66.50,66.95,66.05,66.50,21800,66.50
2012-08-21,68.95,68.95,66.00,66.50,31200,66.50
2012-08-20,66.15,66.15,66.15,66.15,000,66.15
2012-08-17,68.80,68.80,65.70,66.15,35900,66.15
2012-08-16,66.20,68.50,66.20,66.85,34500,66.85
2012-08-15,66.20,66.20,66.20,66.20,000,66.20
2012-08-14,66.65,66.85,65.70,66.20,32100,66.20
2012-08-13,65.90,67.20,65.00,66.40,55400,66.40
2012-08-10,65.95,65.95,65.00,65.50,140900,65.50
2012-08-09,67.10,67.10,65.65,65.95,83900,65.95
2012-08-08,69.00,69.50,66.80,67.05,223200,67.05
2012-08-07,71.20,71.70,68.75,69.25,132500,69.25
2012-08-06,74.00,76.60,71.25,71.60,157600,71.60
2012-08-03,73.70,74.25,72.55,73.30,49000,73.30
2012-08-02,73.00,74.90,72.90,73.80,160200,73.80
2012-08-01,69.00,72.50,68.50,71.80,126400,71.80
2012-07-31,69.20,69.20,67.95,68.80,22500,68.80
2012-07-30,69.75,69.75,67.50,68.45,27400,68.45
2012-07-27,70.00,71.30,67.30,67.75,48900,67.75
2012-07-26,70.45,70.50,67.70,69.50,45000,69.50
2012-07-25,71.45,71.60,69.45,69.65,39600,69.65
2012-07-24,70.80,71.50,70.10,71.00,35200,71.00
2012-07-23,70.75,74.00,70.05,70.25,21400,70.25
2012-07-20,71.55,73.40,71.00,72.05,66000,72.05
2012-07-19,70.85,72.40,70.35,72.05,94300,72.05
2012-07-18,69.10,71.50,68.40,70.25,120300,69.25
2012-07-17,72.10,74.60,68.50,69.65,138700,68.66
2012-07-16,71.30,74.80,69.00,71.55,288300,70.53
2012-07-13,68.00,72.90,67.10,70.70,337500,69.69
2012-07-12,64.40,67.80,63.35,66.75,67500,65.80
2012-07-11,64.00,64.80,63.60,64.40,20300,63.48
2012-07-10,64.70,64.70,63.35,63.80,29600,62.89
2012-07-09,65.50,65.50,63.15,63.35,37200,62.45
2012-07-06,67.05,67.45,65.50,65.65,27100,64.72
2012-07-05,67.95,67.95,66.00,67.45,41100,66.49
2012-07-04,65.55,66.60,65.10,66.00,130100,65.06
2012-07-03,64.10,65.50,63.65,65.25,118400,64.32
2012-07-02,64.00,64.00,63.55,63.85,26900,62.94
2012-06-29,63.85,64.85,63.10,63.50,18100,62.60
2012-06-28,63.00,65.00,62.35,63.70,54100,62.79
2012-06-27,63.00,63.00,61.00,62.00,17700,61.12
2012-06-26,61.40,62.75,61.35,62.30,33000,61.41
2012-06-25,61.00,63.50,61.00,61.60,43900,60.72
2012-06-22,61.35,62.00,60.90,61.20,41800,60.33
2012-06-21,60.50,63.95,60.50,61.70,15700,60.82
2012-06-20,61.00,61.80,60.00,61.10,22400,60.23
2012-06-19,62.50,62.50,61.00,61.50,9100,60.62
2012-06-18,62.50,62.50,61.40,61.85,12000,60.97
2012-06-15,62.10,62.90,61.60,61.70,16400,60.82
2012-06-14,63.30,63.30,62.00,62.10,19400,61.22
2012-06-13,62.30,63.20,62.30,62.50,12600,61.61
2012-06-12,61.85,62.80,61.80,62.45,14200,61.56
2012-06-11,63.00,63.65,62.00,62.60,24400,61.71
2012-06-08,63.00,63.00,62.00,62.75,8500,61.86
2012-06-07,62.00,63.70,62.00,63.25,29500,62.35
2012-06-06,60.75,62.25,60.75,61.85,22900,60.97
2012-06-05,62.40,62.65,61.00,61.30,15100,60.43
2012-06-04,59.50,62.00,59.40,61.35,10200,60.48
2012-06-01,61.35,62.35,60.50,60.95,10900,60.08
2012-05-31,60.05,62.40,60.05,61.95,15000,61.07
2012-05-30,61.35,62.65,60.15,61.05,37600,60.18
2012-05-29,63.50,63.50,60.00,60.50,120700,59.64
2012-05-28,62.00,63.70,61.70,61.90,29800,61.02
2012-05-25,62.20,63.95,61.80,62.15,16100,61.27
2012-05-24,61.85,63.50,61.85,63.05,17900,62.15
2012-05-23,64.90,65.80,63.05,63.25,31500,62.35
2012-05-22,66.50,69.90,64.00,64.55,26300,63.63
2012-05-21,62.00,65.45,61.60,64.25,8400,63.34
2012-05-18,62.10,63.00,59.85,62.35,33300,61.46
2012-05-17,63.30,63.80,62.50,62.50,15300,61.61
2012-05-16,62.80,63.90,62.00,62.95,9400,62.05
2012-05-15,63.00,64.70,62.15,63.40,9400,62.50
