Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,584.45,584.45,584.45,584.45,000,584.45
2012-12-24,567.00,589.40,566.70,584.45,3755000,584.45
2012-12-21,610.10,610.95,559.50,564.10,5230100,564.10
2012-12-20,622.30,627.70,605.00,609.30,1976900,609.30
2012-12-19,629.95,635.00,620.00,623.85,2381900,623.85
2012-12-18,626.00,639.00,620.85,625.25,3641500,625.25
2012-12-17,614.00,636.75,610.65,622.45,6314700,622.45
2012-12-14,606.00,626.90,601.05,608.00,6861800,608.00
2012-12-13,570.00,623.80,565.10,602.85,13879700,602.85
2012-12-12,540.60,565.00,540.40,561.35,4493400,561.35
2012-12-11,518.15,543.20,510.75,537.45,4913400,537.45
2012-12-10,534.50,535.30,510.35,514.70,1763000,514.70
2012-12-07,544.00,548.75,527.25,530.50,1937800,530.50
2012-12-06,537.05,552.90,529.00,541.05,2477300,541.05
2012-12-05,536.00,548.80,527.15,541.05,4420400,541.05
2012-12-04,568.80,594.00,506.75,529.25,11160200,529.25
2012-12-03,531.80,564.40,530.90,554.70,4596800,554.70
2012-11-30,538.65,547.15,522.30,527.05,2386200,527.05
2012-11-29,545.00,567.90,527.15,532.00,3720300,532.00
2012-11-28,542.50,542.50,542.50,542.50,000,542.50
2012-11-27,560.00,569.20,530.20,542.50,7428500,542.50
2012-11-26,535.00,582.70,515.00,560.85,13150100,560.85
2012-11-23,436.00,511.50,436.00,505.60,12015500,505.60
2012-11-22,453.00,461.40,432.35,437.40,2849100,437.40
2012-11-21,417.10,463.80,413.10,451.20,5272100,451.20
2012-11-20,402.30,419.00,395.65,413.65,2813100,413.65
2012-11-19,397.30,406.95,391.40,400.40,1282600,400.40
2012-11-16,410.15,417.80,391.00,397.60,1913500,397.60
2012-11-15,360.15,414.40,360.15,408.00,2886700,408.00
2012-11-14,374.45,374.45,374.45,374.45,000,374.45
2012-11-13,374.45,374.45,374.45,374.45,000,374.45
2012-11-12,364.95,377.40,364.35,374.45,402000,374.45
2012-11-09,372.45,379.90,345.00,367.85,903600,367.85
2012-11-08,368.25,379.00,367.45,372.70,894500,372.70
2012-11-07,370.85,377.70,368.00,373.40,670100,373.40
2012-11-06,360.30,378.35,360.30,370.85,684100,370.85
2012-11-05,359.90,378.00,359.90,376.45,1605800,376.45
2012-11-02,354.50,369.80,348.20,361.35,3760300,361.35
2012-11-01,336.95,354.75,334.00,350.65,1228700,350.65
2012-10-31,324.00,340.00,323.00,335.60,1216000,335.60
2012-10-30,340.65,342.70,321.40,322.70,974100,322.70
2012-10-29,350.05,351.35,336.50,339.20,612900,339.20
2012-10-26,353.20,353.20,353.20,353.20,000,353.20
2012-10-25,357.70,357.70,348.15,353.20,431500,353.20
2012-10-24,355.15,355.15,355.15,355.15,000,355.15
2012-10-23,360.65,361.60,349.50,355.15,594700,355.15
2012-10-22,357.50,364.40,354.95,361.60,587400,361.60
2012-10-19,373.75,373.75,353.25,355.45,1207800,355.45
2012-10-18,375.35,375.40,368.20,372.75,443300,372.75
2012-10-17,380.30,382.15,368.50,372.25,616500,372.25
2012-10-16,380.00,385.25,373.65,375.45,1002600,375.45
2012-10-15,379.10,384.50,375.25,377.20,970800,377.20
2012-10-12,368.50,382.80,365.30,376.80,1379800,376.80
2012-10-11,371.05,374.65,362.55,367.20,758300,367.20
2012-10-10,380.00,380.00,367.50,370.90,761000,370.90
2012-10-09,378.70,388.55,377.05,381.00,1174800,381.00
2012-10-08,381.05,385.50,372.00,375.55,1368100,375.55
2012-10-05,371.50,383.00,365.80,380.00,2370600,380.00
2012-10-04,349.30,371.40,349.30,368.55,3348500,368.55
2012-10-03,348.50,353.90,346.50,348.45,1024600,348.45
2012-10-02,346.50,346.50,346.50,346.50,000,346.50
2012-10-01,347.95,350.65,343.05,346.50,982800,346.50
2012-09-28,352.00,356.80,343.25,345.00,968400,345.00
2012-09-27,356.20,360.40,346.00,348.85,1949100,348.85
2012-09-26,355.00,365.00,350.15,354.40,1768700,354.40
2012-09-25,358.50,365.50,355.55,358.25,1903600,358.25
2012-09-24,369.00,371.45,355.25,357.50,1609500,357.50
2012-09-21,364.00,372.70,361.20,368.15,2356100,368.15
2012-09-20,365.00,370.80,358.15,360.40,2411400,360.40
2012-09-19,360.85,360.85,360.85,360.85,000,360.85
2012-09-18,365.00,366.95,354.00,360.85,3210900,360.85
2012-09-17,388.00,400.00,358.05,360.40,5885800,360.40
2012-09-14,365.20,382.00,362.30,368.65,3662600,368.65
2012-09-13,356.00,362.20,350.00,361.15,2599400,361.15
2012-09-12,340.40,354.50,339.45,353.35,2573000,353.35
2012-09-11,336.00,341.00,332.80,337.00,1056300,337.00
2012-09-10,335.00,339.90,331.40,334.15,1185700,334.15
2012-09-07,333.00,337.45,328.65,332.30,1189000,332.30
2012-09-06,330.00,332.95,324.40,328.50,1402600,328.50
2012-09-05,337.70,343.60,328.50,329.85,1616300,329.85
2012-09-04,338.00,344.50,333.60,337.70,1338400,337.70
2012-09-03,346.80,351.70,335.50,337.25,1704500,337.25
2012-08-31,349.95,360.00,346.30,352.45,1835100,352.45
2012-08-30,338.50,354.65,331.75,349.00,2690100,349.00
2012-08-29,384.05,388.00,335.30,339.30,2139800,339.30
2012-08-28,374.80,374.80,356.75,362.30,1037500,362.30
2012-08-27,379.70,384.50,370.55,374.60,845600,374.60
2012-08-24,378.15,385.90,373.60,378.80,1803800,378.80
2012-08-23,395.10,395.10,377.50,379.55,2123900,379.55
2012-08-22,377.15,400.00,377.15,397.20,4006400,397.20
2012-08-21,376.00,383.90,374.70,380.55,1162900,380.55
2012-08-20,376.50,376.50,376.50,376.50,000,376.50
2012-08-17,383.00,386.00,373.00,376.50,1612300,376.50
2012-08-16,395.00,449.95,376.60,380.25,2105200,380.25
2012-08-15,395.15,395.15,395.15,395.15,000,395.15
2012-08-14,392.05,405.80,384.35,395.15,3280300,395.15
2012-08-13,368.15,390.70,368.00,389.10,2140000,389.10
2012-08-10,373.00,377.00,365.30,368.15,1103800,368.15
2012-08-09,387.80,387.80,368.80,372.70,986000,372.70
2012-08-08,389.90,391.60,375.05,377.85,1787900,377.85
2012-08-07,376.00,392.50,376.00,387.70,2748100,387.70
2012-08-06,379.40,382.40,375.20,377.75,1751500,377.75
2012-08-03,372.00,388.65,370.10,374.30,6431300,374.30
2012-08-02,365.50,374.70,362.95,371.45,1771000,371.45
2012-08-01,354.00,368.95,350.10,365.90,1989900,365.90
2012-07-31,349.90,362.00,341.85,354.55,2274800,354.55
2012-07-30,325.00,349.90,322.65,347.55,1741700,347.55
2012-07-27,342.70,347.70,320.35,322.55,1294500,322.55
2012-07-26,328.70,345.70,327.50,338.65,2828900,338.65
2012-07-25,342.05,343.90,325.05,327.10,1772500,327.10
2012-07-24,357.15,359.70,345.10,346.35,1142900,346.35
2012-07-23,355.10,362.85,354.00,357.00,1315900,357.00
2012-07-20,358.00,363.80,354.55,357.80,965000,357.80
2012-07-19,365.00,366.30,355.55,356.80,1467300,356.80
2012-07-18,356.05,364.70,354.20,359.20,1450900,359.20
2012-07-17,374.00,374.00,352.15,354.30,1041200,354.30
2012-07-16,375.90,378.50,366.00,369.05,897700,369.05
2012-07-13,379.70,383.00,373.50,376.60,1660100,376.60
2012-07-12,380.00,387.50,377.00,379.25,1161700,379.25
2012-07-11,388.90,392.95,380.00,383.90,1352000,383.90
2012-07-10,390.35,393.50,383.70,389.55,2423700,389.55
2012-07-09,384.00,390.60,378.20,388.35,2098900,388.35
2012-07-06,396.20,400.05,382.45,384.75,2268600,384.75
2012-07-05,401.90,407.70,396.00,398.10,2522000,398.10
2012-07-04,407.05,411.05,396.00,401.05,2447700,401.05
2012-07-03,390.00,408.90,384.25,402.00,2136600,402.00
2012-07-02,386.00,391.85,384.35,387.00,841500,387.00
2012-06-29,379.00,387.90,379.00,383.35,898800,383.35
2012-06-28,391.50,392.90,377.55,380.10,1219100,380.10
2012-06-27,392.50,396.50,386.05,391.10,1534300,391.10
2012-06-26,385.50,393.00,382.25,391.40,1546600,391.40
2012-06-25,388.00,394.40,381.25,384.50,1733000,384.50
2012-06-22,375.00,389.15,369.30,385.40,2542500,385.40
2012-06-21,372.00,381.70,371.00,376.10,1534100,376.10
2012-06-20,357.40,376.40,357.40,373.55,2570300,373.55
2012-06-19,351.20,365.50,349.05,355.70,2321500,355.70
2012-06-18,371.25,382.95,354.40,356.90,2377400,356.90
2012-06-15,374.95,379.40,367.20,369.35,1124400,369.35
2012-06-14,381.95,387.45,369.15,374.05,2322800,374.05
2012-06-13,372.00,385.60,369.20,381.25,3280000,381.25
2012-06-12,353.75,378.00,352.75,372.75,4173800,372.75
2012-06-11,360.00,367.95,350.50,354.35,2176700,354.35
2012-06-08,339.00,376.75,332.65,360.90,3206500,360.90
2012-06-07,336.00,343.50,329.10,339.90,1994900,339.90
2012-06-06,319.65,337.25,317.20,334.65,3005100,334.65
2012-06-05,320.75,326.60,315.35,317.00,1021700,317.00
2012-06-04,302.00,321.50,301.65,318.30,1435800,318.30
2012-06-01,317.70,323.85,301.60,305.35,1571100,305.35
2012-05-31,314.90,321.15,311.40,315.10,797100,315.10
2012-05-30,318.00,324.50,315.00,316.20,802100,316.20
2012-05-29,317.90,324.80,313.80,322.50,1184000,322.50
2012-05-28,316.35,320.30,309.80,317.60,1241500,317.60
2012-05-25,315.10,321.30,309.50,314.80,1617200,314.80
2012-05-24,326.05,327.50,315.65,320.65,2164000,320.65
2012-05-23,308.00,325.80,298.00,322.20,2413600,322.20
2012-05-22,317.00,318.40,306.05,309.45,888400,309.45
2012-05-21,312.50,316.45,307.10,313.10,1385700,313.10
2012-05-18,289.10,308.00,283.05,305.65,2387800,305.65
2012-05-17,290.00,294.00,284.60,287.55,883500,287.55
2012-05-16,287.80,293.70,280.15,287.10,1329800,287.10
2012-05-15,295.00,299.50,285.55,289.50,1197900,289.50
2012-05-14,308.85,311.00,295.10,298.25,824600,298.25
2012-05-11,305.80,311.15,296.60,305.80,1463700,305.80
2012-05-10,310.05,316.70,303.35,306.90,811500,306.90
2012-05-09,316.00,319.65,306.35,309.25,1022900,309.25
2012-05-08,330.05,334.45,312.20,316.10,1335700,316.10
2012-05-07,303.30,334.50,295.00,327.95,2113600,327.95
2012-05-04,310.00,311.85,299.10,307.25,1916200,307.25
2012-05-03,327.50,327.50,308.25,310.90,1704900,310.90
2012-05-02,337.20,342.80,326.35,328.40,952600,328.40
2012-05-01,336.00,336.00,336.00,336.00,000,336.00
2012-04-30,336.05,340.80,332.20,336.15,517800,336.15
2012-04-27,336.85,343.60,328.85,331.75,924200,331.75
2012-04-26,327.00,339.70,327.00,334.95,956700,334.95
2012-04-25,344.50,346.90,328.25,331.95,789600,331.95
2012-04-24,347.00,349.00,336.85,341.75,598600,341.75
2012-04-23,349.00,360.45,343.25,344.45,1225000,344.45
2012-04-20,360.10,364.35,348.55,351.45,1074900,351.45
2012-04-19,359.80,363.00,352.55,357.15,1211100,357.15
2012-04-18,375.00,375.70,363.30,365.80,1460000,365.80
2012-04-17,360.95,373.40,357.00,371.90,2454700,371.90
2012-04-16,354.80,362.75,353.80,360.55,1170100,360.55
2012-04-13,353.95,364.30,344.95,353.90,2741900,353.90
2012-04-12,359.90,368.40,347.00,349.05,3595400,349.05
2012-04-11,346.25,364.70,346.25,358.30,3474600,358.30
2012-04-10,331.00,350.45,326.10,341.20,1351900,341.20
2012-04-09,336.15,340.05,328.55,331.10,857000,331.10
2012-04-06,340.15,340.15,340.15,340.15,000,340.15
2012-04-05,340.15,340.15,340.15,340.15,000,340.15
2012-04-04,343.45,343.45,330.30,340.15,1409000,340.15
2012-04-03,330.00,344.55,330.00,341.85,1927200,341.85
2012-04-02,326.70,331.70,322.30,328.85,989000,328.85
2012-03-30,318.00,329.35,313.30,327.20,1347800,327.20
2012-03-29,315.00,323.70,312.50,316.25,818200,316.25
2012-03-28,330.00,332.70,321.90,323.15,781400,323.15
2012-03-27,332.70,337.95,326.65,330.70,841500,330.70
2012-03-26,341.45,341.70,328.40,329.85,1216100,329.85
2012-03-23,332.00,341.80,325.10,335.75,1597400,335.75
2012-03-22,342.00,355.00,326.10,329.40,2554000,329.40
2012-03-21,337.00,349.55,331.25,344.60,2240900,344.60
2012-03-20,323.90,340.00,323.50,337.85,2778200,337.85
2012-03-19,320.10,328.40,315.40,321.05,1480000,321.05
2012-03-16,329.40,344.00,315.00,319.05,5807800,319.05
2012-03-15,321.85,334.50,312.30,329.60,2882800,329.60
2012-03-14,323.00,327.95,317.55,324.10,2499400,324.10
2012-03-13,293.50,318.00,286.35,314.70,4477500,314.70
2012-03-12,285.00,296.70,285.00,292.65,1847100,292.65
2012-03-09,286.35,298.00,286.30,294.10,1765700,294.10
2012-03-08,293.85,293.85,293.85,293.85,000,293.85
