Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,123.55,123.55,123.55,123.55,000,123.55
2012-12-24,123.70,125.50,121.50,123.55,151800,123.55
2012-12-21,124.80,124.80,121.70,122.35,175900,122.35
2012-12-20,128.80,128.80,123.55,124.90,372900,124.90
2012-12-19,129.40,129.70,126.10,127.65,290000,127.65
2012-12-18,124.20,129.85,120.00,128.25,559700,128.25
2012-12-17,121.40,124.40,121.40,123.15,88200,123.15
2012-12-14,124.60,124.60,121.20,121.80,127200,121.80
2012-12-13,126.80,127.00,122.70,124.00,141200,124.00
2012-12-12,124.60,127.95,124.00,125.75,169800,125.75
2012-12-11,127.55,129.60,121.90,123.85,247600,123.85
2012-12-10,128.00,128.50,126.50,127.20,96200,127.20
2012-12-07,129.85,130.35,126.80,127.85,146800,127.85
2012-12-06,130.70,130.75,126.10,129.05,184600,129.05
2012-12-05,127.45,131.15,125.60,128.75,534400,128.75
2012-12-04,129.45,131.25,126.70,127.45,349100,127.45
2012-12-03,133.00,133.65,127.80,128.45,585200,128.45
2012-11-30,135.80,136.50,131.05,131.90,628500,131.90
2012-11-29,131.15,135.00,130.00,133.85,709200,133.85
2012-11-28,131.70,131.70,131.70,131.70,000,131.70
2012-11-27,130.60,137.90,120.00,131.70,4490200,131.70
2012-11-26,121.80,130.70,119.70,121.05,1767800,121.05
2012-11-23,119.70,121.50,118.90,120.55,107600,120.55
2012-11-22,118.80,124.85,117.90,118.85,341700,118.85
2012-11-21,119.00,119.45,116.30,117.60,82500,117.60
2012-11-20,121.00,121.50,116.10,118.55,100600,118.55
2012-11-19,122.65,123.50,119.00,120.35,147900,120.35
2012-11-16,122.50,124.80,117.30,118.60,264100,118.60
2012-11-15,131.95,133.00,122.00,122.50,490100,122.50
2012-11-14,123.80,123.80,123.80,123.80,000,123.80
2012-11-13,123.80,123.80,123.80,123.80,000,123.80
2012-11-12,117.50,131.70,117.10,123.80,692200,123.80
2012-11-09,119.10,121.80,116.60,117.25,128900,117.25
2012-11-08,119.00,120.40,117.65,119.30,296100,119.30
2012-11-07,119.25,122.50,118.50,119.40,395900,119.40
2012-11-06,118.85,120.50,118.10,119.10,567800,119.10
2012-11-05,119.05,121.75,118.30,119.15,204200,119.15
2012-11-02,121.15,126.40,117.40,119.35,545200,119.35
2012-11-01,114.15,121.90,113.20,120.65,402300,120.65
2012-10-31,112.95,114.85,112.25,114.05,101000,114.05
2012-10-30,111.50,113.60,109.00,112.80,244000,112.80
2012-10-29,110.90,112.50,109.10,111.10,63300,111.10
2012-10-26,111.40,111.40,111.40,111.40,000,111.40
2012-10-25,111.30,112.35,110.65,111.40,43700,111.40
2012-10-24,110.65,110.65,110.65,110.65,000,110.65
2012-10-23,112.25,112.95,110.50,110.65,34100,110.65
2012-10-22,111.10,113.40,110.05,111.55,73600,111.55
2012-10-19,112.20,112.80,111.00,111.05,47100,111.05
2012-10-18,112.45,112.95,111.55,112.10,35900,112.10
2012-10-17,113.05,113.05,111.00,111.20,53600,111.20
2012-10-16,114.00,114.00,110.10,111.95,99100,111.95
2012-10-15,113.10,115.70,112.80,113.75,69800,113.75
2012-10-12,115.05,115.40,112.65,112.95,75000,112.95
2012-10-11,112.65,115.30,111.60,115.00,386000,115.00
2012-10-10,112.00,113.00,110.95,111.15,72100,111.15
2012-10-09,113.20,114.20,112.00,112.20,115600,112.20
2012-10-08,115.50,115.50,112.50,112.60,164400,112.60
2012-10-05,118.25,118.25,113.00,114.30,181200,114.30
2012-10-04,116.60,117.85,115.40,116.90,235000,116.90
2012-10-03,119.10,119.75,116.10,116.55,200200,116.55
2012-10-02,118.45,118.45,118.45,118.45,000,118.45
2012-10-01,119.85,121.50,116.40,118.45,663200,118.45
2012-09-28,116.80,120.00,114.80,118.80,892500,118.80
2012-09-27,118.60,118.60,111.15,114.25,896400,114.25
2012-09-26,119.00,119.00,113.25,114.05,242500,114.05
2012-09-25,118.75,120.00,112.30,116.25,207100,116.25
2012-09-24,116.25,120.25,116.00,118.35,438900,118.35
2012-09-21,116.30,120.95,114.50,115.90,678700,115.90
2012-09-20,118.00,119.60,117.00,118.45,64700,117.45
2012-09-19,119.80,119.80,119.80,119.80,000,118.79
2012-09-18,120.70,123.50,118.80,119.80,186000,118.79
2012-09-17,116.50,122.90,116.30,119.65,135800,118.64
2012-09-14,116.10,121.75,115.50,117.55,207500,116.56
2012-09-13,118.50,118.50,115.60,116.10,22400,115.12
2012-09-12,116.50,118.40,115.05,117.50,36900,116.51
2012-09-11,115.50,116.90,114.40,115.80,44100,114.82
2012-09-10,119.85,119.85,116.10,116.55,15800,115.57
2012-09-07,118.50,119.00,116.00,116.40,23200,115.42
2012-09-06,115.50,119.00,114.95,116.00,90100,115.02
2012-09-05,116.30,116.50,115.05,115.40,12400,114.43
2012-09-04,117.00,118.55,115.45,116.30,52500,115.32
2012-09-03,117.30,118.85,116.10,117.25,25800,116.26
2012-08-31,118.55,120.90,116.80,117.90,59800,116.90
2012-08-30,115.20,121.90,114.55,119.70,316800,118.69
2012-08-29,116.05,118.10,113.75,115.85,80500,114.87
2012-08-28,120.50,120.50,114.55,117.75,82800,116.76
2012-08-27,120.05,121.50,118.55,120.50,36200,119.48
2012-08-24,118.70,123.00,116.80,120.00,158100,118.99
2012-08-23,119.65,119.90,117.25,118.70,48900,117.70
2012-08-22,119.50,119.50,117.45,118.35,32000,117.35
2012-08-21,117.60,122.90,117.60,119.50,81900,118.49
2012-08-20,120.25,120.25,120.25,120.25,000,119.23
2012-08-17,119.50,121.00,118.15,120.25,36500,119.23
2012-08-16,120.05,121.00,118.85,119.25,22800,118.24
2012-08-15,120.30,120.30,120.30,120.30,000,119.28
2012-08-14,121.05,121.45,119.60,120.30,49600,119.28
2012-08-13,121.45,121.80,120.00,120.75,42400,119.73
2012-08-10,118.50,121.45,118.00,120.80,51100,119.78
2012-08-09,119.85,120.00,117.75,119.00,80000,118.00
2012-08-08,119.85,121.00,119.15,119.85,154700,118.84
2012-08-07,120.60,122.00,119.00,119.85,249700,118.84
2012-08-06,120.95,122.50,119.15,120.60,271900,119.58
2012-08-03,119.75,122.05,117.20,120.45,140500,119.43
2012-08-02,119.35,120.90,118.85,119.75,598800,118.74
2012-08-01,115.00,120.00,115.00,119.75,237100,118.74
2012-07-31,124.55,124.65,118.50,119.85,465200,118.84
2012-07-30,126.50,128.35,123.60,124.55,194700,123.50
2012-07-27,126.20,131.90,123.00,125.10,627700,124.04
2012-07-26,126.40,127.50,124.40,126.15,71200,125.08
2012-07-25,128.30,128.30,122.10,126.40,134000,125.33
2012-07-24,127.40,130.00,126.00,128.10,120400,127.02
2012-07-23,125.90,128.10,122.80,125.70,127800,124.64
2012-07-20,127.90,127.95,125.90,126.50,66700,125.43
2012-07-19,125.40,128.00,122.25,127.15,156000,126.08
2012-07-18,127.25,128.10,124.80,125.35,89400,124.29
2012-07-17,130.50,131.95,128.00,128.40,39500,127.32
2012-07-16,132.05,133.10,129.00,129.65,54000,128.56
2012-07-13,131.40,133.50,129.55,131.80,76400,130.69
2012-07-12,133.15,135.00,130.50,131.35,71800,130.24
2012-07-11,135.50,137.00,134.20,135.55,80400,134.41
2012-07-10,131.85,136.80,129.80,135.55,306400,134.41
2012-07-09,132.40,133.80,128.60,131.05,101300,129.94
2012-07-06,136.50,136.90,132.90,134.10,56800,132.97
2012-07-05,137.00,138.45,135.70,136.30,79100,135.15
2012-07-04,134.15,138.45,134.10,136.45,167800,135.30
2012-07-03,134.00,136.10,133.40,134.00,91900,132.87
2012-07-02,134.85,136.00,133.00,134.55,169200,133.41
2012-06-29,129.95,133.40,128.40,132.50,202600,131.38
2012-06-28,128.70,128.70,126.40,127.60,82400,126.52
2012-06-27,128.00,128.30,126.55,127.45,52400,126.37
2012-06-26,128.55,129.65,125.80,127.60,106400,126.52
2012-06-25,124.00,129.50,124.00,127.80,111600,126.72
2012-06-22,123.15,126.45,123.15,124.80,56100,123.75
2012-06-21,125.40,125.40,124.25,124.95,69500,123.90
2012-06-20,126.85,126.85,121.55,125.20,77400,124.14
2012-06-19,121.00,125.95,121.00,125.05,84600,123.99
2012-06-18,122.20,127.55,121.70,123.90,266600,122.85
2012-06-15,123.50,126.80,123.30,124.90,260400,123.85
2012-06-14,125.40,126.25,122.10,123.10,127300,122.06
2012-06-13,129.55,129.55,125.65,126.90,236900,125.83
2012-06-12,131.90,132.95,127.50,129.95,512900,128.85
2012-06-11,129.05,131.80,127.00,129.60,252400,128.51
2012-06-08,131.00,133.35,125.85,129.45,889300,128.36
2012-06-07,131.80,132.55,128.50,130.00,274900,128.90
2012-06-06,126.45,131.25,124.10,129.55,268400,128.46
2012-06-05,123.55,128.00,123.20,125.35,202200,124.29
2012-06-04,123.30,125.00,120.35,123.10,48200,122.06
2012-06-01,123.45,124.20,122.55,123.40,209100,122.36
2012-05-31,122.10,127.95,120.15,123.90,718900,122.85
2012-05-30,128.70,128.70,123.65,124.70,116800,123.65
2012-05-29,126.25,129.30,125.25,127.60,85300,126.52
2012-05-28,127.45,131.70,127.40,129.05,222000,127.96
2012-05-25,128.00,128.95,126.00,127.80,67100,126.72
2012-05-24,127.55,130.10,126.80,128.25,484200,127.17
2012-05-23,127.00,130.60,126.00,128.40,190700,127.32
