Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,95.70,95.70,95.70,95.70,000,95.70
2012-12-24,97.30,97.85,95.00,95.70,12537200,95.70
2012-12-21,100.00,100.25,96.15,96.70,16161000,96.70
2012-12-20,103.00,103.25,100.20,101.30,11492600,101.30
2012-12-19,103.20,104.00,102.35,103.25,10346100,103.25
2012-12-18,100.30,102.50,98.35,102.15,18525600,102.15
2012-12-17,101.30,102.50,99.65,99.95,11478600,99.95
2012-12-14,103.00,104.05,101.30,101.50,13739400,101.50
2012-12-13,105.00,106.40,102.20,102.90,14170000,102.90
2012-12-12,104.45,106.70,103.40,104.75,21752900,104.75
2012-12-11,104.40,105.25,102.75,103.60,15564700,103.60
2012-12-10,105.45,105.75,103.10,104.40,10929500,104.40
2012-12-07,105.00,106.00,103.80,105.15,18580200,105.15
2012-12-06,101.70,104.90,100.70,104.50,30923700,104.50
2012-12-05,102.00,103.75,100.20,100.70,22776600,100.70
2012-12-04,97.80,102.15,97.40,101.65,32143400,101.65
2012-12-03,96.90,99.00,95.90,97.35,23577100,97.35
2012-11-30,95.35,97.40,95.15,96.15,21368000,96.15
2012-11-29,93.15,95.50,93.15,94.70,29896200,94.70
2012-11-28,92.80,92.80,92.80,92.80,000,92.80
2012-11-27,90.00,93.25,89.55,92.80,25101200,92.80
2012-11-26,89.50,90.20,88.65,89.10,12831900,89.10
2012-11-23,90.25,90.55,87.65,89.10,16031300,89.10
2012-11-22,89.20,90.75,88.05,89.90,17715800,89.90
2012-11-21,86.50,89.55,84.60,88.80,23191000,88.80
2012-11-20,90.10,90.55,85.40,85.90,18051100,85.90
2012-11-19,91.50,92.45,88.80,89.15,17975200,89.15
2012-11-16,91.50,94.10,90.25,90.95,19600700,90.95
2012-11-15,89.20,92.20,87.35,91.65,16625500,91.65
2012-11-14,93.05,93.05,93.05,93.05,000,93.05
2012-11-13,93.05,93.05,93.05,93.05,000,93.05
2012-11-12,91.10,93.60,90.35,93.05,16755600,93.05
2012-11-09,93.00,94.20,90.85,91.30,12271700,91.30
2012-11-08,91.55,94.10,91.35,92.65,17501800,92.65
2012-11-07,88.40,94.30,87.85,93.55,26917700,93.55
2012-11-06,87.20,89.20,86.85,88.70,12658300,88.70
