Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,72.20,72.20,72.20,72.20,000,72.20
2012-12-24,72.40,72.85,71.75,72.20,54900,72.20
2012-12-21,75.20,75.35,71.20,71.55,132100,71.55
2012-12-20,74.45,76.95,73.60,75.65,297100,75.65
2012-12-19,75.05,76.45,73.75,74.10,127600,74.10
2012-12-18,75.05,78.40,74.55,75.45,420400,75.45
2012-12-17,76.35,77.50,74.10,74.75,55600,74.75
2012-12-14,74.20,77.00,74.00,76.15,182900,76.15
2012-12-13,77.10,80.75,73.65,74.80,511400,74.80
2012-12-12,74.75,80.70,71.60,76.80,495800,76.80
2012-12-11,80.00,87.00,72.60,75.30,1360200,75.30
2012-12-10,68.10,82.20,67.70,78.40,1468400,78.40
2012-12-07,69.30,70.50,68.30,68.50,11100,68.50
2012-12-06,70.00,70.80,68.70,69.30,11900,69.30
2012-12-05,70.55,71.75,68.45,70.05,108300,70.05
2012-12-04,70.20,72.55,68.70,70.70,82300,70.70
2012-12-03,70.00,71.00,68.50,69.35,106500,69.35
2012-11-30,69.10,76.60,68.55,69.55,205500,69.55
2012-11-29,67.00,71.60,66.15,69.30,88500,69.30
2012-11-28,67.55,67.55,67.55,67.55,000,67.55
2012-11-27,64.10,68.40,63.10,67.55,128200,67.55
2012-11-26,63.75,64.30,63.30,63.45,7000,63.45
2012-11-23,63.90,64.70,63.50,64.00,7700,64.00
2012-11-22,63.55,65.25,63.25,63.85,22700,63.85
2012-11-21,63.65,64.55,63.10,64.05,9200,64.05
2012-11-20,64.60,66.40,63.75,63.95,20200,63.95
2012-11-19,65.40,65.40,64.00,64.15,18100,64.15
2012-11-16,64.50,65.65,64.20,64.80,22200,64.80
2012-11-15,65.00,65.65,64.35,65.40,20700,65.40
2012-11-14,64.95,64.95,64.95,64.95,000,64.95
2012-11-13,64.95,64.95,64.95,64.95,000,64.95
2012-11-12,66.50,66.50,64.60,64.95,13200,64.95
2012-11-09,65.40,65.95,65.25,65.40,15100,65.40
2012-11-08,65.90,66.20,65.00,65.75,18600,65.75
2012-11-07,67.00,67.65,64.60,65.55,54900,65.55
2012-11-06,67.25,67.25,66.00,66.85,16200,66.85
2012-11-05,66.60,67.85,65.50,66.20,60400,66.20
2012-11-02,68.35,68.35,66.30,66.50,20400,66.50
2012-11-01,66.20,68.00,66.20,66.80,285000,66.80
2012-10-31,66.35,67.40,65.50,66.05,21000,66.05
2012-10-30,67.80,68.00,65.90,66.35,25300,66.35
2012-10-29,67.50,68.80,67.05,67.85,35300,67.85
2012-10-26,69.30,69.30,69.30,69.30,000,69.30
2012-10-25,69.20,70.55,68.40,69.30,42300,69.30
2012-10-24,69.15,69.15,69.15,69.15,000,69.15
2012-10-23,70.40,71.20,68.60,69.15,196000,69.15
2012-10-22,68.15,70.40,68.15,69.35,536900,69.35
2012-10-19,70.70,70.70,68.15,68.35,11900,68.35
2012-10-18,69.10,70.40,68.00,69.80,57300,69.80
2012-10-17,68.35,71.60,67.05,69.40,163700,69.40
2012-10-16,68.85,70.10,67.55,68.10,82000,68.10
2012-10-15,68.00,71.00,67.00,68.00,143300,68.00
2012-10-12,67.00,69.00,65.55,68.00,107300,68.00
2012-10-11,66.55,68.55,62.95,67.55,450700,67.55
2012-10-10,66.10,67.55,65.20,66.20,37700,66.20
2012-10-09,67.15,68.35,66.10,67.75,65400,67.75
2012-10-08,68.00,68.95,56.30,67.30,233400,67.30
2012-10-05,69.05,69.40,67.50,68.30,26000,68.30
2012-10-04,68.65,70.40,68.25,68.65,77200,68.65
2012-10-03,69.55,71.70,67.80,68.00,129100,68.00
2012-10-02,69.10,69.10,69.10,69.10,000,69.10
2012-10-01,68.80,70.00,67.10,69.10,100700,69.10
2012-09-28,68.95,69.25,67.50,67.70,69300,67.70
2012-09-27,69.35,69.85,68.25,68.70,94200,68.70
2012-09-26,69.15,71.50,67.70,68.25,123100,68.25
2012-09-25,69.00,74.50,68.25,69.65,315900,69.65
2012-09-24,69.00,69.80,68.15,68.35,59900,68.35
2012-09-21,70.10,72.80,66.60,68.55,207500,68.55
2012-09-20,70.45,70.50,68.00,68.55,35700,68.55
2012-09-19,69.95,69.95,69.95,69.95,000,69.95
2012-09-18,69.45,71.80,69.40,69.95,122400,69.95
2012-09-17,70.05,70.90,69.20,69.80,33500,69.80
2012-09-14,71.10,71.50,69.20,69.65,20800,69.65
2012-09-13,72.25,72.85,69.80,70.40,25200,70.40
2012-09-12,73.00,74.40,71.70,72.20,35700,72.20
2012-09-11,74.35,75.90,72.50,73.25,31700,73.25
2012-09-10,75.00,77.25,74.25,75.20,52500,75.20
2012-09-07,70.95,74.90,70.20,73.40,109600,73.40
2012-09-06,71.25,72.40,71.25,71.85,19900,71.85
2012-09-05,70.00,72.85,70.00,71.45,85500,71.45
2012-09-04,70.00,72.80,69.60,70.80,207800,70.80
2012-09-03,71.00,73.00,67.30,70.65,130400,70.65
2012-08-31,66.50,70.00,66.15,68.25,125800,68.25
2012-08-30,66.00,67.90,65.10,67.00,60800,67.00
2012-08-29,66.10,68.80,64.25,66.00,202000,66.00
2012-08-28,67.25,68.30,65.25,66.00,135900,66.00
2012-08-27,71.05,73.90,65.80,67.55,170900,67.55
2012-08-24,70.15,72.45,69.80,70.35,59700,70.35
2012-08-23,71.15,72.80,69.40,70.75,86100,70.75
2012-08-22,69.90,74.00,69.45,71.45,394400,71.45
2012-08-21,66.10,72.30,65.10,69.35,530000,69.35
2012-08-20,66.50,66.50,66.50,66.50,000,66.50
