Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,808.95,808.95,808.95,808.95,000,808.95
2012-12-24,805.05,819.70,805.05,808.95,642100,808.95
2012-12-21,820.10,828.80,801.00,804.90,1302500,804.90
2012-12-20,807.85,831.40,795.70,824.05,1462000,824.05
2012-12-19,806.15,817.60,802.30,807.55,1290300,807.55
2012-12-18,766.00,814.00,756.00,804.95,2514600,804.95
2012-12-17,745.35,769.70,743.70,766.70,670800,766.70
2012-12-14,730.10,749.00,724.80,744.90,534300,744.90
2012-12-13,753.65,754.45,726.00,732.50,650100,732.50
2012-12-12,756.95,760.00,744.10,750.20,765300,750.20
2012-12-11,765.80,772.40,748.45,757.10,786800,757.10
2012-12-10,766.00,766.25,755.10,763.00,439900,763.00
2012-12-07,777.10,783.80,759.90,766.30,563900,766.30
2012-12-06,774.95,781.45,762.60,776.65,1084000,776.65
2012-12-05,755.00,775.90,755.00,773.05,1143500,773.05
2012-12-04,753.20,789.40,745.00,755.15,707900,755.15
2012-12-03,744.95,759.00,743.50,752.55,613700,752.55
2012-11-30,734.90,748.00,733.70,742.85,641400,742.85
2012-11-29,740.00,751.00,726.25,729.95,1232300,729.95
2012-11-28,736.70,736.70,736.70,736.70,000,736.70
2012-11-27,722.95,739.80,722.30,736.70,571300,736.70
2012-11-26,718.00,728.00,705.00,721.70,373800,721.70
2012-11-23,720.00,725.00,706.00,718.65,535400,718.65
2012-11-22,706.80,722.40,704.50,716.55,648500,716.55
2012-11-21,713.50,713.50,694.00,703.15,866000,703.15
2012-11-20,725.00,732.55,704.50,709.75,916000,709.75
2012-11-19,732.35,736.00,721.00,725.00,535700,725.00
2012-11-16,738.00,751.00,723.65,731.10,609300,731.10
2012-11-15,748.00,751.20,735.00,737.35,584500,737.35
2012-11-14,749.05,749.05,749.05,749.05,000,749.05
2012-11-13,749.05,749.05,749.05,749.05,000,749.05
2012-11-12,748.00,754.50,743.70,749.05,429900,749.05
2012-11-09,749.95,763.95,741.55,748.15,979500,748.15
2012-11-08,752.00,757.65,743.85,749.55,698700,749.55
