Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,44.15,44.15,44.15,44.15,000,44.15
2012-12-24,44.55,45.45,43.70,44.15,110300,44.15
2012-12-21,45.95,46.05,44.50,44.65,96000,44.65
2012-12-20,45.70,46.90,45.45,46.20,272900,46.20
2012-12-19,45.00,46.05,45.00,45.40,183500,45.40
2012-12-18,45.00,45.30,44.60,45.00,107600,45.00
2012-12-17,45.30,45.70,44.50,44.70,105800,44.70
2012-12-14,45.05,45.75,44.50,44.85,143800,44.85
2012-12-13,45.60,47.20,44.65,44.90,146500,44.90
2012-12-12,47.30,47.50,46.30,46.55,102300,46.55
2012-12-11,48.55,49.10,47.00,47.20,203500,47.20
2012-12-10,49.25,49.75,48.05,48.40,308200,48.40
2012-12-07,47.90,50.35,47.30,48.65,527600,48.65
2012-12-06,48.50,48.50,47.20,47.60,153100,47.60
2012-12-05,48.45,49.25,47.75,48.05,256100,48.05
2012-12-04,48.10,49.65,47.25,47.80,480700,47.80
2012-12-03,47.95,48.45,47.00,48.05,264000,48.05
2012-11-30,46.95,48.15,46.20,47.55,537800,47.55
2012-11-29,44.60,46.70,44.00,46.35,562000,46.35
2012-11-28,43.85,43.85,43.85,43.85,000,43.85
2012-11-27,43.75,44.40,43.40,43.85,168000,43.85
2012-11-26,43.90,44.40,42.15,43.10,154800,43.10
2012-11-23,44.95,45.30,43.75,43.90,91200,43.90
2012-11-22,45.20,45.45,44.30,44.50,105000,44.50
2012-11-21,44.65,46.20,44.00,44.75,429100,44.75
2012-11-20,45.55,46.05,44.30,44.65,360200,44.65
2012-11-19,45.25,46.60,44.45,45.05,497400,45.05
2012-11-16,43.50,46.70,43.50,44.75,699900,44.75
2012-11-15,43.35,43.60,42.35,43.35,160100,43.35
2012-11-14,43.10,43.10,43.10,43.10,000,43.10
2012-11-13,43.10,43.10,43.10,43.10,000,43.10
2012-11-12,43.75,44.30,43.00,43.10,151300,43.10
2012-11-09,44.10,44.90,43.25,43.65,122600,43.65
2012-11-08,43.85,44.95,43.65,44.50,119000,44.50
2012-11-07,43.80,45.25,43.10,44.20,315200,44.20
2012-11-06,43.25,43.80,42.65,43.30,204300,43.30
2012-11-05,44.55,45.00,43.15,43.30,153000,43.30
2012-11-02,45.20,45.45,44.50,44.85,177300,44.85
2012-11-01,44.00,45.15,43.50,44.50,228300,44.50
2012-10-31,45.55,45.55,43.55,43.85,280200,43.85
2012-10-30,48.20,48.45,45.60,45.90,251900,45.90
2012-10-29,47.35,47.85,46.75,46.95,194600,46.95
2012-10-26,46.55,46.55,46.55,46.55,000,46.55
2012-10-25,46.90,47.45,46.45,46.55,84700,46.55
2012-10-24,46.60,46.60,46.60,46.60,000,46.60
2012-10-23,47.80,47.80,46.35,46.60,114300,46.60
2012-10-22,47.55,48.65,46.50,47.40,159200,47.40
2012-10-19,49.30,49.50,47.05,47.75,299900,47.75
2012-10-18,45.45,49.70,45.00,49.25,1115800,49.25
2012-10-17,46.45,46.70,44.75,44.95,367800,44.95
2012-10-16,46.80,47.40,45.60,45.80,302000,45.80
2012-10-15,47.95,47.95,46.50,46.70,362400,46.70
2012-10-12,49.20,49.20,47.55,47.80,325800,47.80
2012-10-11,48.75,48.90,47.50,48.45,252100,48.45
2012-10-10,48.25,49.85,47.20,48.10,773300,48.10
2012-10-09,49.00,49.40,48.10,48.55,260500,48.55
2012-10-08,50.25,50.45,48.20,48.50,350300,48.50
2012-10-05,51.70,53.15,49.20,50.30,1203700,50.30
2012-10-04,51.15,53.00,50.60,51.10,1782600,51.10
2012-10-03,47.55,50.40,47.10,50.05,994800,50.05
2012-10-02,47.55,47.55,47.55,47.55,000,47.55
2012-10-01,47.90,48.65,47.15,47.55,553400,47.55
2012-09-28,47.70,48.45,46.60,46.95,357800,46.95
2012-09-27,47.00,47.80,46.00,46.75,308700,46.75
2012-09-26,47.35,49.20,46.10,46.50,601300,46.50
2012-09-25,49.85,50.40,47.00,48.60,821600,48.60
2012-09-24,47.90,51.20,47.35,48.25,1867500,48.25
2012-09-21,43.90,49.00,42.65,47.55,2810200,47.55
2012-09-20,40.00,43.85,39.25,43.30,3602500,43.30
2012-09-19,40.30,40.30,40.30,40.30,000,40.30
2012-09-18,37.25,40.95,37.00,40.30,1276700,40.30
2012-09-17,37.20,38.95,36.90,37.10,1100000,37.10
2012-09-14,37.90,37.95,36.30,36.70,362900,36.70
2012-09-13,37.50,38.45,36.65,36.95,334900,36.95
2012-09-12,37.40,38.40,36.90,38.10,311900,38.10
2012-09-11,37.20,37.35,36.85,37.00,107500,37.00
2012-09-10,37.35,37.80,36.85,37.00,213500,37.00
2012-09-07,37.70,37.85,37.00,37.10,193500,37.10
2012-09-06,37.30,38.30,37.00,37.10,147700,37.10
2012-09-05,37.50,38.65,37.00,37.90,178800,37.90
2012-09-04,37.95,38.00,37.00,37.40,84700,37.40
2012-09-03,36.70,37.90,36.70,37.15,67900,37.15
2012-08-31,38.25,38.25,36.00,37.10,115300,37.10
2012-08-30,38.20,38.20,37.30,37.70,87600,37.70
2012-08-29,38.75,39.40,37.75,37.95,113800,37.95
2012-08-28,38.85,39.80,38.20,38.55,258600,38.55
2012-08-27,40.45,40.45,38.60,38.85,308700,38.85
