Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,88.60,88.60,88.60,88.60,000,88.60
2012-12-24,87.50,89.50,87.15,88.60,74200,88.60
2012-12-21,90.50,91.20,86.70,87.45,162100,87.45
2012-12-20,91.70,92.70,90.00,91.15,766900,91.15
2012-12-19,88.55,92.80,88.05,90.75,197700,90.75
2012-12-18,87.55,89.90,87.50,88.25,156700,88.25
2012-12-17,88.00,89.40,87.45,87.70,233800,87.70
2012-12-14,87.30,89.20,86.15,88.70,193900,88.70
2012-12-13,87.80,88.30,86.00,86.35,40300,86.35
2012-12-12,88.75,89.90,87.50,87.55,116500,87.55
2012-12-11,88.85,89.50,87.75,88.10,50300,88.10
2012-12-10,89.35,90.35,88.20,88.30,64700,88.30
2012-12-07,89.00,91.10,87.95,88.95,265900,88.95
2012-12-06,88.80,89.70,86.00,88.15,221700,88.15
2012-12-05,84.40,87.50,84.00,86.00,202800,86.00
2012-12-04,83.95,85.55,83.40,84.40,126100,84.40
2012-12-03,83.80,83.95,83.00,83.45,116700,83.45
2012-11-30,82.40,83.75,82.00,83.15,205600,83.15
2012-11-29,81.45,83.00,80.20,81.65,168000,81.65
2012-11-28,80.55,80.55,80.55,80.55,000,80.55
2012-11-27,81.20,81.85,80.15,80.55,230500,80.55
2012-11-26,81.85,81.85,80.05,80.35,47700,80.35
2012-11-23,81.85,82.20,80.25,80.90,80500,80.90
2012-11-22,82.75,83.80,80.70,81.05,111400,81.05
2012-11-21,84.90,84.90,82.25,83.00,178600,83.00
2012-11-20,83.85,86.00,83.35,85.00,162500,85.00
2012-11-19,83.30,84.00,82.30,83.35,37300,83.35
2012-11-16,85.00,86.45,82.50,83.25,116500,83.25
2012-11-15,84.95,85.50,82.50,84.95,260200,84.95
2012-11-14,84.75,84.75,84.75,84.75,000,84.75
2012-11-13,84.75,84.75,84.75,84.75,000,84.75
2012-11-12,83.80,86.35,82.00,84.75,125200,84.75
2012-11-09,82.60,85.40,82.50,82.95,109100,82.95
