Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,520.60,520.60,520.60,520.60,000,520.60
2012-12-24,514.25,523.00,510.10,520.60,160000,520.60
2012-12-21,507.00,514.60,505.00,508.55,125200,508.55
2012-12-20,510.05,515.00,502.70,507.60,154900,507.60
2012-12-19,509.90,525.00,508.15,515.60,306500,515.60
2012-12-18,507.00,516.00,502.00,504.55,160700,504.55
2012-12-17,506.00,509.00,500.00,505.55,101400,505.55
2012-12-14,495.00,505.00,493.00,503.55,85600,503.55
2012-12-13,503.30,507.00,490.40,494.20,147700,494.20
2012-12-12,515.00,518.40,495.25,498.20,207500,498.20
2012-12-11,519.00,525.00,509.00,513.35,219100,513.35
2012-12-10,518.95,524.00,513.00,515.90,206300,515.90
2012-12-07,518.60,527.00,511.00,513.90,210700,513.90
2012-12-06,510.00,519.00,507.05,513.10,161900,513.10
2012-12-05,494.90,510.00,494.90,506.20,378700,506.20
2012-12-04,474.90,499.00,474.90,487.80,398100,487.80
2012-12-03,464.55,481.50,464.55,474.80,123600,474.80
2012-11-30,460.00,474.70,458.90,468.70,211100,468.70
2012-11-29,460.75,462.80,455.00,458.05,328600,458.05
2012-11-28,460.20,460.20,460.20,460.20,000,460.20
2012-11-27,460.20,462.60,460.00,460.20,85800,460.20
2012-11-26,451.05,461.20,451.05,460.10,172700,460.10
2012-11-23,464.50,464.50,449.50,452.15,73000,452.15
2012-11-22,468.00,468.00,447.50,452.65,95400,452.65
2012-11-21,456.00,464.90,455.10,459.35,92300,459.35
2012-11-20,456.70,459.90,454.15,455.60,25800,455.60
2012-11-19,460.75,462.30,452.50,454.10,39700,454.10
2012-11-16,465.05,467.00,459.90,460.75,45500,460.75
2012-11-15,473.55,475.50,463.00,464.85,60800,464.85
2012-11-14,471.35,471.35,471.35,471.35,000,471.35
2012-11-13,471.35,471.35,471.35,471.35,000,471.35
2012-11-12,470.00,477.85,469.85,471.35,43600,471.35
2012-11-09,474.00,482.00,466.40,468.15,99900,468.15
2012-11-08,474.50,478.50,471.50,473.30,46200,473.30
2012-11-07,474.50,482.00,470.00,479.50,116700,479.50
2012-11-06,457.50,474.85,457.50,469.20,128400,469.20
2012-11-05,468.85,474.00,460.00,463.70,61400,463.70
2012-11-02,475.00,481.40,464.15,466.85,137900,466.85
2012-11-01,469.00,475.00,457.30,472.15,193400,472.15
2012-10-31,443.50,481.00,437.00,466.45,890400,466.45
2012-10-30,446.00,449.00,440.00,441.45,53900,441.45
2012-10-29,444.00,448.85,443.00,447.25,38500,447.25
2012-10-26,446.40,446.40,446.40,446.40,000,446.40
2012-10-25,442.00,448.00,442.00,446.40,37200,446.40
2012-10-24,445.30,445.30,445.30,445.30,000,445.30
2012-10-23,444.00,447.00,441.00,445.30,30400,445.30
2012-10-22,447.10,449.70,442.75,445.05,48900,445.05
2012-10-19,443.00,447.95,441.00,445.45,81700,445.45
2012-10-18,441.50,444.00,435.00,441.80,432800,441.80
2012-10-17,442.40,444.00,436.55,438.45,39000,438.45
2012-10-16,444.35,449.90,437.40,440.65,115600,440.65
2012-10-15,430.95,444.95,430.00,437.40,112300,437.40
2012-10-12,434.00,437.25,426.00,429.95,338200,429.95
2012-10-11,435.00,435.00,428.50,431.10,75900,431.10
2012-10-10,431.90,434.70,431.90,434.10,217200,434.10
2012-10-09,431.45,435.00,430.50,433.20,180800,433.20
2012-10-08,426.60,434.95,426.60,428.90,114000,428.90
2012-10-05,423.75,427.00,419.90,425.30,155100,425.30
2012-10-04,430.45,434.50,418.00,419.85,122600,419.85
2012-10-03,417.00,432.90,417.00,429.45,338400,429.45
2012-10-02,414.00,414.00,414.00,414.00,000,414.00
2012-10-01,413.00,418.00,407.10,414.00,96800,414.00
2012-09-28,408.45,414.00,406.50,411.10,112100,411.10
2012-09-27,400.10,408.00,400.10,406.25,66100,406.25
2012-09-26,400.10,408.00,398.00,399.70,57500,399.70
2012-09-25,406.00,411.00,400.20,403.40,66800,403.40
2012-09-24,404.00,412.20,400.00,409.40,83400,409.40
2012-09-21,405.00,412.20,398.10,400.80,122400,400.80
2012-09-20,409.00,415.40,407.50,408.95,21500,408.95
2012-09-19,415.40,415.40,415.40,415.40,000,415.40
2012-09-18,415.00,417.00,407.00,415.40,39800,415.40
2012-09-17,402.45,413.00,402.40,412.00,67600,412.00
2012-09-14,400.00,402.30,397.15,399.75,53700,399.75
2012-09-13,394.90,398.95,388.65,396.50,65200,396.50
2012-09-12,389.00,391.70,387.00,390.30,18300,390.30
2012-09-11,393.00,394.00,386.25,387.05,31500,387.05
2012-09-10,393.00,395.50,390.15,391.25,13700,391.25
2012-09-07,396.00,397.95,389.05,389.90,25100,389.90
