Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,40.05,40.05,40.05,40.05,000,40.05
2012-12-24,39.95,40.60,38.90,40.05,151000,40.05
2012-12-21,36.90,40.05,36.90,39.40,247100,39.40
2012-12-20,37.40,38.10,36.90,37.05,29500,37.05
2012-12-19,38.45,38.45,37.75,37.95,20800,37.95
2012-12-18,38.50,38.80,37.10,37.60,27200,37.60
2012-12-17,38.50,39.50,37.45,37.55,44400,37.55
2012-12-14,37.25,38.10,36.80,37.95,44200,37.95
2012-12-13,37.80,38.15,36.75,37.25,92900,37.25
2012-12-12,38.45,38.45,36.60,36.95,199700,36.95
2012-12-11,37.50,38.50,37.30,37.75,25800,37.75
2012-12-10,37.80,38.40,37.60,37.75,30000,37.75
2012-12-07,37.70,38.90,36.95,37.20,98700,37.20
2012-12-06,39.25,39.25,37.65,37.90,51600,37.90
2012-12-05,38.85,40.45,38.00,38.65,31800,38.65
2012-12-04,38.90,39.60,38.60,38.85,37600,38.85
2012-12-03,39.80,39.85,38.55,38.90,16800,38.90
2012-11-30,39.90,39.90,38.50,38.85,62600,38.85
2012-11-29,40.80,40.80,39.00,39.05,53400,39.05
2012-11-28,39.75,39.75,39.75,39.75,000,39.75
2012-11-27,41.00,41.30,39.60,39.75,42200,39.75
2012-11-26,38.25,41.45,37.80,40.50,134400,40.50
2012-11-23,38.50,39.15,37.55,38.00,31800,38.00
2012-11-22,36.70,40.15,36.25,38.80,163600,38.80
2012-11-21,36.80,37.00,36.05,36.10,28800,36.10
2012-11-20,37.90,37.95,36.75,37.00,62400,37.00
2012-11-19,38.25,38.80,36.55,37.25,46600,37.25
2012-11-16,38.90,38.90,38.10,38.30,52400,38.30
2012-11-15,39.00,39.55,38.50,38.60,30900,38.60
2012-11-14,39.15,39.15,39.15,39.15,000,39.15
2012-11-13,39.15,39.15,39.15,39.15,000,39.15
2012-11-12,39.60,39.85,38.70,39.15,27900,39.15
2012-11-09,39.55,39.95,38.60,38.95,48000,38.95
2012-11-08,39.50,40.95,39.20,39.55,47200,39.55
2012-11-07,41.05,41.05,39.55,39.70,63000,39.70
2012-11-06,38.00,41.50,37.50,41.05,286300,41.05
2012-11-05,39.50,39.60,38.25,38.70,51600,38.70
2012-11-02,40.00,40.65,39.05,39.15,103500,39.15
2012-11-01,40.25,41.15,38.00,38.40,180800,38.40
2012-10-31,41.35,41.50,38.30,41.15,220400,40.90
2012-10-30,38.30,41.35,37.45,41.00,189300,40.75
2012-10-29,41.85,41.85,37.80,38.20,261700,37.97
2012-10-26,43.55,43.55,43.55,43.55,000,43.29
2012-10-25,44.75,45.45,43.00,43.55,134300,43.29
2012-10-24,44.85,44.85,44.85,44.85,000,44.58
2012-10-23,46.00,46.40,44.55,44.85,106100,44.58
2012-10-22,46.50,46.85,45.40,45.95,204500,45.67
2012-10-19,45.70,46.80,44.70,46.35,255700,46.07
2012-10-18,45.00,46.35,44.05,46.05,376600,45.77
2012-10-17,44.50,45.20,42.00,44.95,564200,44.68
2012-10-16,44.10,45.45,43.60,43.95,686100,43.68
2012-10-15,40.35,43.45,40.35,42.85,934400,42.59
2012-10-12,36.80,40.25,36.50,39.90,506300,39.66
2012-10-11,38.80,38.80,36.15,36.55,240300,36.33
2012-10-10,39.40,39.85,37.00,37.25,179800,37.02
2012-10-09,34.80,40.15,34.80,38.75,621500,38.51
2012-10-08,34.50,35.40,34.20,34.90,44600,34.69
2012-10-05,35.95,36.20,34.10,34.50,49400,34.29
2012-10-04,35.55,37.55,35.00,35.25,181500,35.04
2012-10-03,34.00,35.75,34.00,35.15,61300,34.94
2012-10-02,34.25,34.25,34.25,34.25,000,34.04
2012-10-01,33.90,34.85,33.90,34.25,48000,34.04
2012-09-28,35.95,35.95,33.55,33.80,30300,33.59
2012-09-27,34.00,35.20,34.00,34.55,109200,34.34
2012-09-26,32.20,33.90,32.20,33.60,44700,33.40
2012-09-25,33.80,33.80,32.00,32.15,26000,31.95
2012-09-24,33.00,33.90,32.30,32.45,25300,32.25
2012-09-21,32.95,33.80,32.45,33.00,26300,32.55
2012-09-20,32.90,33.00,32.45,32.55,10600,32.11
2012-09-19,32.55,32.55,32.55,32.55,000,32.11
2012-09-18,32.75,32.85,32.15,32.55,24400,32.11
2012-09-17,32.50,32.80,31.75,32.00,34200,31.56
2012-09-14,32.35,32.90,31.60,32.35,49200,31.91
2012-09-13,32.00,32.95,32.00,32.35,21800,31.91
2012-09-12,34.00,34.95,32.40,32.75,33700,32.30
2012-09-11,32.50,34.10,32.25,34.00,27600,33.54
2012-09-10,32.00,32.55,30.40,32.35,5600,31.91
2012-09-07,32.80,32.80,31.55,32.55,21900,32.11
2012-09-06,31.55,32.70,31.50,32.00,15200,31.56
2012-09-05,31.15,32.40,31.10,32.30,553800,31.86
2012-09-04,32.40,32.75,30.60,31.15,172900,30.73
2012-09-03,32.35,33.30,32.00,32.35,18500,31.91
2012-08-31,33.00,33.30,32.50,32.80,10400,32.35
2012-08-30,32.00,33.00,31.40,32.70,27900,32.26
2012-08-29,33.70,34.00,30.45,31.05,135300,30.63
2012-08-28,34.10,34.70,33.30,33.45,10100,32.99
2012-08-27,34.05,34.90,34.05,34.15,9300,33.69
