Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,64.15,64.15,64.15,64.15,000,64.15
2012-12-24,64.00,65.00,63.10,64.15,64300,64.15
2012-12-21,64.95,65.85,64.10,64.35,96100,64.35
2012-12-20,64.00,65.90,64.00,65.00,292100,65.00
2012-12-19,64.55,65.35,64.00,64.20,100900,64.20
2012-12-18,64.50,65.45,64.20,64.55,99500,64.55
2012-12-17,64.40,65.50,63.90,64.70,160600,64.70
2012-12-14,64.20,65.70,63.80,64.40,89600,64.40
2012-12-13,66.00,66.75,64.50,64.65,82700,64.65
2012-12-12,65.60,67.25,65.00,65.50,158700,65.50
2012-12-11,66.25,68.00,63.40,65.25,129400,65.25
2012-12-10,65.50,69.25,65.10,66.10,464900,66.10
2012-12-07,68.40,68.40,65.50,65.95,83000,65.95
2012-12-06,69.90,69.90,65.65,67.40,411000,67.40
2012-12-05,66.85,67.50,66.10,67.05,77400,67.05
2012-12-04,64.70,67.00,64.70,66.55,146700,66.55
2012-12-03,63.50,65.85,63.50,65.15,69200,65.15
2012-11-30,63.20,65.25,63.00,65.00,188500,65.00
2012-11-29,62.80,64.20,61.55,62.95,117300,62.95
2012-11-28,62.80,62.80,62.80,62.80,000,62.80
2012-11-27,61.75,63.20,61.00,62.80,93700,62.80
2012-11-26,60.75,62.15,60.75,61.70,75500,61.70
2012-11-23,60.55,62.80,60.30,61.30,295100,61.30
2012-11-22,60.10,61.80,60.10,61.55,141600,61.55
2012-11-21,58.70,61.50,58.70,61.00,366500,61.00
2012-11-20,59.55,60.90,59.55,59.90,59200,59.90
2012-11-19,58.25,62.70,58.25,60.20,106000,60.20
2012-11-16,61.50,63.45,61.20,62.05,444000,62.05
2012-11-15,61.10,63.80,61.10,62.95,444600,62.95
2012-11-14,62.05,62.05,62.05,62.05,000,62.05
2012-11-13,62.05,62.05,62.05,62.05,000,62.05
2012-11-12,63.50,64.40,61.85,62.05,200400,62.05
2012-11-09,62.00,64.20,61.60,63.50,335800,63.50
2012-11-08,62.45,63.50,61.10,62.10,659400,62.10
2012-11-07,62.25,63.90,62.00,62.50,281500,62.50
2012-11-06,60.60,62.50,60.10,61.75,201500,61.75
2012-11-05,61.70,63.00,60.25,60.60,144800,60.60
2012-11-02,62.30,63.70,62.05,62.45,171200,62.45
2012-11-01,62.80,65.65,61.90,62.05,364200,62.05
2012-10-31,65.60,67.90,63.05,63.50,892500,63.50
2012-10-30,76.25,77.70,61.55,69.20,1638100,69.20
2012-10-29,76.00,80.80,74.75,75.75,401400,75.75
2012-10-26,72.30,72.30,72.30,72.30,000,72.30
2012-10-25,69.10,72.90,69.10,72.30,223100,72.30
2012-10-24,70.05,70.05,70.05,70.05,000,70.05
2012-10-23,68.00,70.75,68.00,70.05,67500,70.05
2012-10-22,70.25,71.00,66.95,70.35,79400,70.35
2012-10-19,72.50,72.80,69.55,70.25,144800,70.25
2012-10-18,67.90,74.60,67.40,72.35,445800,72.35
2012-10-17,67.60,69.20,67.10,67.70,75000,67.70
2012-10-16,69.95,70.30,66.00,67.25,298300,67.25
2012-10-15,65.85,70.20,65.10,69.00,603300,69.00
2012-10-12,69.55,71.90,67.00,67.40,274700,67.40
2012-10-11,64.55,70.40,64.55,69.75,131800,69.75
2012-10-10,66.20,68.00,66.20,66.65,71700,66.65
2012-10-09,68.00,70.15,67.20,67.65,102800,67.65
2012-10-08,69.00,70.90,68.20,69.85,171200,69.85
2012-10-05,70.80,72.15,68.90,69.60,345500,69.60
2012-10-04,71.60,72.80,70.25,70.80,118700,70.80
2012-10-03,71.85,73.00,71.10,71.40,143400,71.40
2012-10-02,71.10,71.10,71.10,71.10,000,71.10
2012-10-01,74.60,75.70,70.45,71.10,293300,71.10
2012-09-28,69.00,74.60,68.35,73.40,293200,73.40
2012-09-27,70.05,72.30,70.05,70.90,173200,70.90
2012-09-26,69.00,72.45,67.70,71.25,328300,71.25
2012-09-25,68.05,74.45,68.05,69.80,446200,69.80
2012-09-24,68.60,75.60,67.00,72.05,1111700,72.05
2012-09-21,59.90,70.35,58.65,68.30,1813200,68.30
2012-09-20,60.05,61.35,59.00,60.60,83300,60.60
2012-09-19,61.20,61.20,61.20,61.20,000,61.20
2012-09-18,62.90,63.40,57.80,61.20,212900,61.20
2012-09-17,56.95,59.50,56.95,58.05,102900,58.05
2012-09-14,56.40,57.55,56.40,57.05,137300,57.05
2012-09-13,58.40,58.40,56.15,56.60,63400,56.60
2012-09-12,57.00,57.80,56.15,56.50,32000,56.50
2012-09-11,57.40,57.60,56.40,57.00,60700,57.00
2012-09-10,54.90,57.35,54.80,57.05,84300,57.05
2012-09-07,54.80,56.00,54.80,55.55,93800,55.55
2012-09-06,54.00,55.50,53.90,54.50,82700,54.50
2012-09-05,54.90,55.55,53.60,53.90,71600,53.90
2012-09-04,56.10,57.15,54.70,55.20,136200,55.20
2012-09-03,56.05,57.20,54.80,56.65,69500,56.65
2012-08-31,56.40,56.90,56.05,56.40,42700,56.40
2012-08-30,56.25,57.55,55.25,56.80,53100,56.80
2012-08-29,56.50,57.40,54.70,56.95,70200,56.95
2012-08-28,57.10,58.30,56.50,56.95,58800,56.95
2012-08-27,59.35,59.35,56.85,57.75,120400,57.75
2012-08-24,57.90,58.65,57.00,57.35,76400,57.35
2012-08-23,59.05,59.65,57.80,58.15,93800,58.15
2012-08-22,59.20,61.00,58.50,59.05,215800,59.05
2012-08-21,57.75,59.85,57.50,59.50,122000,59.50
2012-08-20,58.00,58.00,58.00,58.00,000,58.00
2012-08-17,60.10,60.40,57.20,58.00,67300,58.00
