Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,148.00,148.00,148.00,148.00,000,148.00
2012-12-24,146.50,150.50,146.50,148.00,9700,148.00
2012-12-21,149.00,150.75,145.35,145.95,21600,145.95
2012-12-20,151.05,151.95,149.00,149.65,16700,149.65
2012-12-19,152.95,154.45,149.25,151.65,30200,151.65
2012-12-18,152.30,153.95,150.25,151.45,20300,151.45
2012-12-17,153.00,160.00,150.35,152.50,7800,152.50
2012-12-14,149.50,154.00,149.50,152.15,14800,152.15
2012-12-13,154.00,155.70,148.30,149.40,17000,149.40
2012-12-12,155.00,157.50,152.00,154.10,24700,154.10
2012-12-11,158.00,159.80,152.50,153.50,86400,153.50
2012-12-10,151.95,157.35,149.25,156.25,116100,156.25
2012-12-07,148.00,150.25,146.35,148.60,27200,148.60
2012-12-06,147.50,150.65,144.15,147.80,32100,147.80
2012-12-05,148.85,152.45,145.25,147.05,101300,147.05
2012-12-04,147.00,148.00,141.15,146.60,73300,146.60
2012-12-03,144.00,146.40,139.00,143.50,35500,143.50
2012-11-30,137.50,144.50,137.00,140.75,51000,140.75
2012-11-29,139.00,141.00,136.20,136.85,23700,136.85
2012-11-28,137.10,137.10,137.10,137.10,000,137.10
2012-11-27,139.75,139.75,136.65,137.10,47900,137.10
2012-11-26,138.00,138.50,135.55,137.35,8000,137.35
2012-11-23,141.00,141.45,135.00,137.90,14300,137.90
2012-11-22,138.00,144.80,132.50,139.05,55700,139.05
2012-11-21,137.60,137.60,131.20,132.35,19500,132.35
2012-11-20,138.50,142.00,131.30,133.10,47500,133.10
2012-11-19,141.50,141.50,137.00,137.90,25800,137.90
2012-11-16,141.50,144.80,137.85,140.50,65500,140.50
2012-11-15,140.50,141.75,139.00,139.10,11500,139.10
2012-11-14,139.50,139.50,139.50,139.50,000,139.50
2012-11-13,139.50,139.50,139.50,139.50,000,139.50
2012-11-12,140.30,143.65,137.60,139.50,22300,139.50
2012-11-09,144.00,144.55,140.25,140.70,19100,140.70
2012-11-08,140.20,146.60,140.20,144.10,25000,144.10
2012-11-07,143.50,145.55,143.25,143.70,48500,143.70
2012-11-06,144.00,145.10,142.50,143.50,44200,143.50
2012-11-05,146.90,146.90,143.55,144.50,12100,144.50
2012-11-02,146.90,147.80,144.10,145.50,65400,145.50
2012-11-01,149.00,149.00,144.55,145.55,69800,145.55
2012-10-31,145.00,147.60,143.15,145.95,24300,145.95
2012-10-30,146.70,148.40,142.50,145.65,48300,145.65
2012-10-29,144.45,151.20,142.60,144.00,222600,144.00
2012-10-26,145.20,145.20,145.20,145.20,000,145.20
2012-10-25,146.00,146.65,144.30,145.20,20900,145.20
2012-10-24,146.30,146.30,146.30,146.30,000,146.30
