Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,3.20,3.20,3.20,3.20,000,3.20
2012-12-24,3.30,3.30,3.15,3.20,760300,3.20
2012-12-21,3.35,3.35,3.15,3.20,1523100,3.20
2012-12-20,3.35,3.40,3.30,3.30,1244300,3.30
2012-12-19,3.35,3.45,3.30,3.35,2232800,3.35
2012-12-18,3.40,3.55,3.30,3.30,3092700,3.30
2012-12-17,3.40,3.60,3.30,3.35,3265500,3.35
2012-12-14,3.40,3.45,3.30,3.35,2373400,3.35
2012-12-13,3.45,3.55,3.30,3.35,2022600,3.35
2012-12-12,3.40,3.55,3.40,3.45,796600,3.45
2012-12-11,3.50,3.65,3.40,3.40,3592500,3.40
2012-12-10,3.50,3.65,3.45,3.45,2821800,3.45
2012-12-07,3.55,3.60,3.45,3.45,2368100,3.45
2012-12-06,3.65,3.80,3.50,3.55,3664300,3.55
2012-12-05,3.90,3.95,3.55,3.65,5215800,3.65
2012-12-04,3.95,3.95,3.65,3.85,2132300,3.85
2012-12-03,4.00,4.20,3.60,3.70,3356700,3.70
2012-11-30,3.90,4.05,3.80,3.85,1893000,3.85
2012-11-29,4.35,4.40,3.85,3.90,1805100,3.90
2012-11-28,3.95,3.95,3.95,3.95,000,3.95
2012-11-27,4.00,4.05,3.95,3.95,1128100,3.95
2012-11-26,4.10,4.15,3.95,4.00,754500,4.00
2012-11-23,4.00,4.15,4.00,4.05,277800,4.05
2012-11-22,4.20,4.30,3.95,4.10,1352000,4.10
2012-11-21,4.20,4.25,4.20,4.20,244700,4.20
2012-11-20,4.30,4.45,4.25,4.25,433000,4.25
2012-11-19,4.50,4.50,4.35,4.35,601300,4.35
2012-11-16,4.45,4.50,4.40,4.45,695200,4.45
2012-11-15,4.50,4.50,4.35,4.40,562400,4.40
2012-11-14,4.45,4.45,4.45,4.45,000,4.45
2012-11-13,4.45,4.45,4.45,4.45,000,4.45
2012-11-12,4.40,4.65,4.40,4.45,704800,4.45
2012-11-09,4.50,4.50,4.40,4.40,310000,4.40
2012-11-08,4.35,4.50,4.35,4.40,350800,4.40
2012-11-07,4.40,4.50,4.30,4.40,521100,4.40
2012-11-06,4.65,4.65,4.40,4.45,771900,4.45
2012-11-05,4.70,4.70,4.35,4.55,341700,4.55
2012-11-02,4.35,4.70,4.35,4.55,867200,4.55
2012-11-01,4.40,4.45,4.35,4.35,372300,4.35
2012-10-31,4.55,4.55,4.30,4.40,793200,4.40
2012-10-30,4.85,4.85,4.45,4.45,869900,4.45
2012-10-29,4.50,4.85,4.45,4.55,1099100,4.55
2012-10-26,4.45,4.45,4.45,4.45,000,4.45
2012-10-25,4.60,4.60,4.45,4.45,716700,4.45
2012-10-24,4.50,4.50,4.50,4.50,000,4.50
2012-10-23,4.70,4.80,4.50,4.50,589300,4.50
2012-10-22,4.90,4.90,4.55,4.65,784700,4.65
2012-10-19,5.00,5.15,4.80,4.90,1382100,4.90
2012-10-18,4.45,5.05,4.40,4.90,3680500,4.90
2012-10-17,4.50,4.65,4.30,4.40,963000,4.40
2012-10-16,4.95,4.95,4.35,4.45,972600,4.45
2012-10-15,4.60,4.75,4.50,4.55,1031300,4.55
2012-10-12,5.10,5.10,4.60,4.70,1546200,4.70
2012-10-11,5.25,5.50,4.70,4.95,7752600,4.95
2012-10-10,4.15,5.00,4.15,5.00,9676200,5.00
2012-10-09,4.10,4.40,4.00,4.20,1191700,4.20
2012-10-08,4.15,4.15,4.05,4.05,569700,4.05
2012-10-05,4.30,4.30,4.05,4.15,984600,4.15
2012-10-04,4.35,4.40,4.20,4.20,493200,4.20
2012-10-03,4.20,4.40,4.00,4.20,864000,4.20
2012-10-02,4.35,4.35,4.35,4.35,000,4.35
2012-10-01,4.65,4.65,4.00,4.35,898200,4.35
2012-09-28,4.25,4.60,4.20,4.45,2380900,4.45
2012-09-27,4.10,4.35,4.10,4.25,1076100,4.25
2012-09-26,4.25,4.35,3.95,4.10,1858800,4.10
2012-09-25,4.00,4.30,4.00,4.20,2192000,4.20
2012-09-24,3.70,4.10,3.70,4.00,1652900,4.00
2012-09-21,3.75,3.80,3.65,3.75,941200,3.75
2012-09-20,3.75,3.75,3.60,3.65,1168800,3.65
2012-09-19,3.65,3.65,3.65,3.65,000,3.65
2012-09-18,3.50,3.70,3.45,3.65,1349900,3.65
2012-09-17,3.40,3.55,3.35,3.50,838400,3.50
2012-09-14,3.50,3.55,3.25,3.30,1456300,3.30
2012-09-13,3.50,3.65,3.40,3.40,1013900,3.40
2012-09-12,2.95,3.55,2.80,3.50,2002500,3.50
2012-09-11,3.50,3.50,2.95,3.10,4689300,3.10
2012-09-10,3.70,3.90,3.40,3.55,1978800,3.55
2012-09-07,3.70,3.70,3.55,3.60,755300,3.60
2012-09-06,3.70,3.70,3.60,3.65,358100,3.65
2012-09-05,3.60,3.70,3.60,3.65,295200,3.65
2012-09-04,3.70,3.70,3.60,3.65,519300,3.65
2012-09-03,3.75,3.85,3.60,3.65,576600,3.65
2012-08-31,3.90,3.90,3.70,3.75,511900,3.75
2012-08-30,3.90,3.95,3.60,3.85,778300,3.85
2012-08-29,3.90,3.90,3.55,3.60,1257500,3.60
2012-08-28,3.90,3.95,3.75,3.80,720900,3.80
2012-08-27,4.00,4.00,3.85,3.90,520200,3.90
2012-08-24,4.00,4.00,3.90,3.95,540900,3.95
2012-08-23,4.00,4.10,3.90,3.95,1111600,3.95
2012-08-22,4.15,4.15,3.95,4.05,957700,4.05
2012-08-21,4.25,4.25,3.95,4.15,863900,4.15
2012-08-20,4.15,4.15,4.15,4.15,000,4.15
2012-08-17,4.05,4.20,4.00,4.15,569100,4.15
2012-08-16,4.15,4.20,3.50,4.05,1948500,4.05
2012-08-15,4.20,4.20,4.20,4.20,000,4.20
2012-08-14,4.20,4.50,4.10,4.20,721200,4.20
2012-08-13,4.30,4.35,4.20,4.20,223600,4.20
2012-08-10,4.30,4.30,4.15,4.25,455900,4.25
2012-08-09,4.25,4.30,4.25,4.25,319500,4.25
2012-08-08,4.30,4.30,4.25,4.25,342600,4.25
2012-08-07,4.25,4.45,4.25,4.25,615100,4.25
2012-08-06,4.25,4.35,4.20,4.25,600600,4.25
2012-08-03,4.35,4.35,4.15,4.20,468300,4.20
2012-08-02,4.15,4.35,4.15,4.30,715900,4.30
2012-08-01,4.15,4.15,4.10,4.15,302000,4.15
2012-07-31,4.20,4.20,4.05,4.10,530200,4.10
2012-07-30,4.10,4.15,4.00,4.10,766300,4.10
2012-07-27,4.20,4.25,4.05,4.10,933600,4.10
2012-07-26,4.45,4.45,3.90,4.05,1877100,4.05
2012-07-25,4.50,4.50,4.40,4.40,316200,4.40
2012-07-24,4.45,4.50,4.40,4.45,424100,4.45
2012-07-23,4.60,4.65,4.40,4.45,1176600,4.45
2012-07-20,4.55,4.60,4.40,4.55,1256400,4.55
2012-07-19,4.45,4.50,4.40,4.45,1121100,4.45
2012-07-18,4.45,4.50,4.40,4.40,797900,4.40
2012-07-17,4.50,4.55,4.40,4.45,1851300,4.45
2012-07-16,4.70,4.70,4.40,4.45,826500,4.45
2012-07-13,4.60,4.65,4.55,4.60,664900,4.60
2012-07-12,4.70,4.70,4.55,4.60,779100,4.60
2012-07-11,4.80,4.80,4.60,4.65,793700,4.65
2012-07-10,4.65,4.80,4.65,4.70,453200,4.70
2012-07-09,4.80,4.80,4.60,4.65,570900,4.65
2012-07-06,4.95,5.00,4.75,4.80,780100,4.80
2012-07-05,4.85,5.00,4.75,4.90,1143300,4.90
2012-07-04,4.75,4.85,4.70,4.80,1013800,4.80
2012-07-03,4.60,4.80,4.55,4.75,1730800,4.75
2012-07-02,4.45,4.65,4.35,4.55,1596800,4.55
