Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,646.65,646.65,646.65,646.65,000,646.65
2012-12-24,653.40,654.35,641.95,646.65,320500,646.65
2012-12-21,658.00,661.30,647.00,649.55,383000,649.55
2012-12-20,664.00,668.00,658.10,662.05,363200,662.05
2012-12-19,668.00,669.00,658.25,667.75,627800,667.75
2012-12-18,662.90,666.60,651.80,663.75,414300,663.75
2012-12-17,664.00,666.30,653.35,661.35,404300,661.35
2012-12-14,654.25,667.50,652.95,664.75,331000,664.75
2012-12-13,662.10,663.20,646.15,652.45,687300,652.45
2012-12-12,668.95,672.90,657.15,660.30,760200,660.30
2012-12-11,674.50,677.00,658.60,667.00,747400,667.00
2012-12-10,665.10,676.50,661.85,673.60,411800,673.60
2012-12-07,668.90,670.95,661.55,664.05,362200,664.05
2012-12-06,666.70,670.00,652.15,665.30,557800,665.30
2012-12-05,671.95,673.85,660.05,663.30,580500,663.30
2012-12-04,667.50,674.50,661.25,671.05,589900,671.05
2012-12-03,670.00,670.00,658.00,666.15,469300,666.15
2012-11-30,657.00,675.00,649.20,670.45,2029300,670.45
2012-11-29,635.50,657.90,635.50,651.25,868600,651.25
2012-11-28,635.05,635.05,635.05,635.05,000,635.05
2012-11-27,628.90,637.00,622.75,635.05,630000,635.05
2012-11-26,625.50,630.00,621.15,627.35,178000,627.35
2012-11-23,628.50,631.95,621.50,624.35,207800,624.35
2012-11-22,631.50,632.75,622.70,627.95,264900,627.95
2012-11-21,625.45,630.00,620.70,629.30,361800,629.30
2012-11-20,626.95,632.05,616.90,621.70,465600,621.70
2012-11-19,624.90,626.00,613.10,622.85,162500,622.85
2012-11-16,639.00,639.00,616.00,622.85,250300,622.85
2012-11-15,616.80,639.50,615.10,637.20,751900,637.20
2012-11-14,623.85,623.85,623.85,623.85,000,623.85
2012-11-13,623.85,623.85,623.85,623.85,000,623.85
2012-11-12,625.40,628.00,621.30,623.85,162600,623.85
2012-11-09,630.00,631.95,618.10,621.30,213200,621.30
2012-11-08,625.45,630.00,623.90,627.30,189900,627.30
2012-11-07,625.00,633.35,624.00,630.00,524900,630.00
2012-11-06,620.00,628.90,620.00,627.00,383300,627.00
2012-11-05,612.05,626.70,612.00,625.65,620100,625.65
2012-11-02,616.00,618.40,610.15,612.30,285300,612.30
2012-11-01,603.75,614.00,597.10,612.55,426400,612.55
2012-10-31,600.00,606.00,591.10,603.75,399300,603.75
2012-10-30,611.00,612.60,596.50,598.65,1099100,598.65
2012-10-29,616.45,621.55,608.10,610.10,784600,610.10
2012-10-26,625.70,625.70,625.70,625.70,000,625.70
2012-10-25,621.10,627.80,615.10,625.70,1749900,625.70
2012-10-24,620.70,620.70,620.70,620.70,000,620.70
2012-10-23,632.75,635.00,618.20,620.70,406600,620.70
2012-10-22,624.50,634.70,621.55,633.50,392700,633.50
2012-10-19,634.00,636.45,625.60,628.45,371900,628.45
2012-10-18,630.00,640.30,623.20,637.50,506100,637.50
2012-10-17,631.00,631.95,620.55,625.55,315300,625.55
2012-10-16,634.70,635.65,625.25,628.90,313100,628.90
2012-10-15,626.95,629.80,620.60,628.80,439500,628.80
2012-10-12,632.00,638.20,625.00,626.95,710700,626.95
2012-10-11,630.00,636.00,626.25,634.10,754500,634.10
2012-10-10,632.00,633.00,627.20,628.65,308500,628.65
2012-10-09,629.25,641.90,629.25,637.00,302000,637.00
2012-10-08,636.00,638.65,625.15,627.35,380800,627.35
2012-10-05,642.30,650.60,546.90,638.70,1149000,638.70
2012-10-04,641.00,652.50,636.05,639.60,833600,639.60
2012-10-03,644.25,645.95,635.75,639.35,640000,639.35
2012-10-02,645.10,645.10,645.10,645.10,000,645.10
2012-10-01,648.50,652.15,639.30,645.10,264800,645.10
2012-09-28,648.50,650.90,643.35,648.75,542600,648.75
2012-09-27,642.15,647.90,640.15,644.65,656800,644.65
2012-09-26,640.00,650.80,638.55,640.95,1140500,640.95
2012-09-25,624.00,644.00,623.75,641.10,945500,641.10
2012-09-24,622.00,629.00,614.00,623.65,602700,623.65
2012-09-21,605.00,626.00,601.90,622.45,1341800,622.45
2012-09-20,593.00,606.95,591.00,602.65,436400,602.65
2012-09-19,599.50,599.50,599.50,599.50,000,599.50
2012-09-18,606.10,610.80,590.50,599.50,475000,599.50
