Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,221.30,221.30,221.30,221.30,000,221.30
2012-12-24,227.00,227.00,220.10,221.30,4400,221.30
2012-12-21,226.00,227.95,225.00,225.55,2500,225.55
2012-12-20,225.55,230.45,225.50,227.60,1700,227.60
2012-12-19,231.00,231.00,225.30,226.00,7100,226.00
2012-12-18,229.15,231.05,229.10,231.00,1000,231.00
2012-12-17,231.00,233.20,229.00,230.75,2200,230.75
2012-12-14,231.35,233.00,229.00,229.15,4600,229.15
2012-12-13,230.05,236.00,229.30,232.50,4000,232.50
2012-12-12,237.25,237.25,227.60,229.90,900,229.90
2012-12-11,236.95,236.95,235.00,235.80,33200,235.80
2012-12-10,237.90,237.90,231.00,235.70,4600,235.70
2012-12-07,228.95,235.60,227.30,233.75,12600,233.75
2012-12-06,233.95,233.95,227.30,229.00,1900,229.00
2012-12-05,229.95,229.95,227.65,228.20,700,228.20
2012-12-04,233.35,233.35,227.30,228.25,3700,228.25
2012-12-03,235.60,235.60,226.15,228.15,9000,228.15
2012-11-30,227.50,230.10,220.10,228.00,3400,228.00
2012-11-29,226.40,229.50,223.15,225.85,5500,225.85
2012-11-28,226.75,226.75,226.75,226.75,000,226.75
2012-11-27,234.95,234.95,225.25,226.75,3600,226.75
2012-11-26,233.90,233.90,228.80,229.30,3400,229.30
2012-11-23,230.95,231.00,228.65,230.05,2000,230.05
2012-11-22,233.20,233.20,228.50,229.75,2700,229.75
2012-11-21,233.70,233.70,225.00,228.60,5500,228.60
2012-11-20,229.05,232.70,222.50,227.35,3400,227.35
2012-11-19,232.85,232.90,229.00,229.20,4600,229.20
2012-11-16,234.75,234.75,226.20,228.90,5500,228.90
2012-11-15,238.00,238.00,229.00,233.05,4500,233.05
2012-11-14,230.00,230.00,230.00,230.00,000,230.00
2012-11-13,230.00,230.00,230.00,230.00,000,230.00
2012-11-12,225.85,231.00,225.00,230.00,4400,230.00
2012-11-09,230.00,231.75,225.85,228.25,4700,228.25
2012-11-08,222.15,233.80,222.15,230.60,8800,230.60
2012-11-07,229.85,229.85,226.20,228.10,1500,227.10
2012-11-06,225.00,230.95,223.00,227.45,3500,226.45
