Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,61.25,61.25,61.25,61.25,000,61.25
2012-12-24,60.70,61.75,60.00,61.25,18800,61.25
2012-12-21,62.50,62.50,58.35,59.10,46400,59.10
2012-12-20,59.65,64.45,59.65,62.35,311500,62.35
2012-12-19,58.30,61.25,57.80,59.35,45200,59.35
2012-12-18,58.60,59.20,57.60,58.10,54100,58.10
2012-12-17,58.00,58.50,56.70,58.10,47200,58.10
2012-12-14,59.80,59.80,57.55,57.70,12600,57.70
2012-12-13,60.10,60.50,58.20,58.35,15000,58.35
2012-12-12,61.00,61.50,59.90,60.10,13800,60.10
2012-12-11,61.50,61.70,60.25,60.70,23200,60.70
2012-12-10,61.45,62.00,60.35,60.60,20500,60.60
2012-12-07,61.90,63.00,60.25,60.45,63400,60.45
2012-12-06,62.90,62.90,59.70,60.25,41200,60.25
2012-12-05,63.05,64.90,61.55,62.10,111600,62.10
2012-12-04,57.00,63.00,57.00,62.05,111300,62.05
2012-12-03,57.00,57.70,56.00,57.30,16000,57.30
2012-11-30,55.60,57.75,55.00,56.60,40600,56.60
2012-11-29,54.75,55.75,52.55,55.05,48500,55.05
2012-11-28,53.80,53.80,53.80,53.80,000,53.80
2012-11-27,55.50,55.75,53.55,53.80,16000,53.80
2012-11-26,53.00,55.85,52.50,54.75,25400,54.75
2012-11-23,53.00,53.35,52.25,52.70,28200,52.70
2012-11-22,54.75,54.75,52.15,53.10,28400,53.10
2012-11-21,55.00,55.95,53.60,53.90,103300,53.90
2012-11-20,56.55,57.25,54.30,54.70,28300,54.70
2012-11-19,59.50,59.50,56.10,56.55,44200,56.55
2012-11-16,59.30,60.80,58.60,58.65,24100,58.65
2012-11-15,60.05,61.00,58.20,60.25,66000,60.25
2012-11-14,59.80,59.80,59.80,59.80,000,59.80
2012-11-13,59.80,59.80,59.80,59.80,000,59.80
2012-11-12,60.70,60.70,59.55,59.80,10500,59.80
2012-11-09,60.95,61.10,59.65,60.00,48200,60.00
2012-11-08,60.05,62.90,55.90,60.05,314000,60.05
2012-11-07,60.45,61.00,60.10,60.40,17600,60.40
2012-11-06,61.00,61.50,60.40,60.70,18200,60.70
2012-11-05,62.10,63.85,60.50,61.00,47500,61.00
2012-11-02,61.95,62.60,61.35,61.85,20800,61.85
2012-11-01,61.90,62.65,61.10,61.60,7900,61.60
2012-10-31,61.00,62.60,60.10,61.30,12400,61.30
2012-10-30,62.65,63.10,60.35,60.95,11600,60.95
2012-10-29,63.95,64.00,62.00,62.15,30800,62.15
2012-10-26,64.30,64.30,64.30,64.30,000,64.30
2012-10-25,65.30,65.80,64.05,64.30,13200,64.30
2012-10-24,65.25,65.25,65.25,65.25,000,65.25
2012-10-23,65.30,66.00,65.00,65.25,19700,65.25
2012-10-22,66.30,68.90,64.55,65.75,36300,65.75
2012-10-19,67.05,69.00,66.35,66.65,20600,66.65
2012-10-18,68.20,69.00,68.15,68.40,20900,68.40
2012-10-17,69.90,70.00,67.50,68.15,31300,68.15
2012-10-16,67.05,71.50,67.00,68.60,108300,68.60
2012-10-15,67.40,69.90,67.00,67.25,21300,67.25
2012-10-12,68.00,69.80,65.25,66.90,29700,66.90
2012-10-11,69.40,69.40,65.40,66.95,45600,66.95
2012-10-10,73.00,74.30,67.55,68.60,284500,68.60
2012-10-09,64.85,74.40,64.50,72.05,324800,72.05
2012-10-08,63.95,67.00,63.60,64.20,39400,64.20
2012-10-05,64.00,64.80,61.50,63.00,23100,63.00
2012-10-04,63.10,64.80,63.10,63.90,29900,63.90
2012-10-03,63.70,63.70,62.15,62.55,9300,62.55
2012-10-02,62.65,62.65,62.65,62.65,000,62.65
2012-10-01,63.00,63.70,62.50,62.65,11000,62.65
2012-09-28,63.15,64.00,62.55,62.65,20200,62.65
2012-09-27,64.45,64.50,62.85,63.15,12400,63.15
2012-09-26,63.20,65.75,63.20,63.90,32400,63.90
2012-09-25,63.30,65.10,62.50,63.30,36600,63.30
2012-09-24,62.90,64.50,62.55,62.80,43100,62.80
