Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,30.40,30.40,30.40,30.40,000,30.40
2012-12-24,30.95,30.95,30.15,30.40,117800,30.40
2012-12-21,30.85,31.15,30.70,30.85,123400,30.85
2012-12-20,31.20,31.55,30.95,31.00,111100,31.00
2012-12-19,31.55,31.90,31.20,31.45,163100,31.45
2012-12-18,31.15,31.80,31.15,31.30,132900,31.30
2012-12-17,31.85,31.90,31.25,31.35,121400,31.35
2012-12-14,32.30,32.70,31.25,31.45,168900,31.45
2012-12-13,32.80,32.90,32.40,32.40,131900,32.40
2012-12-12,32.60,33.10,32.50,32.65,115800,32.65
2012-12-11,33.90,33.90,32.50,32.60,221200,32.60
2012-12-10,33.00,33.80,32.15,33.40,303700,33.40
2012-12-07,32.90,33.65,32.20,32.95,284400,32.95
2012-12-06,32.40,32.75,31.20,32.45,189900,32.45
2012-12-05,32.95,32.95,32.00,32.30,160300,32.30
2012-12-04,32.80,33.25,31.75,32.15,347300,32.15
2012-12-03,33.50,34.40,32.35,32.55,399600,32.55
2012-11-30,34.00,34.00,33.40,33.45,217400,33.45
2012-11-29,33.35,34.60,33.35,33.85,217500,33.85
2012-11-28,33.85,33.85,33.85,33.85,000,33.85
2012-11-27,36.40,36.40,33.70,33.85,444000,33.85
2012-11-26,33.60,35.40,33.15,35.40,1157600,35.40
2012-11-23,35.70,35.70,33.55,33.75,358900,33.75
2012-11-22,35.00,36.25,35.00,35.30,985200,35.30
2012-11-21,34.55,34.55,33.75,34.55,917900,34.55
2012-11-20,32.00,32.95,31.10,32.95,226400,32.95
2012-11-19,33.00,33.45,30.50,31.40,553600,31.40
2012-11-16,35.30,35.75,32.70,33.05,628300,33.05
2012-11-15,37.00,37.50,34.80,35.15,504400,35.15
2012-11-14,36.90,36.90,36.90,36.90,000,36.90
2012-11-13,36.90,36.90,36.90,36.90,000,36.90
2012-11-12,36.95,37.75,36.40,36.90,867700,36.90
2012-11-09,35.00,38.15,33.65,36.20,3670300,36.20
2012-11-08,38.90,39.80,36.95,36.95,2223900,36.95
2012-11-07,43.90,48.10,39.85,41.05,8874400,41.05
2012-11-06,38.35,44.30,38.10,44.25,8951400,44.25
2012-11-05,31.70,37.05,31.50,36.95,4078200,36.95
2012-11-02,25.95,30.90,25.85,30.90,2255200,30.90
2012-11-01,26.05,26.35,25.65,25.75,125500,25.75
2012-10-31,26.60,26.65,25.95,26.05,113600,26.05
2012-10-30,27.40,28.20,25.10,26.20,287600,26.20
2012-10-29,28.35,28.60,27.45,27.60,89100,27.60
2012-10-26,28.20,28.20,28.20,28.20,000,28.20
2012-10-25,29.25,29.35,28.10,28.20,91400,28.20
2012-10-24,28.85,28.85,28.85,28.85,000,28.85
2012-10-23,29.30,29.65,28.75,28.85,92000,28.85
2012-10-22,29.15,29.80,29.15,29.45,110300,29.45
2012-10-19,29.85,30.15,29.15,29.35,198100,29.35
2012-10-18,30.25,30.25,29.60,29.80,74800,29.80
2012-10-17,29.80,30.65,29.65,29.90,137000,29.90
2012-10-16,29.85,30.40,29.40,29.55,91500,29.55
2012-10-15,29.85,30.25,29.20,29.70,237500,29.70
2012-10-12,30.50,30.95,29.75,30.00,108600,30.00
2012-10-11,29.60,31.00,29.30,30.45,331800,30.45
2012-10-10,29.80,29.80,29.20,29.30,96900,29.30
2012-10-09,30.05,30.35,29.50,29.65,184000,29.65
2012-10-08,30.80,30.80,29.75,29.85,243300,29.85
2012-10-05,31.25,31.25,29.80,30.35,141500,30.35
2012-10-04,31.40,31.45,30.30,30.55,408100,30.55
2012-10-03,31.35,31.75,30.80,30.95,171300,30.95
2012-10-02,31.20,31.20,31.20,31.20,000,31.20
2012-10-01,31.70,31.80,31.15,31.20,72400,31.20
2012-09-28,32.15,32.50,31.25,31.55,207700,31.55
2012-09-27,32.00,32.55,31.90,32.05,375500,32.05
2012-09-26,30.80,32.35,30.55,31.90,551700,31.90
2012-09-25,31.35,31.45,30.55,30.75,177500,30.75
2012-09-24,30.75,31.75,30.50,31.00,197700,31.00
2012-09-21,30.40,30.90,30.30,30.55,291000,30.55
2012-09-20,30.90,30.90,30.05,30.40,209000,30.40
2012-09-19,30.90,30.90,30.90,30.90,000,30.80
2012-09-18,31.10,31.50,30.80,30.90,169200,30.80
2012-09-17,30.95,31.90,30.90,31.00,317900,30.90
2012-09-14,31.25,31.50,30.65,30.95,147800,30.85
2012-09-13,31.10,31.40,30.60,30.85,60900,30.75
2012-09-12,31.50,31.95,30.90,31.00,139100,30.90
2012-09-11,31.50,32.55,30.60,31.30,195200,31.20
2012-09-10,32.50,32.70,31.35,31.50,100100,31.40
2012-09-07,31.50,32.70,31.00,31.30,165500,31.20
