Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,89.90,89.90,89.90,89.90,000,89.90
2012-12-24,89.65,90.70,89.10,89.90,781000,89.90
2012-12-21,92.45,92.90,89.30,89.65,1379200,89.65
2012-12-20,93.80,94.30,90.00,91.80,1137200,91.80
2012-12-19,97.10,97.10,92.30,92.90,4446700,92.90
2012-12-18,88.60,92.75,87.00,92.50,2423200,92.50
2012-12-17,90.00,90.40,87.75,88.35,1119000,88.35
2012-12-14,91.00,91.50,87.55,89.60,1212300,89.60
2012-12-13,92.45,94.00,88.60,91.30,3032300,91.30
2012-12-12,89.40,92.20,86.80,91.95,4443800,91.95
2012-12-11,87.70,92.00,85.95,87.85,3577900,87.85
2012-12-10,89.25,92.45,89.10,90.45,5237800,90.45
2012-12-07,85.70,88.05,85.10,88.05,4215200,88.05
2012-12-06,81.90,83.90,79.50,83.90,3885000,83.90
2012-12-05,79.10,79.95,76.00,79.95,3517400,79.95
2012-12-04,72.00,76.15,70.50,76.15,2047200,76.15
2012-12-03,75.00,75.40,71.20,72.55,1425900,72.55
2012-11-30,75.20,76.00,74.70,74.85,3951100,74.85
2012-11-29,76.40,77.05,74.70,75.00,5751100,75.00
2012-11-28,76.25,76.25,76.25,76.25,000,76.25
2012-11-27,77.10,77.80,74.20,76.25,7772000,76.25
2012-11-26,74.00,76.80,74.00,75.40,8635200,75.40
2012-11-23,76.90,77.30,74.65,74.95,7344200,74.95
2012-11-22,77.90,79.10,76.55,76.90,12963200,76.90
2012-11-21,74.90,78.45,74.10,77.30,22939600,77.30
2012-11-20,74.50,76.90,71.70,74.80,30422100,74.80
2012-11-19,82.10,84.50,75.15,75.45,23487700,75.45
2012-11-16,88.00,89.20,82.70,83.50,27832800,83.50
2012-11-15,84.35,88.00,81.25,86.05,59131700,86.05
2012-11-14,83.10,83.10,83.10,83.10,000,83.10
2012-11-13,83.10,83.10,83.10,83.10,000,83.10
2012-11-12,64.70,74.95,64.35,71.55,37934600,71.55
2012-11-09,62.20,64.95,62.20,64.10,11803400,64.10
2012-11-08,58.40,63.70,58.10,62.45,19994900,62.45
2012-11-07,55.90,59.70,55.70,59.25,10940400,59.25
2012-11-06,55.20,55.80,54.80,55.65,1587000,55.65
2012-11-05,54.00,55.70,54.00,55.00,2059000,55.00
2012-11-02,54.30,54.90,53.80,54.00,1151800,54.00
2012-11-01,54.20,55.20,54.05,54.15,1409700,54.15
2012-10-31,54.00,54.85,53.25,54.15,1464200,54.15
2012-10-30,54.85,55.00,53.05,54.05,2354400,54.05
2012-10-29,55.25,55.80,54.40,54.85,1228200,54.85
2012-10-26,55.00,55.00,55.00,55.00,000,55.00
2012-10-25,56.10,56.85,56.00,56.25,2698400,56.25
2012-10-24,55.75,55.75,55.75,55.75,000,55.75
2012-10-23,54.50,56.85,54.10,55.75,6535300,55.75
2012-10-22,54.15,54.60,53.40,54.05,1973900,54.05
2012-10-19,55.10,55.60,54.00,54.15,3713900,54.15
2012-10-18,54.70,55.75,54.25,54.95,6160300,54.95
2012-10-17,53.25,54.85,52.50,54.40,5350100,54.40
2012-10-16,52.50,54.20,52.05,53.10,6799700,53.10
2012-10-15,52.10,52.40,51.75,52.25,1169000,52.25
2012-10-12,51.40,52.75,51.40,51.80,1544700,51.80
2012-10-11,52.00,52.00,51.10,51.75,987200,51.75
2012-10-10,52.50,53.10,51.40,51.55,2658200,51.55
2012-10-09,51.50,53.60,51.10,52.25,5180800,52.25
2012-10-08,51.80,52.85,50.75,51.10,2035400,51.10
2012-10-05,49.50,52.15,49.50,50.65,3566100,50.65
2012-10-04,49.00,49.35,46.55,48.95,621300,48.95
2012-10-03,48.50,49.20,48.15,48.35,282400,48.35
2012-10-02,48.60,48.60,48.60,48.60,000,48.60
2012-10-01,48.60,49.00,48.25,48.60,362700,48.60
2012-09-28,49.00,49.35,48.00,48.30,463700,48.30
2012-09-27,49.40,49.80,48.45,48.55,486300,48.55
2012-09-26,48.75,50.45,48.75,49.15,1397100,49.15
2012-09-25,48.50,49.95,48.50,49.25,1258500,49.25
2012-09-24,46.90,50.25,45.55,48.20,2002300,48.20
2012-09-21,47.80,48.40,46.20,46.90,946900,46.90
2012-09-20,46.95,47.20,46.10,47.00,429300,47.00
2012-09-19,47.50,47.50,47.50,47.50,000,47.50
2012-09-18,46.75,47.95,46.20,47.50,749500,47.50
2012-09-17,46.50,47.00,45.45,46.75,713500,46.75
2012-09-14,46.50,46.80,46.15,46.25,441800,46.25
