Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,102.65,102.65,102.65,102.65,000,102.65
2012-12-24,104.00,104.00,102.00,102.65,373000,102.65
2012-12-21,101.40,104.90,98.75,102.35,1082800,102.35
2012-12-20,104.25,104.70,100.25,101.70,593200,101.70
2012-12-19,104.95,107.00,103.50,104.10,1594300,104.10
2012-12-18,102.50,104.30,98.60,102.40,1684000,102.40
2012-12-17,100.80,103.70,98.90,101.70,1284500,101.70
2012-12-14,97.25,100.90,97.25,98.90,1417500,98.90
2012-12-13,103.50,107.15,95.15,97.25,3215300,97.25
2012-12-12,101.60,107.70,98.15,102.45,5068800,102.45
2012-12-11,99.20,110.90,98.25,100.95,9379500,100.95
2012-12-10,82.00,97.50,81.70,97.20,4200800,97.20
2012-12-07,81.40,82.00,80.65,81.25,1125400,81.25
2012-12-06,81.50,81.80,79.70,81.10,211300,81.10
2012-12-05,80.50,81.30,79.75,80.55,425800,80.55
2012-12-04,81.30,81.80,79.60,80.20,265300,80.20
2012-12-03,81.65,83.00,80.50,80.75,315900,80.75
2012-11-30,79.30,84.50,78.00,80.40,589100,80.40
2012-11-29,80.00,80.45,77.50,78.75,285800,78.75
2012-11-28,79.45,79.45,79.45,79.45,000,79.45
2012-11-27,80.10,82.75,79.05,79.45,106800,79.45
2012-11-26,81.05,83.00,80.00,81.60,182100,81.60
2012-11-23,78.00,82.10,75.05,81.05,343700,81.05
2012-11-22,76.00,77.70,75.00,77.05,183800,77.05
2012-11-21,76.50,76.50,75.75,76.00,49500,76.00
2012-11-20,76.40,76.50,75.85,76.25,41600,76.25
2012-11-19,76.45,76.45,75.25,76.05,46100,76.05
2012-11-16,76.40,76.90,75.50,76.00,119500,76.00
2012-11-15,76.75,76.75,75.25,76.15,35800,76.15
2012-11-14,74.95,74.95,74.95,74.95,000,74.95
2012-11-13,74.95,74.95,74.95,74.95,000,74.95
2012-11-12,75.05,75.70,74.25,74.95,138000,74.95
2012-11-09,76.15,76.80,75.00,75.30,117900,75.30
2012-11-08,77.80,79.05,75.50,76.80,408100,76.80
2012-11-07,77.65,79.80,77.10,78.05,142600,78.05
2012-11-06,77.05,77.85,77.05,77.50,36200,77.50
2012-11-05,77.35,78.20,77.35,77.50,28100,77.50
2012-11-02,77.30,78.50,77.15,77.15,79200,77.15
2012-11-01,77.40,78.65,76.00,76.90,111100,76.90
2012-10-31,77.90,78.40,76.00,77.00,122000,77.00
2012-10-30,78.80,79.75,76.55,76.90,111300,76.90
2012-10-29,78.00,81.15,77.00,78.35,105200,78.35
2012-10-26,80.45,80.45,80.45,80.45,000,80.45
2012-10-25,80.75,81.75,79.75,80.45,28600,80.45
2012-10-24,80.75,80.75,80.75,80.75,000,80.75
2012-10-23,81.80,83.75,80.35,80.75,30000,80.75
2012-10-22,82.45,82.70,81.65,82.10,30500,82.10
2012-10-19,84.30,84.90,82.25,82.70,142800,82.70
2012-10-18,83.40,84.20,82.40,83.65,140300,83.65
2012-10-17,82.10,83.45,81.85,83.10,218000,83.10
2012-10-16,79.75,81.90,79.45,81.55,264800,81.55
2012-10-15,79.00,80.40,78.25,78.70,91400,78.70
2012-10-12,78.90,79.40,78.00,78.45,87000,78.45
2012-10-11,77.30,79.40,76.15,78.90,76700,78.90
2012-10-10,78.55,78.55,77.25,77.55,70500,77.55
2012-10-09,78.25,79.95,78.00,78.15,70100,78.15
2012-10-08,80.30,80.50,78.00,78.20,64900,78.20
2012-10-05,81.50,82.00,78.50,79.75,144100,79.75
2012-10-04,80.95,82.05,80.60,81.50,136000,81.50
2012-10-03,80.95,81.70,80.00,80.25,72700,80.25
2012-10-02,80.00,80.00,80.00,80.00,000,80.00
2012-10-01,81.50,82.15,79.65,80.00,145500,80.00
2012-09-28,78.75,81.45,78.40,80.45,157700,80.45
2012-09-27,78.00,80.00,78.00,78.75,83000,78.75
2012-09-26,78.10,79.25,75.60,78.65,89600,78.65
2012-09-25,79.00,79.85,76.80,78.10,123600,78.10
2012-09-24,77.50,82.00,76.60,78.35,429600,78.35
2012-09-21,74.00,77.50,74.00,76.60,313700,76.60
2012-09-20,74.90,76.45,73.15,74.05,277700,74.05
2012-09-19,73.95,73.95,73.95,73.95,000,73.95
2012-09-18,73.50,74.40,72.00,73.95,297400,73.95
2012-09-17,71.80,72.20,70.50,71.80,212100,71.80
2012-09-14,70.70,71.50,70.00,70.25,81800,70.25
