Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,279.75,279.75,279.75,279.75,000,279.75
2012-12-24,277.45,281.20,277.30,279.75,1267300,279.75
2012-12-21,283.00,284.00,276.00,277.55,2038900,277.55
2012-12-20,289.00,289.45,281.30,283.95,1731600,283.95
2012-12-19,284.00,289.20,283.95,287.55,2983500,287.55
2012-12-18,284.00,285.40,277.90,282.95,2003200,282.95
2012-12-17,277.00,284.50,277.00,283.00,2595300,283.00
2012-12-14,272.50,278.30,271.50,276.60,2095700,276.60
2012-12-13,272.00,276.50,271.45,272.50,2366300,272.50
2012-12-12,274.00,275.50,270.20,271.65,2447300,271.65
2012-12-11,271.00,278.60,270.00,273.10,2978100,273.10
2012-12-10,274.00,274.95,269.50,270.70,2187500,270.70
2012-12-07,275.40,278.30,272.30,273.40,2080400,273.40
2012-12-06,274.25,276.20,269.40,274.00,3584100,274.00
2012-12-05,271.00,274.90,269.10,272.35,2944100,272.35
2012-12-04,267.50,271.80,264.25,270.60,2904400,270.60
2012-12-03,265.00,272.00,263.90,266.90,3007500,266.90
2012-11-30,258.50,266.50,258.50,265.70,4173900,265.70
2012-11-29,250.00,259.15,249.90,258.00,6276500,258.00
2012-11-28,249.35,249.35,249.35,249.35,000,249.35
2012-11-27,248.00,252.50,248.00,249.35,2018800,249.35
2012-11-26,246.50,248.50,245.05,247.85,1407400,247.85
2012-11-23,246.80,247.50,243.20,245.40,1198400,245.40
2012-11-22,243.50,248.20,243.00,246.80,1697700,246.80
2012-11-21,244.00,245.40,241.45,243.55,1666300,243.55
2012-11-20,245.20,247.85,242.00,243.30,2050700,243.30
2012-11-19,250.00,253.00,243.70,244.45,1882400,244.45
2012-11-16,248.90,256.50,248.25,249.35,3335900,249.35
2012-11-15,251.40,251.85,246.25,248.25,1320900,248.25
2012-11-14,252.55,252.55,252.55,252.55,000,252.55
2012-11-13,252.55,252.55,252.55,252.55,000,252.55
2012-11-12,252.05,254.00,251.00,252.55,570600,252.55
2012-11-09,253.00,254.70,249.45,252.40,2832500,252.40
2012-11-08,255.00,255.00,251.20,252.50,1421400,252.50
2012-11-07,253.85,257.35,252.95,255.50,2437400,255.50
2012-11-06,251.00,254.70,250.35,253.80,1489400,253.80
2012-11-05,251.10,252.70,248.20,251.50,1825900,251.50
2012-11-02,250.20,253.25,248.80,250.40,2244800,250.40
2012-11-01,243.50,250.30,243.50,249.45,3638100,249.45
2012-10-31,244.00,246.70,238.50,243.05,8509700,243.05
2012-10-30,251.40,251.90,241.10,242.30,3111800,242.30
2012-10-29,253.00,256.75,249.55,250.60,3155300,250.60
2012-10-26,244.95,244.95,244.95,244.95,000,244.95
2012-10-25,248.00,248.00,244.20,244.95,7263700,244.95
2012-10-24,246.40,246.40,246.40,246.40,000,246.40
2012-10-23,247.00,250.10,246.00,246.40,4722800,246.40
2012-10-22,247.65,249.00,243.70,247.00,5319500,247.00
2012-10-19,252.00,255.20,245.05,247.65,6342800,247.65
2012-10-18,253.90,254.00,249.70,251.75,6360700,251.75
2012-10-17,254.05,259.00,247.50,250.90,2865500,250.90
2012-10-16,257.50,260.30,255.45,256.35,1884200,256.35
2012-10-15,257.00,260.50,254.60,256.80,1912900,256.80
2012-10-12,265.00,265.20,255.25,256.40,2352700,256.40
2012-10-11,261.05,263.40,257.50,262.00,1835900,262.00
2012-10-10,268.00,268.00,258.10,259.50,3602700,259.50
2012-10-09,269.00,272.25,264.35,267.75,1500800,267.75
2012-10-08,279.00,284.90,267.10,268.20,2597000,268.20
2012-10-05,287.90,287.90,267.00,270.45,2632800,270.45
2012-10-04,275.80,282.50,274.55,276.80,2906200,276.80
2012-10-03,270.00,277.00,270.00,274.95,1468100,274.95
2012-10-02,272.70,272.70,272.70,272.70,000,272.70
2012-10-01,285.00,285.00,270.15,272.70,3676600,272.70
2012-09-28,275.90,285.40,270.55,281.80,3129200,281.80
2012-09-27,274.00,276.65,269.40,273.35,1853400,273.35
2012-09-26,279.00,281.60,272.05,273.75,2326300,273.75
2012-09-25,276.50,284.50,276.45,279.30,3841400,279.30
2012-09-24,265.05,281.00,265.05,276.50,6573600,276.50
2012-09-21,260.00,272.30,260.00,267.70,5227400,267.70
2012-09-20,252.10,262.75,246.00,258.80,2909800,258.80
2012-09-19,257.70,257.70,257.70,257.70,000,257.70
2012-09-18,266.10,266.45,256.05,257.70,2568300,257.70
2012-09-17,260.20,267.00,258.15,265.85,4113400,265.85
2012-09-14,250.00,259.00,250.00,255.45,3732200,255.45
2012-09-13,248.50,250.20,245.20,246.20,1525100,246.20
2012-09-12,245.00,248.50,244.70,247.60,1198500,247.60
2012-09-11,246.30,246.35,242.20,244.10,806300,244.10
2012-09-10,246.80,248.05,244.30,246.25,1089400,246.25
2012-09-07,242.05,247.90,242.05,247.20,1690200,247.20
2012-09-06,238.50,242.10,237.40,240.25,1722000,240.25
2012-09-05,240.05,242.40,237.15,238.35,1031600,238.35
2012-09-04,240.00,242.75,235.35,240.80,1885600,240.80
2012-09-03,240.00,242.90,239.00,240.00,1474000,240.00
2012-08-31,246.00,246.00,236.10,240.10,3007200,240.10
2012-08-30,244.50,245.50,242.25,243.95,1517700,243.95
2012-08-29,249.90,249.90,244.00,245.95,659600,245.95
2012-08-28,248.00,250.50,243.00,249.20,989600,249.20
2012-08-27,249.00,250.80,247.10,248.00,729800,248.00
2012-08-24,250.00,251.35,246.35,248.90,836700,248.90
2012-08-23,255.50,256.00,248.20,250.10,1064700,250.10
2012-08-22,255.90,256.90,252.85,254.05,811600,254.05
2012-08-21,250.95,257.25,249.85,256.60,1416500,256.60
2012-08-20,250.30,250.30,250.30,250.30,000,250.30
2012-08-17,254.60,254.90,249.00,250.30,899800,250.30
2012-08-16,252.65,254.50,250.20,252.60,1070500,252.60
2012-08-15,252.35,252.35,252.35,252.35,000,252.35
2012-08-14,253.45,254.90,250.65,252.35,959300,252.35
2012-08-13,248.00,253.95,247.15,253.00,1232200,253.00
2012-08-10,249.00,251.50,246.50,247.70,1459100,247.70
2012-08-09,254.10,255.05,247.60,249.85,2321500,249.85
2012-08-08,258.00,259.70,252.05,253.30,1863900,253.30
2012-08-07,258.30,260.60,256.00,257.70,1126400,257.70
2012-08-06,260.40,263.00,256.50,257.45,1198000,257.45
2012-08-03,262.00,262.00,254.55,258.25,1548300,258.25
2012-08-02,266.00,268.95,261.15,261.85,1002900,261.85
2012-08-01,262.05,270.50,261.25,266.10,3097200,266.10
2012-07-31,255.75,263.00,252.75,262.05,1505700,262.05
2012-07-30,252.00,256.30,250.00,255.60,1958800,255.60
2012-07-27,249.70,253.45,247.20,249.20,2236300,249.20
2012-07-26,244.35,248.45,238.30,245.00,2140800,245.00
2012-07-25,251.00,251.40,240.10,241.30,2946500,241.30
2012-07-24,248.90,255.80,241.00,251.15,5517500,251.15
2012-07-23,262.00,262.00,246.55,248.45,1736200,248.45
2012-07-20,263.80,264.00,257.60,259.00,846800,259.00
2012-07-19,260.00,266.70,260.00,262.85,1009900,262.85
2012-07-18,264.15,265.40,258.70,263.70,1168400,263.70
2012-07-17,263.05,264.85,261.00,263.80,1021100,263.80
2012-07-16,263.70,267.30,260.10,261.45,920400,261.45
2012-07-13,268.50,269.90,262.15,263.25,1008500,263.25
2012-07-12,268.95,271.00,265.75,269.30,941700,269.30
2012-07-11,269.50,271.90,267.00,269.70,689400,269.70
2012-07-10,264.40,270.00,263.70,269.15,699600,269.15
2012-07-09,264.95,266.00,262.10,264.60,793600,264.60
2012-07-06,271.90,273.00,266.40,267.05,1232200,267.05
2012-07-05,274.50,275.75,272.45,273.85,978600,270.25
2012-07-04,269.90,275.50,266.90,274.35,1493700,270.74
2012-07-03,269.35,272.00,267.10,268.85,699000,265.32
2012-07-02,270.00,271.75,266.60,268.75,861700,265.22
2012-06-29,265.10,270.65,263.10,270.00,1240000,266.45
2012-06-28,261.15,266.75,258.60,264.00,1335900,260.53
2012-06-27,263.00,264.65,259.00,260.30,986000,256.88
2012-06-26,258.30,263.20,256.20,262.75,1179400,259.30
