Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,358.60,358.60,358.60,358.60,000,358.60
2012-12-24,360.95,363.50,357.25,358.60,61900,358.60
2012-12-21,366.00,368.50,358.35,359.55,79600,359.55
2012-12-20,374.30,375.00,368.10,369.95,93400,369.95
2012-12-19,370.50,379.80,370.50,373.55,227700,373.55
2012-12-18,367.95,373.40,366.00,370.50,136600,370.50
2012-12-17,367.10,372.70,366.05,366.90,68200,366.90
2012-12-14,368.50,374.50,365.00,368.15,97900,368.15
2012-12-13,374.40,376.85,364.00,366.15,100800,366.15
2012-12-12,377.85,378.00,371.55,373.00,99300,373.00
2012-12-11,386.10,388.45,371.95,374.45,203800,374.45
2012-12-10,394.40,396.40,382.20,385.75,345400,385.75
2012-12-07,382.95,404.00,380.00,391.95,1391400,391.95
2012-12-06,381.25,385.90,375.35,381.95,287000,381.95
2012-12-05,379.75,385.90,374.40,377.95,247800,377.95
2012-12-04,382.00,389.40,372.10,377.85,246800,377.85
2012-12-03,377.00,391.10,377.00,383.05,475200,383.05
2012-11-30,376.25,383.80,375.10,377.00,179400,377.00
2012-11-29,377.90,382.70,371.00,375.55,238800,375.55
2012-11-28,375.65,375.65,375.65,375.65,000,375.65
2012-11-27,381.90,387.80,374.15,375.65,457300,375.65
2012-11-26,361.55,386.10,355.00,379.20,667300,379.20
2012-11-23,352.15,364.60,350.65,359.25,266100,359.25
2012-11-22,354.35,355.70,350.05,351.20,63100,351.20
2012-11-21,351.00,359.00,346.40,353.10,137700,353.10
2012-11-20,353.95,359.50,347.05,349.15,93100,349.15
2012-11-19,358.15,360.90,350.10,351.05,81900,351.05
2012-11-16,363.50,369.70,352.55,354.55,110700,354.55
2012-11-15,359.10,369.90,353.05,361.85,121300,361.85
2012-11-14,361.75,361.75,361.75,361.75,000,361.75
2012-11-13,361.75,361.75,361.75,361.75,000,361.75
2012-11-12,362.30,370.25,358.65,361.75,160400,361.75
2012-11-09,370.50,373.20,358.00,360.75,114700,360.75
2012-11-08,367.85,373.40,365.00,368.85,161900,368.85
2012-11-07,373.40,374.40,368.00,369.25,124000,369.25
2012-11-06,371.05,374.60,367.80,369.90,103900,369.90
2012-11-05,368.85,381.40,366.05,370.50,281500,370.50
2012-11-02,371.00,375.75,368.00,369.15,164200,369.15
2012-11-01,375.30,376.80,367.55,369.95,258600,369.95
2012-10-31,352.10,376.50,343.05,369.40,406100,369.40
2012-10-30,357.20,362.20,348.30,351.10,125000,351.10
2012-10-29,366.65,367.30,354.75,356.05,125500,356.05
2012-10-26,375.80,375.80,375.80,375.80,000,375.80
2012-10-25,376.50,384.90,372.80,375.80,218700,375.80
2012-10-24,376.00,376.00,376.00,376.00,000,376.00
2012-10-23,376.95,384.80,375.00,376.00,253400,376.00
2012-10-22,376.90,378.00,370.00,375.55,129900,375.55
2012-10-19,376.10,388.40,375.05,377.40,449400,377.40
2012-10-18,378.45,379.40,371.45,376.50,177300,376.50
2012-10-17,382.80,385.00,372.00,374.75,297400,374.75
2012-10-16,366.40,389.90,364.00,379.90,1226900,379.90
2012-10-15,368.05,369.50,358.25,363.80,131600,363.80
2012-10-12,372.20,373.75,365.75,367.95,232600,367.95
2012-10-11,362.60,375.00,357.50,368.70,461000,368.70
2012-10-10,373.00,377.00,362.20,364.45,202400,364.45
2012-10-09,387.35,387.35,372.70,375.95,210500,375.95
2012-10-08,376.55,390.00,372.05,380.65,630700,380.65
2012-10-05,386.25,391.50,368.50,375.30,705000,375.30
2012-10-04,385.00,398.90,378.00,381.45,1643400,381.45
2012-10-03,333.05,389.65,332.40,383.40,3958000,383.40
2012-10-02,330.90,330.90,330.90,330.90,000,330.90
2012-10-01,330.00,333.00,329.00,330.90,63300,330.90
2012-09-28,331.00,333.00,327.25,328.40,76500,328.40
2012-09-27,332.35,333.30,325.20,327.80,75400,327.80
2012-09-26,330.30,336.70,328.15,329.60,122700,329.60
2012-09-25,336.15,336.80,328.10,330.40,85600,330.40
2012-09-24,337.75,340.25,332.70,333.65,118300,333.65
2012-09-21,333.00,339.40,333.00,334.90,140800,334.90
2012-09-20,334.30,336.45,331.00,332.35,59300,332.35
2012-09-19,337.65,337.65,337.65,337.65,000,337.65
2012-09-18,333.00,343.40,333.00,337.65,98800,337.65
2012-09-17,346.00,346.00,335.15,337.15,162100,337.15
2012-09-14,343.80,346.00,334.05,336.45,127700,336.45
2012-09-13,337.80,345.00,336.00,340.85,235700,340.85
2012-09-12,337.00,342.00,333.50,338.30,194600,338.30
2012-09-11,327.00,336.90,324.75,334.05,338200,334.05
2012-09-10,328.65,333.70,324.00,326.10,119500,326.10
2012-09-07,324.15,333.30,323.40,329.30,282400,329.30
2012-09-06,320.45,327.90,319.80,320.80,141500,320.80
2012-09-05,324.45,326.70,319.70,320.40,89600,320.40
2012-09-04,327.00,329.15,322.50,326.90,86900,326.90
2012-09-03,319.95,328.40,319.95,325.45,152500,325.45
2012-08-31,323.40,326.50,319.55,321.05,52300,319.05
2012-08-30,321.00,325.80,317.50,323.70,69100,321.68
2012-08-29,322.55,324.40,316.65,321.65,74900,319.65
2012-08-28,330.00,330.00,318.50,320.90,73700,318.90
2012-08-27,332.75,338.50,327.15,328.95,80100,326.90
2012-08-24,337.35,337.35,330.55,331.85,57400,329.78
2012-08-23,341.80,345.35,336.15,337.35,86700,335.25
2012-08-22,342.20,348.50,340.30,341.75,103600,339.62
2012-08-21,344.75,347.70,340.15,343.70,102900,341.56
2012-08-20,343.20,343.20,343.20,343.20,000,341.06
2012-08-17,349.65,355.50,342.00,343.20,229200,341.06
2012-08-16,343.10,351.00,336.10,347.80,278300,345.63
2012-08-15,341.40,341.40,341.40,341.40,000,339.27
2012-08-14,342.30,351.50,340.00,341.40,316900,339.27
2012-08-13,339.80,344.50,337.30,342.25,201200,340.12
2012-08-10,332.85,343.50,328.00,336.40,248400,334.30
2012-08-09,339.30,341.45,327.45,332.05,117600,329.98
2012-08-08,342.40,348.85,334.35,337.35,195500,335.25
2012-08-07,340.70,348.00,338.00,341.05,343400,338.93
2012-08-06,323.60,343.30,323.60,339.50,301200,337.39
2012-08-03,323.10,324.50,319.90,322.35,37200,320.34
2012-08-02,323.85,331.25,321.30,325.45,114400,323.42
2012-08-01,316.65,326.80,314.45,322.85,142200,320.84
2012-07-31,318.75,318.75,313.45,315.30,49000,313.34
2012-07-30,315.00,318.00,311.50,316.45,61300,314.48
2012-07-27,319.35,324.00,311.00,313.30,67300,311.35
2012-07-26,322.40,323.80,305.00,316.40,92800,314.43
2012-07-25,325.00,325.00,318.00,320.45,75900,318.45
2012-07-24,327.75,329.40,323.10,324.95,58900,322.93
2012-07-23,328.00,331.50,323.65,326.15,118400,324.12
2012-07-20,335.00,336.20,328.50,331.05,94300,328.99
2012-07-19,337.50,341.00,332.30,334.10,122800,332.02
2012-07-18,336.15,336.50,327.10,334.50,122900,332.42
2012-07-17,342.45,344.35,333.10,335.25,106300,333.16
2012-07-16,345.60,348.50,338.60,341.10,100500,338.98
2012-07-13,345.00,349.30,340.10,341.60,106500,339.47
2012-07-12,346.25,347.70,341.00,344.05,88700,341.91
2012-07-11,348.00,357.50,346.85,348.95,291700,346.78
2012-07-10,344.95,352.40,343.50,349.25,192000,347.07
2012-07-09,348.95,350.55,340.95,343.65,126100,341.51
2012-07-06,362.40,362.40,347.50,351.90,291900,349.71
2012-07-05,343.10,363.70,342.00,360.65,1011100,358.40
2012-07-04,348.55,348.60,339.60,342.45,176500,340.32
2012-07-03,346.70,351.50,344.10,346.00,393900,343.84
2012-07-02,332.85,344.90,331.65,341.75,588500,339.62
2012-06-29,329.85,334.70,329.75,331.45,187000,329.39
2012-06-28,329.35,332.45,326.00,327.15,98100,325.11
2012-06-27,329.00,330.70,325.90,327.35,86500,325.31
2012-06-26,331.95,332.80,323.00,326.65,110600,324.62
2012-06-25,332.00,337.50,329.50,331.30,171300,329.24
2012-06-22,326.00,335.90,325.00,330.95,306500,328.89
2012-06-21,323.05,330.50,322.60,328.35,225100,326.30
2012-06-20,323.05,328.00,321.80,323.35,119900,321.34
2012-06-19,317.20,325.75,317.20,324.60,157400,322.58
2012-06-18,325.00,328.65,317.20,320.55,197000,318.55
2012-06-15,324.85,327.90,319.00,320.65,180700,318.65
2012-06-14,335.00,336.95,320.05,322.40,184100,320.39
2012-06-13,334.95,340.40,332.55,334.85,264000,332.76
2012-06-12,326.00,335.30,326.00,333.25,182500,331.17
2012-06-11,338.75,343.50,329.00,331.50,257900,329.43
2012-06-08,332.40,341.40,327.50,335.80,454400,333.71
2012-06-07,333.00,336.00,329.10,332.25,259500,330.18
2012-06-06,329.75,337.70,327.70,331.05,391100,328.99
2012-06-05,331.70,336.55,324.25,327.15,310900,325.11
2012-06-04,319.00,329.90,315.95,326.80,261400,324.76
2012-06-01,323.00,334.85,320.00,321.50,568900,319.50
2012-05-31,319.40,329.80,317.10,322.00,276300,319.99
2012-05-30,313.95,335.65,312.00,320.45,886800,318.45
