Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1585.30,1585.30,1585.30,1585.30,000,1585.30
2012-12-24,1604.00,1604.00,1572.60,1585.30,1058600,1585.30
2012-12-21,1604.50,1618.75,1582.00,1590.10,1306300,1590.10
2012-12-20,1635.00,1642.55,1610.50,1617.50,1813800,1617.50
2012-12-19,1669.00,1673.50,1627.05,1633.50,1268100,1633.50
2012-12-18,1640.00,1662.40,1634.00,1656.95,1279900,1656.95
2012-12-17,1634.80,1645.00,1621.20,1634.40,570400,1634.40
2012-12-14,1631.50,1649.00,1626.35,1639.15,967100,1639.15
2012-12-13,1650.25,1654.50,1621.05,1626.70,964700,1626.70
2012-12-12,1672.10,1675.50,1641.10,1647.60,1187000,1647.60
2012-12-11,1670.00,1679.90,1651.00,1667.65,1029700,1667.65
2012-12-10,1678.25,1682.55,1660.00,1664.75,532400,1664.75
2012-12-07,1681.00,1699.00,1668.00,1675.45,1364100,1675.45
2012-12-06,1681.00,1683.00,1641.55,1674.50,1405000,1674.50
2012-12-05,1666.40,1681.35,1660.00,1666.65,1074900,1666.65
2012-12-04,1665.65,1667.00,1644.20,1658.90,845300,1658.90
2012-12-03,1674.65,1685.00,1652.05,1667.35,853100,1667.35
2012-11-30,1668.30,1676.95,1655.25,1667.90,1307900,1667.90
2012-11-29,1630.85,1667.60,1621.15,1662.90,1967500,1662.90
2012-11-28,1623.40,1623.40,1623.40,1623.40,000,1623.40
2012-11-27,1613.00,1629.90,1613.00,1623.40,742800,1623.40
2012-11-26,1590.55,1614.25,1588.60,1610.65,760300,1610.65
2012-11-23,1598.00,1599.00,1571.50,1587.35,597700,1587.35
2012-11-22,1570.25,1600.00,1562.65,1590.75,988100,1590.75
2012-11-21,1555.00,1568.00,1539.85,1565.65,1043500,1565.65
2012-11-20,1570.00,1573.55,1536.10,1549.40,690800,1549.40
2012-11-19,1582.25,1590.90,1552.05,1558.45,1130500,1558.45
2012-11-16,1598.45,1621.00,1571.75,1578.35,1231900,1578.35
2012-11-15,1605.20,1624.95,1586.15,1604.95,1891200,1604.95
2012-11-14,1606.40,1606.40,1606.40,1606.40,000,1606.40
2012-11-13,1606.40,1606.40,1606.40,1606.40,000,1606.40
2012-11-12,1627.00,1631.00,1597.50,1606.40,1054300,1606.40
2012-11-09,1640.00,1643.25,1609.20,1621.10,1227100,1621.10
2012-11-08,1647.55,1659.00,1627.65,1635.35,1374300,1635.35
2012-11-07,1660.00,1684.00,1651.00,1669.45,1071200,1669.45
2012-11-06,1681.00,1682.70,1654.20,1665.55,972100,1665.55
2012-11-05,1673.20,1690.00,1663.05,1676.15,984300,1676.15
2012-11-02,1651.95,1681.80,1644.60,1675.40,1898200,1675.40
2012-11-01,1631.20,1642.90,1619.10,1631.35,1203900,1631.35
2012-10-31,1641.40,1650.90,1610.50,1626.85,1706400,1626.85
2012-10-30,1686.00,1693.50,1631.00,1638.80,1645500,1638.80
2012-10-29,1709.30,1720.00,1683.35,1687.65,1208000,1687.65
2012-10-26,1712.40,1712.40,1712.40,1712.40,000,1712.40
2012-10-25,1700.00,1719.65,1692.00,1712.40,2136600,1712.40
2012-10-24,1701.35,1701.35,1701.35,1701.35,000,1701.35
2012-10-23,1676.00,1705.00,1676.00,1701.35,2993100,1701.35
2012-10-22,1626.00,1674.90,1616.00,1671.00,3337700,1671.00
2012-10-19,1642.10,1652.00,1621.15,1633.05,837200,1633.05
2012-10-18,1633.30,1659.80,1620.30,1652.10,1221800,1652.10
2012-10-17,1623.00,1634.90,1605.00,1626.25,1246300,1626.25
2012-10-16,1643.25,1649.00,1601.30,1605.80,899200,1605.80
