Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,937.65,937.65,937.65,937.65,000,937.65
2012-12-24,946.00,948.10,935.00,937.65,626600,937.65
2012-12-21,951.00,952.00,934.35,937.55,622300,937.55
2012-12-20,971.00,971.00,948.10,953.15,678500,953.15
2012-12-19,975.00,976.00,964.00,968.00,835800,968.00
2012-12-18,966.50,973.50,963.10,967.20,1392800,967.20
2012-12-17,940.00,967.55,940.00,960.25,1467900,960.25
2012-12-14,940.00,954.90,940.00,952.10,1197600,952.10
2012-12-13,950.05,956.80,937.10,942.35,1083100,942.35
2012-12-12,932.35,954.30,932.35,949.50,2944600,949.50
2012-12-11,930.05,934.80,923.60,929.75,936700,929.75
2012-12-10,942.00,942.00,923.70,929.30,711200,929.30
2012-12-07,930.50,949.40,930.50,939.20,1317200,939.20
2012-12-06,934.50,938.00,913.90,928.85,1583700,928.85
2012-12-05,941.25,946.90,928.30,930.10,1029000,930.10
2012-12-04,954.00,957.00,936.70,938.70,700800,938.70
2012-12-03,949.90,965.50,948.95,957.65,1253800,957.65
2012-11-30,934.00,951.00,925.00,947.00,1483200,947.00
2012-11-29,929.00,942.95,922.15,933.90,2394500,933.90
2012-11-28,928.35,928.35,928.35,928.35,000,928.35
2012-11-27,928.25,937.00,922.50,928.35,1591800,928.35
2012-11-26,957.70,960.65,920.05,922.05,2063600,922.05
2012-11-23,955.25,957.55,947.40,954.05,630500,954.05
2012-11-22,946.10,959.00,939.70,955.35,1230000,955.35
2012-11-21,942.80,950.90,936.15,944.05,1602000,944.05
2012-11-20,912.70,942.40,912.70,938.50,2540000,938.50
2012-11-19,895.00,913.40,895.00,908.80,1298500,908.80
2012-11-16,898.00,911.70,891.10,894.45,790300,894.45
2012-11-15,902.00,905.10,890.15,901.65,775400,901.65
2012-11-14,906.75,906.75,906.75,906.75,000,906.75
2012-11-13,906.75,906.75,906.75,906.75,000,906.75
2012-11-12,913.00,917.60,900.05,905.60,595300,905.60
2012-11-09,914.10,923.90,906.60,909.40,513300,909.40
2012-11-08,910.15,923.50,908.20,914.10,684200,914.10
2012-11-07,915.00,928.00,912.00,919.60,919100,919.60
2012-11-06,906.00,920.90,903.20,914.95,713700,914.95
2012-11-05,918.00,919.90,906.40,910.50,542800,910.50
2012-11-02,909.90,921.00,906.35,917.45,1726900,917.45
2012-11-01,887.00,903.90,879.50,899.80,1354100,899.80
2012-10-31,876.00,889.00,876.00,884.45,1109500,884.45
2012-10-30,892.45,899.00,867.40,873.65,1210800,873.65
2012-10-29,882.90,899.70,882.90,888.85,1335900,888.85
2012-10-26,880.90,880.90,880.90,880.90,000,880.90
2012-10-25,832.75,863.35,828.65,857.90,3340500,857.90
2012-10-24,828.60,828.60,828.60,828.60,000,828.60
2012-10-23,839.00,839.05,824.40,828.60,699700,828.60
2012-10-22,821.75,839.55,819.10,834.60,1123800,834.60
2012-10-19,838.00,838.10,821.00,823.75,956800,823.75
2012-10-18,830.25,840.55,823.50,837.10,1217900,837.10
2012-10-17,833.80,834.10,819.00,826.65,1918300,826.65
2012-10-16,860.00,865.70,823.00,825.45,1492000,825.45
2012-10-15,856.00,863.00,851.55,858.00,671700,858.00
2012-10-12,850.00,862.00,850.00,854.20,486500,854.20
2012-10-11,853.00,857.80,842.85,850.35,1006200,850.35
2012-10-10,861.00,865.30,849.00,851.75,664300,851.75
2012-10-09,870.00,875.55,862.85,869.20,882900,869.20
2012-10-08,869.00,871.20,860.15,865.70,833400,865.70
2012-10-05,861.00,880.00,701.00,869.00,2396400,869.00
2012-10-04,872.00,876.45,854.05,858.45,949300,858.45
2012-10-03,865.70,876.85,863.90,869.90,1336900,869.90
2012-10-02,863.65,863.65,863.65,863.65,000,863.65
2012-10-01,864.00,872.00,858.60,863.65,1358300,863.65
2012-09-28,853.75,872.50,853.75,864.70,1916200,864.70
2012-09-27,851.90,869.95,845.00,852.20,2943200,852.20
2012-09-26,843.25,859.70,837.85,849.80,2246700,849.80
2012-09-25,842.30,852.45,831.00,846.05,1527400,846.05
2012-09-24,812.00,844.30,812.00,839.10,2170700,839.10
2012-09-21,793.85,823.80,790.50,808.90,3034900,808.90
2012-09-20,786.25,802.55,780.95,784.60,1333000,784.60
2012-09-19,798.25,798.25,798.25,798.25,000,798.25
2012-09-18,789.95,807.00,789.85,798.25,1728900,798.25
2012-09-17,789.80,795.45,777.30,792.00,1650200,792.00
2012-09-14,760.00,787.60,760.00,777.20,1896100,777.20
2012-09-13,760.20,762.50,752.00,755.75,544500,755.75
2012-09-12,766.00,767.90,757.60,762.95,673500,762.95
2012-09-11,760.10,766.00,757.10,762.40,723700,762.40
2012-09-10,764.00,774.60,759.50,766.45,582400,766.45
2012-09-07,769.90,774.25,761.00,763.80,905900,763.80
2012-09-06,750.50,762.30,742.35,759.10,827100,759.10
2012-09-05,758.30,762.40,747.20,755.15,484000,755.15
2012-09-04,756.80,766.30,751.00,761.65,622900,761.65
2012-09-03,768.95,774.65,753.65,757.25,672800,757.25
2012-08-31,768.25,774.65,758.70,763.15,734200,763.15
2012-08-30,769.00,782.45,764.10,772.00,1914300,772.00
2012-08-29,772.00,776.80,761.25,771.80,654900,771.80
2012-08-28,773.10,778.00,765.00,771.05,524400,771.05
2012-08-27,765.00,778.05,765.00,773.50,754300,773.50
2012-08-24,765.00,765.00,754.25,761.95,1137600,761.95
2012-08-23,787.00,789.85,769.00,771.05,629500,771.05
2012-08-22,781.90,791.50,780.05,786.00,522100,786.00
2012-08-21,770.00,787.90,765.90,785.55,753200,785.55
2012-08-20,769.35,769.35,769.35,769.35,000,769.35
2012-08-17,766.00,778.50,760.10,769.35,980800,769.35
2012-08-16,748.00,769.00,748.00,765.30,1414400,765.30
2012-08-15,748.50,748.50,748.50,748.50,000,748.50
2012-08-14,735.25,751.50,735.25,748.50,669700,748.50
2012-08-13,738.00,741.50,730.00,739.80,680900,739.80
2012-08-10,742.00,744.50,733.60,739.55,839600,739.55
2012-08-09,728.90,752.40,728.50,743.05,2391600,743.05
2012-08-08,700.50,728.40,699.90,722.70,2843400,722.70
2012-08-07,696.25,700.60,691.00,697.05,1050200,697.05
2012-08-06,691.30,696.80,687.20,695.10,664600,695.10
2012-08-03,691.00,691.15,680.75,684.80,627700,684.80
2012-08-02,695.00,698.25,690.10,695.60,491600,695.60
2012-08-01,704.50,709.85,694.00,698.95,954400,698.95
2012-07-31,705.25,712.00,690.15,700.85,1568100,700.85
2012-07-30,690.50,709.00,688.35,706.55,889900,706.55
2012-07-27,695.80,695.90,681.85,687.45,911900,687.45
2012-07-26,686.90,686.90,678.25,682.00,1151100,682.00
2012-07-25,686.00,687.20,675.10,681.60,471100,681.60
2012-07-24,693.50,699.55,683.00,686.00,532100,686.00
2012-07-23,698.00,706.00,691.00,692.05,450100,692.05
2012-07-20,707.00,712.30,700.00,703.15,417000,703.15
2012-07-19,715.00,717.95,706.55,710.15,861500,710.15
2012-07-18,710.95,712.90,694.00,708.70,790400,708.70
2012-07-17,721.05,725.15,703.20,708.10,781100,708.10
2012-07-16,720.00,728.00,716.15,717.70,981600,717.70
2012-07-13,718.55,725.00,716.60,719.85,634700,719.85
2012-07-12,720.00,723.75,716.00,718.55,1575500,718.55
2012-07-11,728.90,738.95,728.00,730.55,1884400,718.05
2012-07-10,730.00,737.00,730.00,733.50,1477100,720.95
2012-07-09,728.40,736.95,726.50,729.95,1696900,717.46
2012-07-06,722.05,733.50,722.05,731.55,1879700,719.03
2012-07-05,717.00,726.00,716.40,722.05,912700,709.70
2012-07-04,720.00,727.70,716.35,718.55,1375600,706.26
2012-07-03,719.00,721.75,713.00,717.90,752500,705.62
2012-07-02,709.00,718.00,701.10,714.90,1208200,702.67
2012-06-29,700.00,712.80,699.20,707.25,1342700,695.15
2012-06-28,697.00,701.55,685.00,691.60,1548900,679.77
2012-06-27,697.00,700.90,685.35,692.60,695200,680.75
2012-06-26,688.00,697.00,686.20,692.90,541100,681.04
2012-06-25,701.40,707.50,686.20,689.05,977100,677.26
2012-06-22,688.00,703.80,688.00,697.80,909200,685.86
2012-06-21,689.15,697.00,682.80,694.90,953900,683.01
2012-06-20,699.00,702.35,692.50,694.15,907400,682.27
2012-06-19,691.00,700.00,690.05,695.60,913800,683.70
2012-06-18,703.00,709.90,684.25,693.15,1054700,681.29
2012-06-15,686.00,700.90,683.10,698.45,1827000,686.50
2012-06-14,684.80,694.00,677.60,680.40,908000,668.76
2012-06-13,690.10,691.25,675.45,683.40,1473700,671.71
2012-06-12,675.00,699.55,674.30,695.55,709200,683.65
2012-06-11,693.00,696.25,675.90,679.50,731600,667.87
2012-06-08,694.00,694.00,676.80,688.70,1263100,676.92
2012-06-07,675.65,691.85,666.00,688.55,1338200,676.77
2012-06-06,660.05,676.00,656.60,674.55,1537200,663.01
2012-06-05,652.00,657.90,650.00,654.75,779700,643.55
2012-06-04,639.90,650.50,636.25,649.85,808300,638.73
2012-06-01,650.00,654.80,639.00,645.15,2239700,634.11
2012-05-31,654.60,657.50,648.05,652.60,2201300,641.43
2012-05-30,655.00,662.80,647.50,657.50,2510600,646.25
2012-05-29,656.55,660.70,652.30,655.35,883200,644.14
2012-05-28,640.35,656.00,640.35,653.90,787300,642.71
2012-05-25,650.00,651.40,636.00,638.30,1087900,627.38
2012-05-24,648.50,656.80,634.10,652.70,1476600,641.53
2012-05-23,638.45,648.20,633.95,644.65,1734500,633.62
2012-05-22,651.15,656.00,635.40,638.45,734000,627.53
2012-05-21,636.25,653.90,636.25,647.30,429100,636.22
2012-05-18,628.00,649.45,621.10,641.45,1154900,630.47
2012-05-17,661.80,664.50,633.15,636.65,1321500,625.76
2012-05-16,640.00,659.00,639.85,656.45,1457100,645.22
2012-05-15,650.25,659.80,648.45,654.90,1117200,643.69
2012-05-14,656.00,669.90,654.60,656.90,1186000,645.66
2012-05-11,654.00,662.00,642.00,655.05,1761000,643.84
2012-05-10,653.60,677.00,653.05,660.75,2118000,649.44
2012-05-09,668.20,672.60,648.00,655.30,1554500,644.09
2012-05-08,694.50,699.00,674.15,676.65,932700,665.07
2012-05-07,680.00,699.00,669.05,690.00,2115900,678.19
2012-05-04,698.75,702.45,681.70,687.05,2053400,675.29
2012-05-03,711.80,715.00,701.40,705.65,855000,693.58
2012-05-02,715.00,720.95,711.20,715.50,1753500,703.26
2012-05-01,710.05,710.05,710.05,710.05,000,697.90
2012-04-30,718.70,721.65,702.30,710.05,1469800,697.90
2012-04-27,705.50,722.00,705.50,712.65,1415900,700.46
2012-04-26,708.80,713.80,700.10,703.85,2036200,691.81
2012-04-25,710.50,715.75,700.20,703.30,881000,691.27
2012-04-24,714.10,719.55,698.65,716.75,1595600,704.49
2012-04-23,725.00,733.80,708.05,714.60,1632400,702.37
2012-04-20,705.00,729.35,704.75,726.45,3107500,714.02
2012-04-19,698.90,709.50,692.50,706.55,1416100,694.46
2012-04-18,687.00,694.50,686.25,692.20,1163800,680.36
2012-04-17,683.00,692.00,678.60,684.40,1451200,672.69
2012-04-16,689.00,691.80,680.20,686.05,841900,674.31
2012-04-13,698.00,710.75,690.05,691.85,1160600,680.01
2012-04-12,692.60,701.70,690.00,695.35,966200,683.45
2012-04-11,690.00,701.00,686.70,694.45,1713100,682.57
2012-04-10,687.50,695.70,682.00,694.30,922600,682.42
2012-04-09,692.00,696.60,681.10,683.60,546000,671.90
2012-04-06,697.80,697.80,697.80,697.80,000,685.86
2012-04-05,697.80,697.80,697.80,697.80,000,685.86
2012-04-04,701.00,704.95,694.00,697.80,915300,685.86
2012-04-03,714.20,715.30,703.05,706.60,956000,694.51
2012-04-02,707.65,713.90,698.05,710.65,1440100,698.49
2012-03-30,681.00,705.00,677.00,700.20,1447700,688.22
2012-03-29,675.00,683.50,672.50,679.45,2083800,667.82
2012-03-28,681.10,693.60,677.05,681.25,1493600,669.59
2012-03-27,693.00,693.00,677.55,684.90,1610600,673.18
2012-03-26,684.05,688.00,674.10,681.45,2030700,669.79
2012-03-23,686.00,695.00,674.85,687.75,1426500,675.98
2012-03-22,697.40,705.60,679.00,686.00,3125800,674.26
2012-03-21,684.90,701.90,683.80,699.60,1625700,687.63
2012-03-20,688.00,698.80,680.40,686.70,3017600,674.95
2012-03-19,684.00,697.85,683.20,691.00,3870100,679.18
2012-03-16,654.80,697.60,650.00,677.95,6267600,666.35
2012-03-15,669.80,669.80,655.75,657.55,1589600,646.30
2012-03-14,663.15,682.10,660.30,668.95,3319200,657.50
2012-03-13,666.55,668.30,652.55,657.10,2896800,645.86
2012-03-12,685.00,685.30,661.50,663.80,2436800,652.44
2012-03-09,684.80,684.90,661.00,676.95,2811700,665.37
2012-03-08,674.90,674.90,674.90,674.90,000,663.35
2012-03-07,680.00,682.25,667.25,674.90,2392100,663.35
2012-03-06,675.00,691.90,671.00,681.15,2287000,669.50
2012-03-05,675.00,683.80,668.65,675.30,2729700,663.75
2012-03-02,683.85,689.05,674.20,679.95,3302500,668.32
2012-03-01,703.20,708.90,668.75,681.75,3217900,670.08
2012-02-29,710.00,717.90,689.00,709.85,1607400,697.70
2012-02-28,701.75,711.00,697.50,704.10,2212100,692.05
2012-02-27,733.00,733.00,691.20,696.65,1469100,684.73
2012-02-24,730.00,739.35,720.10,729.95,1497100,717.46
2012-02-23,738.00,745.25,718.00,723.50,2196900,711.12
2012-02-22,763.55,766.40,736.00,742.80,2469100,730.09
2012-02-21,749.35,769.30,738.25,762.60,2835200,749.55
2012-02-20,748.60,748.60,748.60,748.60,000,735.79
2012-02-17,734.90,752.70,730.00,748.60,3458600,735.79
2012-02-16,733.80,736.70,712.60,724.25,2096600,711.86
2012-02-15,725.00,750.70,725.00,734.55,4880800,721.98
2012-02-14,705.00,720.00,704.00,717.30,2348400,705.03
2012-02-13,694.80,708.90,692.15,705.20,1362100,693.13
2012-02-10,701.00,712.00,684.30,691.55,2388400,679.72
2012-02-09,689.00,707.00,682.00,702.05,2516100,690.04
2012-02-08,680.00,697.70,672.00,686.95,4347500,675.20
2012-02-07,721.00,721.00,685.30,689.65,4483300,677.85
2012-02-06,722.70,723.95,701.60,710.20,2365100,698.05
2012-02-03,703.00,717.75,696.60,710.80,4097300,698.64
2012-02-02,699.90,711.00,690.80,700.60,5142800,688.61
2012-02-01,674.50,700.00,673.50,688.90,6055900,677.11
2012-01-31,673.80,679.05,664.10,673.80,2076400,662.27
2012-01-30,696.00,699.75,660.50,665.10,2185800,653.72
2012-01-27,693.95,704.90,665.00,700.10,2817700,688.12
2012-01-26,686.50,686.50,686.50,686.50,000,674.75
2012-01-25,692.40,692.40,681.35,686.50,1435200,674.75
2012-01-24,665.00,689.25,657.00,685.45,2542000,673.72
2012-01-23,655.55,666.70,654.20,661.55,2056400,650.23
2012-01-20,677.80,678.90,646.05,657.00,4820200,645.76
2012-01-19,693.00,696.70,670.40,672.95,3031300,661.44
2012-01-18,708.00,709.65,673.00,684.05,2734400,672.35
2012-01-17,694.50,709.00,690.00,705.60,2443000,693.53
2012-01-16,686.70,690.90,681.80,687.80,1490300,676.03
2012-01-13,690.00,698.70,682.00,692.35,1464800,680.50
2012-01-12,678.00,688.95,672.00,686.00,1784900,674.26
