Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,409.90,409.90,409.90,409.90,000,409.90
2012-12-24,412.25,416.95,408.30,409.90,10500,409.90
2012-12-21,420.65,423.90,411.50,413.50,25600,413.50
2012-12-20,411.50,436.20,411.50,419.55,2652500,419.55
2012-12-19,415.05,435.00,409.00,413.05,56500,413.05
2012-12-18,408.25,415.00,408.25,414.30,4000,414.30
2012-12-17,405.50,412.70,405.00,409.00,5200,409.00
2012-12-14,408.50,415.00,406.15,409.10,7700,409.10
2012-12-13,405.10,412.95,404.70,406.65,8900,406.65
2012-12-12,408.40,415.00,405.00,406.50,11600,406.50
2012-12-11,411.55,415.00,406.95,408.05,7100,408.05
2012-12-10,416.00,417.70,411.70,414.65,4100,414.65
2012-12-07,415.85,420.00,412.10,415.30,11000,415.30
2012-12-06,416.05,418.95,412.10,413.80,5400,413.80
2012-12-05,418.90,419.95,413.20,415.65,4800,415.65
2012-12-04,414.00,420.00,414.00,415.65,4000,415.65
2012-12-03,416.70,420.05,413.50,417.05,11300,417.05
2012-11-30,411.50,425.00,410.25,414.75,36200,414.75
2012-11-29,426.40,427.60,418.10,419.10,12800,419.10
2012-11-28,421.60,421.60,421.60,421.60,000,421.60
2012-11-27,420.00,437.00,414.00,421.60,26100,421.60
2012-11-26,432.00,435.00,417.50,426.80,15300,426.80
2012-11-23,412.20,430.00,409.00,426.10,19100,426.10
2012-11-22,430.20,435.05,420.25,421.95,17600,421.95
2012-11-21,433.95,446.80,425.95,429.10,31500,429.10
2012-11-20,437.00,451.10,427.00,434.65,111200,434.65
2012-11-19,407.00,453.80,405.00,435.05,241800,435.05
2012-11-16,402.00,414.00,401.00,406.95,3700,406.95
2012-11-15,410.00,413.50,401.60,411.15,4900,411.15
2012-11-14,409.60,409.60,409.60,409.60,000,409.60
2012-11-13,409.60,409.60,409.60,409.60,000,409.60
2012-11-12,401.00,414.00,401.00,409.60,6400,409.60
2012-11-09,411.95,414.25,411.95,412.30,14500,412.30
2012-11-08,412.00,414.00,410.00,413.85,78600,413.85
2012-11-07,411.95,414.00,410.00,413.70,12000,413.70
2012-11-06,409.10,415.00,406.15,413.80,13900,413.80
2012-11-05,413.00,415.00,406.00,409.10,4100,409.10
2012-11-02,411.00,417.30,409.00,410.80,4400,410.80
2012-11-01,407.90,412.25,400.65,409.65,8800,409.65
2012-10-31,395.95,409.00,391.00,405.10,106200,405.10
2012-10-30,400.15,404.00,395.00,395.35,3100,395.35
2012-10-29,396.60,404.00,396.35,399.65,5100,399.65
2012-10-26,396.80,396.80,396.80,396.80,000,396.80
2012-10-25,407.00,409.75,392.10,396.80,9200,396.80
2012-10-24,406.05,406.05,406.05,406.05,000,406.05
2012-10-23,401.00,411.95,395.00,406.05,31000,406.05
2012-10-22,410.55,410.55,392.35,400.90,5000,400.90
2012-10-19,413.00,419.95,402.65,404.00,5700,404.00
2012-10-18,410.95,425.00,410.00,412.60,20400,412.60
2012-10-17,410.00,416.00,405.00,411.10,72600,411.10
2012-10-16,405.10,410.00,401.00,405.20,9100,405.20
2012-10-15,405.10,412.95,402.40,404.90,3500,404.90
2012-10-12,403.00,417.90,401.25,410.60,16800,410.60
2012-10-11,400.00,408.00,396.00,403.50,5300,403.50
2012-10-10,400.00,404.90,395.00,401.60,4200,401.60
2012-10-09,406.10,409.90,393.00,399.55,6800,399.55
2012-10-08,405.10,411.00,405.00,405.35,10600,405.35
2012-10-05,416.10,420.00,390.10,405.10,23800,405.10
2012-10-04,404.90,422.00,402.30,412.10,43900,412.10
2012-10-03,390.05,404.80,387.10,402.20,13300,402.20
2012-10-02,392.75,392.75,392.75,392.75,000,392.75
2012-10-01,378.05,399.00,376.35,392.75,19900,392.75
2012-09-28,377.20,385.15,377.15,379.75,28900,379.75
2012-09-27,381.45,381.50,376.00,377.60,5200,377.60
2012-09-26,383.00,385.00,375.00,377.75,18600,377.75
2012-09-25,372.00,390.00,372.00,381.65,79700,381.65
2012-09-24,373.00,382.00,371.00,375.95,19900,375.95
2012-09-21,373.45,378.90,368.80,371.05,10700,371.05
2012-09-20,371.00,374.00,369.00,373.15,9100,373.15
2012-09-19,372.25,372.25,372.25,372.25,000,372.25
2012-09-18,367.85,374.00,364.25,372.25,7400,372.25
2012-09-17,365.95,376.00,363.00,367.85,18500,367.85
2012-09-14,352.15,367.90,350.90,364.95,22100,364.95
2012-09-13,350.15,355.90,348.65,350.30,3700,350.30
2012-09-12,350.00,357.05,349.10,355.25,4900,355.25
2012-09-11,348.50,356.45,348.50,353.75,4800,353.75
2012-09-10,348.00,362.70,346.65,356.15,7000,356.15
2012-09-07,345.85,352.95,345.85,350.10,9500,350.10
2012-09-06,340.45,348.60,340.45,346.45,5000,346.45
2012-09-05,341.15,349.80,341.15,344.85,5600,344.85
2012-09-04,343.55,352.80,341.70,343.55,7200,343.55
2012-09-03,351.75,351.75,342.40,348.30,3900,348.30
2012-08-31,345.00,348.85,343.70,344.95,5700,344.95
2012-08-30,347.05,350.95,343.65,348.50,29900,348.50
2012-08-29,345.00,354.75,343.00,345.95,38400,345.95
2012-08-28,349.00,355.90,341.30,348.30,51600,348.30
2012-08-27,349.40,354.00,343.00,346.15,5800,346.15
2012-08-24,359.50,361.00,348.10,349.40,11500,349.40
2012-08-23,351.15,365.00,351.15,358.75,29800,358.75
2012-08-22,357.00,357.00,348.10,348.85,22500,348.85
2012-08-21,354.50,360.00,353.70,357.00,6400,357.00
2012-08-20,355.35,355.35,355.35,355.35,000,355.35
2012-08-17,357.05,363.00,352.30,355.35,14900,355.35
2012-08-16,361.00,363.50,355.00,356.75,15800,356.75
2012-08-15,359.35,359.35,359.35,359.35,000,359.35
2012-08-14,351.00,364.00,345.15,359.35,52400,359.35
2012-08-13,352.00,359.60,344.20,350.10,17100,350.10
2012-08-10,328.35,376.00,328.35,356.15,186800,356.15
2012-08-09,330.55,338.80,325.80,336.15,6100,336.15
2012-08-08,330.00,333.00,325.05,330.55,158600,330.55
2012-08-07,329.80,329.90,324.65,327.80,3500,327.80
2012-08-06,330.50,331.00,322.10,323.10,21500,323.10
2012-08-03,327.85,327.85,321.95,322.65,3200,322.65
2012-08-02,325.00,328.00,322.00,326.00,5200,326.00
2012-08-01,325.00,331.45,323.00,327.85,62000,327.85
2012-07-31,321.15,324.00,321.15,322.15,700,322.15
2012-07-30,325.00,330.00,321.45,323.80,1300,323.80
2012-07-27,326.30,330.75,325.10,327.10,5600,327.10
2012-07-26,333.00,333.00,324.10,328.20,3400,328.20
2012-07-25,326.40,335.00,322.25,329.75,12500,329.75
2012-07-24,323.00,325.00,317.60,324.70,161900,324.70
2012-07-23,318.10,323.95,317.00,320.05,3100,320.05
2012-07-20,320.00,325.00,319.25,320.00,800,320.00
2012-07-19,323.00,325.95,321.00,321.20,3600,321.20
2012-07-18,326.00,331.45,325.15,326.00,1000,326.00
2012-07-17,329.90,333.75,326.25,329.20,8300,329.20
2012-07-16,325.00,330.95,322.95,325.00,1200,325.00
2012-07-13,329.80,329.80,322.50,324.40,1100,324.40
2012-07-12,330.00,330.00,324.00,325.05,1800,325.05
2012-07-11,330.75,335.00,330.75,332.65,5600,326.65
2012-07-10,330.50,336.00,330.50,332.95,3500,326.94
2012-07-09,333.85,333.85,329.80,330.20,5300,324.24
2012-07-06,328.30,338.10,328.30,333.85,2500,327.83
2012-07-05,327.50,334.40,327.50,333.05,6700,327.04
2012-07-04,333.25,334.00,330.50,332.45,1300,326.45
2012-07-03,334.25,335.00,330.30,333.15,13200,327.14
2012-07-02,327.00,334.95,324.10,332.50,5800,326.50
