Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,272.80,272.80,272.80,272.80,000,272.80
2012-12-24,275.00,276.00,268.15,272.80,131700,272.80
2012-12-21,275.00,275.00,270.05,272.95,61200,272.95
2012-12-20,275.00,278.80,268.65,272.95,58900,272.95
2012-12-19,320.55,320.55,261.25,271.55,42300,271.55
2012-12-18,267.95,273.65,260.05,267.15,40100,267.15
2012-12-17,259.00,269.00,255.00,267.95,60300,267.95
2012-12-14,252.00,260.00,250.00,259.15,40100,259.15
2012-12-13,253.10,256.70,247.05,249.10,35000,249.10
2012-12-12,253.50,253.50,249.20,250.75,27500,250.75
2012-12-11,255.00,255.00,247.00,251.35,25000,251.35
2012-12-10,248.00,257.30,248.00,254.10,28600,254.10
2012-12-07,252.20,260.00,246.00,255.45,32200,255.45
2012-12-06,248.00,257.00,248.00,254.40,34300,254.40
2012-12-05,248.05,250.90,247.00,249.10,30400,249.10
2012-12-04,240.20,249.30,233.50,245.85,319100,245.85
2012-12-03,243.00,244.00,238.00,243.25,25200,243.25
2012-11-30,237.65,244.95,234.00,241.85,127900,241.85
2012-11-29,237.30,242.00,230.50,240.45,28800,240.45
2012-11-28,240.40,240.40,240.40,240.40,000,240.40
2012-11-27,242.00,242.05,230.40,240.40,34400,240.40
2012-11-26,237.35,242.10,236.00,241.45,29800,241.45
2012-11-23,238.00,245.00,233.25,239.65,34800,239.65
2012-11-22,237.50,243.30,228.00,240.10,35600,240.10
2012-11-21,239.95,242.10,235.05,239.40,36400,239.40
2012-11-20,233.00,244.00,232.00,240.45,37200,240.45
2012-11-19,244.10,244.10,236.10,240.95,31600,240.95
2012-11-16,205.00,244.00,205.00,244.00,35900,244.00
2012-11-15,243.00,243.90,202.15,239.35,32100,239.35
2012-11-14,239.10,239.10,239.10,239.10,000,239.10
2012-11-13,239.10,239.10,239.10,239.10,000,239.10
2012-11-12,241.30,242.00,236.15,239.10,31000,239.10
2012-11-09,243.50,243.50,237.00,239.25,28200,239.25
2012-11-08,240.00,244.00,238.50,242.35,32800,242.35
2012-11-07,243.45,244.05,234.90,241.10,28800,241.10
2012-11-06,239.75,246.95,237.30,240.95,29100,240.95
2012-11-05,237.60,245.00,236.00,239.00,35100,239.00
2012-11-02,238.00,238.00,232.95,235.65,28500,235.65
2012-11-01,233.05,238.80,231.05,237.55,33100,237.55
2012-10-31,234.00,238.00,230.20,235.90,28600,235.90
2012-10-30,234.95,236.00,228.05,231.90,27200,231.90
2012-10-29,235.40,240.00,231.00,232.20,27500,232.20
2012-10-26,234.20,234.20,234.20,234.20,000,234.20
2012-10-25,235.15,235.15,228.00,234.20,27200,234.20
2012-10-24,232.50,232.50,232.50,232.50,000,232.50
2012-10-23,235.55,236.00,225.00,232.50,39900,232.50
2012-10-22,234.95,235.00,229.00,233.50,34100,233.50
2012-10-19,235.00,235.80,230.10,233.05,57000,233.05
2012-10-18,233.00,238.80,230.00,235.90,30200,235.90
2012-10-17,235.00,238.00,231.00,233.15,41400,233.15
2012-10-16,234.25,234.55,227.00,231.55,32200,231.55
2012-10-15,240.00,240.50,230.30,231.75,6200,231.75
2012-10-12,241.80,241.85,232.00,235.70,20000,235.70
2012-10-11,242.15,244.50,239.00,239.90,19900,239.90
2012-10-10,243.00,244.00,239.00,240.00,23300,240.00
2012-10-09,239.25,247.50,239.00,241.05,30600,241.05
2012-10-08,230.00,244.90,230.00,240.75,23700,240.75
2012-10-05,232.45,237.00,226.00,233.95,33500,233.95
2012-10-04,222.95,234.00,222.95,229.50,49400,229.50
2012-10-03,224.75,232.00,220.00,224.20,63600,224.20
2012-10-02,223.35,223.35,223.35,223.35,000,223.35
2012-10-01,224.20,226.95,221.00,223.35,61200,223.35
2012-09-28,229.50,231.00,223.00,225.15,70500,225.15
2012-09-27,227.95,230.90,224.30,228.80,36300,228.80
2012-09-26,227.50,228.60,223.45,227.10,42600,227.10
2012-09-25,226.75,228.00,223.60,226.25,112400,226.25
2012-09-24,227.10,227.50,223.60,226.55,123600,226.55
2012-09-21,224.50,226.00,222.55,224.65,63200,224.65
2012-09-20,225.00,226.00,222.00,222.80,29500,222.80
2012-09-19,224.05,224.05,224.05,224.05,000,224.05
2012-09-18,224.40,227.00,222.00,224.05,43700,224.05
2012-09-17,228.40,229.00,223.50,224.65,14000,224.65
2012-09-14,225.70,229.95,224.20,225.60,19500,225.60
2012-09-13,224.40,228.50,224.00,225.05,18100,224.05
2012-09-12,228.75,228.80,223.05,225.35,15900,224.35
2012-09-11,226.55,228.80,223.65,226.55,9400,225.54
2012-09-10,224.50,232.75,223.70,227.70,9700,226.69
2012-09-07,221.15,228.00,221.15,225.70,15900,224.70
2012-09-06,222.20,222.80,221.10,221.55,30700,220.57
2012-09-05,221.00,222.70,221.00,221.05,5400,220.07
2012-09-04,222.70,223.90,221.15,221.90,30800,220.91
2012-09-03,221.30,224.50,221.15,223.05,40200,222.06
2012-08-31,222.90,222.90,221.05,221.35,103400,220.37
2012-08-30,222.35,222.35,221.00,221.50,27400,220.52
2012-08-29,222.80,222.80,221.00,221.20,64800,220.22
2012-08-28,223.00,223.00,221.00,221.45,39400,220.47
2012-08-27,221.10,223.40,221.00,221.45,22800,220.47
2012-08-24,223.00,225.50,221.25,221.25,30500,220.27
2012-08-23,222.85,224.70,221.20,222.25,5000,221.26
2012-08-22,224.35,224.50,221.10,223.60,130500,222.61
2012-08-21,222.05,228.00,222.00,223.90,6200,222.91
2012-08-20,223.45,223.45,223.45,223.45,000,222.46
2012-08-17,222.65,224.80,221.45,223.45,5000,222.46
2012-08-16,225.00,225.40,221.60,223.60,23700,222.61
2012-08-15,223.65,223.65,223.65,223.65,000,222.66
2012-08-14,222.40,225.40,222.40,223.65,2000,222.66
2012-08-13,225.55,228.80,221.05,222.60,4500,221.61
2012-08-10,225.35,225.55,222.05,223.80,3600,222.81
2012-08-09,226.50,228.00,222.15,223.75,16500,222.76
2012-08-08,229.20,229.20,223.25,224.15,24700,223.15
2012-08-07,228.10,228.10,223.00,226.20,4800,225.19
2012-08-06,226.15,229.00,221.65,225.15,71200,224.15
2012-08-03,224.15,227.95,221.15,222.70,83800,221.71
2012-08-02,233.15,234.90,220.05,226.35,161900,225.34
2012-08-01,232.00,235.00,229.10,230.40,52600,229.38
2012-07-31,231.30,235.00,228.15,229.95,35100,228.93
2012-07-30,233.00,233.90,227.05,229.65,71000,228.63
2012-07-27,235.00,235.00,231.00,231.40,40800,230.37
2012-07-26,233.95,234.00,211.00,231.00,85400,229.97
2012-07-25,231.05,234.40,230.50,233.35,84100,232.31
2012-07-24,234.20,236.00,233.25,235.25,110600,234.20
2012-07-23,233.05,235.45,233.00,233.50,40800,232.46
2012-07-20,235.70,235.75,233.05,234.00,40900,232.96
2012-07-19,235.95,235.95,233.05,233.75,42400,232.71
2012-07-18,234.15,236.00,233.50,233.90,91800,232.86
2012-07-17,234.65,236.70,234.00,234.45,67600,233.41
2012-07-16,235.15,236.80,234.00,234.85,97800,233.81
2012-07-13,236.65,237.00,234.05,234.45,141000,233.41
2012-07-12,235.05,240.00,233.70,235.95,154100,234.90
2012-07-11,239.00,239.50,233.00,235.80,87500,234.75
2012-07-10,233.45,240.35,233.45,237.30,107200,236.25
2012-07-09,241.70,243.05,223.30,235.15,116800,234.11
2012-07-06,240.95,244.00,235.20,241.30,100100,240.23
2012-07-05,239.30,243.75,235.50,241.95,106100,240.87
2012-07-04,243.90,243.95,238.05,239.75,34300,238.68
2012-07-03,242.00,242.85,237.20,241.85,60900,240.78
2012-07-02,243.00,243.50,240.05,241.75,58500,240.68
2012-06-29,240.05,243.00,239.50,240.90,71600,239.83
2012-06-28,243.00,244.65,237.00,240.25,50300,239.18
2012-06-27,243.00,245.80,240.10,241.30,44600,240.23
2012-06-26,245.95,246.00,240.00,241.10,45900,240.03
2012-06-25,245.00,246.50,239.00,242.60,48100,241.52
2012-06-22,244.50,248.00,240.50,243.50,66800,242.42
2012-06-21,244.50,249.45,241.00,245.00,35300,243.91
2012-06-20,249.00,249.00,242.05,245.85,64600,244.76
2012-06-19,252.25,252.25,244.00,245.05,25600,243.96
2012-06-18,250.00,253.40,245.05,249.75,39000,248.64
2012-06-15,246.05,254.00,245.00,250.20,58600,249.09
2012-06-14,250.00,250.00,243.20,247.60,40600,246.50
2012-06-13,242.55,249.85,241.25,248.60,71800,247.50
2012-06-12,244.95,252.00,240.00,244.00,60000,242.92
2012-06-11,250.00,253.70,244.65,247.60,74200,246.50
2012-06-08,249.00,254.00,245.05,247.15,52600,246.05
2012-06-07,247.50,254.00,247.05,251.70,61800,250.58
2012-06-06,244.00,255.00,241.05,249.80,84100,248.69
2012-06-05,242.00,245.90,240.00,241.30,60400,240.23
2012-06-04,236.50,246.00,235.10,243.90,41400,242.82
2012-06-01,239.30,241.95,236.25,239.75,50900,238.68
2012-05-31,242.55,242.55,237.00,240.05,32300,238.98
2012-05-30,243.25,245.55,240.15,241.15,66000,240.08
2012-05-29,242.15,244.95,239.20,241.30,51700,240.23
2012-05-28,247.00,247.80,239.00,244.20,70500,243.11
2012-05-25,246.00,247.90,241.00,244.25,118100,243.16
2012-05-24,249.50,250.70,243.40,245.95,91200,244.86
2012-05-23,248.50,249.90,245.40,248.55,65200,247.45
2012-05-22,251.40,251.55,245.00,247.95,74500,246.85
2012-05-21,248.00,251.95,248.00,250.00,71200,248.89
2012-05-18,249.85,251.60,247.60,249.30,85300,248.19
2012-05-17,250.95,252.50,246.20,250.35,141500,249.24
2012-05-16,252.85,252.85,242.00,248.45,49700,247.35
2012-05-15,255.35,255.35,244.10,251.60,145500,250.48
2012-05-14,254.00,255.50,250.00,253.60,165300,252.47
2012-05-11,253.20,255.45,249.10,253.00,54000,251.88
2012-05-10,253.80,256.00,250.00,252.00,72600,250.88
2012-05-09,249.55,255.90,248.20,252.00,189800,250.88
2012-05-08,253.00,255.70,248.20,251.25,114000,250.13
2012-05-07,245.30,254.20,245.20,251.60,81500,250.48
2012-05-04,241.00,254.60,237.65,249.25,106500,248.14
2012-05-03,242.50,242.50,238.40,241.00,90200,239.93
2012-05-02,240.50,241.90,239.20,240.85,135400,239.78
2012-05-01,240.50,240.50,240.50,240.50,000,239.43
2012-04-30,242.35,244.25,238.65,240.50,240900,239.43
2012-04-27,241.30,242.00,238.15,240.10,63100,239.03
2012-04-26,241.55,242.50,237.55,240.65,108400,239.58
2012-04-25,239.15,242.00,238.00,240.10,84500,239.03
2012-04-24,241.00,242.40,238.50,239.85,58000,238.78
2012-04-23,242.45,242.95,236.20,239.20,73700,238.14
2012-04-20,244.45,244.85,238.60,241.05,54600,239.98
2012-04-19,242.00,245.00,240.45,242.95,110000,241.87
2012-04-18,251.05,254.20,241.10,242.70,109900,241.62
2012-04-17,256.40,256.40,250.50,253.15,117800,252.03
2012-04-16,258.40,258.40,251.00,254.15,84200,253.02
2012-04-13,253.75,255.00,249.00,251.05,84200,249.93
2012-04-12,253.90,257.00,250.10,251.35,129900,250.23
2012-04-11,252.40,254.50,249.05,251.25,144000,250.13
2012-04-10,248.70,254.00,248.60,251.80,58500,250.68
2012-04-09,254.20,255.90,246.10,250.40,115100,249.29
2012-04-06,257.75,257.75,257.75,257.75,000,256.60
2012-04-05,257.75,257.75,257.75,257.75,000,256.60
2012-04-04,256.55,259.70,253.10,257.75,86500,256.60
2012-04-03,255.50,258.95,253.55,257.50,83900,256.36
2012-04-02,255.90,256.50,253.50,255.10,86600,253.97
2012-03-30,252.75,256.90,251.00,254.70,58900,253.57
2012-03-29,250.25,253.95,250.25,252.95,127200,251.83
2012-03-28,253.40,253.70,247.05,252.25,648300,251.13
2012-03-27,252.60,256.45,251.00,254.80,462300,253.67
2012-03-26,252.00,254.75,250.00,253.55,110200,252.42
2012-03-23,254.45,256.90,249.00,253.05,247700,251.93
2012-03-22,257.85,258.00,246.40,251.55,6700,250.43
2012-03-21,256.00,260.00,252.50,256.45,128100,255.31
2012-03-20,255.35,259.55,253.00,255.30,78700,254.17
2012-03-19,255.00,255.90,252.10,254.25,102300,253.12
2012-03-16,254.95,256.75,251.00,254.90,113600,253.77
2012-03-15,254.90,256.00,249.00,254.70,95000,253.57
2012-03-14,256.95,257.90,252.05,254.50,142700,253.37
2012-03-13,254.20,257.05,250.10,254.75,106100,253.62
2012-03-12,256.50,257.00,253.05,255.65,94700,254.51
2012-03-09,257.70,257.70,252.70,255.10,103900,253.97
2012-03-08,255.10,255.10,255.10,255.10,000,253.97
2012-03-07,255.80,256.40,251.40,255.10,116100,253.97
2012-03-06,251.00,255.10,250.10,254.20,60100,253.07
2012-03-05,256.85,256.85,250.05,253.65,94800,252.52
2012-03-02,247.00,257.00,246.30,254.50,150300,253.37
2012-03-01,252.35,252.35,240.30,247.95,115400,246.85
2012-02-29,250.50,254.55,246.25,250.40,105200,248.29
2012-02-28,249.00,249.00,245.05,247.75,97200,245.66
2012-02-27,252.40,252.40,243.00,247.25,115200,245.17
2012-02-24,248.20,252.60,239.00,250.65,127900,248.54
2012-02-23,248.10,253.40,246.25,250.30,139800,248.19
2012-02-22,248.35,253.80,245.50,250.10,107300,247.99
2012-02-21,252.40,280.00,246.00,251.55,138800,249.43
2012-02-20,251.30,251.30,251.30,251.30,000,249.18
2012-02-17,254.50,254.50,247.55,251.30,100300,249.18
2012-02-16,251.90,254.00,247.50,252.85,134800,250.72
2012-02-15,247.00,253.05,246.00,251.15,196400,249.04
2012-02-14,253.45,259.80,239.20,249.65,100700,247.55
2012-02-13,247.00,249.50,240.00,249.20,132800,247.10
2012-02-10,238.15,248.75,228.40,244.65,205900,242.59
2012-02-09,238.10,241.95,228.00,240.25,125200,238.23
2012-02-08,242.00,242.00,234.00,239.90,78400,237.88
2012-02-07,237.90,245.00,236.05,239.85,170000,237.83
2012-02-06,242.25,243.00,235.05,239.20,90300,237.19
2012-02-03,236.50,241.00,236.50,240.00,185600,237.98
2012-02-02,237.55,243.00,222.00,239.30,127900,237.29
2012-02-01,237.00,245.00,236.05,239.00,98300,236.99
2012-01-31,237.45,238.65,234.00,237.35,152000,235.35
2012-01-30,236.50,238.80,235.05,236.20,105400,234.21
2012-01-27,240.15,242.45,235.20,239.85,120600,237.83
2012-01-26,238.30,238.30,238.30,238.30,000,236.29
2012-01-25,238.80,240.00,232.55,238.30,120500,236.29
2012-01-24,233.95,240.00,227.00,236.85,173300,234.86
2012-01-23,230.35,234.85,230.35,232.75,105700,230.79
2012-01-20,233.80,234.80,229.00,231.20,82000,229.25
2012-01-19,234.80,234.80,229.05,230.95,86900,229.01
2012-01-18,231.00,231.00,228.55,229.70,85500,227.77
2012-01-17,232.10,232.45,229.05,230.70,119900,228.76
2012-01-16,230.20,232.00,227.50,229.80,106000,227.87
2012-01-13,230.00,231.95,226.20,230.15,119300,228.21
2012-01-12,226.05,229.75,226.00,228.80,108100,226.87
2012-01-11,232.40,232.40,222.10,227.95,115500,226.03
2012-01-10,230.00,235.00,228.75,232.40,103200,230.44
2012-01-09,230.00,230.45,226.00,229.50,152400,227.57
2012-01-06,231.70,233.00,226.05,231.00,126500,229.06
2012-01-05,231.00,233.00,222.00,230.05,141600,228.11
2012-01-04,230.90,232.30,224.25,231.00,109000,229.06
2012-01-03,221.00,230.00,217.50,227.05,145400,225.14
2012-01-02,223.00,223.00,217.00,219.45,138200,217.60
2011-12-30,219.00,220.00,216.05,217.80,60400,215.97
2011-12-29,219.95,219.95,215.00,217.55,140800,215.72
2011-12-28,218.55,219.95,215.30,217.95,106800,216.12
2011-12-27,218.00,219.40,214.20,218.10,130600,216.26
2011-12-26,217.70,219.00,212.00,216.65,145000,214.83
2011-12-23,220.30,223.00,212.25,214.70,104500,212.89
2011-12-22,214.90,220.00,213.00,217.20,224600,215.37
2011-12-21,220.00,220.05,213.00,216.35,151800,214.53
2011-12-20,217.00,217.60,213.00,215.80,73800,213.98
2011-12-19,218.00,218.00,213.00,216.35,69000,214.53
2011-12-16,219.10,221.70,214.00,217.30,226000,215.47
2011-12-15,217.00,219.85,211.00,218.30,99200,216.46
2011-12-14,215.70,219.50,208.50,215.30,155800,213.49
2011-12-13,215.95,217.00,208.80,212.70,130100,210.91
2011-12-12,217.65,217.65,210.20,213.05,77300,211.26
2011-12-09,209.00,216.00,209.00,214.40,68100,212.59
2011-12-08,220.15,223.40,212.10,215.30,92200,213.49
2011-12-07,219.75,221.80,215.55,221.15,78300,219.29
2011-12-06,216.95,216.95,216.95,216.95,000,215.12
2011-12-05,222.00,224.90,215.10,216.95,140300,215.12
2011-12-02,219.85,224.30,215.60,223.35,167000,221.47
2011-12-01,225.00,226.90,215.60,217.15,134300,215.32
2011-11-30,221.00,222.85,216.05,217.90,152800,216.07
2011-11-29,228.40,228.40,215.30,222.10,146200,220.23
2011-11-28,210.20,227.00,207.00,219.80,197200,217.95
2011-11-25,209.90,220.00,203.00,207.20,245100,205.46
2011-11-24,204.00,214.70,204.00,208.20,297900,206.45
2011-11-23,216.70,218.00,201.20,203.70,254000,201.98
2011-11-22,214.25,223.00,210.00,211.35,233200,209.57
2011-11-21,228.00,228.00,210.00,211.30,319300,209.52
2011-11-18,230.25,233.80,188.00,224.20,426700,222.31
2011-11-17,236.60,244.00,232.10,234.95,70600,232.97
2011-11-16,240.00,246.00,237.00,242.35,99500,240.31
2011-11-15,235.00,248.00,231.15,242.25,316600,240.21
2011-11-14,236.95,239.95,231.00,234.05,257500,232.08
2011-11-11,235.00,240.00,233.60,233.70,108900,231.73
2011-11-09,243.00,247.90,235.25,238.45,124800,236.44
2011-11-08,230.50,249.00,223.00,245.90,626500,243.83
2011-11-04,231.80,237.00,228.20,229.65,180700,227.72
2011-11-03,240.00,240.00,224.50,229.70,278800,227.77
2011-11-02,237.00,237.00,230.00,232.50,91400,230.54
2011-11-01,232.05,238.00,231.50,233.90,212400,231.93
2011-10-31,227.00,239.15,220.00,238.50,539900,236.49
2011-10-28,234.20,242.00,220.00,225.15,248000,223.25
2011-10-26,232.10,240.20,232.10,238.50,35500,236.49
2011-10-25,229.10,235.70,229.00,234.75,68200,232.77
2011-10-24,240.05,248.00,227.85,231.55,225700,229.60
2011-10-21,230.10,240.80,223.80,238.25,441000,236.24
2011-10-20,226.00,235.00,220.00,231.80,138200,229.85
2011-10-19,239.00,239.25,219.10,225.65,337000,223.75
2011-10-18,229.65,241.90,223.10,237.00,274900,235.00
2011-10-17,226.00,231.85,217.00,228.65,833000,226.72
2011-10-14,219.45,236.45,219.45,224.90,495300,223.01
2011-10-13,211.70,234.95,208.25,220.00,297400,218.15
2011-10-12,207.00,213.00,202.05,210.70,135500,208.93
2011-10-11,211.00,213.95,205.30,208.35,59600,206.60
2011-10-10,208.55,213.90,207.55,211.90,91000,210.12
2011-10-07,206.00,218.00,206.00,210.10,70900,208.33
2011-10-05,208.00,210.00,205.30,207.35,261300,205.60
2011-10-04,205.60,211.00,205.05,207.10,144600,205.36
2011-10-03,208.50,214.95,202.50,207.75,97600,206.00
2011-09-30,211.45,216.80,210.40,213.60,61500,211.80
2011-09-29,214.40,217.90,210.00,215.35,74400,213.54
2011-09-28,217.45,218.80,213.05,216.65,69800,214.83
2011-09-27,216.00,218.60,211.05,216.40,73900,214.58
2011-09-26,214.00,217.00,203.05,214.00,158000,212.20
2011-09-23,215.85,217.75,204.60,213.40,194200,211.60
2011-09-22,222.00,222.00,205.30,216.00,94500,214.18
2011-09-21,220.20,222.95,220.10,221.80,79000,219.93
2011-09-20,222.20,223.50,217.05,222.30,93000,220.43
2011-09-19,223.30,223.30,218.35,221.75,66600,217.90
2011-09-16,220.90,224.55,219.05,221.30,123600,217.46
2011-09-15,221.00,223.85,216.00,219.50,114900,215.69
2011-09-14,224.00,224.45,217.20,223.95,59600,220.06
2011-09-13,222.30,224.45,217.35,223.15,94500,219.28
2011-09-12,208.85,221.00,208.85,220.20,79700,216.38
2011-09-09,219.95,223.95,216.05,218.00,153100,214.21
2011-09-08,213.95,223.20,210.15,215.40,262500,211.66
2011-09-07,212.00,212.45,206.25,211.90,142600,208.22
2011-09-06,206.20,211.60,204.10,208.75,75500,205.13
2011-09-05,201.20,210.00,201.20,206.25,136100,202.67
2011-09-02,207.85,208.25,202.50,208.00,88400,204.39
2011-08-30,208.00,208.20,205.55,207.10,58100,203.50
2011-08-29,212.40,212.40,205.20,207.15,90200,203.55
2011-08-26,207.45,207.80,203.10,206.40,83000,202.82
2011-08-25,209.80,209.85,201.20,207.60,53000,204.00
2011-08-24,203.10,209.90,203.10,207.90,86400,204.29
2011-08-23,211.00,211.85,205.05,207.40,40000,203.80
2011-08-22,210.00,213.00,205.10,207.70,83900,204.09
2011-08-19,210.00,211.90,208.00,209.55,52600,205.91
2011-08-18,215.00,215.00,210.25,211.60,98000,207.93
2011-08-17,214.70,214.90,211.00,214.00,137000,210.28
2011-08-16,218.95,218.95,212.20,214.05,87400,210.33
2011-08-12,213.00,215.10,211.05,213.75,109000,210.04
2011-08-11,209.80,213.05,205.15,212.45,160500,208.76
