Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,38.05,38.05,38.05,38.05,000,38.05
2012-12-24,38.60,38.95,38.00,38.05,67900,38.05
2012-12-21,39.05,39.60,37.85,38.10,144600,38.10
2012-12-20,39.55,39.85,39.20,39.30,84800,39.30
2012-12-19,39.65,40.40,39.40,39.65,129900,39.65
2012-12-18,40.10,40.35,39.80,40.15,89100,40.15
2012-12-17,40.50,40.75,39.80,40.00,130400,40.00
2012-12-14,40.60,41.40,40.40,40.55,126900,40.55
2012-12-13,40.80,41.80,40.10,40.25,159000,40.25
2012-12-12,40.85,41.55,40.30,40.50,89500,40.50
2012-12-11,41.10,42.40,40.40,40.55,334500,40.55
2012-12-10,41.10,41.70,40.90,41.15,67600,41.15
2012-12-07,42.35,42.45,41.10,41.30,117100,41.30
2012-12-06,42.00,42.80,41.10,42.20,150500,42.20
2012-12-05,43.25,43.85,41.60,41.90,329700,41.90
2012-12-04,41.00,43.80,40.85,43.10,761600,43.10
2012-12-03,40.35,41.85,40.35,41.15,165600,41.15
2012-11-30,41.15,41.40,40.10,40.35,321800,40.35
2012-11-29,41.75,42.45,40.20,40.70,298600,40.70
2012-11-28,41.30,41.30,41.30,41.30,000,41.30
2012-11-27,41.80,42.30,41.10,41.30,147100,41.30
2012-11-26,43.00,43.20,41.65,41.75,156900,41.75
2012-11-23,42.00,43.35,41.80,42.60,151800,42.60
2012-11-22,42.25,42.50,41.70,42.00,83700,42.00
2012-11-21,42.05,42.85,41.50,42.35,155100,42.35
2012-11-20,43.20,43.30,42.05,42.25,138100,42.25
2012-11-19,45.30,45.30,42.50,43.00,162600,43.00
2012-11-16,45.20,45.85,44.05,44.50,294000,44.50
2012-11-15,46.90,46.90,44.85,45.25,166300,45.25
2012-11-14,44.30,44.30,44.30,44.30,000,44.30
2012-11-13,44.30,44.30,44.30,44.30,000,44.30
2012-11-12,45.95,46.50,43.80,44.30,404000,44.30
2012-11-09,47.00,48.70,45.10,46.00,665700,46.00
2012-11-08,44.95,47.55,44.95,45.95,1372000,45.95
2012-11-07,44.95,45.40,43.80,44.35,252400,44.35
