Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,184.95,184.95,184.95,184.95,000,184.95
2012-12-24,187.55,187.55,181.75,184.95,79500,184.95
2012-12-21,183.00,188.70,178.15,181.55,110900,181.55
2012-12-20,174.80,182.00,174.80,181.65,76600,181.65
2012-12-19,170.95,175.00,168.25,173.55,77400,173.55
2012-12-18,165.00,172.00,161.85,170.15,144300,170.15
2012-12-17,161.15,165.00,161.10,164.05,32300,164.05
2012-12-14,158.75,163.00,155.00,161.40,74800,161.40
2012-12-13,153.45,162.00,150.30,155.10,47100,155.10
2012-12-12,156.00,157.65,152.10,153.05,12600,153.05
2012-12-11,157.90,158.05,149.75,154.80,54100,154.80
2012-12-10,161.50,163.70,156.00,157.45,40400,157.45
2012-12-07,171.50,171.90,160.00,160.75,208900,160.75
2012-12-06,169.00,171.80,168.00,169.40,51800,169.40
2012-12-05,171.90,173.25,166.50,167.85,158300,167.85
2012-12-04,170.70,171.90,168.30,170.80,70000,170.80
2012-12-03,165.95,170.00,165.90,169.90,63100,169.90
2012-11-30,168.90,169.45,165.00,165.90,11100,165.90
2012-11-29,168.30,170.40,167.00,167.90,12200,167.90
2012-11-28,166.25,166.25,166.25,166.25,000,166.25
2012-11-27,168.00,171.05,165.40,166.25,13700,166.25
2012-11-26,171.65,171.65,166.15,167.25,15000,167.25
2012-11-23,179.75,180.75,165.05,167.65,220600,167.65
2012-11-22,179.80,179.80,174.90,176.85,11600,176.85
2012-11-21,184.40,185.75,174.30,176.90,71300,176.90
2012-11-20,186.55,188.40,179.00,180.30,13500,180.30
2012-11-19,186.95,193.40,180.80,186.20,150100,186.20
2012-11-16,187.95,189.00,180.30,185.00,36000,185.00
2012-11-15,187.25,187.90,183.10,184.35,9400,184.35
2012-11-14,185.80,185.80,185.80,185.80,000,185.80
2012-11-13,185.80,185.80,185.80,185.80,000,185.80
2012-11-12,189.00,189.90,185.00,185.80,8400,185.80
2012-11-09,193.00,194.95,185.00,187.45,11500,187.45
2012-11-08,194.95,195.95,191.95,193.00,12200,193.00
2012-11-07,191.90,197.70,191.90,196.65,31900,196.65
2012-11-06,192.50,197.95,190.00,193.55,60700,193.55
2012-11-05,192.00,194.40,191.00,192.45,20600,192.45
2012-11-02,194.95,194.95,190.00,191.20,33500,191.20
2012-11-01,181.00,193.00,180.20,187.95,81900,187.95
2012-10-31,178.05,182.00,178.05,180.40,9600,180.40
2012-10-30,180.45,181.00,177.50,178.25,8300,178.25
2012-10-29,180.70,182.00,176.00,179.85,43100,179.85
2012-10-26,180.30,180.30,180.30,180.30,000,180.30
2012-10-25,180.05,183.90,180.00,180.30,17200,180.30
2012-10-24,180.45,180.45,180.45,180.45,000,180.45
2012-10-23,174.00,183.85,174.00,180.45,22200,180.45
2012-10-22,176.85,177.70,173.70,176.15,6200,176.15
2012-10-19,176.25,178.00,173.70,173.85,14000,173.85
2012-10-18,176.40,178.00,175.00,175.95,13300,175.95
2012-10-17,175.00,178.00,174.70,175.40,16800,175.40
2012-10-16,182.00,182.00,173.35,174.55,25700,174.55
2012-10-15,174.25,186.00,174.25,179.95,139700,179.95
2012-10-12,175.60,177.50,172.40,173.95,27600,173.95
2012-10-11,170.60,177.00,170.00,175.55,28600,175.55
2012-10-10,170.25,175.00,165.05,168.55,20500,168.55
2012-10-09,176.00,178.50,161.70,169.35,86600,169.35
2012-10-08,188.10,190.45,171.95,176.60,101500,176.60
2012-10-05,192.50,194.00,177.20,187.05,91500,187.05
2012-10-04,191.30,194.00,189.80,192.20,21300,192.20
2012-10-03,191.15,192.05,189.60,191.15,16000,191.15
2012-10-02,190.85,190.85,190.85,190.85,000,190.85
2012-10-01,193.50,194.45,190.00,190.85,19000,190.85
2012-09-28,192.40,195.25,191.00,193.30,19200,193.30
2012-09-27,191.30,192.95,190.05,191.30,20100,191.30
2012-09-26,190.05,192.00,187.80,189.40,22700,189.40
2012-09-25,192.00,193.20,191.00,191.90,27700,191.90
2012-09-24,198.20,199.90,190.00,192.00,68200,192.00
2012-09-21,193.00,194.00,189.70,192.00,61200,192.00
2012-09-20,193.00,195.00,189.90,190.60,14800,190.60
2012-09-19,194.60,194.60,194.60,194.60,000,194.60
2012-09-18,193.20,196.65,192.15,194.60,18100,194.60
2012-09-17,194.00,196.00,190.30,194.10,36800,194.10
2012-09-14,200.00,200.05,190.00,191.05,18000,191.05
2012-09-13,209.00,209.00,181.60,191.50,217800,191.50
2012-09-12,202.80,204.55,196.00,201.10,126000,201.10
2012-09-11,198.90,201.70,196.00,199.65,127300,199.65
2012-09-10,190.00,197.70,190.00,194.60,81400,194.60
2012-09-07,185.00,185.00,180.00,182.30,13000,182.30
2012-09-06,183.00,184.90,177.00,184.10,19500,184.10
2012-09-05,186.20,186.25,181.00,183.65,11800,183.65
2012-09-04,185.25,188.00,183.70,185.60,11200,185.60
2012-09-03,186.00,186.00,182.00,184.90,15800,184.90
2012-08-31,184.00,190.30,181.00,185.05,13500,185.05
2012-08-30,185.00,186.40,182.35,184.70,23900,184.70
2012-08-29,190.50,191.95,184.00,184.90,15400,184.90
2012-08-28,186.90,191.60,184.90,189.75,37600,189.75
2012-08-27,187.00,191.45,184.50,186.65,12500,186.65
2012-08-24,190.60,192.95,184.10,186.80,55000,186.80
2012-08-23,190.80,192.60,189.90,190.05,11600,190.05
2012-08-22,193.40,195.90,190.00,190.00,12800,190.00
2012-08-21,190.50,195.90,189.90,194.70,14000,194.70
2012-08-20,190.85,190.85,190.85,190.85,000,190.85
2012-08-17,191.50,192.40,190.60,190.85,11100,190.85
2012-08-16,193.00,194.00,190.05,190.95,13600,190.95
2012-08-15,190.15,190.15,190.15,190.15,000,190.15
2012-08-14,190.50,193.00,189.00,190.15,12800,190.15
2012-08-13,185.00,190.50,180.05,189.85,58000,189.85
2012-08-10,188.05,190.00,184.25,184.75,15800,184.75
2012-08-09,199.00,199.00,188.55,190.30,20300,190.30
2012-08-08,199.45,200.00,195.40,197.70,18400,197.70
2012-08-07,205.50,205.50,199.00,200.00,42400,200.00
2012-08-06,205.00,209.00,200.25,201.00,15800,201.00
2012-08-03,201.05,204.15,201.05,201.85,14400,201.85
2012-08-02,205.00,205.05,201.10,201.75,15500,201.75
2012-08-01,207.00,207.00,203.30,205.00,13300,205.00
2012-07-31,208.00,208.00,205.00,207.05,15800,207.05
2012-07-30,210.00,210.00,207.00,208.95,14900,204.45
2012-07-27,210.00,212.00,205.00,207.95,16800,203.47
2012-07-26,211.70,212.80,206.00,208.80,15200,204.30
2012-07-25,213.65,213.65,209.60,211.50,13300,206.95
2012-07-24,210.50,212.90,210.00,211.00,13500,206.46
2012-07-23,213.00,213.85,209.90,210.00,14100,205.48
2012-07-20,214.90,214.90,212.05,213.60,14500,209.00
2012-07-19,214.45,214.50,212.60,212.85,14600,208.27
2012-07-18,212.50,213.90,209.90,213.20,16600,208.61
2012-07-17,212.05,214.40,206.55,210.15,20600,205.62
2012-07-16,213.00,214.80,211.05,211.95,17200,207.39
2012-07-13,210.10,214.45,210.05,212.55,14400,207.97
2012-07-12,210.80,213.65,209.00,210.70,16300,206.16
2012-07-11,217.00,217.70,211.70,211.90,17200,207.34
2012-07-10,212.15,219.80,212.00,214.70,111400,210.08
2012-07-09,212.00,215.30,210.55,213.40,16800,208.80
2012-07-06,214.75,214.90,212.70,213.90,14700,209.29
2012-07-05,213.50,218.00,212.50,214.45,31800,209.83
2012-07-04,213.05,214.85,212.70,213.00,23700,208.41
2012-07-03,214.10,215.90,212.50,212.95,24100,208.36
2012-07-02,213.50,214.65,212.00,212.50,22900,207.92
2012-06-29,207.70,215.50,207.70,213.90,37300,209.29
2012-06-28,205.15,207.45,204.00,205.00,15100,200.59
2012-06-27,206.50,207.85,204.00,205.45,26000,201.03
2012-06-26,208.65,208.95,204.00,205.80,24900,201.37
2012-06-25,205.75,210.90,205.20,207.40,61900,202.93
2012-06-22,207.35,208.05,205.00,207.20,15900,202.74
2012-06-21,207.00,209.00,206.05,207.05,30100,202.59
2012-06-20,211.30,211.35,207.80,208.85,37300,204.35
2012-06-19,207.85,211.85,205.00,209.40,45200,204.89
2012-06-18,211.00,213.70,201.35,207.35,20300,202.88
2012-06-15,208.40,213.00,200.00,210.95,216700,206.41
2012-06-14,205.00,209.90,200.00,206.45,168800,202.00
2012-06-13,209.00,213.00,200.00,206.20,141800,201.76
2012-06-12,203.65,209.00,200.00,207.90,94000,203.42
2012-06-11,205.85,207.40,200.30,202.20,18700,197.85
2012-06-08,204.70,205.00,201.05,204.05,21400,199.66
2012-06-07,202.40,208.90,196.70,203.75,66500,199.36
2012-06-06,200.00,202.00,197.00,200.70,18100,196.38
2012-06-05,199.40,202.00,195.60,197.70,6800,193.44
2012-06-04,200.00,201.70,196.45,198.05,28800,193.78
2012-06-01,206.50,206.70,188.70,198.85,42500,194.57
2012-05-31,205.50,205.70,200.20,205.00,25800,200.59
2012-05-30,208.50,208.70,201.55,204.90,58200,200.49
2012-05-29,211.50,211.50,203.30,206.35,56100,201.91
2012-05-28,205.45,207.90,201.35,205.90,25800,201.47
2012-05-25,204.90,205.05,201.95,203.80,57000,199.41
2012-05-24,209.00,209.00,199.00,203.75,96400,199.36
2012-05-23,208.25,209.90,178.00,207.90,44000,203.42
2012-05-22,211.70,212.70,205.15,207.55,30300,203.08
2012-05-21,206.00,214.00,205.75,208.25,10200,203.77
2012-05-18,210.00,213.70,200.00,207.95,25700,203.47
2012-05-17,213.00,215.95,210.00,212.65,8000,208.07
2012-05-16,215.00,216.50,210.25,212.45,59000,207.87
2012-05-15,212.15,218.00,210.05,217.00,42500,212.33
2012-05-14,213.00,216.00,210.00,211.15,17900,206.60
2012-05-11,211.00,214.90,209.60,210.95,51900,206.41
2012-05-10,214.70,215.90,212.00,213.15,19500,208.56
2012-05-09,212.20,216.80,209.00,212.05,23700,207.48
2012-05-08,215.15,215.45,213.00,214.10,29500,209.49
