Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1478.90,1478.90,1478.90,1478.90,000,1478.90
2012-12-24,1497.25,1500.85,1475.35,1478.90,338400,1478.90
2012-12-21,1513.00,1521.90,1500.10,1504.90,505200,1504.90
2012-12-20,1513.70,1530.15,1510.00,1520.15,626500,1520.15
2012-12-19,1487.35,1516.95,1484.90,1509.75,960000,1509.75
2012-12-18,1500.00,1504.95,1471.85,1475.35,579100,1475.35
2012-12-17,1490.00,1510.80,1480.55,1499.65,879000,1499.65
2012-12-14,1478.25,1488.00,1451.00,1477.25,464600,1477.25
2012-12-13,1482.00,1496.00,1470.00,1474.15,536500,1474.15
2012-12-12,1485.00,1491.95,1463.05,1476.00,652400,1476.00
2012-12-11,1489.90,1500.00,1466.60,1477.90,309800,1477.90
2012-12-10,1505.00,1523.50,1490.25,1493.40,314500,1493.40
2012-12-07,1490.00,1539.90,1490.00,1509.95,1272100,1509.95
2012-12-06,1480.80,1486.95,1459.45,1482.55,340100,1482.55
2012-12-05,1487.00,1490.00,1472.00,1477.35,368300,1477.35
2012-12-04,1502.00,1502.00,1475.65,1480.55,326100,1480.55
2012-12-03,1480.00,1504.25,1479.45,1489.90,710900,1489.90
2012-11-30,1492.25,1499.00,1470.20,1473.85,432300,1473.85
2012-11-29,1500.00,1504.45,1474.15,1489.10,639000,1489.10
2012-11-28,1497.65,1497.65,1497.65,1497.65,000,1497.65
2012-11-27,1498.00,1509.40,1493.05,1497.65,531400,1497.65
2012-11-26,1501.10,1501.25,1485.00,1491.85,381100,1491.85
2012-11-23,1501.00,1503.00,1485.00,1493.30,223800,1493.30
2012-11-22,1500.00,1514.50,1489.25,1493.45,427000,1493.45
2012-11-21,1500.25,1503.95,1480.10,1492.50,421400,1492.50
2012-11-20,1505.00,1509.10,1486.95,1499.30,1032900,1499.30
2012-11-19,1445.90,1506.70,1445.90,1494.25,1688400,1494.25
2012-11-16,1461.00,1477.00,1434.20,1438.10,376300,1438.10
2012-11-15,1446.30,1477.00,1440.75,1466.05,788700,1466.05
2012-11-14,1454.10,1454.10,1454.10,1454.10,000,1454.10
2012-11-13,1454.10,1454.10,1454.10,1454.10,000,1454.10
2012-11-12,1474.00,1474.00,1443.90,1454.10,290500,1454.10
2012-11-09,1459.75,1475.00,1457.50,1463.40,578000,1463.40
2012-11-08,1451.20,1473.15,1451.10,1459.75,459000,1459.75
2012-11-07,1448.65,1478.25,1448.05,1467.15,486700,1467.15
2012-11-06,1468.05,1474.95,1443.10,1451.60,915200,1451.60
2012-11-05,1462.00,1487.95,1458.75,1478.25,741500,1478.25
2012-11-02,1466.00,1477.35,1454.10,1465.90,1151200,1465.90
2012-11-01,1439.00,1467.00,1438.10,1459.75,1719100,1459.75
2012-10-31,1385.00,1443.80,1381.30,1437.90,2341000,1437.90
2012-10-30,1351.00,1419.00,1338.00,1390.80,1697500,1390.80
2012-10-29,1370.00,1373.00,1353.60,1362.20,665000,1362.20
2012-10-26,1368.85,1368.85,1368.85,1368.85,000,1368.85
2012-10-25,1369.00,1376.95,1348.00,1368.85,540800,1368.85
2012-10-24,1366.90,1366.90,1366.90,1366.90,000,1366.90
2012-10-23,1365.00,1377.90,1361.00,1366.90,351500,1366.90
2012-10-22,1362.00,1377.90,1353.55,1369.85,278300,1369.85
2012-10-19,1373.45,1382.00,1362.70,1369.25,243000,1369.25
2012-10-18,1373.25,1388.50,1371.10,1378.75,559100,1378.75
2012-10-17,1378.85,1389.00,1362.95,1368.15,896200,1368.15
2012-10-16,1342.50,1372.70,1337.60,1367.05,860500,1367.05
2012-10-15,1374.30,1384.30,1334.00,1338.25,710000,1338.25
2012-10-12,1355.50,1387.50,1355.50,1372.05,792100,1372.05
2012-10-11,1385.00,1391.00,1347.50,1369.20,1280900,1369.20
2012-10-10,1385.00,1394.50,1376.00,1378.95,450000,1378.95
2012-10-09,1400.00,1405.00,1387.50,1392.60,755900,1392.60
2012-10-08,1382.00,1409.90,1375.15,1385.45,1099700,1385.45
2012-10-05,1399.50,1409.00,1261.20,1387.70,987100,1387.70
2012-10-04,1371.25,1409.85,1362.60,1390.50,1104900,1390.50
2012-10-03,1358.00,1374.30,1354.45,1363.45,639200,1363.45
2012-10-02,1358.00,1358.00,1358.00,1358.00,000,1358.00
2012-10-01,1359.00,1382.80,1347.60,1358.00,865200,1358.00
2012-09-28,1345.00,1370.00,1341.00,1350.60,1241000,1350.60
2012-09-27,1317.90,1342.00,1317.45,1331.05,1272200,1331.05
2012-09-26,1308.05,1329.60,1297.45,1312.10,909300,1312.10
2012-09-25,1360.80,1368.40,1317.05,1321.70,693500,1321.70
2012-09-24,1315.00,1369.80,1310.15,1354.65,994200,1354.65
2012-09-21,1294.00,1317.30,1287.15,1311.75,800000,1311.75
2012-09-20,1251.00,1301.80,1251.00,1282.90,940300,1282.90
2012-09-19,1275.95,1275.95,1275.95,1275.95,000,1275.95
2012-09-18,1289.90,1292.60,1268.15,1275.95,640800,1275.95
2012-09-17,1281.00,1324.50,1275.05,1279.30,1338300,1279.30
2012-09-14,1226.00,1267.80,1226.00,1261.10,1197000,1261.10
2012-09-13,1222.30,1229.85,1204.00,1210.60,347500,1210.60
2012-09-12,1216.00,1225.25,1212.30,1220.20,482800,1220.20
2012-09-11,1198.50,1220.95,1191.70,1213.85,498700,1213.85
2012-09-10,1212.00,1220.75,1197.60,1206.10,474300,1206.10
2012-09-07,1196.00,1208.00,1191.30,1205.00,1285000,1205.00
2012-09-06,1170.00,1196.00,1170.00,1183.45,767900,1183.45
2012-09-05,1170.00,1179.00,1162.05,1174.50,421800,1174.50
2012-09-04,1162.50,1179.00,1147.50,1174.65,417800,1174.65
2012-09-03,1130.20,1170.05,1130.20,1162.50,445400,1162.50
2012-08-31,1138.40,1148.50,1130.00,1143.30,392500,1143.30
2012-08-30,1160.05,1164.00,1133.10,1143.60,896900,1143.60
2012-08-29,1167.25,1173.00,1154.25,1167.80,630100,1167.80
2012-08-28,1165.20,1183.30,1156.00,1164.45,432400,1164.45
2012-08-27,1194.95,1198.50,1164.05,1167.80,355900,1167.80
2012-08-24,1181.20,1193.00,1161.00,1190.30,470800,1190.30
2012-08-23,1186.25,1192.05,1177.00,1181.00,304300,1181.00
2012-08-22,1185.00,1206.00,1180.05,1183.15,700000,1183.15
2012-08-21,1190.00,1197.00,1176.10,1187.90,1186200,1187.90
2012-08-20,1177.55,1177.55,1177.55,1177.55,000,1177.55
2012-08-17,1190.00,1194.80,1171.15,1177.55,1988300,1177.55
2012-08-16,1191.80,1198.00,1170.00,1172.60,396800,1172.60
2012-08-15,1184.90,1184.90,1184.90,1184.90,000,1184.90
2012-08-14,1184.00,1191.00,1160.00,1184.90,418200,1184.90
2012-08-13,1179.30,1195.00,1177.20,1184.95,838200,1177.45
2012-08-10,1144.00,1175.85,1140.65,1165.80,638600,1158.42
2012-08-09,1142.00,1166.00,1137.00,1144.80,895000,1137.55
2012-08-08,1140.60,1151.25,1136.00,1140.10,568500,1132.88
2012-08-07,1139.95,1148.95,1130.00,1146.95,556400,1139.69
2012-08-06,1134.00,1141.00,1125.00,1137.65,425400,1130.45
2012-08-03,1119.80,1124.85,1108.95,1120.85,297500,1113.76
2012-08-02,1129.80,1134.00,1116.00,1125.35,429800,1118.23
2012-08-01,1134.00,1144.00,1118.50,1125.60,704100,1118.48
2012-07-31,1115.00,1137.60,1112.75,1134.85,708500,1127.67
2012-07-30,1085.10,1124.50,1082.65,1119.90,1353300,1112.81
2012-07-27,1124.75,1124.95,1106.05,1112.95,884800,1105.91
2012-07-26,1110.00,1125.60,1098.60,1108.55,2109300,1101.53
2012-07-25,1095.00,1107.80,1085.95,1102.95,1202400,1095.97
2012-07-24,1086.00,1119.00,1085.25,1106.90,2373400,1099.89
2012-07-23,1106.00,1107.00,1074.30,1079.95,4040200,1073.11
2012-07-20,1095.25,1151.70,1094.75,1147.50,4553400,1140.24
2012-07-19,1175.00,1175.00,1110.00,1117.30,8345300,1110.23
2012-07-18,1197.35,1229.00,1186.80,1226.60,508700,1218.84
2012-07-17,1210.50,1215.75,1190.60,1196.20,273100,1188.63
2012-07-16,1190.00,1212.95,1178.40,1203.30,599600,1195.68
2012-07-13,1200.25,1207.90,1175.65,1183.95,592800,1176.46
2012-07-12,1199.80,1216.00,1189.15,1195.60,559500,1188.03
2012-07-11,1214.00,1218.00,1200.05,1203.40,407300,1195.78
2012-07-10,1193.00,1228.80,1181.00,1220.55,794600,1212.82
2012-07-09,1212.00,1213.00,1183.75,1187.75,403900,1180.23
2012-07-06,1240.35,1242.00,1211.50,1215.50,611000,1207.81
2012-07-05,1215.55,1250.00,1213.50,1240.30,1278100,1232.45
2012-07-04,1197.25,1224.50,1197.25,1221.15,1044700,1213.42
2012-07-03,1188.00,1201.20,1185.45,1191.65,973800,1184.11
2012-07-02,1180.00,1204.80,1155.00,1178.50,1141200,1171.04
2012-06-29,1140.00,1176.00,1140.00,1169.75,1346700,1162.35
2012-06-28,1126.95,1132.00,1110.35,1120.85,516400,1113.76
2012-06-27,1121.00,1124.00,1109.00,1121.70,532500,1114.60
2012-06-26,1115.00,1120.95,1105.05,1113.20,302200,1106.15
2012-06-25,1106.60,1133.90,1106.60,1113.90,910200,1106.85
2012-06-22,1078.00,1113.30,1074.50,1102.10,904600,1095.12
2012-06-21,1080.00,1094.00,1062.10,1088.85,844900,1081.96
2012-06-20,1089.00,1092.55,1073.00,1076.40,616000,1069.59
2012-06-19,1090.00,1103.70,1076.40,1090.95,430200,1084.04
