Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,137.20,137.20,137.20,137.20,000,137.20
2012-12-24,137.50,138.60,136.00,137.20,7500,137.20
2012-12-21,143.80,143.80,137.30,137.95,13500,137.95
2012-12-20,135.10,142.00,135.10,139.50,27700,139.50
2012-12-19,136.00,140.45,133.10,138.60,19800,138.60
2012-12-18,136.15,144.70,136.15,138.85,20400,138.85
2012-12-17,136.00,141.40,136.00,139.20,11800,139.20
2012-12-14,138.00,142.00,135.05,139.50,13500,139.50
2012-12-13,140.50,143.50,138.60,140.55,158900,140.55
2012-12-12,145.00,148.00,136.60,140.80,33100,140.80
2012-12-11,153.00,153.00,143.45,143.45,82400,143.45
2012-12-10,147.00,154.75,145.00,150.95,1104900,150.95
2012-12-07,146.10,152.35,145.00,147.40,440700,147.40
2012-12-06,148.00,150.00,145.20,148.20,29200,148.20
2012-12-05,145.25,152.00,144.00,147.05,47500,147.05
2012-12-04,147.00,148.85,144.30,145.05,19200,145.05
2012-12-03,137.00,147.45,137.00,146.60,43800,146.60
2012-11-30,135.00,142.00,135.00,140.45,15400,140.45
2012-11-29,131.05,139.15,131.05,137.15,12500,137.15
2012-11-28,134.85,134.85,134.85,134.85,000,134.85
2012-11-27,130.00,135.90,130.00,134.85,5400,134.85
2012-11-26,132.45,136.50,132.00,132.45,6700,132.45
2012-11-23,125.10,133.50,125.10,132.50,6600,132.50
2012-11-22,130.70,133.55,127.05,128.10,5200,128.10
2012-11-21,125.15,130.70,125.15,130.10,6900,130.10
2012-11-20,123.50,130.95,123.50,129.40,4600,129.40
2012-11-19,130.05,135.95,128.40,129.75,4400,129.75
2012-11-16,132.80,135.00,129.15,135.00,25500,135.00
2012-11-15,135.50,139.70,132.15,133.75,6400,133.75
2012-11-14,135.45,135.45,135.45,135.45,000,135.45
2012-11-13,135.45,135.45,135.45,135.45,000,135.45
2012-11-12,140.00,140.00,134.05,135.45,15100,135.45
2012-11-09,143.60,149.00,137.00,139.60,23600,139.60
2012-11-08,149.05,149.05,140.25,143.50,14000,143.50
2012-11-07,150.25,150.25,145.00,147.45,74400,147.45
2012-11-06,143.10,143.10,143.10,143.10,12800,143.10
2012-11-05,141.80,144.00,135.00,136.30,12800,136.30
2012-11-02,142.25,142.25,138.10,140.75,23500,140.75
2012-11-01,130.70,135.50,130.70,135.50,11400,135.50
2012-10-31,127.80,131.95,126.15,129.05,6800,129.05
2012-10-30,132.75,132.90,125.50,127.95,11900,127.95
2012-10-29,130.00,131.85,127.10,128.10,11800,128.10
2012-10-26,131.20,131.20,131.20,131.20,000,131.20
2012-10-25,126.20,135.00,126.20,131.20,8300,131.20
2012-10-24,130.00,130.00,130.00,130.00,000,130.00
2012-10-23,126.00,130.85,124.95,130.00,8000,130.00
2012-10-22,131.10,132.00,125.95,128.05,15500,128.05
2012-10-19,139.85,144.55,130.95,132.55,45200,132.55
