Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,240.15,240.15,240.15,240.15,000,240.15
2012-12-24,240.35,243.00,239.00,240.15,159300,240.15
2012-12-21,231.10,243.25,231.10,240.35,530700,240.35
2012-12-20,240.05,242.45,235.00,237.50,238100,237.50
2012-12-19,238.90,240.50,235.00,239.65,341400,239.65
2012-12-18,246.20,246.20,239.40,240.05,287600,240.05
2012-12-17,240.15,248.00,236.05,245.55,324600,245.55
2012-12-14,241.20,242.50,239.50,240.30,159800,240.30
2012-12-13,239.30,244.40,215.25,240.60,160600,240.60
2012-12-12,242.00,243.90,235.00,239.25,479700,239.25
2012-12-11,242.90,248.70,240.00,240.50,156000,240.50
2012-12-10,249.40,251.50,242.25,243.20,180900,243.20
2012-12-07,251.00,253.15,247.00,248.05,408200,248.05
2012-12-06,249.95,255.45,249.00,250.50,392900,250.50
2012-12-05,246.95,266.70,246.95,249.05,849500,249.05
2012-12-04,243.65,248.00,243.65,246.10,137200,246.10
2012-12-03,235.00,244.30,234.90,243.20,94300,243.20
2012-11-30,243.50,245.80,235.90,239.40,352000,239.40
2012-11-29,238.70,246.00,238.00,243.35,176800,243.35
2012-11-28,238.05,238.05,238.05,238.05,000,238.05
2012-11-27,240.70,242.00,236.25,238.05,57700,238.05
2012-11-26,234.60,240.75,232.00,239.65,146800,239.65
2012-11-23,233.95,237.65,231.00,233.95,70000,233.95
2012-11-22,233.00,235.00,231.00,233.55,293400,233.55
2012-11-21,242.80,243.00,239.55,241.50,1291900,231.50
2012-11-20,241.70,244.50,241.00,242.05,165600,232.03
2012-11-19,245.00,245.00,239.85,241.25,441100,231.26
2012-11-16,244.10,245.00,239.35,240.30,225600,230.35
2012-11-15,242.80,247.50,242.80,243.95,138000,233.85
2012-11-14,247.05,247.05,247.05,247.05,000,236.82
2012-11-13,247.05,247.05,247.05,247.05,000,236.82
2012-11-12,243.95,248.00,240.05,247.05,234300,236.82
2012-11-09,239.10,248.95,237.00,244.45,290800,234.33
2012-11-08,243.95,245.40,238.15,241.95,98800,231.93
2012-11-07,235.10,244.40,234.40,242.75,224800,232.70
2012-11-06,238.70,240.00,230.00,233.35,241000,223.69
2012-11-05,243.05,243.60,237.10,237.85,98300,228.00
2012-11-02,238.90,242.00,231.30,239.40,109300,229.49
2012-11-01,242.05,243.55,235.00,238.15,66400,228.29
2012-10-31,242.70,247.20,242.00,242.10,76300,232.08
2012-10-30,242.30,245.50,240.00,242.30,156100,232.27
2012-10-29,246.45,247.00,240.05,242.00,133700,231.98
2012-10-26,243.35,243.35,243.35,243.35,000,233.27
2012-10-25,241.65,245.50,239.65,243.35,591900,233.27
