Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,1915.85,1915.85,1915.85,1915.85,000,1915.85
2012-12-24,1940.00,1948.40,1910.00,1915.85,1239000,1915.85
2012-12-21,1989.05,1995.90,1900.15,1934.15,1659000,1934.15
2012-12-20,1940.00,2002.50,1920.25,1989.05,1945200,1989.05
2012-12-19,1922.00,1953.00,1899.55,1937.50,1953900,1937.50
2012-12-18,1880.00,1926.40,1854.75,1921.25,2320600,1921.25
2012-12-17,1934.95,1958.00,1875.00,1880.55,1717300,1880.55
2012-12-14,1898.20,1939.00,1871.65,1929.55,2409100,1929.55
2012-12-13,1994.95,2001.55,1866.60,1888.50,2502200,1888.50
2012-12-12,2050.00,2050.00,1978.50,1993.00,1945300,1993.00
2012-12-11,1938.10,2018.00,1933.05,2007.65,2878000,2007.65
2012-12-10,1918.00,1969.85,1918.00,1938.10,1433300,1938.10
2012-12-07,1950.00,1979.80,1905.80,1916.80,2277400,1916.80
2012-12-06,2018.65,2033.25,1928.05,1946.20,2718900,1946.20
2012-12-05,1995.00,2061.00,1983.10,2019.00,2489700,2019.00
2012-12-04,2009.00,2022.00,1970.45,1996.70,2046300,1996.70
2012-12-03,1990.00,2028.90,1974.10,2001.70,2559100,2001.70
2012-11-30,2045.00,2047.00,1974.10,1996.20,2955200,1996.20
2012-11-29,2087.00,2150.00,2020.20,2040.90,6398500,2040.90
2012-11-28,2073.45,2073.45,2073.45,2073.45,000,2073.45
2012-11-27,1944.20,2092.30,1944.20,2073.45,6728600,2073.45
2012-11-26,1890.00,1968.20,1882.70,1941.25,3126100,1941.25
2012-11-23,1840.00,1896.70,1813.45,1880.45,2955500,1880.45
2012-11-22,1815.00,1837.10,1788.55,1829.00,2307900,1829.00
2012-11-21,1769.95,1824.00,1757.25,1810.00,2393200,1810.00
2012-11-20,1760.00,1797.00,1746.70,1762.00,2833000,1762.00
2012-11-19,1792.00,1808.25,1728.00,1752.05,3065200,1752.05
2012-11-16,1860.00,1870.85,1761.05,1791.30,5416100,1791.30
2012-11-15,1803.30,1953.90,1781.50,1850.50,10023900,1850.50
2012-11-14,1804.40,1804.40,1804.40,1804.40,000,1804.40
2012-11-13,1804.40,1804.40,1804.40,1804.40,000,1804.40
2012-11-12,1399.95,1874.60,1376.00,1832.95,25325900,1832.95
2012-11-09,1390.00,1425.00,1332.05,1360.50,8361700,1360.50
2012-11-08,1290.00,1407.00,1282.90,1343.45,8683200,1343.45
2012-11-07,1260.00,1307.00,1226.90,1299.70,3677700,1299.70
