Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,288.85,288.85,288.85,288.85,000,288.85
2012-12-24,294.20,297.60,288.00,288.85,6600,288.85
2012-12-21,297.00,297.00,290.10,291.95,14700,291.95
2012-12-20,301.05,307.90,291.55,296.40,30200,296.40
2012-12-19,299.00,308.40,297.10,298.20,41800,298.20
2012-12-18,299.95,304.00,296.00,300.95,55500,300.95
2012-12-17,299.25,304.95,295.65,298.80,78100,298.80
2012-12-14,303.55,307.00,299.10,301.10,36100,301.10
2012-12-13,304.85,307.80,299.10,301.55,33500,301.55
2012-12-12,306.00,306.95,301.00,303.85,38000,303.85
2012-12-11,294.00,304.90,290.00,303.00,67900,303.00
2012-12-10,292.95,297.95,277.00,293.20,39400,293.20
2012-12-07,296.90,297.95,293.00,294.85,25800,294.85
2012-12-06,289.90,298.00,282.00,291.60,37200,291.60
2012-12-05,279.95,282.65,275.00,280.85,21000,280.85
2012-12-04,267.50,275.00,265.20,275.00,18600,275.00
2012-12-03,261.00,267.85,260.10,265.50,13300,265.50
2012-11-30,256.95,268.00,256.90,260.95,163700,260.95
2012-11-29,248.95,280.00,248.95,256.90,110000,256.90
2012-11-28,273.00,273.00,273.00,273.00,000,273.00
2012-11-27,282.55,283.00,271.00,273.00,17500,273.00
2012-11-26,284.00,286.10,278.00,279.10,28200,279.10
2012-11-23,285.10,287.00,284.05,285.15,51400,285.15
2012-11-22,291.05,291.05,282.50,283.20,3300,283.20
2012-11-21,289.80,294.80,282.00,284.50,25400,284.50
2012-11-20,293.90,295.75,285.05,287.50,7800,287.50
2012-11-19,287.85,299.00,282.05,291.40,30700,291.40
2012-11-16,286.15,289.00,281.10,286.10,13700,286.10
2012-11-15,283.95,285.00,281.10,282.85,1400,282.85
2012-11-14,285.65,285.65,285.65,285.65,000,285.65
2012-11-13,285.65,285.65,285.65,285.65,000,285.65
2012-11-12,284.05,292.00,266.95,285.65,18400,285.65
2012-11-09,291.00,295.00,290.00,292.15,2100,292.15
2012-11-08,295.00,295.00,289.70,291.95,1300,291.95
2012-11-07,295.00,295.00,290.25,293.45,600,293.45
2012-11-06,293.25,293.25,288.10,290.15,85600,290.15
2012-11-05,292.05,293.00,288.05,289.35,1300,289.35
2012-11-02,291.10,294.25,286.00,291.15,48800,291.15
2012-11-01,293.10,295.00,292.60,292.80,21000,292.80
2012-10-31,291.15,295.00,291.05,294.00,2400,294.00
2012-10-30,293.50,295.00,293.45,294.20,4500,294.20
2012-10-29,296.90,300.00,292.25,295.70,12300,295.70
2012-10-26,293.20,293.20,293.20,293.20,000,293.20
2012-10-25,298.30,298.30,292.10,293.20,4800,293.20
2012-10-24,293.30,293.30,293.30,293.30,000,293.30
2012-10-23,298.00,298.00,291.00,293.30,3500,293.30
2012-10-22,291.25,296.20,291.20,294.65,8700,294.65
2012-10-19,294.40,296.00,292.10,292.20,3800,292.20
2012-10-18,296.45,296.90,290.00,292.15,5800,292.15
2012-10-17,295.00,297.00,293.00,296.35,4000,296.35
2012-10-16,294.10,297.00,290.10,292.20,26200,292.20
2012-10-15,295.50,299.00,291.45,293.25,6300,293.25
2012-10-12,302.00,304.30,300.00,300.15,4000,300.15
2012-10-11,309.80,309.80,299.20,300.05,5500,300.05
2012-10-10,307.65,308.00,301.55,301.80,6400,301.80
2012-10-09,314.40,316.00,307.00,308.00,2900,308.00
2012-10-08,309.00,314.00,308.60,309.70,3900,309.70
2012-10-05,320.95,320.95,309.80,316.00,2100,316.00
2012-10-04,322.45,322.45,317.00,317.70,8200,317.70
2012-10-03,318.00,324.00,315.60,317.85,30200,317.85
2012-10-02,314.05,314.05,314.05,314.05,000,314.05
2012-10-01,302.00,319.00,302.00,314.05,14200,314.05
2012-09-28,304.15,308.45,301.85,305.45,5000,305.45
2012-09-27,305.05,309.05,303.20,304.30,3200,304.30
2012-09-26,305.00,307.25,303.40,305.45,4100,305.45
2012-09-25,304.80,309.85,302.90,306.45,22800,306.45
2012-09-24,291.05,304.90,291.05,304.15,24600,304.15
2012-09-21,299.00,299.00,290.00,293.40,20000,293.40
2012-09-20,300.00,301.80,293.20,295.65,6300,295.65
2012-09-19,301.10,301.10,301.10,301.10,000,298.60
2012-09-18,300.10,303.65,299.05,301.10,3600,298.60
2012-09-17,297.20,305.00,295.20,301.75,16300,299.24
2012-09-14,300.00,303.00,292.15,297.20,41700,294.73
2012-09-13,293.55,304.00,273.10,293.90,112800,291.46
2012-09-12,295.40,295.40,290.00,293.55,3000,291.11
2012-09-11,292.05,294.00,291.00,291.15,3100,288.73
2012-09-10,292.00,297.95,288.00,292.80,21200,290.37
2012-09-07,294.85,296.90,291.50,292.10,6500,289.67
2012-09-06,293.15,296.95,290.05,290.65,8100,288.24
2012-09-05,294.00,302.75,292.00,292.15,13800,289.72
2012-09-04,294.00,297.00,287.55,294.45,6800,292.01
2012-09-03,287.60,293.50,285.10,290.45,16500,288.04
2012-08-31,289.80,292.00,285.00,288.05,23600,285.66
2012-08-30,291.35,292.95,288.00,291.00,22100,288.58
2012-08-29,287.10,292.00,286.95,289.05,28800,286.65
2012-08-28,293.95,295.80,287.50,290.00,26100,287.59
2012-08-27,295.15,298.90,292.00,292.20,10400,289.77
2012-08-24,295.00,306.90,293.35,299.35,51000,296.86
2012-08-23,298.20,298.20,292.15,296.10,67000,293.64
2012-08-22,294.00,296.00,291.00,293.10,15000,290.67
2012-08-21,304.80,305.00,285.00,295.05,120600,292.60
2012-08-20,301.05,301.05,301.05,301.05,000,298.55
2012-08-17,307.00,308.90,299.00,301.05,48900,298.55
2012-08-16,310.00,310.40,302.20,306.10,53300,303.56
2012-08-15,309.60,309.60,309.60,309.60,000,307.03
2012-08-14,310.50,312.85,307.20,309.60,72500,307.03
2012-08-13,312.00,314.95,308.60,310.50,29600,307.92
2012-08-10,308.10,320.00,308.10,312.45,42300,309.86
2012-08-09,310.50,321.85,310.00,312.90,67700,310.30
2012-08-08,319.00,319.00,306.05,308.55,28500,305.99
2012-08-07,313.10,315.85,307.00,312.75,47400,310.15
2012-08-06,316.35,318.00,310.00,311.70,87800,309.11
2012-08-03,250.25,313.00,250.25,310.25,53400,307.67
2012-08-02,310.40,321.00,305.05,311.65,130900,309.06
2012-08-01,309.90,318.00,305.00,306.05,292200,303.51
2012-07-31,308.00,331.90,300.25,305.15,595900,302.62
2012-07-30,329.00,335.00,300.00,303.40,280300,300.88
2012-07-27,339.00,356.90,316.00,320.45,711400,317.79
2012-07-26,383.10,387.90,308.80,327.05,2228000,324.33
2012-07-25,389.95,391.90,384.50,385.95,30500,382.75
2012-07-24,380.00,387.95,380.00,386.15,24100,382.94
2012-07-23,391.00,391.45,383.00,387.50,18900,384.28
2012-07-20,386.95,390.50,384.05,389.65,22800,386.41
2012-07-19,394.75,395.00,386.55,389.95,41300,386.71
2012-07-18,389.95,391.00,385.05,389.80,215600,386.56
2012-07-17,404.15,404.20,380.30,384.50,39400,381.31
2012-07-16,395.00,395.00,387.05,391.25,18200,388.00
2012-07-13,385.15,392.00,385.00,391.70,59300,388.45
2012-07-12,389.75,389.90,383.00,387.35,39600,384.13
2012-07-11,391.80,391.80,384.50,389.50,8800,386.27
2012-07-10,394.75,394.75,388.00,391.25,23800,388.00
2012-07-09,379.00,393.60,379.00,392.35,87700,389.09
2012-07-06,394.80,396.05,384.10,386.95,255700,383.74
2012-07-05,379.65,394.00,379.65,392.60,259100,389.34
2012-07-04,376.10,386.00,372.50,385.10,282700,381.90
2012-07-03,375.10,379.50,365.20,376.50,31800,373.37
2012-07-02,380.10,385.95,372.10,375.30,5000,372.18
2012-06-29,379.00,385.45,372.00,383.05,19100,379.87
2012-06-28,365.10,380.00,365.05,377.70,8500,374.56
2012-06-27,358.00,366.00,358.00,364.00,22000,360.98
2012-06-26,366.00,366.00,355.00,358.05,11100,355.08
2012-06-25,354.10,362.00,354.10,359.50,3800,356.52
2012-06-22,369.00,369.00,354.00,355.30,105100,352.35
2012-06-21,355.00,360.90,353.20,358.65,11000,355.67
2012-06-20,355.10,359.90,351.00,356.75,20600,353.79
2012-06-19,344.15,358.40,344.10,354.95,96400,352.00
2012-06-18,354.00,354.00,339.00,348.50,15000,345.61
2012-06-15,339.15,345.00,339.15,343.15,36000,340.30
2012-06-14,333.00,348.00,332.00,339.60,15400,336.78
2012-06-13,328.00,344.00,325.75,340.55,88300,337.72
2012-06-12,324.90,332.00,324.90,328.85,23800,326.12
2012-06-11,347.00,347.85,321.00,325.85,160200,323.14
2012-06-08,349.75,349.75,338.00,339.95,24100,337.13
2012-06-07,349.00,354.65,339.10,341.00,116100,338.17
2012-06-06,358.00,375.00,341.50,345.00,60800,342.14
2012-06-05,364.00,369.45,351.00,359.45,14100,356.47
