Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,197.30,197.30,197.30,197.30,000,197.30
2012-12-24,201.20,201.45,196.25,197.30,66900,197.30
2012-12-21,204.70,207.90,198.00,199.65,786200,199.65
2012-12-20,201.00,207.80,200.00,204.80,470100,204.80
2012-12-19,201.40,203.95,199.95,201.55,478300,201.55
2012-12-18,201.00,202.25,198.10,200.65,1092500,200.65
2012-12-17,200.50,204.85,198.10,199.95,1134100,199.95
2012-12-14,193.85,202.00,191.55,201.45,480000,201.45
2012-12-13,192.25,204.95,190.25,193.25,614800,193.25
2012-12-12,193.30,197.00,189.00,195.25,1361900,195.25
2012-12-11,195.55,196.95,190.95,193.35,328000,193.35
2012-12-10,195.00,196.00,190.15,194.55,377000,194.55
2012-12-07,183.30,203.70,182.90,194.55,1763200,194.55
2012-12-06,180.70,185.90,178.60,181.90,883700,181.90
2012-12-05,173.65,181.25,171.05,179.40,2418700,179.40
2012-12-04,173.55,174.60,170.35,172.00,282400,172.00
2012-12-03,175.05,175.05,172.50,173.90,195500,173.90
2012-11-30,175.95,178.45,173.15,174.30,444400,174.30
2012-11-29,174.80,179.75,173.30,175.85,378300,175.85
2012-11-28,174.10,174.10,174.10,174.10,000,174.10
2012-11-27,174.00,180.00,170.30,174.10,906000,174.10
2012-11-26,168.85,174.90,168.85,173.35,699600,173.35
2012-11-23,165.20,169.50,163.10,167.60,307400,167.60
2012-11-22,160.00,168.85,155.15,165.10,490100,165.10
2012-11-21,160.85,162.85,159.10,159.70,92500,159.70
2012-11-20,163.05,164.50,159.70,160.15,215100,160.15
2012-11-19,162.30,165.95,162.00,162.50,422000,162.50
2012-11-16,160.90,166.00,160.90,163.45,387900,163.45
2012-11-15,164.80,167.90,160.05,161.15,213400,161.15
2012-11-14,165.10,165.10,165.10,165.10,000,165.10
2012-11-13,165.10,165.10,165.10,165.10,000,165.10
2012-11-12,160.65,165.80,160.65,165.10,357000,165.10
2012-11-09,161.45,164.00,159.50,162.05,244800,162.05
2012-11-08,157.55,162.70,156.00,161.45,430200,161.45
2012-11-07,159.00,168.65,156.50,159.05,728400,159.05
2012-11-06,153.75,163.00,153.15,156.00,2253900,156.00
2012-11-05,158.25,160.85,152.20,153.15,247500,153.15
2012-11-02,155.00,160.85,155.00,159.30,258700,159.30
2012-11-01,152.00,156.60,152.00,154.50,117100,154.50
2012-10-31,153.45,157.85,152.00,155.70,61600,155.70
2012-10-30,157.90,157.90,151.65,152.80,96200,152.80
2012-10-29,156.80,158.50,156.05,157.25,227200,157.25
2012-10-26,154.90,154.90,154.90,154.90,000,154.90
2012-10-25,157.50,157.50,152.40,154.90,116700,154.90
2012-10-24,156.20,156.20,156.20,156.20,000,156.20
2012-10-23,150.25,157.90,149.50,156.20,858300,156.20
2012-10-22,150.00,158.95,150.00,153.95,328100,153.95
2012-10-19,150.10,154.50,149.10,150.00,236300,150.00
2012-10-18,150.25,154.55,149.45,150.10,527000,150.10
2012-10-17,155.40,158.25,152.25,152.85,125700,152.85
2012-10-16,153.00,159.70,153.00,155.45,399800,155.45
2012-10-15,150.45,158.50,145.60,155.00,580900,155.00
2012-10-12,148.70,151.00,147.10,149.75,336200,149.75
2012-10-11,149.00,150.85,145.75,147.45,552800,147.45
2012-10-10,159.80,162.40,148.50,149.30,957100,149.30
2012-10-09,161.10,167.15,158.10,159.15,551100,159.15
2012-10-08,161.60,166.40,160.05,164.10,367500,164.10
2012-10-05,160.90,165.70,159.05,160.95,390700,160.95
2012-10-04,160.55,163.00,156.75,160.90,336200,160.90
2012-10-03,167.50,179.80,148.50,156.85,664100,156.85
2012-10-02,229.75,229.75,229.75,229.75,000,229.75
2012-10-01,223.80,234.00,223.80,229.75,376300,229.75
2012-09-28,219.75,226.00,218.55,223.60,303700,223.60
2012-09-27,221.40,221.75,217.35,218.10,555600,218.10
2012-09-26,220.70,223.80,217.55,220.15,171900,220.15
2012-09-25,216.50,223.55,215.00,221.75,496900,221.75
2012-09-24,220.80,225.00,214.95,216.05,638000,216.05
2012-09-21,217.35,223.65,217.10,220.00,653300,220.00
2012-09-20,217.75,221.95,212.00,217.35,505200,217.35
2012-09-19,219.80,219.80,219.80,219.80,000,219.80
2012-09-18,208.70,223.00,208.00,219.80,905700,219.80
2012-09-17,201.80,207.95,198.50,206.15,390200,206.15
2012-09-14,201.50,204.45,197.60,200.90,528800,200.90
2012-09-13,190.25,200.95,189.95,200.20,218600,200.20
2012-09-12,195.35,198.00,191.35,195.55,46000,195.55
2012-09-11,189.95,198.70,189.95,194.05,281800,194.05
2012-09-10,201.00,201.65,196.15,198.40,59100,198.40
2012-09-07,199.60,202.50,198.60,199.60,170000,199.60
2012-09-06,191.95,203.00,191.95,197.65,957200,197.65
2012-09-05,189.95,194.10,189.95,192.35,323300,192.35
2012-09-04,192.20,193.55,189.50,191.15,285400,191.15
2012-09-03,183.60,191.00,181.00,190.75,360100,188.50
2012-08-31,187.65,189.65,181.15,182.50,87600,180.35
2012-08-30,184.50,189.85,183.25,188.65,748600,184.20
2012-08-29,187.05,188.00,182.50,185.35,217400,180.98
2012-08-28,189.00,190.00,185.10,186.35,91100,181.96
2012-08-27,185.00,190.60,185.00,188.85,156400,184.40
2012-08-24,182.60,191.00,181.50,184.35,375900,180.00
2012-08-23,184.80,185.00,182.35,183.45,76900,179.12
2012-08-22,184.05,187.00,182.05,184.30,93100,179.95
2012-08-21,178.30,190.00,176.05,184.00,530900,179.66
2012-08-20,177.85,177.85,177.85,177.85,000,173.66
2012-08-17,172.00,178.10,171.05,177.85,460100,173.66
2012-08-16,168.45,172.50,167.90,171.85,197700,167.80
2012-08-15,168.25,168.25,168.25,168.25,000,164.28
2012-08-14,167.20,170.00,166.25,168.25,588700,164.28
2012-08-13,170.50,172.50,167.00,169.70,96100,165.70
2012-08-10,170.95,174.40,165.55,171.75,492000,167.70
2012-08-09,163.00,175.50,162.00,168.90,2027600,164.92
2012-08-08,164.30,168.90,162.00,162.45,64200,158.62
2012-08-07,161.75,163.75,159.65,162.70,383400,158.86
2012-08-06,156.50,161.90,156.50,160.90,33400,157.11
2012-08-03,158.50,159.45,155.20,156.80,32700,153.10
2012-08-02,161.00,161.10,158.20,159.10,15700,155.35
2012-08-01,160.15,163.50,158.60,159.55,15900,155.79
2012-07-31,161.25,163.10,158.30,160.40,25300,156.62
2012-07-30,161.20,164.00,159.60,162.85,19200,159.01
2012-07-27,164.00,167.30,160.60,163.95,33100,160.08
2012-07-26,169.20,169.20,162.00,162.60,15600,158.77
2012-07-25,169.80,169.80,164.75,165.80,28200,161.89
2012-07-24,168.10,170.05,165.65,166.35,218300,162.43
2012-07-23,166.25,171.00,166.10,167.00,30200,163.06
2012-07-20,170.05,172.00,169.00,169.90,104400,165.89
2012-07-19,170.90,171.20,168.50,169.80,62100,165.80
2012-07-18,167.40,170.35,165.20,169.95,23800,165.94
2012-07-17,170.00,170.60,165.05,166.00,27000,162.09
2012-07-16,168.50,171.00,167.20,169.20,23600,165.21
2012-07-13,173.80,173.80,166.50,167.90,50900,163.94
2012-07-12,172.05,174.50,166.50,169.15,105100,165.16
2012-07-11,166.00,172.00,165.50,170.30,134000,166.28
2012-07-10,166.55,167.10,164.25,165.00,212000,161.11
2012-07-09,166.00,166.00,163.90,164.10,41500,160.23
2012-07-06,164.90,173.90,163.95,165.65,402900,161.74
2012-07-05,164.00,165.00,163.70,164.95,46600,161.06
2012-07-04,164.10,165.00,163.15,164.30,144000,160.43
2012-07-03,165.00,165.00,163.20,165.00,147900,161.11
2012-07-02,165.00,167.25,162.75,164.20,48500,160.33
2012-06-29,165.00,170.00,161.60,163.45,705400,159.60
2012-06-28,165.00,167.80,164.00,165.90,58200,161.99
2012-06-27,168.00,168.00,163.55,164.40,493000,160.52
2012-06-26,164.00,165.65,162.05,165.00,110000,161.11
2012-06-25,164.55,166.00,161.55,163.90,421500,160.03
2012-06-22,165.90,168.90,160.15,164.85,561200,160.96
2012-06-21,157.00,163.90,156.10,162.20,96400,158.38
2012-06-20,156.05,159.95,156.05,156.95,231800,153.25
2012-06-19,161.55,161.90,158.45,159.05,21900,155.30
2012-06-18,159.90,163.50,159.05,160.45,38100,156.67
2012-06-15,158.50,161.00,157.20,157.85,63800,154.13
2012-06-14,162.25,162.90,156.50,158.05,24700,154.32
2012-06-13,163.10,165.70,160.50,161.95,34900,158.13
2012-06-12,162.10,166.70,160.25,163.50,38300,159.64
2012-06-11,167.60,167.60,162.00,163.35,64500,159.50
2012-06-08,164.60,165.00,162.10,164.95,68700,161.06
2012-06-07,166.00,166.00,163.00,164.75,10500,160.86
2012-06-06,158.00,166.00,158.00,164.45,87800,160.57
2012-06-05,163.55,163.55,157.25,159.75,9200,155.98
2012-06-04,158.00,159.90,155.50,157.85,11400,154.13
2012-06-01,165.00,165.00,156.25,160.25,128900,156.47
2012-05-31,163.90,164.90,157.10,164.65,113800,160.77
2012-05-30,164.80,164.80,160.70,161.40,10400,157.59
2012-05-29,165.00,166.40,162.05,163.00,34900,159.16
2012-05-28,165.00,168.05,160.55,163.40,325600,159.55
2012-05-25,168.45,168.45,163.30,165.10,14000,161.21
2012-05-24,164.60,167.00,162.10,165.35,18400,161.45
2012-05-23,165.00,167.00,160.00,165.05,32500,161.16
2012-05-22,166.75,167.00,165.40,166.90,52300,162.96
2012-05-21,164.05,167.40,162.00,166.35,20000,162.43
2012-05-18,164.10,167.00,161.50,164.95,35100,161.06
2012-05-17,169.85,169.85,163.60,166.75,55500,162.82
2012-05-16,168.00,173.00,164.10,165.00,76400,161.11
2012-05-15,168.25,172.00,167.40,169.95,59200,165.94
2012-05-14,168.00,174.50,165.00,171.30,55200,167.26
2012-05-11,169.90,170.00,165.15,169.70,58200,165.70
2012-05-10,170.00,170.00,166.00,169.65,54400,165.65
2012-05-09,168.10,170.00,165.10,166.95,24500,163.01
2012-05-08,169.95,171.95,167.30,169.70,136200,165.70
2012-05-07,163.65,171.80,158.10,170.00,343100,165.99
2012-05-04,170.25,170.90,168.00,169.65,327700,165.65
2012-05-03,175.35,175.55,170.50,171.65,236200,167.60
2012-05-02,178.55,182.95,175.30,177.25,106300,173.07
2012-05-01,179.00,179.00,179.00,179.00,000,174.78
2012-04-30,181.25,181.25,176.10,178.95,51400,174.73
2012-04-27,183.70,183.70,177.00,180.00,226400,175.76
2012-04-26,183.80,184.90,180.40,181.95,80800,177.66
2012-04-25,178.70,184.50,176.50,183.20,154700,178.88
2012-04-24,179.00,179.00,175.50,178.00,586600,173.80
2012-04-23,184.00,184.00,177.00,179.10,146900,174.88
2012-04-20,183.00,185.00,179.00,180.00,94400,175.76
2012-04-19,189.45,192.90,181.45,183.65,409900,179.32
