Date,Open,High,Low,Close,Volume,Adj Close
2013-01-23,375.00,379.80,371.25,373.90,37800,373.90
2013-01-22,376.95,383.40,372.50,375.55,513000,375.55
2013-01-21,382.20,384.70,371.25,373.10,47600,373.10
2013-01-18,389.45,389.50,381.10,382.20,524000,382.20
2013-01-17,396.00,396.00,352.20,383.45,491600,383.45
2013-01-16,403.30,403.30,397.50,399.85,92400,382.85
2013-01-15,402.00,404.50,399.00,399.85,81800,382.85
2013-01-14,400.85,406.60,395.10,397.90,97400,380.98
2013-01-11,419.00,419.00,394.50,397.65,86600,380.74
2013-01-10,408.70,408.70,395.00,396.00,102600,379.16
2013-01-09,395.10,411.60,395.10,403.65,219300,386.49
2013-01-08,390.95,399.90,388.70,398.70,174800,381.75
2013-01-07,395.00,395.60,388.50,389.95,56800,373.37
2013-01-04,392.10,396.50,392.00,393.50,93300,376.77
2013-01-03,385.00,393.50,384.50,390.10,120000,373.51
2013-01-02,385.95,386.65,381.25,383.70,57200,367.39
2013-01-01,384.55,387.45,384.50,384.95,25600,368.58
2012-12-31,388.10,389.00,383.70,384.40,20800,368.06
2012-12-28,385.00,393.95,382.60,385.00,97300,368.63
2012-12-27,379.70,384.70,376.00,380.30,142100,364.13
2012-12-26,380.00,381.95,375.80,376.75,64200,360.73
2012-12-25,377.55,377.55,377.55,377.55,000,361.50
2012-12-24,383.95,384.25,377.00,377.55,63600,361.50
2012-12-21,382.00,384.00,380.00,383.15,52200,366.86
2012-12-20,382.70,385.85,378.25,382.55,54600,366.29
2012-12-19,381.00,384.95,376.60,382.70,41400,366.43
2012-12-18,377.10,383.95,376.10,380.50,125200,364.32
2012-12-17,379.80,382.95,372.30,375.90,113600,359.92
2012-12-14,382.50,385.95,379.05,380.15,46400,363.99
2012-12-13,384.70,387.00,379.90,382.90,67500,366.62
2012-12-12,382.85,386.70,380.10,384.05,92100,367.72
2012-12-11,382.00,389.85,379.05,382.20,91100,365.95
2012-12-10,389.95,389.95,381.00,383.00,126500,366.72
2012-12-07,399.95,401.90,390.25,391.35,109700,374.71
2012-12-06,391.65,403.70,391.65,398.45,452000,381.51
2012-12-05,390.05,392.00,385.10,388.40,109600,371.89
2012-12-04,404.00,410.00,387.05,388.95,294800,372.41
2012-12-03,390.00,411.90,390.00,402.55,707400,385.44
2012-11-30,384.10,390.50,382.60,388.15,35300,371.65
2012-11-29,401.90,402.00,381.15,384.70,138300,368.34
2012-11-28,400.00,400.00,400.00,400.00,000,382.99
2012-11-27,402.70,404.00,398.35,400.00,98100,382.99
2012-11-26,395.55,401.00,395.55,400.65,43900,383.62
2012-11-23,395.25,397.80,393.25,395.20,19200,378.40
2012-11-22,396.70,398.70,393.00,395.10,75800,378.30
2012-11-21,395.00,405.00,373.90,396.45,270900,379.59
2012-11-20,382.85,403.00,382.85,400.00,44300,382.99
2012-11-19,397.00,400.00,397.00,398.70,23500,381.75
2012-11-16,396.15,399.00,394.50,397.15,45300,380.26
2012-11-15,394.45,398.85,392.55,396.70,40100,379.83
2012-11-14,399.05,399.05,399.05,399.05,000,382.08
2012-11-13,399.05,399.05,399.05,399.05,000,382.08
2012-11-12,400.00,401.00,396.50,399.05,19800,382.08
2012-11-09,393.45,400.00,393.45,397.35,28100,380.46
2012-11-08,387.70,401.00,387.70,399.20,143300,382.23
2012-11-07,393.55,399.75,392.65,395.60,49700,378.78
2012-11-06,393.10,396.95,391.90,393.05,62100,376.34
2012-11-05,389.90,399.50,389.00,392.35,68600,375.67
2012-11-02,391.95,391.95,386.00,389.05,43000,372.51
2012-11-01,394.95,394.95,386.85,388.10,61200,371.60
2012-10-31,380.25,388.65,380.20,387.05,34200,370.59
2012-10-30,381.95,387.05,380.10,382.75,64500,366.48
2012-10-29,388.05,388.05,378.00,382.65,151300,366.38
2012-10-26,394.85,394.85,394.85,394.85,000,378.06
2012-10-25,401.95,409.80,391.30,394.85,226500,378.06
2012-10-24,404.30,404.30,404.30,404.30,000,387.11
2012-10-23,402.00,408.80,400.65,404.30,55700,387.11
2012-10-22,403.00,405.00,397.15,403.70,56500,386.54
2012-10-19,399.95,402.00,396.50,400.35,59600,383.33
2012-10-18,394.05,400.95,394.05,396.75,95100,379.88
2012-10-17,402.35,414.00,400.00,405.85,1150100,388.59
2012-10-16,392.75,405.00,392.75,401.55,158600,384.48
2012-10-15,399.35,408.10,392.00,394.05,65400,377.30
2012-10-12,430.00,430.00,402.85,405.15,56500,387.92
2012-10-11,411.60,413.50,405.00,409.60,95900,392.19
2012-10-10,414.00,417.80,406.10,409.15,164300,391.75
2012-10-09,409.45,415.95,405.00,413.65,251200,396.06
2012-10-08,402.00,409.50,402.00,404.80,176700,387.59
2012-10-05,402.05,407.90,398.55,401.70,137300,384.62
2012-10-04,414.80,415.00,402.40,404.50,459900,387.30
2012-10-03,415.00,423.50,415.00,420.25,675900,402.38
2012-10-02,413.70,413.70,413.70,413.70,000,396.11
2012-10-01,408.50,417.75,400.00,413.70,744500,396.11
2012-09-28,393.20,405.00,393.20,402.40,131800,385.29
2012-09-27,394.00,397.00,389.00,392.55,216900,375.86
2012-09-26,403.00,408.90,388.45,393.95,168500,377.20
2012-09-25,391.90,402.95,387.00,400.85,123500,383.81
2012-09-24,387.00,394.70,383.45,391.90,63100,375.24
2012-09-21,393.00,396.90,383.10,389.30,289900,372.75
2012-09-20,380.30,394.40,376.00,389.70,153100,373.13
2012-09-19,377.35,377.35,377.35,377.35,000,361.31
2012-09-18,384.15,388.00,369.45,377.35,231100,361.31
2012-09-17,390.95,393.20,378.30,386.00,87000,369.59
2012-09-14,396.45,402.80,386.00,387.15,53900,370.69
2012-09-13,399.00,399.75,391.10,392.70,68600,376.00
2012-09-12,405.50,411.15,395.00,398.55,112800,381.61
