Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,27.10,27.10,27.10,27.10,000,27.10
2012-12-24,27.95,28.05,26.90,27.10,666000,27.10
2012-12-21,26.80,27.90,26.35,27.70,2691300,27.70
2012-12-20,26.75,27.25,26.25,26.75,1189100,26.75
2012-12-19,26.95,27.10,26.55,26.60,741800,26.60
2012-12-18,26.85,27.25,26.30,26.80,1016500,26.80
2012-12-17,26.80,27.15,26.50,26.60,679500,26.60
2012-12-14,26.90,27.30,26.60,26.70,935800,26.70
2012-12-13,27.65,28.30,26.60,26.80,2108800,26.80
2012-12-12,28.50,28.55,27.60,27.70,1420600,27.70
2012-12-11,29.05,29.60,27.90,28.30,3211200,28.30
2012-12-10,28.65,29.25,28.30,28.70,2917100,28.70
2012-12-07,27.75,29.10,27.70,28.30,7193100,28.30
2012-12-06,26.50,27.90,26.40,27.60,4873100,27.60
2012-12-05,25.50,27.25,25.40,26.25,5772500,26.25
2012-12-04,25.45,25.75,25.20,25.35,2527200,25.35
2012-12-03,25.65,25.80,24.40,25.35,1482000,25.35
2012-11-30,25.70,26.00,25.35,25.50,1341700,25.50
2012-11-29,26.20,26.70,25.35,25.55,2546700,25.55
2012-11-28,25.80,25.80,25.80,25.80,000,25.80
2012-11-27,25.30,26.15,24.85,25.80,1408300,25.80
2012-11-26,26.00,26.00,24.30,25.15,1293700,25.15
2012-11-23,24.45,24.80,24.20,24.40,790800,24.40
2012-11-22,24.40,25.20,23.95,24.50,2149000,24.50
2012-11-21,25.60,25.95,24.10,24.30,1574200,24.30
2012-11-20,26.50,26.80,25.45,25.60,809900,25.60
2012-11-19,26.70,26.90,26.10,26.25,1118600,26.25
2012-11-16,27.30,27.30,26.20,26.45,943500,26.45
2012-11-15,27.20,27.40,26.70,27.00,869000,27.00
2012-11-14,26.80,26.80,26.80,26.80,000,26.80
2012-11-13,26.80,26.80,26.80,26.80,000,26.80
2012-11-12,26.95,27.40,26.55,26.80,667300,26.80
2012-11-09,27.55,27.75,26.55,26.80,789900,26.80
2012-11-08,27.30,28.15,27.00,27.45,2722000,27.45
2012-11-07,26.80,27.45,26.35,27.30,1985900,27.30
2012-11-06,26.70,26.90,26.35,26.55,704000,26.55
2012-11-05,26.70,27.05,26.45,26.65,801700,26.65
2012-11-02,26.85,27.30,26.50,26.65,1318300,26.65
2012-11-01,26.15,27.30,26.05,26.60,1610800,26.60
2012-10-31,26.70,28.15,26.00,26.30,2793800,26.30
2012-10-30,27.50,27.50,26.45,26.60,1224400,26.60
2012-10-29,27.90,28.25,27.20,27.45,902300,27.45
2012-10-26,27.90,27.90,27.90,27.90,000,27.90
2012-10-25,28.65,28.70,27.80,27.90,955000,27.90
2012-10-24,28.50,28.50,28.50,28.50,000,28.50
2012-10-23,29.10,29.10,28.35,28.50,1264700,28.50
2012-10-22,29.85,29.85,28.60,28.70,2121900,28.70
2012-10-19,29.10,29.60,28.40,28.55,2637400,28.55
2012-10-18,28.45,31.20,27.50,29.20,7310400,29.20
2012-10-17,28.70,28.80,28.05,28.25,1029300,28.25
2012-10-16,29.05,29.20,28.40,28.50,1112300,28.50
2012-10-15,29.45,29.45,28.75,28.85,1159100,28.85
2012-10-12,29.40,29.80,28.80,28.90,1407600,28.90
2012-10-11,29.10,29.75,28.60,29.30,1333600,29.30
2012-10-10,29.40,30.10,28.80,29.10,2099300,29.10
