Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,68.65,68.65,68.65,68.65,000,68.65
2012-12-24,64.60,70.10,64.60,68.65,743500,68.65
2012-12-21,66.50,66.90,64.00,64.55,160100,64.55
2012-12-20,67.70,68.80,66.40,66.85,121400,66.85
2012-12-19,67.75,69.00,66.70,67.80,362000,67.80
2012-12-18,66.30,69.00,65.30,67.70,513600,67.70
2012-12-17,65.05,67.15,64.75,66.20,266600,66.20
2012-12-14,65.40,67.00,64.25,64.70,206700,64.70
2012-12-13,66.35,67.60,63.30,64.30,484700,64.30
2012-12-12,66.00,67.50,63.50,66.40,1213700,66.40
2012-12-11,62.50,66.20,62.20,65.00,1478400,65.00
2012-12-10,61.50,62.50,60.50,61.90,276800,61.90
2012-12-07,62.00,64.35,60.20,60.55,388200,60.55
2012-12-06,61.90,64.10,60.15,61.80,846900,61.80
2012-12-05,57.75,65.25,57.35,61.80,1362500,61.80
2012-12-04,57.00,57.80,56.95,57.50,57700,57.50
2012-12-03,56.70,57.95,56.15,57.20,66400,57.20
2012-11-30,56.00,57.45,55.50,56.90,82100,56.90
2012-11-29,56.00,56.35,55.65,56.00,51200,56.00
2012-11-28,55.75,55.75,55.75,55.75,000,55.75
2012-11-27,55.90,56.20,55.55,55.75,24900,55.75
2012-11-26,55.85,55.95,55.15,55.45,40100,55.45
2012-11-23,56.00,56.75,55.05,55.65,61000,55.65
2012-11-22,56.40,56.40,55.05,55.80,18000,55.80
2012-11-21,57.50,57.50,55.55,55.70,63900,55.70
2012-11-20,56.35,58.50,56.00,57.00,286800,57.00
2012-11-19,55.05,56.50,55.05,56.35,23100,56.35
2012-11-16,57.00,57.30,55.50,55.75,76800,55.75
2012-11-15,56.65,56.95,55.90,56.60,21600,56.60
2012-11-14,56.75,56.75,56.75,56.75,000,56.75
2012-11-13,56.75,56.75,56.75,56.75,000,56.75
2012-11-12,57.90,57.90,56.30,56.75,29700,56.75
2012-11-09,56.10,57.30,56.10,56.90,22400,56.90
2012-11-08,57.90,57.90,55.95,56.65,74300,56.65
2012-11-07,57.00,58.45,57.00,57.70,39400,57.70
2012-11-06,58.10,58.75,57.40,57.95,31300,57.95
2012-11-05,58.35,59.45,58.00,58.10,34100,58.10
2012-11-02,58.85,59.45,58.20,58.40,34100,58.40
2012-11-01,58.80,58.90,58.00,58.30,24400,58.30
2012-10-31,58.90,58.90,57.60,58.15,42100,58.15
2012-10-30,59.85,59.85,58.30,58.70,42200,58.70
2012-10-29,59.40,60.10,58.70,59.30,32100,59.30
2012-10-26,59.50,59.50,59.50,59.50,000,59.50
2012-10-25,59.55,60.90,53.15,59.50,105000,59.50
2012-10-24,60.15,60.15,60.15,60.15,000,60.15
2012-10-23,60.85,61.45,59.70,60.15,126200,60.15
2012-10-22,59.65,61.25,59.10,60.80,132900,60.80
2012-10-19,59.45,60.25,58.80,59.75,69400,59.75
2012-10-18,59.00,59.50,58.20,59.20,41600,59.20
2012-10-17,59.85,60.80,58.50,58.80,93200,58.80
2012-10-16,59.10,62.45,59.00,59.95,542300,59.95
2012-10-15,59.10,59.55,58.05,59.10,59100,59.10
2012-10-12,57.50,58.80,57.25,58.50,51200,58.50
2012-10-11,58.10,59.00,57.30,57.80,59900,57.80
2012-10-10,58.00,58.90,57.30,58.60,77700,58.60
2012-10-09,59.70,59.70,57.75,58.00,48500,58.00
2012-10-08,58.90,59.75,57.95,58.40,67000,58.40
2012-10-05,59.40,59.85,57.55,58.35,129600,58.35
2012-10-04,60.90,60.90,59.00,59.40,149100,59.40
2012-10-03,61.00,62.10,59.55,60.30,289700,60.30
2012-10-02,60.85,60.85,60.85,60.85,000,60.85
2012-10-01,58.80,62.40,57.50,60.85,872500,60.85
2012-09-28,57.50,58.25,57.00,57.90,125300,57.90
2012-09-27,57.25,57.90,57.05,57.30,85600,57.30
2012-09-26,56.90,58.90,56.80,57.25,163300,57.25
2012-09-25,55.60,57.75,55.60,57.00,181600,57.00
2012-09-24,55.00,56.45,54.70,55.95,94500,55.95
2012-09-21,54.75,55.00,54.20,54.90,40000,54.90
2012-09-20,54.90,54.90,54.00,54.45,73900,54.45
2012-09-19,55.20,55.20,55.20,55.20,000,54.40
2012-09-18,56.10,56.20,54.50,55.20,95900,54.40
2012-09-17,56.10,57.00,55.80,55.95,92100,55.14
2012-09-14,56.50,56.75,55.55,56.05,33000,55.24
2012-09-13,56.55,56.65,55.80,56.30,53200,55.48
2012-09-12,56.90,58.00,55.80,56.30,167000,55.48
2012-09-11,57.30,57.40,55.55,56.65,190300,55.83
2012-09-10,53.80,57.40,53.50,56.75,1403300,55.93
2012-09-07,53.25,55.00,53.00,53.55,38100,52.77
2012-09-06,53.90,53.90,52.90,53.05,14200,52.28
2012-09-05,53.50,54.40,52.55,53.10,62700,52.33
2012-09-04,55.00,55.00,53.25,53.40,32100,52.63
2012-09-03,54.60,55.40,53.70,54.25,49900,53.46
2012-08-31,54.00,54.35,53.50,54.00,32500,53.22
2012-08-30,54.35,54.60,53.50,53.90,67400,53.12
2012-08-29,54.50,54.85,53.75,54.15,45800,53.37
2012-08-28,53.25,54.40,53.00,53.80,36200,53.02
2012-08-27,53.90,54.00,52.60,53.35,113200,52.58
2012-08-24,54.35,54.35,52.50,53.60,60800,52.82
2012-08-23,54.95,55.00,53.80,54.35,46100,53.56
2012-08-22,54.85,55.20,54.05,54.40,40600,53.61
2012-08-21,54.10,55.00,54.00,54.60,60000,53.81
2012-08-20,54.05,54.05,54.05,54.05,000,53.27
2012-08-17,54.05,54.45,54.00,54.05,40900,53.27
2012-08-16,54.85,54.90,53.90,54.00,35100,53.22
2012-08-15,54.35,54.35,54.35,54.35,000,53.56
2012-08-14,55.40,55.50,54.25,54.35,31500,53.56
2012-08-13,54.90,55.00,54.50,54.70,41800,53.91
2012-08-10,55.00,55.00,53.80,54.80,79600,54.01
2012-08-09,54.95,55.20,54.25,54.85,53500,54.06
2012-08-08,54.70,55.00,54.25,54.50,26400,53.71
2012-08-07,64.00,64.00,54.10,54.65,122200,53.86
2012-08-06,64.00,64.00,54.80,54.90,53200,54.10
2012-08-03,55.00,55.15,54.50,54.90,11100,54.10
2012-08-02,56.00,56.00,54.75,55.20,64100,54.40
2012-08-01,56.25,56.35,55.50,56.00,78800,55.19
2012-07-31,55.75,56.50,55.10,56.30,39700,55.48
2012-07-30,56.10,56.50,55.30,55.75,17600,54.94
2012-07-27,56.80,56.80,55.05,56.00,37300,55.19
2012-07-26,57.05,57.05,55.65,56.00,117700,55.19
2012-07-25,57.10,57.60,55.50,57.15,18400,56.32
2012-07-24,57.50,58.15,56.65,57.35,24500,56.52
2012-07-23,57.40,57.85,56.95,57.60,82900,56.77
2012-07-20,58.00,58.00,57.35,57.50,8800,56.67
2012-07-19,57.85,58.15,57.30,57.50,10900,56.67
2012-07-18,57.45,57.75,57.25,57.60,41500,56.77
2012-07-17,57.00,57.50,57.00,57.35,39000,56.52
2012-07-16,57.40,57.75,57.00,57.05,21000,56.22
2012-07-13,56.90,57.35,56.50,57.00,21200,56.17
2012-07-12,57.00,57.00,56.30,56.50,17700,55.68
2012-07-11,57.55,57.85,56.85,57.10,35900,56.27
2012-07-10,57.55,58.15,57.10,57.65,54500,56.81
2012-07-09,57.15,58.00,57.15,57.75,39700,56.91
2012-07-06,58.00,58.00,57.05,57.45,25500,56.62
2012-07-05,57.10,58.50,57.05,57.50,137200,56.67
2012-07-04,57.00,57.50,56.85,57.05,43100,56.22
2012-07-03,57.70,57.70,56.70,57.10,28500,56.27
2012-07-02,56.80,57.40,56.50,57.00,17800,56.17
2012-06-29,57.00,57.45,56.50,56.75,29100,55.93
2012-06-28,57.10,57.65,56.00,56.60,31500,55.78
2012-06-27,57.85,57.85,56.55,57.25,38200,56.42
2012-06-26,64.70,64.70,56.70,56.95,244000,56.12
2012-06-25,57.35,57.90,57.00,57.15,16800,56.32
2012-06-22,57.40,57.75,57.00,57.25,24800,56.42
2012-06-21,57.70,58.70,57.00,57.00,547800,56.17
2012-06-20,58.45,58.45,57.25,57.40,90600,56.57
2012-06-19,56.45,57.50,56.45,57.10,41100,56.27
2012-06-18,57.00,57.35,56.00,56.45,106700,55.63
2012-06-15,55.10,55.90,54.50,55.40,33500,54.60
2012-06-14,55.50,55.90,55.10,55.50,24200,54.70
2012-06-13,55.15,55.90,55.05,55.50,28700,54.70
2012-06-12,55.35,55.85,55.00,55.35,22800,54.55
2012-06-11,56.00,56.40,55.00,55.30,78500,54.50
2012-06-08,56.00,56.90,54.65,55.80,62700,54.99
2012-06-07,54.25,56.30,54.05,56.00,65700,55.19
2012-06-06,53.95,54.45,53.30,54.10,36500,53.32
2012-06-05,54.05,54.60,53.30,53.75,12200,52.97
2012-06-04,54.00,54.15,53.25,54.00,24500,53.22
2012-06-01,55.90,55.90,54.05,54.45,18300,53.66
2012-05-31,54.00,54.85,53.85,54.40,13500,53.61
2012-05-30,54.00,54.45,53.25,54.05,11000,53.27
2012-05-29,53.50,54.35,53.50,54.15,25400,53.37
2012-05-28,53.00,54.05,53.00,54.00,16200,53.22
2012-05-25,53.30,53.85,52.55,53.55,12900,52.77
2012-05-24,53.00,53.75,52.25,53.30,37700,52.53
2012-05-23,52.05,52.70,52.05,52.55,18200,51.79
2012-05-22,53.00,53.00,52.55,52.75,13600,51.99
2012-05-21,52.00,53.00,51.15,52.70,12200,51.94
2012-05-18,51.60,53.50,50.40,52.40,47900,51.64
2012-05-17,52.90,53.75,52.55,52.95,13100,52.18
2012-05-16,53.70,53.70,51.70,52.90,51600,52.13
2012-05-15,53.00,54.25,52.55,53.75,23200,52.97
2012-05-14,54.50,54.90,53.20,53.75,20300,52.97
2012-05-11,54.00,54.60,53.55,54.20,44000,53.41
2012-05-10,54.80,55.00,54.40,54.50,12300,53.71
2012-05-09,54.40,54.80,54.00,54.60,10400,53.81
2012-05-08,55.00,55.45,54.25,54.70,16900,53.91
2012-05-07,53.90,55.50,53.20,54.80,37500,54.01
2012-05-04,54.00,54.65,53.50,54.15,39600,53.37
2012-05-03,54.80,55.20,54.10,54.25,15400,53.46
2012-05-02,55.30,55.75,54.75,54.95,41200,54.15
2012-05-01,55.35,55.35,55.35,55.35,000,54.55
2012-04-30,55.50,56.45,54.80,55.25,39400,54.45
2012-04-27,56.70,56.70,54.25,55.35,56900,54.55
2012-04-26,55.60,56.50,55.20,55.90,63900,55.09
2012-04-25,56.75,56.75,56.00,56.10,25100,55.29
2012-04-24,57.00,57.10,55.00,56.00,75800,55.19
2012-04-23,57.25,57.90,56.80,57.00,72000,56.17
2012-04-20,57.25,57.70,57.00,57.35,55700,56.52
2012-04-19,57.50,57.95,57.25,57.40,10100,56.57
2012-04-18,55.65,58.40,55.65,57.70,23700,56.86
2012-04-17,57.20,58.35,56.60,57.40,29400,56.57
2012-04-16,58.90,58.90,57.60,57.70,15300,56.86
2012-04-13,59.70,59.70,57.60,58.05,32500,57.21
2012-04-12,59.15,60.05,58.90,59.00,1000400,58.14
2012-04-11,59.90,59.90,58.90,59.20,537700,58.34
2012-04-10,59.30,60.00,59.20,59.50,14300,58.64
2012-04-09,60.90,60.90,58.50,59.50,53000,58.64
2012-04-06,60.45,60.45,60.45,60.45,000,59.57
2012-04-05,60.45,60.45,60.45,60.45,000,59.57
2012-04-04,59.30,61.05,59.30,60.45,56000,59.57
2012-04-03,58.75,59.25,58.50,59.00,11600,58.14
2012-04-02,58.35,58.95,58.35,58.65,7900,57.80
2012-03-30,58.30,59.00,58.10,58.30,391200,57.46
2012-03-29,58.25,58.75,58.05,58.50,10200,57.65
2012-03-28,58.90,59.40,57.80,58.95,74000,58.10
2012-03-27,58.50,60.25,58.00,58.50,416100,57.65
2012-03-26,59.00,59.15,58.10,59.00,43200,58.14
2012-03-23,59.40,59.40,58.30,59.00,41200,58.14
2012-03-22,60.00,60.00,58.30,59.00,43700,58.14
2012-03-21,59.75,59.75,58.25,59.00,35300,58.14
2012-03-20,59.00,59.15,57.95,59.00,52400,58.14
2012-03-19,58.60,59.10,57.25,59.00,66800,58.14
2012-03-16,57.25,58.65,56.60,58.00,194000,57.16
2012-03-15,57.25,58.00,56.70,57.25,44400,56.42
2012-03-14,57.05,58.40,57.05,57.75,57300,56.91
2012-03-13,56.00,57.80,56.00,57.20,5484400,56.37
2012-03-12,56.00,56.55,55.20,56.05,160500,55.24
2012-03-09,54.80,55.50,54.20,55.00,133500,54.20
2012-03-08,53.95,53.95,53.95,53.95,000,53.17
2012-03-07,54.10,55.50,53.15,53.95,4078800,53.17
2012-03-06,55.10,56.00,54.50,54.65,29000,53.86
2012-03-05,57.55,57.55,55.00,55.45,34100,54.65
2012-03-02,56.00,57.55,56.00,56.15,2895000,55.34
2012-03-01,56.60,57.00,55.75,56.05,22600,55.24
2012-02-29,56.70,57.30,56.50,57.15,33300,56.32
2012-02-28,56.15,56.90,55.15,56.10,39500,55.29
2012-02-27,56.75,57.00,54.55,55.10,64900,54.30
2012-02-24,57.30,57.90,56.65,56.90,442700,56.08
2012-02-23,57.20,58.40,57.00,57.30,32300,56.47
2012-02-22,59.55,59.55,57.10,57.20,62300,56.37
2012-02-21,57.65,59.30,57.05,58.55,170800,57.70
2012-02-20,57.65,57.65,57.65,57.65,000,56.81
2012-02-17,58.95,59.50,57.20,57.65,98900,56.81
2012-02-16,58.00,58.75,57.45,57.95,77100,57.11
2012-02-15,57.60,58.70,57.00,57.70,120600,56.86
2012-02-14,56.50,57.30,56.50,57.00,44200,56.17
2012-02-13,56.70,57.50,56.65,56.80,73400,55.98
2012-02-10,57.90,57.90,56.50,56.65,70800,55.83
2012-02-09,56.85,57.70,56.50,56.90,43800,56.08
2012-02-08,57.80,58.45,56.50,56.85,62100,56.03
2012-02-07,58.70,59.70,56.60,57.40,167100,56.57
2012-02-06,57.50,58.70,56.90,57.95,106200,57.11
2012-02-03,55.15,57.70,54.00,56.75,160200,55.93
2012-02-02,54.25,55.25,53.70,55.15,122400,54.35
2012-02-01,53.30,54.25,53.30,53.50,70600,52.72
2012-01-31,53.30,54.20,53.25,53.65,28400,52.87
2012-01-30,55.85,55.85,53.00,53.15,117900,52.38
2012-01-27,56.20,56.20,55.10,55.20,36900,54.40
2012-01-26,55.40,55.40,55.40,55.40,000,54.60
2012-01-25,56.05,56.30,54.95,55.40,35200,54.60
2012-01-24,55.75,56.95,55.15,56.05,34700,55.24
2012-01-23,55.80,56.30,54.85,55.40,52200,54.60
2012-01-20,56.85,57.35,55.25,55.75,56800,54.94
2012-01-19,55.40,56.05,54.65,55.80,30400,54.99
2012-01-18,54.30,55.30,54.00,55.00,34200,54.20
2012-01-17,54.10,55.20,54.10,54.65,16700,53.86
2012-01-16,55.15,55.15,53.70,54.30,36900,53.51
2012-01-13,55.85,55.85,54.30,54.75,35700,53.96
2012-01-12,55.30,56.00,54.60,54.95,15300,54.15
2012-01-11,55.70,56.35,54.50,55.50,32300,54.70
2012-01-10,54.75,56.85,54.05,55.70,88400,54.89
2012-01-09,53.95,54.40,53.00,54.15,15800,53.37
2012-01-06,52.70,53.00,52.20,52.70,10200,51.94
2012-01-05,53.10,53.30,52.60,53.00,12700,52.23
2012-01-04,53.80,53.95,53.00,53.05,6400,52.28
2012-01-03,53.05,54.70,53.00,53.60,50500,52.82
2012-01-02,51.50,53.50,51.50,53.40,43700,52.63
2011-12-30,52.35,52.80,51.30,51.60,10200,50.85
2011-12-29,51.85,52.50,51.85,52.05,10100,51.30
2011-12-28,53.25,53.70,52.50,52.50,12900,51.74
2011-12-27,55.00,55.00,53.00,53.85,23100,53.07
2011-12-26,52.20,54.60,52.20,53.85,17400,53.07
2011-12-23,51.50,53.55,51.15,53.05,30000,52.28
2011-12-22,51.50,52.60,50.90,52.25,21300,51.49
2011-12-21,51.50,52.25,51.10,51.70,28100,50.95
2011-12-20,51.25,52.25,50.70,51.50,19300,50.75
2011-12-19,52.00,52.15,50.60,51.30,173700,50.56
2011-12-16,53.00,54.20,52.05,52.30,36300,51.54
2011-12-15,54.40,54.40,51.65,53.00,63500,52.23
