Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,182.30,182.30,182.30,182.30,000,182.30
2012-12-24,180.50,184.35,180.50,182.30,1800,182.30
2012-12-21,182.10,182.50,179.50,180.70,4600,180.70
2012-12-20,188.20,188.20,182.05,184.00,2900,184.00
2012-12-19,189.00,189.00,183.10,183.95,9600,183.95
2012-12-18,188.00,189.90,186.00,188.10,2900,188.10
2012-12-17,189.85,195.00,186.05,188.80,9400,188.80
2012-12-14,191.70,191.70,186.00,188.30,4400,188.30
2012-12-13,188.95,188.95,185.25,186.10,4100,186.10
2012-12-12,190.00,190.00,185.10,186.65,2300,186.65
2012-12-11,190.00,191.80,187.00,187.05,10200,187.05
2012-12-10,192.10,192.45,188.00,189.50,11100,189.50
2012-12-07,190.00,194.85,183.65,191.05,38000,191.05
2012-12-06,184.35,191.90,184.35,189.90,14000,189.90
2012-12-05,184.10,188.05,184.10,185.60,7400,185.60
2012-12-04,185.50,186.90,184.65,185.70,23200,185.70
2012-12-03,185.00,187.90,183.05,185.15,16500,185.15
2012-11-30,185.10,185.50,184.95,185.00,38200,185.00
2012-11-29,182.00,184.90,182.00,184.05,5900,184.05
2012-11-28,182.00,182.00,182.00,182.00,000,182.00
2012-11-27,176.00,182.70,175.00,182.00,18100,182.00
2012-11-26,179.00,179.35,176.10,177.25,2100,177.25
2012-11-23,176.95,180.10,174.55,179.45,9200,179.45
2012-11-22,176.00,178.00,176.00,177.50,4100,177.50
2012-11-21,178.90,178.90,174.65,177.35,23400,177.35
2012-11-20,178.00,181.90,176.00,177.55,14500,177.55
2012-11-19,173.50,180.00,172.20,177.15,8200,177.15
2012-11-16,175.50,182.00,174.00,177.00,14500,177.00
2012-11-15,178.50,180.35,173.50,176.05,21500,176.05
2012-11-14,179.75,179.75,179.75,179.75,000,179.75
2012-11-13,179.75,179.75,179.75,179.75,000,179.75
2012-11-12,188.00,188.00,177.35,179.75,7600,179.75
2012-11-09,187.95,189.50,185.00,185.35,24700,185.35
2012-11-08,179.85,187.60,179.85,186.35,44700,186.35
2012-11-07,186.50,197.80,177.05,184.80,4888000,184.80
2012-11-06,184.25,187.45,184.20,185.40,4000,185.40
2012-11-05,186.95,187.00,182.80,185.00,7100,185.00
2012-11-02,175.50,189.50,170.65,186.65,22200,186.65
2012-11-01,180.00,184.95,179.00,179.55,6200,179.55
2012-10-31,182.00,186.90,174.20,178.90,12700,178.90
2012-10-30,183.65,185.50,182.00,183.20,12600,183.20
2012-10-29,189.70,189.70,183.00,183.35,12600,183.35
2012-10-26,187.00,187.00,187.00,187.00,000,187.00
2012-10-25,174.95,191.15,173.10,187.00,270900,187.00
2012-10-24,176.20,176.20,176.20,176.20,000,176.20
2012-10-23,175.60,178.75,174.25,176.20,29800,176.20
2012-10-22,168.70,176.00,168.10,172.55,17400,172.55
2012-10-19,175.95,175.95,169.00,169.35,2900,169.35
2012-10-18,172.00,173.65,170.05,171.80,5800,171.80
2012-10-17,174.55,181.00,170.05,171.30,36500,171.30
2012-10-16,169.95,173.50,168.25,170.10,8100,170.10
2012-10-15,172.65,172.65,167.20,168.65,3600,168.65
2012-10-12,185.20,185.20,166.30,169.30,5900,169.30
2012-10-11,168.50,172.00,166.05,166.50,6500,166.50
2012-10-10,171.50,172.00,170.00,171.10,3000,171.10
2012-10-09,167.40,172.90,167.40,170.05,3400,170.05
2012-10-08,173.35,174.60,167.05,168.35,5600,168.35
