Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,80.70,80.70,80.70,80.70,000,80.70
2012-12-24,81.05,81.50,80.20,80.70,38200,80.70
2012-12-21,81.40,82.15,80.75,81.25,49200,81.25
2012-12-20,81.50,81.85,81.25,81.45,52800,81.45
2012-12-19,81.70,82.50,81.50,81.80,107000,81.80
2012-12-18,81.90,81.95,81.10,81.50,70900,81.50
2012-12-17,80.25,82.80,80.00,81.65,171300,81.65
2012-12-14,80.95,81.05,79.60,80.00,56300,80.00
2012-12-13,80.70,81.20,80.35,80.60,44500,80.60
2012-12-12,80.70,81.50,80.00,80.50,52500,80.50
2012-12-11,81.80,82.30,80.55,80.80,127100,80.80
2012-12-10,81.30,82.15,81.10,81.65,48900,81.65
2012-12-07,82.70,84.00,80.50,81.00,79800,81.00
2012-12-06,82.30,82.90,81.70,82.25,58400,82.25
2012-12-05,82.00,82.50,81.50,82.10,71300,82.10
2012-12-04,81.60,82.50,81.00,81.85,83300,81.85
2012-12-03,81.45,82.00,80.60,81.10,66300,81.10
2012-11-30,80.80,81.75,80.15,81.45,89500,81.45
2012-11-29,79.80,81.20,79.80,80.60,100000,80.60
2012-11-28,79.50,79.50,79.50,79.50,000,79.50
2012-11-27,74.00,80.20,74.00,79.50,49000,79.50
2012-11-26,80.10,80.20,79.05,79.25,38600,79.25
2012-11-23,81.25,82.20,79.60,79.90,40800,79.90
2012-11-22,80.00,83.00,79.50,81.15,60500,81.15
2012-11-21,80.20,81.00,79.50,79.65,36400,79.65
2012-11-20,81.50,81.80,80.00,80.15,36200,80.15
2012-11-19,82.10,82.90,80.90,81.25,52000,81.25
2012-11-16,82.30,82.80,81.10,81.45,80500,81.45
2012-11-15,84.05,84.10,82.30,82.60,29000,82.60
2012-11-14,83.25,83.25,83.25,83.25,000,83.25
2012-11-13,83.25,83.25,83.25,83.25,000,83.25
2012-11-12,84.80,84.80,83.00,83.25,64900,83.25
2012-11-09,82.00,85.50,82.00,84.55,440300,84.55
2012-11-08,83.50,83.50,82.25,82.80,43300,82.80
2012-11-07,82.55,83.85,82.25,82.90,51600,82.90
2012-11-06,82.75,83.45,82.65,82.95,29300,82.95
2012-11-05,84.00,84.00,82.20,83.00,35900,83.00
2012-11-02,85.90,85.90,82.75,83.20,64000,83.20
2012-11-01,82.00,83.95,82.00,82.75,73200,82.75
2012-10-31,83.00,83.00,81.50,81.80,34400,81.80
2012-10-30,83.50,83.75,82.15,82.60,51100,82.60
2012-10-29,84.00,84.30,83.30,83.50,26500,83.50
2012-10-26,84.30,84.30,84.30,84.30,000,84.30
2012-10-25,85.00,85.50,84.10,84.30,43800,84.30
2012-10-24,85.00,85.00,85.00,85.00,000,85.00
2012-10-23,84.50,85.90,83.80,85.00,74000,85.00
2012-10-22,84.40,85.00,83.50,84.50,72300,84.50
2012-10-19,84.00,85.00,83.75,84.40,74300,84.40
2012-10-18,84.70,84.85,83.75,84.05,53200,84.05
2012-10-17,83.60,85.00,83.10,84.45,101900,84.45
2012-10-16,84.55,84.90,83.40,83.65,54600,83.65
2012-10-15,85.00,85.35,84.10,84.55,50500,84.55
2012-10-12,84.75,85.90,84.30,84.60,77500,84.60
2012-10-11,84.90,85.65,84.30,85.15,78000,85.15
