Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,24.10,24.10,24.10,24.10,000,24.10
2012-12-24,23.30,24.20,23.00,24.10,14385600,24.10
2012-12-21,23.80,23.80,23.55,23.70,14163200,23.70
2012-12-20,24.00,24.20,23.70,23.80,17237700,23.80
2012-12-19,24.70,24.80,23.95,24.05,7361500,24.05
2012-12-18,24.50,24.85,24.15,24.55,9470200,24.55
2012-12-17,23.55,24.55,23.45,24.40,13555300,24.40
2012-12-14,23.25,23.70,23.15,23.60,6175300,23.60
2012-12-13,23.50,23.60,23.30,23.35,2702900,23.35
2012-12-12,23.30,23.75,23.20,23.45,3545400,23.45
2012-12-11,23.75,23.85,23.10,23.30,10471300,23.30
2012-12-10,23.75,23.75,23.40,23.55,3784400,23.55
2012-12-07,24.25,24.50,23.50,23.60,13223600,23.60
2012-12-06,24.00,24.25,23.50,24.05,7918500,24.05
2012-12-05,23.55,24.00,23.55,23.80,7571600,23.80
2012-12-04,23.85,23.90,23.45,23.55,8912500,23.55
2012-12-03,23.40,24.15,23.25,23.50,9532200,23.50
2012-11-30,22.60,23.45,22.40,23.25,12072500,23.25
2012-11-29,23.45,23.70,22.40,22.60,29818700,22.60
2012-11-28,23.40,23.40,23.40,23.40,000,23.40
2012-11-27,23.10,23.80,22.90,23.40,14892900,23.40
2012-11-26,23.10,23.20,22.95,23.05,8692500,23.05
2012-11-23,22.75,23.20,22.55,23.05,8003900,23.05
2012-11-22,23.00,23.10,22.65,22.80,10428100,22.80
2012-11-21,22.50,23.00,22.35,22.90,8688600,22.90
2012-11-20,22.65,22.80,22.25,22.50,8134900,22.50
2012-11-19,22.60,22.75,22.40,22.60,7731700,22.60
2012-11-16,22.70,23.05,22.55,22.65,7085800,22.65
2012-11-15,22.20,22.80,22.05,22.65,9843800,22.65
2012-11-14,22.20,22.20,22.20,22.20,000,22.20
2012-11-13,22.20,22.20,22.20,22.20,000,22.20
2012-11-12,22.05,22.30,21.95,22.20,8438800,22.20
2012-11-09,21.05,22.30,21.05,21.95,2556900,21.95
2012-11-08,22.00,22.35,22.00,22.15,4487900,22.15
2012-11-07,18.75,22.60,18.75,22.25,8521400,22.25
2012-11-06,22.20,22.45,21.90,22.35,13681300,22.35
2012-11-05,22.00,22.40,21.80,22.05,5665300,22.05
2012-11-02,21.75,22.20,21.60,22.00,6819600,22.00
2012-11-01,21.40,21.75,21.30,21.70,4195000,21.70
2012-10-31,21.45,21.75,21.15,21.55,7102200,21.55
