Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,29.40,29.40,29.40,29.40,000,29.40
2012-12-24,29.60,29.80,29.15,29.40,229000,29.40
2012-12-21,30.95,30.95,28.85,29.15,718200,29.15
2012-12-20,31.25,31.25,30.60,30.75,307800,30.75
2012-12-19,30.95,31.25,30.75,30.90,288000,30.90
2012-12-18,30.55,31.30,30.50,30.80,232400,30.80
2012-12-17,31.10,31.40,30.65,30.85,260800,30.85
2012-12-14,31.40,31.50,30.90,31.05,236600,31.05
2012-12-13,32.10,32.15,31.10,31.25,401300,31.25
2012-12-12,32.25,32.35,31.75,31.95,415100,31.95
2012-12-11,33.55,33.55,31.80,31.90,946400,31.90
2012-12-10,33.00,34.20,32.75,33.15,2466300,33.15
2012-12-07,31.75,33.45,31.40,32.90,2235800,32.90
2012-12-06,32.00,32.20,31.40,31.50,231700,31.50
2012-12-05,31.55,32.15,31.45,31.90,356500,31.90
2012-12-04,31.90,32.30,31.25,31.45,381300,31.45
2012-12-03,31.50,32.40,31.25,31.75,431600,31.75
2012-11-30,32.25,32.35,31.00,31.15,481900,31.15
2012-11-29,32.70,33.20,31.80,31.90,499200,31.90
2012-11-28,32.70,32.70,32.70,32.70,000,32.70
2012-11-27,32.80,33.25,32.25,32.70,173600,32.70
2012-11-26,32.15,32.70,31.85,32.00,163400,32.00
2012-11-23,32.10,32.45,31.80,31.95,118000,31.95
2012-11-22,32.20,32.80,32.00,32.10,64900,32.10
2012-11-21,32.50,32.65,32.05,32.20,82200,32.20
2012-11-20,32.95,33.10,32.20,32.40,110800,32.40
2012-11-19,33.05,33.30,32.50,32.65,89000,32.65
2012-11-16,32.90,34.60,32.80,33.15,276100,33.15
2012-11-15,33.20,33.20,32.60,32.75,66300,32.75
2012-11-14,32.90,32.90,32.90,32.90,000,32.90
2012-11-13,32.90,32.90,32.90,32.90,000,32.90
2012-11-12,32.85,33.30,32.50,32.90,118400,32.90
2012-11-09,33.50,33.80,32.75,32.90,137200,32.90
