Date,Open,High,Low,Close,Volume,Adj Close
2012-12-25,159.45,159.45,159.45,159.45,000,159.45
2012-12-24,158.90,159.80,158.05,159.45,3145400,159.45
2012-12-21,160.35,160.35,157.75,158.35,5876300,158.35
2012-12-20,162.70,163.05,158.95,160.65,6682200,160.65
2012-12-19,163.50,165.15,162.35,162.70,7833200,162.70
2012-12-18,163.90,164.55,161.50,162.70,9863700,162.70
2012-12-17,160.00,164.85,159.90,163.25,14755100,163.25
2012-12-14,157.70,160.65,157.70,160.15,13661200,160.15
2012-12-13,154.70,160.95,154.70,156.90,44134000,156.90
2012-12-12,157.25,163.65,153.00,154.30,27324800,154.30
2012-12-11,150.60,164.00,150.60,159.55,4847900,159.55
2012-12-10,157.20,157.95,150.00,154.75,2887600,154.75
2012-12-07,163.50,164.70,157.10,158.35,685400,158.35
2012-12-06,163.40,167.65,162.00,163.70,455300,163.70
2012-12-05,164.60,165.30,163.25,164.05,305400,164.05
2012-12-04,166.00,166.10,163.00,163.45,313200,163.45
2012-12-03,164.40,166.75,162.25,165.05,491800,165.05
2012-11-30,159.85,164.40,159.85,162.75,381700,162.75
2012-11-29,160.20,164.80,158.40,159.60,688100,159.60
2012-11-28,159.75,159.75,159.75,159.75,000,159.75
2012-11-27,164.30,164.90,157.95,159.75,501300,159.75
2012-11-26,166.65,167.75,162.05,163.15,398600,163.15
2012-11-23,169.90,170.60,166.25,166.65,209100,166.65
2012-11-22,171.00,175.50,168.50,169.90,668100,169.90
2012-11-21,169.80,172.10,168.00,170.70,281300,168.70
2012-11-20,171.50,171.60,166.05,167.45,225900,165.49
2012-11-19,169.00,173.50,168.10,169.85,369200,167.86
2012-11-16,170.40,172.50,169.10,169.95,165700,167.96
2012-11-15,177.00,177.00,168.50,169.60,569400,167.61
2012-11-14,176.00,176.00,176.00,176.00,000,173.94
2012-11-13,176.00,176.00,176.00,176.00,000,173.94
2012-11-12,177.30,182.75,174.25,176.00,347200,173.94
2012-11-09,182.40,184.00,177.80,178.60,375700,176.51
2012-11-08,180.60,184.80,176.20,184.10,622900,181.94
2012-11-07,183.55,187.20,181.70,182.40,165300,180.26
2012-11-06,184.35,188.00,181.95,186.60,409700,184.41
2012-11-05,177.15,183.50,177.15,182.55,208200,180.41
2012-11-02,179.00,181.15,177.70,179.85,128700,177.74
2012-11-01,175.85,178.20,173.10,177.45,255700,175.37
2012-10-31,179.90,179.95,175.65,176.50,299900,174.43
2012-10-30,184.95,184.95,178.65,179.50,171300,177.40
2012-10-29,183.00,184.10,180.90,183.10,324600,180.95
2012-10-26,184.40,184.40,184.40,184.40,000,182.24
2012-10-25,187.00,188.40,184.00,184.40,316100,182.24
2012-10-24,186.15,186.15,186.15,186.15,000,183.97
2012-10-23,186.10,188.10,185.00,186.15,246100,183.97
2012-10-22,185.95,187.30,185.30,186.10,82900,183.92
2012-10-19,186.35,189.00,185.25,186.00,235300,183.82
2012-10-18,187.25,188.95,185.05,186.35,292900,184.17
2012-10-17,189.95,190.90,185.75,187.30,256200,185.11
2012-10-16,190.60,191.45,187.25,187.90,239200,185.70
2012-10-15,190.95,190.95,188.30,189.70,217300,187.48
2012-10-12,191.00,192.40,188.00,188.65,214500,186.44
2012-10-11,190.30,192.40,187.75,190.75,314100,188.52
2012-10-10,190.40,190.45,187.55,189.20,304900,186.98
2012-10-09,187.00,192.00,186.65,189.60,569900,187.38
2012-10-08,190.55,191.45,187.50,188.15,316500,185.95
2012-10-05,195.95,196.65,187.85,189.80,595500,187.58
2012-10-04,194.90,197.90,193.20,195.60,710800,193.31
2012-10-03,193.85,196.00,190.50,193.80,450000,191.53
2012-10-02,192.40,192.40,192.40,192.40,000,190.15
2012-10-01,193.85,197.95,191.30,192.40,468000,190.15
2012-09-28,191.35,196.65,191.15,193.90,594500,191.63
2012-09-27,190.10,199.70,187.20,190.80,1460400,188.56
2012-09-26,188.50,190.50,186.20,188.85,326900,186.64
2012-09-25,190.10,192.40,187.50,188.40,775400,186.19
2012-09-24,197.75,197.75,188.60,189.60,467900,187.38
2012-09-21,194.90,201.30,187.45,196.05,1616000,193.75
2012-09-20,189.65,191.00,185.20,187.20,573700,185.01
2012-09-19,191.70,191.70,191.70,191.70,000,189.45
2012-09-18,193.75,196.40,188.60,191.70,402400,189.45
2012-09-17,195.00,195.20,189.50,191.30,295400,189.06
2012-09-14,192.30,194.65,190.80,192.00,331600,189.75
2012-09-13,188.45,193.00,187.75,191.70,363100,189.45
2012-09-12,190.00,192.50,188.10,189.55,288600,184.86
2012-09-11,191.15,192.90,187.50,188.95,206900,184.27
2012-09-10,189.45,193.40,187.90,192.10,435600,187.35
2012-09-07,187.10,189.50,185.20,187.20,425800,182.57
2012-09-06,182.10,184.40,180.35,183.05,231900,178.52
2012-09-05,189.00,189.00,181.50,182.20,599200,177.69
2012-09-04,188.95,189.80,183.70,188.85,874000,184.18
2012-09-03,190.05,194.00,184.35,187.10,845700,182.47
2012-08-31,193.00,194.60,188.90,190.10,255800,185.39
2012-08-30,191.65,195.05,189.40,193.15,723100,188.37
2012-08-29,193.90,196.60,191.35,192.50,745500,187.74
2012-08-28,187.50,194.85,186.75,193.50,880200,188.71
2012-08-27,184.00,187.80,184.00,186.85,264300,182.23
2012-08-24,187.50,188.00,182.50,184.65,332000,180.08
2012-08-23,188.80,189.20,186.80,187.45,473000,182.81
2012-08-22,182.40,190.00,182.05,187.45,1102400,182.81
2012-08-21,180.30,182.80,180.00,181.05,500000,176.57
2012-08-20,179.95,179.95,179.95,179.95,000,175.50
2012-08-17,183.05,183.90,179.20,179.95,457100,175.50
2012-08-16,187.00,187.00,180.70,182.15,446800,177.64
2012-08-15,186.30,186.30,186.30,186.30,000,181.69
2012-08-14,188.55,190.80,185.65,186.30,369700,181.69
2012-08-13,182.10,187.40,182.10,186.95,309600,182.32
2012-08-10,183.40,183.50,180.80,181.20,99000,176.72
2012-08-09,184.35,184.95,181.65,182.35,115000,177.84
2012-08-08,184.20,187.60,183.00,183.95,353500,179.40
2012-08-07,183.70,185.50,182.75,183.50,66100,178.96
2012-08-06,186.00,188.45,182.10,182.95,208500,178.42
2012-08-03,185.00,187.00,182.10,185.30,150600,180.71
2012-08-02,189.80,191.30,184.50,185.75,383100,181.15
2012-08-01,185.85,192.60,185.10,190.05,259800,185.35
2012-07-31,188.65,189.20,186.10,187.30,131600,182.66
2012-07-30,185.10,188.95,185.10,188.05,372800,183.40
2012-07-27,182.75,187.85,182.55,184.70,314900,180.13
2012-07-26,186.40,190.45,180.55,182.25,587900,177.74
2012-07-25,186.70,188.50,185.30,186.75,316700,182.13
2012-07-24,186.15,189.25,186.15,188.60,140100,183.93
2012-07-23,189.55,190.00,186.10,188.75,412900,184.08
2012-07-20,186.10,191.95,186.10,191.05,493600,186.32
2012-07-19,191.00,195.30,191.00,191.65,813600,186.91
2012-07-18,185.15,190.95,183.10,190.20,241500,185.49
2012-07-17,187.10,189.70,185.00,186.50,123200,181.88
2012-07-16,190.30,190.60,184.80,187.10,533100,182.47
2012-07-13,185.10,190.90,182.00,188.45,322500,183.79
2012-07-12,186.10,189.00,182.40,187.70,224800,183.05
