Date,Open,High,Low,Close,Volume,Adj Close
2012-12-27,4745.5,4746.9,4702.15,4706.35,729772544,4706.35
2012-12-26,4700.25,4739.75,4700.25,4731.6,505056409,4731.6
2012-12-24,4698.75,4705,4687.6,4695,430363478,4695
2012-12-21,4730.35,4730.35,4683.1,4686.9,606761745,4686.9
2012-12-20,4757.75,4757.75,4720.05,4746.4,614105201,4746.4
2012-12-19,4739.65,4761.3,4739.65,4755.3,722870046,4755.3
2012-12-18,4702.7,4731.9,4670.9,4727.85,718276455,4727.85
2012-12-17,4688.2,4710.6,4688.2,4693.95,526954349,4693.95
2012-12-14,4671.55,4701.75,4667,4698.8,553144478,4698.8
2012-12-13,4716.85,4724.35,4667.15,4674.05,682370645,4674.05
2012-12-12,4727,4735.25,4700,4709.85,617782124,4709.85
2012-12-11,4740.4,4771.8,4689.65,4716.25,714761610,4716.25
2012-12-10,4729.3,4737.55,4715.95,4731.9,581711921,4731.9
2012-12-07,4742.1,4758.05,4712.3,4724.25,725274009,4724.25
2012-12-06,4726.65,4746.8,4675.15,4740.2,752757532,4740.2
2012-12-05,4711.4,4726.15,4707.05,4712.1,708413389,4712.1
2012-12-04,4682.8,4705.75,4677.4,4701.45,687084393,4701.45
2012-12-03,4674.55,4695.1,4670.75,4685.05,693913465,4685.05
2012-11-30,4638.3,4677.8,4638.3,4675.25,1105441017,4675.25
2012-11-29,4567.8,4635.65,4567.8,4631.9,954685422,4631.9
2012-11-27,4506.3,4566.45,4506.3,4562.4,688451837,4562.4
2012-11-26,4486.45,4500.75,4482.5,4493.6,507177857,4493.6
2012-11-23,4476.1,4482.15,4450.25,4474.15,438484762,4474.15
2012-11-22,4466.3,4482.2,4455.7,4471.8,439004499,4471.8
2012-11-21,4434.65,4461.45,4419.5,4458.45,477557759,4458.45
2012-11-20,4456.2,4465.85,4411.15,4428.4,537861641,4428.4
2012-11-19,4453.05,4466.4,4424.5,4437.25,482267910,4437.25
2012-11-16,4493.45,4513.45,4441.95,4451.1,614541692,4451.1
2012-11-15,4508.6,4508.6,4474.8,4497,698392497,4497
2012-11-13,4522.7,4527.35,4513.1,4518.1,193937920,4518.1
2012-11-12,4509.95,4529.55,4504.1,4519.25,532530363,4519.25
2012-11-09,4544.7,4563.05,4505.05,4508.8,550994441,4508.8
2012-11-08,4530.3,4552.6,4519.3,4548.95,555230684,4548.95
2012-11-07,4525.15,4571.25,4524.1,4559.1,579372815,4559.1
2012-11-06,4505.45,4531.65,4505.45,4528.3,462702841,4528.3
